# Bashkir,Buryat,Chuvash,Evenki,Japanese,Kalmyk,Kannada,Kazakh,Khalkha Mongolian,Korean,Malayalam,Manchu,Nanai,North Azerbaijani,Northern Uzbek,Sakha,Tamil,Tatar,Telugu,Turkish
0.000000000000000000e+00,9.642674434073230660e-01,4.261000464364044227e-01,1.000000000000000000e+00,1.000000000000000000e+00,9.589241381057135305e-01,9.484180640453486744e-01,4.500569669735889899e-01,9.197954105226427979e-01,9.664461104628770949e-01,1.000000000000000000e+00,9.227353976315970652e-01,9.596421461483228832e-01,5.473121863081547023e-01,5.934595179349048122e-01,7.903219514806059109e-01,1.000000000000000000e+00,1.000000000000000000e+00,9.563765843556186752e-01,6.292371409005248495e-01
9.642674434073230660e-01,4.440892098500626162e-16,9.685853581791409317e-01,9.674332311682117824e-01,9.271659151436917323e-01,3.760378886258961550e-01,9.086012243045690218e-01,9.278874761229927159e-01,7.798203534958997318e-01,8.872317093203454519e-01,8.743728316976375758e-01,9.391465898964581616e-01,9.343779540699367336e-01,9.301417704651113727e-01,9.272611553059343370e-01,9.050716383531236531e-01,8.999024676522054955e-01,8.801448663453840249e-01,9.157571218599320773e-01,9.337018326835512250e-01
4.261000464364044227e-01,9.685853581791409317e-01,0.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,9.593577037672151864e-01,9.260950726418211154e-01,5.708210929259694977e-01,6.932806316087186671e-01,8.895216199496962517e-01,9.905713915994188712e-01,9.286380097698714309e-01,1.000000000000000000e+00,4.864293613433334773e-01,4.740321627751998834e-01,7.863059854707787899e-01,9.990143241956923603e-01,9.712015749290197064e-01,9.526759284986405785e-01,4.619860871359551258e-01
1.000000000000000000e+00,9.674332311682117824e-01,1.000000000000000000e+00,1.110223024625156540e-16,9.115705412330867841e-01,9.739292234671977910e-01,1.000000000000000000e+00,1.000000000000000000e+00,9.761134599724848870e-01,1.000000000000000000e+00,8.901194853684979424e-01,9.937771892083624437e-01,9.505986540727568990e-01,1.000000000000000000e+00,1.000000000000000000e+00,8.947826192287118285e-01,1.000000000000000000e+00,1.000000000000000000e+00,9.871793813711889909e-01,1.000000000000000000e+00
1.000000000000000000e+00,9.271659151436917323e-01,1.000000000000000000e+00,9.115705412330867841e-01,0.000000000000000000e+00,9.742535959695999281e-01,9.178134081339806016e-01,1.000000000000000000e+00,9.826824191073785242e-01,8.507792179909767771e-01,9.989885953190172918e-01,1.000000000000000000e+00,8.326735296301931433e-01,9.271108618225341047e-01,9.408713235609124093e-01,9.337329663533943114e-01,1.000000000000000000e+00,7.891282994494811520e-01,9.766928656894859895e-01,8.949474784475867084e-01
9.589241381057135305e-01,3.760378886258961550e-01,9.593577037672151864e-01,9.739292234671977910e-01,9.742535959695999281e-01,2.220446049250313081e-16,9.691558352321628655e-01,9.570209116382593084e-01,9.074951399699416887e-01,8.529706848089901872e-01,8.607408289836671056e-01,9.206502639309742664e-01,9.690693129117669002e-01,9.136788699977392847e-01,9.128647335234562066e-01,8.973900828882062086e-01,8.860325895321599088e-01,8.861498118662437529e-01,8.872852820881556024e-01,7.635839811409452782e-01
9.484180640453486744e-01,9.086012243045690218e-01,9.260950726418211154e-01,1.000000000000000000e+00,9.178134081339806016e-01,9.691558352321628655e-01,1.110223024625156540e-16,9.870572460847290008e-01,9.678058513828078357e-01,9.030160360318484347e-01,9.869993389051896493e-01,9.849068317018359053e-01,9.902276724181136025e-01,9.248702465254085014e-01,9.443997036349028873e-01,9.139151976600004001e-01,9.965695054851444468e-01,9.433026842512676202e-01,5.725132129229199007e-01,9.583198234448202513e-01
4.500569669735889899e-01,9.278874761229927159e-01,5.708210929259694977e-01,1.000000000000000000e+00,1.000000000000000000e+00,9.570209116382593084e-01,9.870572460847290008e-01,2.220446049250313081e-16,9.744888285768406044e-01,9.724660361951473764e-01,1.000000000000000000e+00,9.413262841010918702e-01,9.957282345959463932e-01,7.356951936742242015e-01,6.976470715644433884e-01,1.000000000000000000e+00,9.685622560977150686e-01,1.000000000000000000e+00,9.725442397659825877e-01,7.893291531965791474e-01
9.197954105226427979e-01,7.798203534958997318e-01,6.932806316087186671e-01,9.761134599724848870e-01,9.826824191073785242e-01,9.074951399699416887e-01,9.678058513828078357e-01,9.744888285768406044e-01,0.000000000000000000e+00,8.452532232754492725e-01,9.817336301469078430e-01,9.269102895719443236e-01,9.705046066635061308e-01,8.219826290732430429e-01,7.955910477330021546e-01,9.768654446884420528e-01,9.941058905023540948e-01,8.659245741727390477e-01,9.808895963386433658e-01,8.279468267182632513e-01
9.664461104628770949e-01,8.872317093203454519e-01,8.895216199496962517e-01,1.000000000000000000e+00,8.507792179909767771e-01,8.529706848089901872e-01,9.030160360318484347e-01,9.724660361951473764e-01,8.452532232754492725e-01,-2.220446049250313081e-16,9.035601809008404484e-01,9.315086073722252946e-01,9.277343242268492052e-01,8.931921103873586842e-01,9.207042101946050217e-01,9.271124581110201657e-01,8.360017428312176424e-01,8.923755998240149312e-01,8.724511355417885472e-01,9.378905772225487603e-01
1.000000000000000000e+00,8.743728316976375758e-01,9.905713915994188712e-01,8.901194853684979424e-01,9.989885953190172918e-01,8.607408289836671056e-01,9.869993389051896493e-01,1.000000000000000000e+00,9.817336301469078430e-01,9.035601809008404484e-01,1.110223024625156540e-16,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,9.407676298906092471e-01,5.363757012824394987e-01,8.895246823165937622e-01,9.402750452339808662e-01,9.705416019333180655e-01
9.227353976315970652e-01,9.391465898964581616e-01,9.286380097698714309e-01,9.937771892083624437e-01,1.000000000000000000e+00,9.206502639309742664e-01,9.849068317018359053e-01,9.413262841010918702e-01,9.269102895719443236e-01,9.315086073722252946e-01,1.000000000000000000e+00,3.030099604572948913e-01,9.042663901065759458e-01,9.303319017421439741e-01,9.104745166824042002e-01,8.352962555889401619e-01,8.677206636230674341e-01,9.945127024028492801e-01,9.613819865247840157e-01,9.343663006886993028e-01
9.596421461483228832e-01,9.343779540699367336e-01,1.000000000000000000e+00,9.505986540727568990e-01,8.326735296301931433e-01,9.690693129117669002e-01,9.902276724181136025e-01,9.957282345959463932e-01,9.705046066635061308e-01,9.277343242268492052e-01,1.000000000000000000e+00,9.042663901065759458e-01,2.315126601819591234e-01,1.000000000000000000e+00,1.000000000000000000e+00,9.790334667107334354e-01,9.584883140975194449e-01,9.015336902111765749e-01,9.426763823411428156e-01,1.000000000000000000e+00
