# Bashkir,Buryat,Chuvash,Evenki,Japanese,Kalmyk,Kannada,Kazakh,Khalkha Mongolian,Korean,Malayalam,Manchu,Nanai,North Azerbaijani,Northern Uzbek,Sakha,Tamil,Tatar,Telugu,Turkish
2.220446049250313081e-16,7.532419091888061802e-01,1.363841993079715209e+00,9.315566439850044844e-01,7.849331988042247410e-01,8.784853801904022319e-01,9.850999989562116976e-01,1.125695789739972863e+00,7.561590550168195701e-01,9.481427779512353604e-01,8.535986837726812215e-01,1.000000000000000000e+00,8.902784317223252364e-01,9.633843848641286955e-01,1.099694780911574910e+00,6.325185800835808614e-01,1.056255637130428360e+00,1.218408336517698975e-01,8.869963682174566433e-01,9.632616321932349068e-01
7.532419091888061802e-01,-4.440892098500626162e-16,1.136739654481106365e+00,9.263727933738169495e-01,8.675835230614510341e-01,5.664523970834391964e-01,1.000000000000000000e+00,1.044874809378474767e+00,3.161447718265437690e-01,8.075006541890417111e-01,8.845853682421123132e-01,9.074795966804622971e-01,9.205063941128401872e-01,8.541558568861814527e-01,1.068702475677137054e+00,7.386712931140080318e-01,1.158104514220360537e+00,7.721456880083785723e-01,8.923178707697025924e-01,8.997986084741635970e-01
1.363841993079715209e+00,1.136739654481106365e+00,0.000000000000000000e+00,1.262603179485818572e+00,1.277708243128297338e+00,1.213495926013508530e+00,1.232648689096626615e+00,1.102322949068317293e+00,1.087193013300340905e+00,1.070962814065300250e+00,1.302687016537520837e+00,1.128866158310114054e+00,1.309443546626814614e+00,8.676924082887632617e-01,1.151042329395114860e+00,1.088220084610820759e+00,1.323867265328060538e+00,1.329786314768564459e+00,1.300156940899130031e+00,1.342390452252853805e+00
9.315566439850044844e-01,9.263727933738169495e-01,1.262603179485818572e+00,3.330669073875469621e-16,9.677241019082516438e-01,9.408850187552058042e-01,9.373707271588787027e-01,1.285335295654468357e+00,9.463982590510168214e-01,9.095648599699898140e-01,8.853009854600037976e-01,9.338656211850350219e-01,9.088061770800232031e-01,9.802683403802648909e-01,1.122639072962778428e+00,1.000000000000000000e+00,1.203638791889898529e+00,9.509249050226282751e-01,7.924353981942322545e-01,9.668788752205177417e-01
7.849331988042247410e-01,8.675835230614510341e-01,1.277708243128297338e+00,9.677241019082516438e-01,0.000000000000000000e+00,9.674781190494086136e-01,9.896958075797864796e-01,1.115332871646948387e+00,8.316594502252354637e-01,8.893003820983855778e-01,9.290624951689906430e-01,9.935273890416552733e-01,8.248043786509973163e-01,9.283673358435257095e-01,1.264906008679514526e+00,8.960229161177928336e-01,1.162992818555394159e+00,7.830775986827109847e-01,9.691514226927111508e-01,9.822376158840829818e-01
8.784853801904022319e-01,5.664523970834391964e-01,1.213495926013508530e+00,9.408850187552058042e-01,9.674781190494086136e-01,0.000000000000000000e+00,1.000000000000000000e+00,9.981174648946522510e-01,6.781040218031560984e-01,9.434785158625130785e-01,8.879690771311041786e-01,9.496316790834588017e-01,9.364918190082487381e-01,9.395508507625315309e-01,1.154155340193138368e+00,7.212033507124835374e-01,1.099505768418776785e+00,8.798621148315011187e-01,8.879921850279581808e-01,9.310541859147296595e-01
9.850999989562116976e-01,1.000000000000000000e+00,1.232648689096626615e+00,9.373707271588787027e-01,9.896958075797864796e-01,1.000000000000000000e+00,0.000000000000000000e+00,1.021768979077768646e+00,1.000000000000000000e+00,9.798839415199536163e-01,7.435772215852571865e-01,9.545154988594036771e-01,9.462729841177281997e-01,9.891398755713267654e-01,1.225425210363430439e+00,9.985305272634960039e-01,1.001736811224427370e+00,1.000000000000000000e+00,7.583486303830853092e-01,9.780284054726330334e-01
1.125695789739972863e+00,1.044874809378474767e+00,1.102322949068317293e+00,1.285335295654468357e+00,1.115332871646948387e+00,9.981174648946522510e-01,1.021768979077768646e+00,2.220446049250313081e-16,1.018295688445574276e+00,1.158842130650651114e+00,1.205843235510658973e+00,1.209804976852894676e+00,1.194204109276027381e+00,1.045197925914874704e+00,9.338503925440371223e-01,1.022557996476898712e+00,1.264529112476646899e+00,1.092045838015987869e+00,1.131207660451833075e+00,1.311931129160371690e+00
7.561590550168195701e-01,3.161447718265437690e-01,1.087193013300340905e+00,9.463982590510168214e-01,8.316594502252354637e-01,6.781040218031560984e-01,1.000000000000000000e+00,1.018295688445574276e+00,0.000000000000000000e+00,8.673814131450339193e-01,9.344346759016294302e-01,9.114782737975057891e-01,9.015650382023199239e-01,8.575530039472135657e-01,9.919847500688100395e-01,7.220984298258930068e-01,1.086243296342449316e+00,7.595202545252968118e-01,9.593986827390393879e-01,8.736489605958899229e-01
9.481427779512353604e-01,8.075006541890417111e-01,1.070962814065300250e+00,9.095648599699898140e-01,8.893003820983855778e-01,9.434785158625130785e-01,9.798839415199536163e-01,1.158842130650651114e+00,8.673814131450339193e-01,-2.220446049250313081e-16,1.000000000000000000e+00,9.080886715600332559e-01,9.061246616226322770e-01,9.844475067054810902e-01,1.227396705699640655e+00,9.025054717510098135e-01,1.150186871968005731e+00,9.174307651891908666e-01,8.738195226577107899e-01,9.758873626998463280e-01
8.535986837726812215e-01,8.845853682421123132e-01,1.302687016537520837e+00,8.853009854600037976e-01,9.290624951689906430e-01,8.879690771311041786e-01,7.435772215852571865e-01,1.205843235510658973e+00,9.344346759016294302e-01,1.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,9.275681149975144590e-01,8.830411852688853092e-01,1.349994399939733913e+00,8.883430209746648876e-01,1.146507406014746211e+00,8.479927160649483042e-01,9.100410887797649728e-01,9.145399037298784783e-01
