# Bashkir,Buryat,Chuvash,Evenki,Japanese,Kalmyk,Kannada,Kazakh,Khalkha Mongolian,Korean,Malayalam,Manchu,Nanai,North Azerbaijani,Northern Uzbek,Sakha,Tamil,Tatar,Telugu,Turkish
1.110223024625156540e-16,8.931642452562740253e-01,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,9.912799268467508140e-01,9.542300021236230778e-01,1.000000000000000000e+00,9.890331089905683992e-01,9.940204139308733700e-01,8.661791149641195897e-01,9.224725294820852461e-01,9.640372854330454544e-01,9.678723372376698553e-01,9.678972477595353396e-01,9.316495839374171473e-01,1.285027135540711019e+00,9.052925276061830617e-01,9.375141944572289443e-01,9.557445313732993997e-01
8.931642452562740253e-01,-2.220446049250313081e-16,7.479882708955927217e-01,1.000000000000000000e+00,8.042400725280216545e-01,9.833799844241124521e-01,9.966603516009687747e-01,9.089333675837699689e-01,2.472206159118012225e-01,8.656127868124765534e-01,9.461383203342879078e-01,8.561413414606592331e-01,8.668347304962394917e-01,9.084930933956764099e-01,9.371491042929096515e-01,9.600644277835131968e-01,1.182702478522725364e+00,7.686658528059465700e-01,9.729546189369898679e-01,9.361424621636859067e-01
1.000000000000000000e+00,7.479882708955927217e-01,0.000000000000000000e+00,1.000000000000000000e+00,9.412434839896470784e-01,9.677667242245150403e-01,8.101246990112332957e-01,9.344633951473454436e-01,7.163631843845323921e-01,8.113285824741413021e-01,1.000000000000000000e+00,9.798329146927717836e-01,8.205015675538694930e-01,5.719295224374205677e-01,9.252958010603486994e-01,1.000000000000000000e+00,1.156958287773541150e+00,8.536544816172169092e-01,9.140432312893018718e-01,6.682292427803246948e-01
1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,2.220446049250313081e-16,1.000000000000000000e+00,1.000000000000000000e+00,8.408990150083608395e-01,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,9.266081752788777326e-01,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,8.503446034321424651e-01,1.258767725710635554e+00,1.000000000000000000e+00,9.506994524359015930e-01,8.781858903427128826e-01
1.000000000000000000e+00,8.042400725280216545e-01,9.412434839896470784e-01,1.000000000000000000e+00,1.110223024625156540e-16,8.721579888756578747e-01,8.701981818417378056e-01,6.717855577614225693e-01,8.009038266740607925e-01,7.258779782660103042e-01,8.437222089622933296e-01,8.781193367074316969e-01,9.583970650585939000e-01,9.585777348206498960e-01,9.794255240624785142e-01,1.000000000000000000e+00,8.804889479215164405e-01,7.621018309416414116e-01,7.452482412436489678e-01,9.902969039924074401e-01
9.912799268467508140e-01,9.833799844241124521e-01,9.677667242245150403e-01,1.000000000000000000e+00,8.721579888756578747e-01,0.000000000000000000e+00,9.744728459920274366e-01,9.295062717915268946e-01,9.678781372158457019e-01,9.807276537010667372e-01,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.224540163847200436e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00
9.542300021236230778e-01,9.966603516009687747e-01,8.101246990112332957e-01,8.408990150083608395e-01,8.701981818417378056e-01,9.744728459920274366e-01,0.000000000000000000e+00,1.000000000000000000e+00,9.444063450725452835e-01,9.868526465825074867e-01,9.149331561148679182e-01,8.719411258605427317e-01,9.148869722815238248e-01,8.698003610899266436e-01,9.242267513832349568e-01,9.520506371844182913e-01,1.183035033714160855e+00,9.172342714325260049e-01,7.878057254867303349e-01,8.423031180504235715e-01
1.000000000000000000e+00,9.089333675837699689e-01,9.344633951473454436e-01,1.000000000000000000e+00,6.717855577614225693e-01,9.295062717915268946e-01,1.000000000000000000e+00,1.110223024625156540e-16,9.511862330372020669e-01,8.608992676300887270e-01,8.234169071531969308e-01,9.280115981568823891e-01,9.734992190339345486e-01,9.506683736312022681e-01,8.504751195808971653e-01,9.505795772386860243e-01,9.497614313725321056e-01,4.889891023907265710e-01,9.034674945950024183e-01,9.767707149902504771e-01
9.890331089905683992e-01,2.472206159118012225e-01,7.163631843845323921e-01,1.000000000000000000e+00,8.009038266740607925e-01,9.678781372158457019e-01,9.444063450725452835e-01,9.511862330372020669e-01,-2.220446049250313081e-16,8.920982665937072786e-01,1.000000000000000000e+00,9.214706922834395852e-01,9.290760951002999812e-01,8.112933018496548687e-01,8.818302123136105841e-01,9.389155332746026428e-01,1.268957281157669037e+00,8.834514280266297925e-01,9.849283081838641207e-01,9.385433721224056836e-01
9.940204139308733700e-01,8.656127868124765534e-01,8.113285824741413021e-01,1.000000000000000000e+00,7.258779782660103042e-01,9.807276537010667372e-01,9.868526465825074867e-01,8.608992676300887270e-01,8.920982665937072786e-01,2.220446049250313081e-16,9.570268586481862627e-01,7.658044839874148524e-01,9.147811204658484741e-01,8.353211181331045010e-01,9.864822986386954096e-01,9.229571766898904128e-01,1.237998815896047544e+00,8.409552600284093682e-01,8.271094455108728427e-01,8.661114329828013547e-01
