# Bashkir,Buryat,Chuvash,Evenki,Japanese,Kalmyk,Kannada,Kazakh,Khalkha Mongolian,Korean,Malayalam,Manchu,Nanai,North Azerbaijani,Northern Uzbek,Sakha,Tamil,Tatar,Telugu,Turkish
-2.220446049250313081e-16,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,8.487845288769063634e-01,1.000000000000000000e+00,5.765916446975878351e-01,9.751644900458145138e-01,8.993265110120092221e-01,9.851646311953276003e-01,9.839303032875057475e-01,4.844164168737689069e-01,7.223757824818390905e-01,6.229565765776785558e-01,9.771469784155079052e-01,1.000000000000000000e+00,2.347996487512835628e-01,1.000000000000000000e+00,7.684375157244643928e-01
1.000000000000000000e+00,1.110223024625156540e-16,1.000000000000000000e+00,9.746015932794275249e-01,9.257185358727668678e-01,9.096739436064475992e-01,9.048302061938513496e-01,9.622873689862904145e-01,9.612420997405344281e-01,8.315826774005454780e-01,9.503864605368260721e-01,1.113857496365195487e+00,9.775291406600670197e-01,9.469992514869186584e-01,9.115902608174577537e-01,9.768433919279853050e-01,9.307332659922161744e-01,1.000000000000000000e+00,9.789489394060915117e-01,9.284626744127895126e-01
1.000000000000000000e+00,1.000000000000000000e+00,3.785694584484553538e-01,8.885641797889010096e-01,8.955207550918934389e-01,8.580951537890233460e-01,8.668084207335021718e-01,8.878297811362053649e-01,9.360663781232370084e-01,8.716054198370898343e-01,1.000000000000000000e+00,1.030037268061350542e+00,1.000000000000000000e+00,8.971548787152552329e-01,9.707818430796295583e-01,1.000000000000000000e+00,9.715933912756964386e-01,9.733608201090060419e-01,7.982334766195948728e-01,9.940993908923401179e-01
1.000000000000000000e+00,9.746015932794275249e-01,8.885641797889010096e-01,1.110223024625156540e-16,9.183006929478320091e-01,7.533832211209858798e-01,9.504244032322319846e-01,8.319865073085077611e-01,9.744858909034159744e-01,1.000000000000000000e+00,9.182628343997525366e-01,1.181201801342082636e+00,8.973411390319457892e-01,9.302953295816349666e-01,7.562682801946101208e-01,9.453391456910341661e-01,1.000000000000000000e+00,1.000000000000000000e+00,9.497117402202890357e-01,8.806090331456668530e-01
1.000000000000000000e+00,9.257185358727668678e-01,8.955207550918934389e-01,9.183006929478320091e-01,0.000000000000000000e+00,9.732473361554817570e-01,9.781222214447828911e-01,1.000000000000000000e+00,9.721916581330654061e-01,9.002322770902227989e-01,8.241860329623231785e-01,9.784441741682613491e-01,9.872665694759872324e-01,9.462174166435768363e-01,1.000000000000000000e+00,1.000000000000000000e+00,9.249774998248383451e-01,1.000000000000000000e+00,8.724655133003895724e-01,8.146960919840359194e-01
8.487845288769063634e-01,9.096739436064475992e-01,8.580951537890233460e-01,7.533832211209858798e-01,9.732473361554817570e-01,3.330669073875469621e-16,9.848960601980717433e-01,8.809691883500103682e-01,8.937353561703019755e-01,1.000000000000000000e+00,8.604549441335640481e-01,9.386436167037378597e-01,7.848621920613640945e-01,8.743773900882738648e-01,7.013703179213692795e-01,7.051108186775776332e-01,8.236675398598588549e-01,8.694967170034475501e-01,9.663912109817129892e-01,8.501119117305375728e-01
1.000000000000000000e+00,9.048302061938513496e-01,8.668084207335021718e-01,9.504244032322319846e-01,9.781222214447828911e-01,9.848960601980717433e-01,0.000000000000000000e+00,9.955559405231904080e-01,9.659907628301996896e-01,8.300054693246209370e-01,9.587588819532090190e-01,1.100262988948452092e+00,9.980039954648344258e-01,9.942780196772089685e-01,1.000000000000000000e+00,9.663894348576314020e-01,9.415524975546885056e-01,1.000000000000000000e+00,9.642535619734973196e-01,9.802005745232899026e-01
5.765916446975878351e-01,9.622873689862904145e-01,8.878297811362053649e-01,8.319865073085077611e-01,1.000000000000000000e+00,8.809691883500103682e-01,9.955559405231904080e-01,0.000000000000000000e+00,8.970192629501545500e-01,1.000000000000000000e+00,9.208240892581689430e-01,9.562041851699473183e-01,8.687504202158435884e-01,7.923509400205648312e-01,3.672235714962051034e-01,7.802932011025139891e-01,1.000000000000000000e+00,4.619271752205382775e-01,9.101654479984141455e-01,8.469192323945642364e-01
9.751644900458145138e-01,9.612420997405344281e-01,9.360663781232370084e-01,9.744858909034159744e-01,9.721916581330654061e-01,8.937353561703019755e-01,9.659907628301996896e-01,8.970192629501545500e-01,5.000000000000000000e-01,8.010238687117996470e-01,9.724293891886337526e-01,9.747266531475656803e-01,7.286446632519942845e-01,9.447826441120594776e-01,8.643544449963675991e-01,7.625000541995954340e-01,9.230399497517940421e-01,8.875824604691030517e-01,9.922606149565877942e-01,9.243217088373125723e-01
8.993265110120092221e-01,8.315826774005454780e-01,8.716054198370898343e-01,1.000000000000000000e+00,9.002322770902227989e-01,1.000000000000000000e+00,8.300054693246209370e-01,1.000000000000000000e+00,8.010238687117996470e-01,0.000000000000000000e+00,9.656975051508390750e-01,1.107664955595123901e+00,8.715544531313831333e-01,9.948959600049153140e-01,1.000000000000000000e+00,9.848615412310481876e-01,9.817298402428833448e-01,1.000000000000000000e+00,8.915819391237418401e-01,9.633121250193317220e-01
