# Bashkir,Buryat,Chuvash,Evenki,Japanese,Kalmyk,Kannada,Kazakh,Khalkha Mongolian,Korean,Malayalam,Manchu,Nanai,North Azerbaijani,Northern Uzbek,Sakha,Tamil,Tatar,Telugu,Turkish
2.220446049250313081e-16,9.602322016215165679e-01,7.397342050024182658e-01,9.607632478916366958e-01,9.765179451867804783e-01,1.000000000000000000e+00,1.000000000000000000e+00,8.811310519655375373e-01,9.652110659116343028e-01,9.599124455620953178e-01,9.817294288261769752e-01,9.837779777010783322e-01,9.552050850982650720e-01,6.125112037349456084e-01,1.000000000000000000e+00,9.331906151890634327e-01,1.000000000000000000e+00,5.229718082288624670e-01,9.852287988334574864e-01,7.886996820226210847e-01
9.602322016215165679e-01,0.000000000000000000e+00,9.697117448003056417e-01,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,9.752170200947601897e-01,1.018148284076578980e+00,6.889691364530519113e-01,8.494926455667151100e-01,9.551460609629268683e-01,9.713513942058012995e-01,9.362109109126716122e-01,9.537353781309279022e-01,8.947767380136530946e-01,9.399403150760161640e-01,1.000000000000000000e+00,9.573259790261703372e-01,9.929887835034715282e-01,9.565400409796256387e-01
7.397342050024182658e-01,9.697117448003056417e-01,2.220446049250313081e-16,9.751517874117857643e-01,9.776299195835677081e-01,9.935686336036191335e-01,9.765250464966314103e-01,8.863758301087387714e-01,1.000000000000000000e+00,9.878134287556399329e-01,9.892492791926659201e-01,9.419301374423435513e-01,9.793197210606134906e-01,5.314355470946815485e-01,9.481436584647993104e-01,9.662093361349873843e-01,1.000000000000000000e+00,8.294893100006951459e-01,9.838916731242758340e-01,8.235279644761265283e-01
9.607632478916366958e-01,1.000000000000000000e+00,9.751517874117857643e-01,2.220446049250313081e-16,1.000000000000000000e+00,1.000000000000000000e+00,9.881554257632151339e-01,1.079044968818680950e+00,9.784082569116069328e-01,8.763024468244225984e-01,9.588240936721914576e-01,1.000000000000000000e+00,8.543585268071215433e-01,9.521934645353941074e-01,1.000000000000000000e+00,1.000000000000000000e+00,9.046542467598359671e-01,9.827030993159053818e-01,9.366022727023984862e-01,9.783789585286616353e-01
9.765179451867804783e-01,1.000000000000000000e+00,9.776299195835677081e-01,1.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,9.288841334509024827e-01,8.848552298034253472e-01,1.000000000000000000e+00,1.000000000000000000e+00,9.032177414879347666e-01,9.674459337665499703e-01,9.070980022374414142e-01,9.696867687550055903e-01,7.864629780389340574e-01,1.000000000000000000e+00,1.000000000000000000e+00,9.322956576339078705e-01,9.749918187714344819e-01,9.124830478675063361e-01
1.000000000000000000e+00,1.000000000000000000e+00,9.935686336036191335e-01,1.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,9.380003031678728620e-01,1.024053244186658551e+00,1.000000000000000000e+00,9.798961842833809888e-01,9.527935510796824436e-01,9.465273770293761713e-01,1.000000000000000000e+00,9.396745649713809101e-01,9.415800384327602801e-01,1.000000000000000000e+00,9.348137729000191021e-01,9.945351223970048116e-01,9.439479709139033670e-01,9.429549664062805148e-01
1.000000000000000000e+00,9.752170200947601897e-01,9.765250464966314103e-01,9.881554257632151339e-01,9.288841334509024827e-01,9.380003031678728620e-01,1.110223024625156540e-16,1.010037756128499442e+00,9.720193634381104619e-01,9.282331398611610718e-01,9.888054143498116177e-01,9.635448785564394436e-01,9.725430852225867007e-01,9.313438397094234711e-01,8.487274461692100314e-01,9.735920452662248925e-01,9.727239736355245414e-01,9.176454341831271622e-01,3.150768201095542898e-01,8.971888897066837565e-01
8.811310519655375373e-01,1.018148284076578980e+00,8.863758301087387714e-01,1.079044968818680950e+00,8.848552298034253472e-01,1.024053244186658551e+00,1.010037756128499442e+00,5.477344611790471163e-01,1.071621069787132896e+00,9.728564122797433988e-01,1.139747657967080663e+00,1.114530582349345877e+00,9.015520789149227276e-01,9.076515402130479471e-01,1.005990441764394117e+00,1.108100535371475903e+00,1.067329083809222201e+00,9.390872473468709902e-01,1.013776773660961972e+00,9.361855479690482928e-01
9.652110659116343028e-01,6.889691364530519113e-01,1.000000000000000000e+00,9.784082569116069328e-01,1.000000000000000000e+00,1.000000000000000000e+00,9.720193634381104619e-01,1.071621069787132896e+00,1.110223024625156540e-16,9.755434968661139683e-01,9.612495169518658900e-01,1.000000000000000000e+00,9.934669992551268258e-01,1.000000000000000000e+00,9.884062008331323534e-01,8.897655301334552735e-01,1.000000000000000000e+00,9.402372648468317884e-01,9.604009168674331187e-01,9.880729888371595493e-01
9.599124455620953178e-01,8.494926455667151100e-01,9.878134287556399329e-01,8.763024468244225984e-01,1.000000000000000000e+00,9.798961842833809888e-01,9.282331398611610718e-01,9.728564122797433988e-01,9.755434968661139683e-01,-2.220446049250313081e-16,9.478609865086005115e-01,9.282507227488016044e-01,8.533153503451202937e-01,9.066279608870242424e-01,9.023064301972628654e-01,9.855806375445820278e-01,9.833750707775223976e-01,8.644984844407122004e-01,8.977322685445259243e-01,9.847365140370415437e-01
