# Bashkir,Buryat,Chuvash,Evenki,Japanese,Kalmyk,Kannada,Kazakh,Khalkha Mongolian,Korean,Malayalam,Manchu,Nanai,North Azerbaijani,Northern Uzbek,Sakha,Tamil,Tatar,Telugu,Turkish
2.220446049250313081e-16,9.095667140858519906e-01,8.814321445395814081e-01,8.730210925843089331e-01,1.186443132542736034e+00,8.882902272052728421e-01,9.641021809218950356e-01,8.766704523240403946e-01,9.873087963049487215e-01,9.509051453907040319e-01,9.102063007324686650e-01,1.000000000000000000e+00,8.605813006617129002e-01,1.119956467316801874e+00,9.690880612054955101e-01,9.342005365111559767e-01,9.741235716529199617e-01,7.508936284249450033e-01,9.012416532281953829e-01,1.089247138178611518e+00
9.095667140858519906e-01,2.220446049250313081e-16,8.835742866232838555e-01,9.791237472203717651e-01,1.324633125618117413e+00,9.770838175042766416e-01,9.426829510697241066e-01,9.866682658953007667e-01,1.000000000000000000e+00,9.927728071962439449e-01,9.925044979709527482e-01,9.735774693064210839e-01,9.841548970352486103e-01,1.251455779337209862e+00,9.828047075791077614e-01,9.968342440390491888e-01,9.432535632605205667e-01,9.050853724244580789e-01,9.502325028603439971e-01,1.024288930401451081e+00
8.814321445395814081e-01,8.835742866232838555e-01,0.000000000000000000e+00,9.634856412779500001e-01,1.210610794490036168e+00,8.076085430283223010e-01,8.843570186441728209e-01,9.425802852208159388e-01,9.611475404567559888e-01,9.525345603731051325e-01,9.774511545831688908e-01,8.983085638714318755e-01,9.690827598347816485e-01,1.173586697932654133e+00,9.800117739691601715e-01,9.621034448887050283e-01,9.221900675189930174e-01,8.400786228365104691e-01,9.244363847920361588e-01,9.107280017621375290e-01
8.730210925843089331e-01,9.791237472203717651e-01,9.634856412779500001e-01,3.330669073875469621e-16,1.458439435067565348e+00,9.616312961117234881e-01,8.941883414830753551e-01,9.816687299114791321e-01,9.747143992436547721e-01,8.585261003017051751e-01,9.668256510296664441e-01,9.869624146089670536e-01,8.541415356537808146e-01,1.346431331426891864e+00,9.531754702614997354e-01,1.000000000000000000e+00,9.332723800304304484e-01,9.631192486600551605e-01,9.034606025286525677e-01,1.180923044003333144e+00
1.186443132542736034e+00,1.324633125618117413e+00,1.210610794490036168e+00,1.458439435067565348e+00,-2.220446049250313081e-16,1.410701874332383365e+00,1.341121471561930623e+00,1.275150262476940410e+00,1.344076214248774548e+00,1.389388014991472353e+00,1.460344587830347152e+00,1.428280806341573062e+00,1.249977374971891209e+00,1.302509086942445382e+00,1.389307836245294858e+00,1.471134182451095729e+00,1.249788503602175638e+00,1.248118600066924877e+00,1.283474559854733243e+00,1.404039452311621305e+00
8.882902272052728421e-01,9.770838175042766416e-01,8.076085430283223010e-01,9.616312961117234881e-01,1.410701874332383365e+00,4.440892098500626162e-16,9.338519006743815076e-01,9.819556036444336833e-01,9.814106061322481755e-01,8.920984881128770638e-01,1.000000000000000000e+00,9.630525596782056885e-01,9.701636987506566667e-01,1.320725735787407151e+00,8.992543607880205681e-01,9.017566970121873027e-01,9.110752141434246276e-01,8.557003853280468197e-01,5.292235031102487941e-01,1.165596457074879799e+00
9.641021809218950356e-01,9.426829510697241066e-01,8.843570186441728209e-01,8.941883414830753551e-01,1.341121471561930623e+00,9.338519006743815076e-01,3.330669073875469621e-16,9.225059035158035270e-01,9.720069394400026042e-01,9.495887232735041872e-01,9.151679171969846482e-01,9.653678834483715443e-01,9.107651194589797550e-01,1.284194969724714586e+00,8.713073644131282824e-01,9.834117590473097081e-01,5.913881905815860929e-01,9.554739076683083088e-01,9.572841347898854991e-01,1.201620983223314898e+00
8.766704523240403946e-01,9.866682658953007667e-01,9.425802852208159388e-01,9.816687299114791321e-01,1.275150262476940410e+00,9.819556036444336833e-01,9.225059035158035270e-01,1.110223024625156540e-16,9.296836559285275303e-01,8.326296939064462554e-01,9.819278332506126139e-01,9.643143053090482697e-01,9.425392378890087297e-01,1.223778460454101547e+00,9.427264414792299041e-01,1.000000000000000000e+00,9.754646367264986351e-01,8.161867508649129910e-01,9.722836462730418683e-01,1.080792926656192865e+00
9.873087963049487215e-01,1.000000000000000000e+00,9.611475404567559888e-01,9.747143992436547721e-01,1.344076214248774548e+00,9.814106061322481755e-01,9.720069394400026042e-01,9.296836559285275303e-01,2.058678554584039699e-01,9.602205469512095082e-01,8.976102365552065532e-01,9.814903773198915271e-01,8.949137542548386559e-01,1.172115608711994827e+00,9.294462422121787526e-01,9.259188661617290261e-01,9.702281176245554084e-01,8.389959139749151307e-01,9.567650691469624658e-01,1.131908225246942123e+00
9.509051453907040319e-01,9.927728071962439449e-01,9.525345603731051325e-01,8.585261003017051751e-01,1.389388014991472353e+00,8.920984881128770638e-01,9.495887232735041872e-01,8.326296939064462554e-01,9.602205469512095082e-01,-2.220446049250313081e-16,9.880603580394449192e-01,9.650405568155409064e-01,8.825674193909092136e-01,1.274926682496427155e+00,8.439769380855749459e-01,9.815139327649451406e-01,9.669718739290547038e-01,8.112013598857403807e-01,8.277989844094233440e-01,1.125775998638575803e+00
