# Bashkir,Buryat,Chuvash,Evenki,Japanese,Kalmyk,Kannada,Kazakh,Khalkha Mongolian,Korean,Malayalam,Manchu,Nanai,North Azerbaijani,Northern Uzbek,Sakha,Tamil,Tatar,Telugu,Turkish
1.110223024625156540e-16,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,9.575949596869348657e-01,1.000000000000000000e+00,1.000000000000000000e+00,8.061495065924528802e-01,1.000000000000000000e+00,9.794530640653710263e-01,1.000000000000000000e+00,9.256117006079492837e-01,9.626447642580551189e-01,8.874382422760866973e-01,1.000000000000000000e+00,9.165561200774198225e-01,1.000000000000000000e+00,2.157406792372065230e-01,1.000000000000000000e+00,1.000000000000000000e+00
1.000000000000000000e+00,1.110223024625156540e-16,8.684047192590025332e-01,1.000000000000000000e+00,8.785096027122686335e-01,9.050591228927477028e-01,8.972615822862233248e-01,9.872756771417805499e-01,6.520947349088344058e-01,9.280369980855877055e-01,8.908036453812118172e-01,9.350129983184525262e-01,8.936888328647277779e-01,9.050640965339719068e-01,8.974907447284897755e-01,8.825681737552930617e-01,8.995475180395166026e-01,9.940422737921045249e-01,9.011589762405292081e-01,9.446744280323723375e-01
1.000000000000000000e+00,8.684047192590025332e-01,0.000000000000000000e+00,1.000000000000000000e+00,9.396754030909119093e-01,9.777507684934372278e-01,9.446265326743011892e-01,9.870319556846188780e-01,9.421079726051975189e-01,1.000000000000000000e+00,9.504584942139677750e-01,9.570817092857708541e-01,1.000000000000000000e+00,9.058816167009028364e-01,1.000000000000000000e+00,1.000000000000000000e+00,9.699501536272294722e-01,1.000000000000000000e+00,9.351032072756659819e-01,1.000000000000000000e+00
1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.110223024625156540e-16,1.000000000000000000e+00,1.000000000000000000e+00,8.917208291932688935e-01,1.018129422145076513e+00,9.978801954963951726e-01,9.088479937077137416e-01,9.865399001804312507e-01,7.931852123952860545e-01,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,8.793695924985941437e-01,1.000000000000000000e+00,8.748664228277178712e-01,9.988435991992292706e-01
9.575949596869348657e-01,8.785096027122686335e-01,9.396754030909119093e-01,1.000000000000000000e+00,0.000000000000000000e+00,9.583107785262701128e-01,9.844516411639927522e-01,9.637169654226610538e-01,8.884185727854330139e-01,9.074625451508613327e-01,9.502876505430793985e-01,9.937687192993821528e-01,9.604506359553572903e-01,9.355428731060323466e-01,1.000000000000000000e+00,1.000000000000000000e+00,9.701616895114444361e-01,9.700765186461036693e-01,9.479759448654552223e-01,9.796825409846061650e-01
1.000000000000000000e+00,9.050591228927477028e-01,9.777507684934372278e-01,1.000000000000000000e+00,9.583107785262701128e-01,0.000000000000000000e+00,9.562874600317455842e-01,1.003042216343942528e+00,6.208389358304716721e-01,1.000000000000000000e+00,9.805326827051157323e-01,9.127525316948887912e-01,8.400916752623901473e-01,1.000000000000000000e+00,9.848523588757237546e-01,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,9.918112303046829892e-01,9.267850021407784133e-01
1.000000000000000000e+00,8.972615822862233248e-01,9.446265326743011892e-01,8.917208291932688935e-01,9.844516411639927522e-01,9.562874600317455842e-01,0.000000000000000000e+00,9.437692092715563863e-01,9.596073678724765799e-01,9.899209970687758986e-01,4.815271766971047640e-01,9.627361516201520253e-01,9.730419494335117436e-01,9.288621471196554236e-01,9.199839934027805866e-01,9.363519400199369347e-01,3.102686616964958066e-01,1.000000000000000000e+00,2.970925800299530906e-01,8.868832626631152349e-01
8.061495065924528802e-01,9.872756771417805499e-01,9.870319556846188780e-01,1.018129422145076513e+00,9.637169654226610538e-01,1.003042216343942528e+00,9.437692092715563863e-01,7.441218064895575024e-01,9.684902676606610417e-01,9.049159993805107050e-01,9.311103732058423343e-01,9.893526733625350733e-01,9.345753865805247473e-01,8.716972535012238454e-01,8.284046694387764420e-01,9.940244837162079961e-01,9.439425000616281647e-01,7.933865026049851110e-01,9.424825837832854214e-01,9.733240557437012885e-01
1.000000000000000000e+00,6.520947349088344058e-01,9.421079726051975189e-01,9.978801954963951726e-01,8.884185727854330139e-01,6.208389358304716721e-01,9.596073678724765799e-01,9.684902676606611527e-01,5.000000000000000000e-01,9.731002387506237916e-01,9.151100766248885243e-01,9.226670832046164339e-01,9.176463004618158337e-01,9.085524490905649841e-01,8.895984883998973025e-01,9.540825056568225104e-01,9.632547840235532455e-01,1.000000000000000000e+00,9.389720116348627688e-01,8.651897595312239009e-01
9.794530640653710263e-01,9.280369980855877055e-01,1.000000000000000000e+00,9.088479937077137416e-01,9.074625451508613327e-01,1.000000000000000000e+00,9.899209970687758986e-01,9.049159993805107050e-01,9.731002387506237916e-01,0.000000000000000000e+00,9.304653523842519869e-01,9.801447112042377396e-01,1.000000000000000000e+00,8.488388245497415774e-01,9.120746696450457991e-01,9.965041133874076307e-01,9.275213465501829235e-01,1.000000000000000000e+00,9.912907168198480390e-01,9.038697947536532551e-01
