# Bashkir,Buryat,Chuvash,Evenki,Japanese,Kalmyk,Kannada,Kazakh,Khalkha Mongolian,Korean,Malayalam,Manchu,Nanai,North Azerbaijani,Northern Uzbek,Sakha,Tamil,Tatar,Telugu,Turkish
3.330669073875469621e-16,7.402114223872404697e-01,6.949566197212464491e-01,8.801375285150719874e-01,9.061690811880068752e-01,7.506475542597199624e-01,7.473200087487148480e-01,4.464358147596863002e-01,7.675747997639128517e-01,9.472723336458727106e-01,9.552409986799491604e-01,8.083253991894111534e-01,7.871773685180933899e-01,6.410217866253122843e-01,8.772073546143880352e-01,7.238939633884564628e-01,7.746116398334577102e-01,5.068418281814034421e-01,8.774546243912425547e-01,5.605038066225873639e-01
7.402114223872404697e-01,2.220446049250313081e-16,7.577801397081675994e-01,9.475891205927012839e-01,9.009908529061685378e-01,6.607179232864209828e-01,7.662557283467320568e-01,7.279204272160488820e-01,5.173212178031859620e-01,9.409565079947131983e-01,9.602301308828424808e-01,7.548253373517022080e-01,7.460091300543925108e-01,7.512999319751541005e-01,9.374037564024370051e-01,8.110156590702051194e-01,8.997306223118510804e-01,7.502714842589712774e-01,9.227299161439510566e-01,7.825267575128976860e-01
6.949566197212464491e-01,7.577801397081675994e-01,0.000000000000000000e+00,9.571779365198825884e-01,9.657290350863153572e-01,6.983335354690178853e-01,9.183927057138259187e-01,5.436825270316401060e-01,7.584634078040619620e-01,9.458278675304770955e-01,1.000000000000000000e+00,8.941497299155406475e-01,8.404855194855902489e-01,6.578353456835106527e-01,9.772025828483498211e-01,7.524554801040767016e-01,9.157407173864672290e-01,5.940247960412732287e-01,9.162981050627938551e-01,6.672696201404183514e-01
8.801375285150719874e-01,9.475891205927012839e-01,9.571779365198825884e-01,3.672774466545590810e-01,9.357423639049375907e-01,9.538000158265200756e-01,8.950270999262814886e-01,9.220428782236840259e-01,8.631801751565483238e-01,9.297979913185956402e-01,7.865343280576371221e-01,9.239411272251000229e-01,8.419966831312437616e-01,8.646723615909281957e-01,9.671923138003526432e-01,9.589478517074351283e-01,8.993576002191254748e-01,8.285150668850014277e-01,8.999286414752065699e-01,8.429740707151649470e-01
9.061690811880068752e-01,9.009908529061685378e-01,9.657290350863153572e-01,9.357423639049375907e-01,1.110223024625156540e-16,9.426615735532684059e-01,9.056772708288285401e-01,9.014114936454591387e-01,8.687331850862723970e-01,9.301381468127067897e-01,9.999518559160509579e-01,9.125642847886330511e-01,8.269612529306229476e-01,7.674417513413525072e-01,9.586825247407897432e-01,8.546805188018629096e-01,8.856779113194490627e-01,8.287493165851018695e-01,8.676066718809670730e-01,7.943228517281316625e-01
7.506475542597199624e-01,6.607179232864209828e-01,6.983335354690178853e-01,9.538000158265198536e-01,9.426615735532684059e-01,1.709117755153673202e-01,8.020922481296997031e-01,6.862004585929768474e-01,3.977505975956289186e-01,9.418595188035501220e-01,9.053978591209942417e-01,7.400684877002652318e-01,8.795435163042750748e-01,7.659173672301535785e-01,7.898552577492992111e-01,9.535074804840217855e-01,9.514379442279543575e-01,7.478456077129401747e-01,9.646496468658121159e-01,7.500966178511410121e-01
7.473200087487148480e-01,7.662557283467320568e-01,9.183927057138259187e-01,8.950270999262814886e-01,9.056772708288285401e-01,8.020922481296997031e-01,0.000000000000000000e+00,7.726283756972844863e-01,6.292773416609207526e-01,9.165683917273710346e-01,7.721672011324282048e-01,7.618345416757201782e-01,7.743051112109744505e-01,8.460675547106244476e-01,9.081360332287407022e-01,7.900214542224914815e-01,8.619716991259747108e-01,8.045711970631206356e-01,9.975453177746147482e-01,6.922076732446342806e-01
4.464358147596863002e-01,7.279204272160488820e-01,5.436825270316401060e-01,9.220428782236840259e-01,9.014114936454591387e-01,6.862004585929768474e-01,7.726283756972844863e-01,-2.220446049250313081e-16,6.873490903728747270e-01,9.495240209083124494e-01,9.588707770999741475e-01,8.287312602265002326e-01,8.101597997115003169e-01,4.990750306193633135e-01,8.942645244514502156e-01,6.793704805742976083e-01,8.089998338192432303e-01,3.344247967341643646e-01,8.774491132926718340e-01,5.000174535859216451e-01
7.675747997639128517e-01,5.173212178031859620e-01,7.584634078040619620e-01,8.631801751565483238e-01,8.687331850862723970e-01,3.977505975956289186e-01,6.292773416609207526e-01,6.873490903728747270e-01,0.000000000000000000e+00,9.281892420962117862e-01,7.905303586134833083e-01,6.956890261679380405e-01,8.572228766109852849e-01,7.801903014405324743e-01,9.738625320244542749e-01,1.000000000000000000e+00,8.182967989114476870e-01,7.477722453507364975e-01,1.000000000000000000e+00,7.414790413682074144e-01
9.472723336458727106e-01,9.409565079947131983e-01,9.458278675304770955e-01,9.297979913185956402e-01,9.301381468127067897e-01,9.418595188035501220e-01,9.165683917273710346e-01,9.495240209083124494e-01,9.281892420962117862e-01,2.220446049250313081e-16,9.486740433893549040e-01,8.467560683720074532e-01,9.661169744571715956e-01,9.105443178676559945e-01,9.433395772254680178e-01,1.000000000000000000e+00,1.000000000000000000e+00,9.059615331549133455e-01,9.674566323701310200e-01,8.064687751886239209e-01
