# Bashkir,Buryat,Chuvash,Evenki,Japanese,Kalmyk,Kannada,Kazakh,Khalkha Mongolian,Korean,Malayalam,Manchu,Nanai,North Azerbaijani,Northern Uzbek,Sakha,Tamil,Tatar,Telugu,Turkish
2.220446049250313081e-16,8.819492644059925279e-01,9.745365565663623997e-01,7.796038835626941665e-01,8.002442781291037033e-01,8.742811702739232693e-01,5.962194417462984841e-01,7.233012571534778168e-01,9.844296397507303897e-01,9.750046691253914100e-01,8.950452704084538302e-01,9.838337416263911450e-01,6.347537415850086351e-01,9.708122962212024643e-01,8.348752183107109870e-01,9.640237363262859072e-01,9.730233293904488878e-01,7.842900635552195743e-01,9.719867627243100605e-01,9.609061463025182492e-01
8.819492644059925279e-01,2.525278377693160881e-01,8.376177377498124077e-01,8.446201794234671212e-01,9.081199472221563873e-01,8.495948367873896734e-01,8.543131723613250905e-01,9.015996720800725228e-01,6.744172799273326913e-01,9.250368673698405875e-01,9.028288780413562531e-01,8.958485753148601738e-01,9.103840896846063790e-01,9.226534582958665354e-01,8.653965932366742830e-01,8.990923802729257064e-01,1.005349886684628657e+00,8.453202875103933422e-01,9.797800132260860995e-01,9.228530976831046395e-01
9.745365565663623997e-01,8.376177377498124077e-01,0.000000000000000000e+00,9.251382752037737855e-01,9.003171473833917471e-01,9.620775831442909265e-01,9.213563820126361437e-01,9.577095257913075255e-01,8.425824727485790033e-01,9.771094763467762512e-01,9.835305547408010884e-01,8.328612412347726757e-01,8.437013214773936287e-01,9.528729615246350759e-01,1.000000000000000000e+00,9.510433504838639029e-01,1.050242747751447547e+00,9.455985605746041189e-01,9.831344123195999707e-01,9.515521433127652751e-01
7.796038835626941665e-01,8.446201794234671212e-01,9.251382752037737855e-01,1.110223024625156540e-16,8.807740493537434823e-01,9.617790531778119822e-01,8.021691989110418808e-01,8.404151979401440764e-01,7.875451327601796780e-01,9.628431098044689662e-01,9.790683926992680419e-01,8.532237172318541951e-01,7.584607906744302852e-01,1.000000000000000000e+00,1.000000000000000000e+00,9.121951631607281286e-01,1.188593858302600559e+00,8.420300021971138804e-01,9.596974261475669232e-01,1.000000000000000000e+00
8.002442781291037033e-01,9.081199472221563873e-01,9.003171473833917471e-01,8.807740493537434823e-01,4.494818122211136080e-01,9.306708198943179911e-01,7.936798684155919048e-01,8.586273046412797871e-01,9.221088242403706614e-01,9.025028757017256043e-01,9.053149677899545722e-01,8.836212965305938472e-01,8.361094977140770546e-01,9.081337357646768194e-01,8.535247035219620804e-01,9.599192054550670372e-01,1.018182482475784578e+00,8.779170319534927991e-01,9.875269847860029815e-01,9.028426424823726704e-01
8.742811702739232693e-01,8.495948367873896734e-01,9.620775831442909265e-01,9.617790531778119822e-01,9.306708198943179911e-01,0.000000000000000000e+00,8.756613462752460553e-01,8.738663586803842032e-01,8.663597817254611311e-01,9.165596347701779889e-01,9.156474947155937016e-01,9.715701184174185823e-01,9.320649564490612882e-01,9.290879784763875771e-01,8.716101650182032090e-01,9.017907640917101064e-01,1.165337803528546212e+00,8.862682880179620915e-01,9.675932690633313182e-01,9.400632879758578087e-01
5.962194417462984841e-01,8.543131723613250905e-01,9.213563820126361437e-01,8.021691989110418808e-01,7.936798684155919048e-01,8.756613462752460553e-01,0.000000000000000000e+00,7.854368358479799639e-01,8.442869684333503821e-01,1.000000000000000000e+00,8.748345789629303759e-01,7.105394864376202158e-01,7.282991367464355381e-01,8.884742476483502571e-01,9.098514142555741424e-01,9.497338144457819764e-01,8.632491636151850001e-01,8.247985034599559784e-01,1.000000000000000000e+00,8.727412435019367143e-01
7.233012571534778168e-01,9.015996720800725228e-01,9.577095257913075255e-01,8.404151979401440764e-01,8.586273046412797871e-01,8.738663586803842032e-01,7.854368358479799639e-01,0.000000000000000000e+00,8.654850933429421023e-01,9.835076236509275871e-01,9.148940682947664937e-01,9.480839077962429640e-01,7.658003742189772867e-01,9.482466961676081496e-01,9.094445706021844211e-01,8.273031864836219995e-01,1.038256502888009969e+00,5.378744894768947571e-01,8.905049442542659621e-01,9.659457221879272915e-01
9.844296397507303897e-01,6.744172799273326913e-01,8.425824727485790033e-01,7.875451327601796780e-01,9.221088242403706614e-01,8.663597817254611311e-01,8.442869684333503821e-01,8.654850933429421023e-01,3.521103451541214846e-01,9.646484088987252736e-01,8.643678064309194831e-01,8.161993677235751532e-01,9.064133883237246447e-01,9.142498722839988989e-01,9.730164855312890548e-01,8.953550016830220670e-01,1.044202920429330161e+00,9.005332554152316593e-01,9.919085776786545905e-01,8.964434775994669646e-01
9.750046691253914100e-01,9.250368673698405875e-01,9.771094763467762512e-01,9.628431098044689662e-01,9.025028757017256043e-01,9.165596347701779889e-01,1.000000000000000000e+00,9.835076236509275871e-01,9.646484088987252736e-01,-2.220446049250313081e-16,9.298770682303143520e-01,9.147576855217376401e-01,8.978730006611636005e-01,9.598705738360117090e-01,9.499324848300491064e-01,9.884067629744706096e-01,1.092962586062514507e+00,8.891640800853152227e-01,9.929417372465844105e-01,9.483787120412221494e-01
8.950452704084538302e-01,9.028288780413562531e-01,9.835305547408010884e-01,9.790683926992680419e-01,9.053149677899545722e-01,9.156474947155937016e-01,8.748345789629303759e-01,9.148940682947664937e-01,8.643678064309194831e-01,9.298770682303143520e-01,2.220446049250313081e-16,9.411018104652463245e-01,8.512045229577143157e-01,9.343492895196634507e-01,9.388830305865042414e-01,9.352419325018722640e-01,1.038282046111607571e+00,9.045991138175177859e-01,8.328683153313989340e-01,8.596252866471009169e-01
9.838337416263911450e-01,8.958485753148601738e-01,8.328612412347726757e-01,8.532237172318541951e-01,8.836212965305938472e-01,9.715701184174185823e-01,7.105394864376202158e-01,9.480839077962429640e-01,8.161993677235751532e-01,9.147576855217376401e-01,9.411018104652463245e-01,-2.220446049250313081e-16,9.569660602956101547e-01,1.000000000000000000e+00,9.901655716317647737e-01,9.656390288065924699e-01,9.856202594739894574e-01,8.767896328418834928e-01,9.890967022425056765e-01,1.000000000000000000e+00
6.347537415850086351e-01,9.103840896846063790e-01,8.437013214773936287e-01,7.584607906744302852e-01,8.361094977140770546e-01,9.320649564490612882e-01,7.282991367464355381e-01,7.658003742189772867e-01,9.064133883237246447e-01,8.978730006611636005e-01,8.512045229577143157e-01,9.569660602956101547e-01,0.000000000000000000e+00,9.958941305858599602e-01,9.590571966715032426e-01,9.090315526844481298e-01,1.109578159718001222e+00,7.473458352329179766e-01,9.340192547499547304e-01,9.633002150315010947e-01
9.708122962212024643e-01,9.226534582958665354e-01,9.528729615246350759e-01,1.000000000000000000e+00,9.081337357646768194e-01,9.290879784763875771e-01,8.884742476483502571e-01,9.482466961676081496e-01,9.142498722839988989e-01,9.598705738360117090e-01,9.343492895196634507e-01,1.000000000000000000e+00,9.958941305858599602e-01,0.000000000000000000e+00,6.819706283760680332e-01,9.954003554390643549e-01,1.173969916949418657e+00,9.678640328616171518e-01,1.000000000000000000e+00,1.271405417040193386e-01
8.348752183107109870e-01,8.653965932366742830e-01,1.000000000000000000e+00,1.000000000000000000e+00,8.535247035219620804e-01,8.716101650182032090e-01,9.098514142555741424e-01,9.094445706021844211e-01,9.730164855312890548e-01,9.499324848300491064e-01,9.388830305865042414e-01,9.901655716317647737e-01,9.590571966715032426e-01,6.819706283760680332e-01,2.220446049250313081e-16,9.928397166531756080e-01,1.131168999461299007e+00,9.462240686728662364e-01,9.705260234223570537e-01,6.157111719773795677e-01
9.640237363262859072e-01,8.990923802729255954e-01,9.510433504838639029e-01,9.121951631607281286e-01,9.599192054550670372e-01,9.017907640917101064e-01,9.497338144457819764e-01,8.273031864836219995e-01,8.953550016830220670e-01,9.884067629744706096e-01,9.352419325018722640e-01,9.656390288065924699e-01,9.090315526844481298e-01,9.954003554390643549e-01,9.928397166531756080e-01,6.646501080158631058e-01,1.098444443618746824e+00,9.043891218293763634e-01,9.618256283956322372e-01,9.857375367469315419e-01
9.730233293904488878e-01,1.005349886684628657e+00,1.050242747751447547e+00,1.188593858302600559e+00,1.018182482475784578e+00,1.165337803528546212e+00,8.632491636151850001e-01,1.038256502888009969e+00,1.044202920429330161e+00,1.092962586062514507e+00,1.038282046111607571e+00,9.856202594739894574e-01,1.109578159718001222e+00,1.173969916949418657e+00,1.131168999461299007e+00,1.098444443618746824e+00,0.000000000000000000e+00,1.038591838878803575e+00,1.101001435340776879e+00,1.215481923635548522e+00
7.842900635552195743e-01,8.453202875103932312e-01,9.455985605746041189e-01,8.420300021971138804e-01,8.779170319534927991e-01,8.862682880179620915e-01,8.247985034599559784e-01,5.378744894768947571e-01,9.005332554152316593e-01,8.891640800853152227e-01,9.045991138175177859e-01,8.767896328418834928e-01,7.473458352329179766e-01,9.678640328616171518e-01,9.462240686728662364e-01,9.043891218293763634e-01,1.038591838878803575e+00,3.413574355558678386e-01,9.523178927961792883e-01,9.561391660471822984e-01
9.719867627243100605e-01,9.797800132260860995e-01,9.831344123195999707e-01,9.596974261475669232e-01,9.875269847860029815e-01,9.675932690633313182e-01,1.000000000000000000e+00,8.905049442542659621e-01,9.919085776786545905e-01,9.929417372465844105e-01,8.328683153313989340e-01,9.890967022425056765e-01,9.340192547499547304e-01,1.000000000000000000e+00,9.705260234223570537e-01,9.618256283956322372e-01,1.101001435340776879e+00,9.523178927961792883e-01,0.000000000000000000e+00,1.000000000000000000e+00
9.609061463025182492e-01,9.228530976831046395e-01,9.515521433127652751e-01,1.000000000000000000e+00,9.028426424823726704e-01,9.400632879758578087e-01,8.727412435019367143e-01,9.659457221879272915e-01,8.964434775994669646e-01,9.483787120412221494e-01,8.596252866471009169e-01,1.000000000000000000e+00,9.633002150315010947e-01,1.271405417040193386e-01,6.157111719773795677e-01,9.857375367469315419e-01,1.215481923635548522e+00,9.561391660471822984e-01,1.000000000000000000e+00,2.220446049250313081e-16
