# Bashkir,Buryat,Chuvash,Evenki,Japanese,Kalmyk,Kannada,Kazakh,Khalkha Mongolian,Korean,Malayalam,Manchu,Nanai,North Azerbaijani,Northern Uzbek,Sakha,Tamil,Tatar,Telugu,Turkish
1.110223024625156540e-16,9.974463843282005415e-01,9.564094837959397077e-01,7.027670988638057281e-01,1.259968899785567364e+00,9.024058023962970854e-01,9.760942038199688087e-01,7.947551065696192296e-01,9.369625597410777829e-01,9.103021845274080759e-01,1.000000000000000000e+00,9.289138244535590783e-01,8.249802882408047155e-01,7.376671212587525561e-01,8.761276217582731896e-01,5.652946216435574822e-01,9.338854904523470335e-01,2.033539812601572461e-01,9.727115332433544648e-01,9.047334229938730488e-01
9.974463843282005415e-01,-2.220446049250313081e-16,9.632405194646526114e-01,1.000000000000000000e+00,1.010424779090631553e+00,1.000000000000000000e+00,1.000000000000000000e+00,8.235927720100176819e-01,6.783289695343945880e-01,9.448366204564135895e-01,7.982764608444165022e-01,9.354170871361993100e-01,9.624415454191843633e-01,9.786464009469766356e-01,8.862682463250270981e-01,1.000000000000000000e+00,9.279842120604806510e-01,9.941532561458377160e-01,8.821671402334223533e-01,8.827402397334043194e-01
9.564094837959397077e-01,9.632405194646526114e-01,2.220446049250313081e-16,9.859920645583541976e-01,1.172023030987636050e+00,1.000000000000000000e+00,1.000000000000000000e+00,9.380550160255740622e-01,9.925218036109094699e-01,9.696671433068322354e-01,8.346474849651450700e-01,6.086653930534640100e-01,8.619936940697698891e-01,8.552881764744731941e-01,9.507458716107524133e-01,9.572396450229591069e-01,8.590626468846995767e-01,9.400484200467126294e-01,8.880474652991351414e-01,9.727121294001196405e-01
7.027670988638057281e-01,1.000000000000000000e+00,9.859920645583541976e-01,0.000000000000000000e+00,1.448031154715705870e+00,9.748905222379412594e-01,8.730258848886502943e-01,9.391363750185892645e-01,9.939908795875624925e-01,8.870845058902303570e-01,1.000000000000000000e+00,8.758334319178073812e-01,9.267232595038499277e-01,9.778984836059704255e-01,9.567975843946660008e-01,9.745611935054694364e-01,9.764574502932816813e-01,9.774239819729175771e-01,9.696811674404463011e-01,6.785260815677323087e-01
1.259968899785567364e+00,1.010424779090631553e+00,1.172023030987636050e+00,1.448031154715705870e+00,2.220446049250313081e-16,1.102764770399794925e+00,1.191300794914820882e+00,1.062574549755241460e+00,9.111117064476188521e-01,1.144194411855038451e+00,8.551579293380683344e-01,1.234007365261399425e+00,1.288401773993487653e+00,1.288709173557647913e+00,1.086851202855283471e+00,1.290861874013091271e+00,1.336181987457904841e+00,1.238863011125602043e+00,1.366252749076343642e+00,1.192745773819186672e+00
9.024058023962970854e-01,1.000000000000000000e+00,1.000000000000000000e+00,9.748905222379412594e-01,1.102764770399794925e+00,1.110223024625156540e-16,9.018501608248806756e-01,6.137553212214492682e-01,9.953772500855022631e-01,9.321031504847934190e-01,9.111359283534596898e-01,9.018450120463386011e-01,9.508738081778919105e-01,9.278796525199694001e-01,9.367308448728798309e-01,9.167011392256205760e-01,9.454003081495259142e-01,9.144093893695823816e-01,1.000000000000000000e+00,8.759705916857783992e-01
9.760942038199688087e-01,1.000000000000000000e+00,1.000000000000000000e+00,8.730258848886502943e-01,1.191300794914820882e+00,9.018501608248806756e-01,1.110223024625156540e-16,1.000000000000000000e+00,9.848642493379629048e-01,1.000000000000000000e+00,1.000000000000000000e+00,9.578218218208349732e-01,1.000000000000000000e+00,9.850307400707094541e-01,1.000000000000000000e+00,9.672168813586978775e-01,9.904457452677994933e-01,9.613183137995823246e-01,1.000000000000000000e+00,9.851302980521103869e-01
7.947551065696192296e-01,8.235927720100176819e-01,9.380550160255740622e-01,9.391363750185892645e-01,1.062574549755241460e+00,6.137553212214492682e-01,1.000000000000000000e+00,5.000000000000000000e-01,7.935298767761969074e-01,8.381303818876411071e-01,9.075761696609898621e-01,9.580232592252233559e-01,8.939697899238132628e-01,8.855597901403555738e-01,9.294198921195351293e-01,9.805328255160906670e-01,9.533034853724642321e-01,7.907768322505925873e-01,9.072171384995091348e-01,9.087628062371390092e-01
9.369625597410777829e-01,6.783289695343945880e-01,9.925218036109094699e-01,9.939908795875624925e-01,9.111117064476188521e-01,9.953772500855022631e-01,9.848642493379629048e-01,7.935298767761969074e-01,3.498878645421307776e-01,8.645186488595667518e-01,8.552864399377086979e-01,9.169569818942823192e-01,9.532659351845100826e-01,9.746890125962333062e-01,5.568711291708837718e-01,9.368550779932954820e-01,9.222149781033728289e-01,8.967634896488432261e-01,9.319078150157020790e-01,8.828312846603704189e-01
9.103021845274080759e-01,9.448366204564135895e-01,9.696671433068322354e-01,8.870845058902303570e-01,1.144194411855038451e+00,9.321031504847934190e-01,1.000000000000000000e+00,8.381303818876411071e-01,8.645186488595667518e-01,-2.220446049250313081e-16,8.407084082004828707e-01,8.897194834942643293e-01,8.653686525655729378e-01,9.634799375141768207e-01,9.953214335362600140e-01,9.173292008496395367e-01,9.773834053691650148e-01,9.170523780060317875e-01,9.881510366758073927e-01,9.487436973405937168e-01
