# Bashkir,Buryat,Chuvash,Evenki,Japanese,Kalmyk,Kannada,Kazakh,Khalkha Mongolian,Korean,Malayalam,Manchu,Nanai,North Azerbaijani,Northern Uzbek,Sakha,Tamil,Tatar,Telugu,Turkish
0.000000000000000000e+00,1.154424501251878787e+00,8.567687013880709301e-01,9.251754501840792067e-01,9.046860243268881607e-01,9.996918898097202355e-01,9.451858212508744694e-01,8.308089177729366392e-01,9.367812390883212270e-01,1.000000000000000000e+00,9.611421820839459729e-01,1.013433706250378874e+00,9.158033064826158753e-01,1.095581388595981753e+00,6.600115377785730209e-01,8.712589178289397163e-01,1.000000000000000000e+00,4.577830658371435657e-01,9.785655988894551571e-01,6.401636753210677711e-01
1.154424501251878787e+00,-2.220446049250313081e-16,1.045648011928907106e+00,1.131939080057988711e+00,1.102260031780693872e+00,1.079858980515036926e+00,9.912239537551202906e-01,1.170989583632483511e+00,1.127217456588347044e+00,1.064318215351659491e+00,1.202831224448533298e+00,1.015873101291090208e+00,1.178976244278798768e+00,1.125353347765139178e+00,9.543393632083952971e-01,1.239165692290720600e+00,1.115394955799488441e+00,9.978948337198590979e-01,1.192763855033158293e+00,1.035842559674337471e+00
8.567687013880709301e-01,1.045648011928907106e+00,0.000000000000000000e+00,8.832774996786463273e-01,8.825093152337798452e-01,9.628849069110827497e-01,9.102703999288664916e-01,8.239187054969857593e-01,1.000000000000000000e+00,8.151126179876164723e-01,9.461909376121769855e-01,1.073811615236995198e+00,1.000000000000000000e+00,9.628730409931796075e-01,7.928147298924912434e-01,8.250693359316462194e-01,9.504794532837189669e-01,7.292900816827867505e-01,9.041253897725922695e-01,7.759684068623814435e-01
9.251754501840792067e-01,1.131939080057988711e+00,8.832774996786463273e-01,2.206336355295831497e-01,9.207798260510451360e-01,9.478690458466522140e-01,8.407813044447902673e-01,9.418727309202731268e-01,9.311571450586808574e-01,8.439222324973478795e-01,9.263316018614324854e-01,9.314723089605245754e-01,8.476944531586113607e-01,1.293590672156795351e+00,1.000000000000000000e+00,7.298617908027560386e-01,8.600279650114266428e-01,9.478310915766600120e-01,8.666838261231626372e-01,9.796022036126159627e-01
9.046860243268881607e-01,1.102260031780693872e+00,8.825093152337798452e-01,9.207798260510451360e-01,5.000000000000000000e-01,9.863183713102403605e-01,8.514422298487764884e-01,9.454349187618494854e-01,9.124961176786654526e-01,8.163150826549036010e-01,8.752289399736574715e-01,1.048971308995390928e+00,9.769494305810131340e-01,1.310376141901274494e+00,9.231756522434950707e-01,8.964742336262494504e-01,8.220423748615990345e-01,9.193406890497883843e-01,8.502925842604098783e-01,9.146152412117802832e-01
9.996918898097202355e-01,1.079858980515036926e+00,9.628849069110827497e-01,9.478690458466522140e-01,9.863183713102403605e-01,2.642341129632922447e-01,1.000000000000000000e+00,9.252545039457524823e-01,6.879056724448886495e-01,1.000000000000000000e+00,9.527571739845859256e-01,1.138677076925364240e+00,9.446594801757500770e-01,1.142977533152985004e+00,9.659252333330111684e-01,9.904719330276501310e-01,9.082498932553730864e-01,9.115306504334427240e-01,9.608437610939306595e-01,9.250742266545806114e-01
9.451858212508744694e-01,9.912239537551202906e-01,9.102703999288664916e-01,8.407813044447902673e-01,8.514422298487764884e-01,1.000000000000000000e+00,1.110223024625156540e-16,8.882553942111856005e-01,9.468137155097120505e-01,9.071339681900527641e-01,9.055391963330127192e-01,1.022812930483606886e+00,9.628671503435383139e-01,1.276136449372463844e+00,9.812839455494348773e-01,9.083991882906413684e-01,9.858028047162475938e-01,9.408986125437627246e-01,8.956447416276756002e-01,9.447829479800763375e-01
8.308089177729366392e-01,1.170989583632483511e+00,8.239187054969857593e-01,9.418727309202731268e-01,9.454349187618493744e-01,9.252545039457524823e-01,8.882553942111856005e-01,5.051787129544198507e-01,9.290540056532375912e-01,9.386643138364458849e-01,9.381457376492834399e-01,1.119607132016267714e+00,7.346157899407277370e-01,1.165022716861894958e+00,8.439088226914442936e-01,8.936232760701292577e-01,8.609836756463459251e-01,7.878364432827571484e-01,9.412308493119656561e-01,8.035501462758428692e-01
9.367812390883212270e-01,1.127217456588347044e+00,1.000000000000000000e+00,9.311571450586808574e-01,9.124961176786654526e-01,6.879056724448886495e-01,9.468137155097120505e-01,9.290540056532375912e-01,-2.220446049250313081e-16,9.125455326475616635e-01,8.619769719655019369e-01,1.085260710604790235e+00,9.076662670000490429e-01,1.230566860229247217e+00,7.389052107820602844e-01,9.770917824390598083e-01,8.135454922175018311e-01,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00
1.000000000000000000e+00,1.064318215351659491e+00,8.151126179876164723e-01,8.439222324973478795e-01,8.163150826549036010e-01,1.000000000000000000e+00,9.071339681900527641e-01,9.386643138364458849e-01,9.125455326475616635e-01,-2.220446049250313081e-16,8.422672954321327454e-01,1.023365301083299261e+00,1.000000000000000000e+00,1.250906126920096062e+00,9.808744897712383670e-01,8.197216163965399538e-01,8.856571382328626285e-01,9.304741501919283619e-01,7.451505989964846144e-01,9.743617803344712947e-01
