# Bashkir,Buryat,Chuvash,Evenki,Japanese,Kalmyk,Kannada,Kazakh,Khalkha Mongolian,Korean,Malayalam,Manchu,Nanai,North Azerbaijani,Northern Uzbek,Sakha,Tamil,Tatar,Telugu,Turkish
1.110223024625156540e-16,9.681712396704819090e-01,7.423111201419236860e-01,1.000000000000000000e+00,1.000000000000000000e+00,1.032205901958006544e+00,1.000000000000000000e+00,5.565065240712048222e-01,9.556470627673187002e-01,8.360630444930277072e-01,9.327813958451027787e-01,9.583119243374806917e-01,1.123825147008250536e+00,6.029585013425249329e-01,5.772324600427960473e-01,8.155637083064261050e-01,9.794707383048802951e-01,3.826923293366879530e-01,9.737608828205103206e-01,6.176413387871376726e-01
9.681712396704819090e-01,5.000000000000000000e-01,9.883865041162711584e-01,9.714110140663839710e-01,9.590910064748765507e-01,1.280008213268100103e+00,9.847485576098102822e-01,1.302645297031075344e+00,1.185853471552915650e+00,9.915765351403557082e-01,9.815797053514931925e-01,1.088771511490978172e+00,1.227927798671175630e+00,1.223663536557171305e+00,1.273532192267504470e+00,9.976490997008521378e-01,1.085574416667454356e+00,1.124631575734929445e+00,9.557459342021372706e-01,1.328967522694257664e+00
7.423111201419236860e-01,9.883865041162711584e-01,2.220446049250313081e-16,9.891119457707754359e-01,9.849503703764825868e-01,1.291675778643358585e+00,9.678580682779582833e-01,1.167422673797248400e+00,1.271970374833069073e+00,9.585326605274159251e-01,9.802642521870399417e-01,1.017008808856805668e+00,1.249932277409448567e+00,1.214986867133176718e+00,1.226969960205751997e+00,1.000000000000000000e+00,1.229940797961482701e+00,9.363687062960011076e-01,9.722398527479315655e-01,1.226939748482655190e+00
1.000000000000000000e+00,9.714110140663839710e-01,9.891119457707754359e-01,1.383858081770068804e-01,9.858226744982721002e-01,1.205805874036224523e+00,8.229437637681530360e-01,1.308127428587097851e+00,1.214348874175397386e+00,9.262274813140721763e-01,9.933056363180478021e-01,1.072528008449825210e+00,1.207496070970409674e+00,1.290261345490627098e+00,1.314944681669743431e+00,9.649276557917341179e-01,1.243411398275761748e+00,1.140196764356553594e+00,9.908911307041260441e-01,1.315733132944076678e+00
1.000000000000000000e+00,9.590910064748765507e-01,9.849503703764825868e-01,9.858226744982721002e-01,0.000000000000000000e+00,1.270497541118860152e+00,9.791804956712373276e-01,1.325517383326138887e+00,1.268315185687044266e+00,1.000000000000000000e+00,7.723168154162030064e-01,1.080549561613055376e+00,1.269225689679267299e+00,1.251368237287334484e+00,1.251924710518278916e+00,9.652022999343915499e-01,1.136538863029479929e+00,1.121291838302873378e+00,9.643730041438535183e-01,1.290789198937564608e+00
1.032205901958006544e+00,1.280008213268100103e+00,1.291675778643358585e+00,1.205805874036224523e+00,1.270497541118860152e+00,0.000000000000000000e+00,1.214159859189015700e+00,1.209119890571726197e+00,5.960740910975739215e-01,1.161849037144090158e+00,1.273774434515623888e+00,1.298101108909424983e+00,1.275018429902268657e+00,9.133091671025118652e-01,1.415769101816680475e+00,1.297546901236680927e+00,1.429802392532562028e+00,1.068103967177991498e+00,1.279885775324507868e+00,1.074585049077310561e+00
1.000000000000000000e+00,9.847485576098102822e-01,9.678580682779582833e-01,8.229437637681530360e-01,9.791804956712373276e-01,1.214159859189015700e+00,0.000000000000000000e+00,1.183974018126963124e+00,1.199578263865696215e+00,9.591326958758819021e-01,9.630253420317602675e-01,1.002853829276591391e+00,1.225833316354436597e+00,1.160440078704906064e+00,1.170960396295516404e+00,1.000000000000000000e+00,1.084008423348261640e+00,1.086059860213545836e+00,9.903628301977163151e-01,1.163945109512300791e+00
5.565065240712048222e-01,1.302645297031075344e+00,1.167422673797248400e+00,1.308127428587097851e+00,1.325517383326138887e+00,1.209119890571726197e+00,1.183974018126963124e+00,0.000000000000000000e+00,1.129119768909107702e+00,1.121324682724953892e+00,1.292487688900274101e+00,1.142805707389520364e+00,1.156168367954836684e+00,4.246764435844448959e-01,8.106564387248068604e-01,1.098141552456572301e+00,1.153085158455266379e+00,6.732747734655666338e-01,1.273526063851839751e+00,6.532271178110549137e-01
9.556470627673187002e-01,1.185853471552915650e+00,1.271970374833069073e+00,1.214348874175397386e+00,1.268315185687044266e+00,5.960740910975739215e-01,1.199578263865696215e+00,1.129119768909107702e+00,-2.220446049250313081e-16,1.193208693771895312e+00,1.208894992658767098e+00,1.271565658513302832e+00,1.045896523354544749e+00,6.763448496752770822e-01,1.101772110767659907e+00,1.266437398344799625e+00,1.297146069328217521e+00,1.135285262879436985e+00,1.244097050728200315e+00,8.757527384458113628e-01
8.360630444930277072e-01,9.915765351403557082e-01,9.585326605274159251e-01,9.262274813140721763e-01,1.000000000000000000e+00,1.161849037144090158e+00,9.591326958758819021e-01,1.121324682724953892e+00,1.193208693771895312e+00,3.330669073875469621e-16,9.705409528178260414e-01,1.140904537930096829e+00,1.201804911240266005e+00,1.139195343962724483e+00,1.162293413605377523e+00,1.000000000000000000e+00,1.337367859153596239e+00,9.933373289444511478e-01,9.956854389824104645e-01,1.126073998616223371e+00
9.327813958451027787e-01,9.815797053514931925e-01,9.802642521870399417e-01,9.933056363180478021e-01,7.723168154162030064e-01,1.273774434515623888e+00,9.630253420317602675e-01,1.292487688900274101e+00,1.208894992658767098e+00,9.705409528178260414e-01,1.110223024625156540e-16,1.015154010022646602e+00,1.273412735347779323e+00,1.300682947870555051e+00,1.312447379698735039e+00,1.000000000000000000e+00,1.136086683803141817e+00,1.094145967965612032e+00,8.403175154386606227e-01,1.244593915880680246e+00
9.583119243374806917e-01,1.088771511490978172e+00,1.017008808856805668e+00,1.072528008449824988e+00,1.080549561613055376e+00,1.298101108909424983e+00,1.002853829276591391e+00,1.142805707389520364e+00,1.271565658513302832e+00,1.140904537930096829e+00,1.015154010022646602e+00,6.055068585135001680e-01,1.038739710647529124e+00,1.143042530243193688e+00,1.183180989031517250e+00,1.109686958277505298e+00,9.824888101602593515e-01,1.057886475352083577e+00,1.153188585878225592e+00,1.169489299556431217e+00
