# Bashkir,Buryat,Chuvash,Evenki,Japanese,Kalmyk,Kannada,Kazakh,Khalkha Mongolian,Korean,Malayalam,Manchu,Nanai,North Azerbaijani,Northern Uzbek,Sakha,Tamil,Tatar,Telugu,Turkish
6.126599299513095787e-01,1.126550435587079235e+00,9.972000982081716813e-01,1.141493322479893990e+00,1.165007005041247545e+00,1.176165346106280207e+00,1.122108789827985564e+00,9.073723609189924266e-01,9.493760614021062860e-01,1.097901086516552160e+00,1.017919518896629683e+00,1.088972084825217124e+00,1.097843424170640958e+00,1.061924602093700987e+00,1.146376019215640252e+00,1.070485898806602165e+00,1.250817749064230489e+00,8.977338728851809169e-01,1.099889619357411252e+00,9.881243172042291079e-01
1.126550435587078791e+00,4.910107254676565613e-02,1.187772283109223004e+00,1.201419218470232586e+00,9.439682985948817384e-01,1.310719524362869759e+00,1.301617120086709489e+00,1.086780869947013173e+00,9.496244895796575047e-01,1.205816456370175871e+00,1.392243107172911554e+00,1.086569061706031514e+00,1.272765518422728004e+00,1.227562909314520834e+00,1.258037303253596084e+00,9.418011737476419398e-01,1.032721915722605965e+00,1.151426259717518441e+00,1.362719378850378638e+00,1.127492274452860155e+00
9.972000982081716813e-01,1.187772283109223004e+00,2.220446049250313081e-16,9.890202409347205181e-01,1.348056043658967029e+00,1.382012442501467930e+00,1.000000000000000000e+00,1.044099013347190574e+00,9.747457987491310316e-01,9.919361992259045913e-01,9.706029847413983891e-01,1.039202672679033101e+00,1.249932277409448567e+00,9.795804774274675664e-01,8.387087912821343805e-01,1.261075064231422793e+00,1.229940797961482701e+00,8.575041402189921280e-01,9.064782038438299328e-01,9.708361129398169753e-01
1.141493322479893990e+00,1.201419218470232586e+00,9.890202409347205181e-01,1.059495597952283819e-01,1.302802787106388749e+00,1.069323595793203019e+00,9.898462680867325947e-01,1.116054929929421347e+00,9.668455520804415393e-01,9.255292769303344880e-01,9.950666686264200145e-01,1.066946535006635166e+00,1.199509606756476998e+00,9.879443301255282917e-01,9.839545457462790523e-01,1.206643050506972070e+00,1.229063480536436881e+00,9.731648101543093343e-01,9.799416478381590689e-01,9.834575396784261958e-01
1.165007005041247545e+00,9.439682985948817384e-01,1.348056043658967029e+00,1.302802787106388749e+00,0.000000000000000000e+00,1.170631672887416208e+00,1.422260286697623055e+00,1.184653085979721965e+00,8.758914067183989349e-01,1.284968963704183231e+00,1.331665994787731622e+00,1.021212735673335148e+00,1.282936023216826538e+00,1.304765309286456620e+00,1.316027479447666959e+00,1.279267373663911300e+00,1.201745209208059828e+00,1.111736860191776533e+00,1.302154483346278813e+00,1.204538673229171630e+00
1.176165346106280207e+00,1.310719524362869759e+00,1.382012442501467930e+00,1.069323595793203019e+00,1.170631672887416208e+00,2.220446049250313081e-16,1.352880553055995749e+00,1.185046671459745404e+00,5.869457540340504709e-01,1.227085924709106379e+00,1.284389150222239540e+00,1.233383195645469277e+00,1.250229451104397427e+00,1.208115130570011075e+00,1.338615080309379479e+00,1.240818066169484535e+00,1.450143826921570733e+00,1.109400326657024705e+00,1.287412767066844710e+00,1.283779479041930793e+00
1.122108789827985564e+00,1.301617120086709489e+00,1.000000000000000000e+00,9.898462680867325947e-01,1.422260286697623055e+00,1.352880553055995749e+00,2.220446049250313081e-16,1.176681501093018500e+00,9.938383758884414831e-01,9.781848259904928344e-01,1.000000000000000000e+00,1.104952880639690216e+00,1.264641433011218119e+00,9.546770641798366652e-01,9.579285561972977758e-01,1.150399057476001907e+00,1.350590894267335917e+00,1.000000000000000000e+00,8.080218051799965551e-01,9.608642406577314610e-01
9.073723609189924266e-01,1.086780869947013173e+00,1.044099013347190574e+00,1.116054929929421347e+00,1.184653085979721965e+00,1.185046671459745404e+00,1.176681501093018500e+00,3.910310237003288281e-01,1.040185662873977845e+00,1.131846899588066391e+00,1.035199681451146603e+00,1.099743248381965799e+00,1.200210610623205554e+00,1.001398628386893641e+00,1.120928148781792810e+00,1.008307910889010506e+00,1.205886964213261692e+00,7.579325351490004969e-01,1.101457743460948491e+00,1.057266391356671775e+00
9.493760614021062860e-01,9.496244895796575047e-01,9.747457987491310316e-01,9.668455520804415393e-01,8.758914067183989349e-01,5.869457540340504709e-01,9.938383758884414831e-01,1.040185662873977845e+00,0.000000000000000000e+00,8.337231777481419748e-01,1.000000000000000000e+00,1.050555735028610105e+00,1.097417683177738024e+00,7.365089473208941140e-01,1.000000000000000000e+00,1.118635256921515664e+00,1.125442559472549009e+00,9.476148599296878583e-01,9.572251930429244160e-01,9.200984750572942517e-01
1.097901086516552160e+00,1.205816456370175871e+00,9.919361992259045913e-01,9.255292769303344880e-01,1.284968963704183231e+00,1.227085924709106379e+00,9.781848259904928344e-01,1.131846899588066391e+00,8.337231777481419748e-01,-2.220446049250313081e-16,9.390407914124104805e-01,1.129518582249265490e+00,1.252266360911767684e+00,7.812208084238653205e-01,9.802025124218409768e-01,1.244359108839315553e+00,1.215077518851136462e+00,1.000000000000000000e+00,9.857345287393746158e-01,9.212130375909475255e-01
