# Bashkir,Buryat,Chuvash,Evenki,Japanese,Kalmyk,Kannada,Kazakh,Khalkha Mongolian,Korean,Malayalam,Manchu,Nanai,North Azerbaijani,Northern Uzbek,Sakha,Tamil,Tatar,Telugu,Turkish
0.000000000000000000e+00,8.997429094803900407e-01,9.999591822097675387e-01,8.934145781725066904e-01,9.049035535252244467e-01,1.000000000000000000e+00,1.000000000000000000e+00,9.684158196718438694e-01,9.070985562766615828e-01,8.864898026638630135e-01,8.626141764210570884e-01,9.445860255161375729e-01,1.000000000000000000e+00,9.534507333975928978e-01,9.155049215624602166e-01,1.000000000000000000e+00,9.967424101167530193e-01,8.964572958330303543e-01,8.448427671403374584e-01,9.087914495813460558e-01
8.997429094803900407e-01,2.220446049250313081e-16,9.054330996126401798e-01,8.797805157958588085e-01,9.180609131986683380e-01,8.215738198788773428e-01,9.726877333937120618e-01,9.751524171900115556e-01,5.966433317962234195e-01,9.536866311616400971e-01,9.768404464502661311e-01,9.484631918946997420e-01,9.555052119389778609e-01,9.933218698212485931e-01,9.612094075260858572e-01,9.267088975233714887e-01,8.823004686414974707e-01,9.522610765394893262e-01,8.646033516457997115e-01,9.178565077428193497e-01
9.999591822097675387e-01,9.054330996126401798e-01,0.000000000000000000e+00,8.642010508131872104e-01,9.357902756283974499e-01,1.000000000000000000e+00,9.730252551642333270e-01,1.000000000000000000e+00,9.830129282806843172e-01,9.368546024194277511e-01,9.976321249544517489e-01,9.782299713325021129e-01,1.000000000000000000e+00,5.987530122099911090e-01,6.661695960098081848e-01,8.995650046188066185e-01,9.279541124124766061e-01,6.293132392510436546e-01,8.599721076240040007e-01,7.276271441642583326e-01
8.934145781725066904e-01,8.797805157958588085e-01,8.642010508131872104e-01,0.000000000000000000e+00,9.780291166009009718e-01,9.757304453820281331e-01,9.689708030040161679e-01,9.723686488033548292e-01,9.625501848459199206e-01,7.729620029562593864e-01,8.494881024583734730e-01,6.943405496891256190e-01,1.000000000000000000e+00,8.466733380969373446e-01,8.503383894300449164e-01,8.307086797134406453e-01,9.830788415598314955e-01,7.995745502407710648e-01,9.473427569928373204e-01,9.133813990329868737e-01
9.049035535252244467e-01,9.180609131986683380e-01,9.357902756283974499e-01,9.780291166009009718e-01,0.000000000000000000e+00,9.828126433616696245e-01,9.778717249048344273e-01,9.855112341702986223e-01,9.700578830380017781e-01,9.858327058152248634e-01,9.927379286062538721e-01,8.914044079286498334e-01,7.763953324732748573e-01,8.186339347731235172e-01,7.638222830760432736e-01,9.022826836709035847e-01,9.377911124748288252e-01,8.322117513045308446e-01,8.907939512374947189e-01,9.161806229996588558e-01
1.000000000000000000e+00,8.215738198788773428e-01,1.000000000000000000e+00,9.757304453820281331e-01,9.828126433616696245e-01,0.000000000000000000e+00,1.000000000000000000e+00,9.188175423404466580e-01,5.809919530924514408e-01,8.978362397557475560e-01,9.817131256710789344e-01,9.528867409959711487e-01,9.659135739262201259e-01,1.000000000000000000e+00,1.000000000000000000e+00,9.678186918549025464e-01,9.372402237422433613e-01,9.236788634003609832e-01,1.000000000000000000e+00,9.904532550308016159e-01
1.000000000000000000e+00,9.726877333937120618e-01,9.730252551642333270e-01,9.689708030040161679e-01,9.778717249048344273e-01,1.000000000000000000e+00,-2.220446049250313081e-16,9.766770769597110657e-01,1.000000000000000000e+00,7.996105464998598533e-01,7.909943838525045345e-01,9.743870659352933394e-01,1.000000000000000000e+00,9.591885132883204435e-01,9.655839050600906193e-01,8.884950849095051284e-01,9.130363825030046732e-01,8.570100932811045569e-01,8.817871365628833225e-01,9.571273037305541020e-01
9.684158196718438694e-01,9.751524171900115556e-01,1.000000000000000000e+00,9.723686488033548292e-01,9.855112341702986223e-01,9.188175423404466580e-01,9.766770769597110657e-01,1.110223024625156540e-16,9.849815997242494792e-01,9.025782470450222084e-01,9.285708054443876369e-01,7.972345987761475516e-01,9.097197625419738420e-01,9.278737891959636386e-01,9.848223142659472407e-01,8.870607099116963878e-01,9.872499917409739423e-01,9.186821139395460190e-01,9.763789965041989038e-01,8.675344877105930497e-01
9.070985562766615828e-01,5.966433317962234195e-01,9.830129282806843172e-01,9.625501848459199206e-01,9.700578830380017781e-01,5.809919530924514408e-01,1.000000000000000000e+00,9.849815997242494792e-01,2.149710348791053216e-01,9.117753246197715100e-01,9.961755319063642089e-01,8.967615475192769470e-01,1.000000000000000000e+00,9.617719161265672057e-01,9.883010013765454183e-01,9.145421680814951326e-01,9.176535439291255702e-01,9.695295881271348559e-01,9.784239899053182032e-01,9.745916352670150884e-01
8.864898026638630135e-01,9.536866311616400971e-01,9.368546024194277511e-01,7.729620029562593864e-01,9.858327058152248634e-01,8.978362397557475560e-01,7.996105464998598533e-01,9.025782470450222084e-01,9.117753246197715100e-01,0.000000000000000000e+00,8.423411121273984836e-01,8.590001524203083605e-01,9.197548652556561954e-01,8.961519101148629485e-01,8.353952254627639018e-01,9.189858424647813218e-01,9.742999882386499388e-01,8.676127026180961987e-01,8.819162208238391365e-01,9.260939632570330815e-01
8.626141764210570884e-01,9.768404464502661311e-01,9.976321249544517489e-01,8.494881024583734730e-01,9.927379286062538721e-01,9.817131256710789344e-01,7.909943838525045345e-01,9.285708054443876369e-01,9.961755319063642089e-01,8.423411121273984836e-01,0.000000000000000000e+00,9.528043371860481781e-01,9.921226089609436194e-01,9.817927548741282040e-01,9.964557119927490714e-01,9.854593488976431948e-01,9.736096356794085027e-01,9.731461315701389614e-01,9.700552137081406290e-01,9.795340620675772048e-01
9.445860255161375729e-01,9.484631918946997420e-01,9.782299713325021129e-01,6.943405496891256190e-01,8.914044079286498334e-01,9.528867409959711487e-01,9.743870659352933394e-01,7.972345987761475516e-01,8.967615475192769470e-01,8.590001524203083605e-01,9.528043371860481781e-01,0.000000000000000000e+00,5.110841292185941409e-01,6.984182208782867551e-01,6.863560975069831205e-01,8.525699290365589267e-01,9.868763428552775885e-01,7.022124948302866931e-01,9.298048556406944831e-01,7.842905843177727654e-01
1.000000000000000000e+00,9.555052119389778609e-01,1.000000000000000000e+00,1.000000000000000000e+00,7.763953324732748573e-01,9.659135739262201259e-01,1.000000000000000000e+00,9.097197625419738420e-01,1.000000000000000000e+00,9.197548652556561954e-01,9.921226089609436194e-01,5.110841292185941409e-01,-2.220446049250313081e-16,9.077509432689518931e-01,8.451376108786252672e-01,9.198385388366436821e-01,1.000000000000000000e+00,7.280297306029410720e-01,1.000000000000000000e+00,8.861010967301699015e-01
9.534507333975928978e-01,9.933218698212485931e-01,5.987530122099911090e-01,8.466733380969373446e-01,8.186339347731235172e-01,1.000000000000000000e+00,9.591885132883204435e-01,9.278737891959636386e-01,9.617719161265672057e-01,8.961519101148629485e-01,9.817927548741282040e-01,6.984182208782867551e-01,9.077509432689518931e-01,0.000000000000000000e+00,2.132514816541779545e-01,8.909920159541392382e-01,1.000000000000000000e+00,2.609888340650785565e-01,9.511655197540965778e-01,4.830942666564357335e-01
9.155049215624602166e-01,9.612094075260858572e-01,6.661695960098081848e-01,8.503383894300449164e-01,7.638222830760432736e-01,1.000000000000000000e+00,9.655839050600906193e-01,9.848223142659472407e-01,9.883010013765454183e-01,8.353952254627639018e-01,9.964557119927490714e-01,6.863560975069831205e-01,8.451376108786252672e-01,2.132514816541779545e-01,3.330669073875469621e-16,9.158241381129179626e-01,1.000000000000000000e+00,2.052651405220430325e-01,9.866397326310943905e-01,5.521307942054869411e-01
