# Bashkir,Buryat,Chuvash,Evenki,Japanese,Kalmyk,Kannada,Kazakh,Khalkha Mongolian,Korean,Malayalam,Manchu,Nanai,North Azerbaijani,Northern Uzbek,Sakha,Tamil,Tatar,Telugu,Turkish
0.000000000000000000e+00,9.607985080051599791e-01,1.117603197563229456e+00,9.773949731688705844e-01,1.000000000000000000e+00,1.118978922671879150e+00,1.000000000000000000e+00,7.534913152161639704e-01,9.762825837039774690e-01,9.730132961453429319e-01,9.826729685862077845e-01,9.791117054859893587e-01,9.735352473118308314e-01,1.288013659936387612e+00,1.011903866890546455e+00,9.464212799002111876e-01,1.000000000000000000e+00,2.495266043076141971e-01,1.000000000000000000e+00,1.021385551564338634e+00
9.607985080051599791e-01,5.000000000000000000e-01,1.082168433475096725e+00,9.060074012288430456e-01,9.770842801574244341e-01,9.427831226890142080e-01,9.986320854228567523e-01,9.065802176512637311e-01,9.044766680158344840e-01,8.721318096344943260e-01,9.545994305403258107e-01,9.711051325709226800e-01,8.907227335463931972e-01,1.315354862899839716e+00,1.222782002303358428e+00,9.168399255974650774e-01,9.461459585804650185e-01,9.301625113009742707e-01,9.329077434267863955e-01,1.021355390926290463e+00
1.117603197563229456e+00,1.082168433475096725e+00,0.000000000000000000e+00,1.347720180828078540e+00,1.158871437531888482e+00,9.740898947130287588e-01,1.082483887228699038e+00,1.138526004380227441e+00,8.458548705886617114e-01,9.789314623267088011e-01,1.117534607340512354e+00,1.076677158309802262e+00,1.114904779919324129e+00,1.260319329192883364e+00,9.352005985738097715e-01,1.089303343957389147e+00,8.739843595403280485e-01,1.109769162819034038e+00,1.044416071930575063e+00,1.171017114739703935e+00
9.773949731688705844e-01,9.060074012288430456e-01,1.347720180828078540e+00,-4.440892098500626162e-16,9.891133185812991391e-01,1.083863374444627325e+00,9.781354702037492466e-01,9.847015532969687346e-01,9.918733897592861837e-01,9.813021036219879978e-01,9.910570277841089792e-01,9.952732341786927339e-01,9.857677406216680538e-01,1.399986839577441300e+00,1.320671448549046723e+00,9.258403645294255302e-01,8.558811273718915924e-01,9.834555201957178028e-01,9.710306337230629747e-01,1.122067298108083255e+00
1.000000000000000000e+00,9.770842801574244341e-01,1.158871437531888482e+00,9.891133185812991391e-01,0.000000000000000000e+00,1.206353867280903103e+00,9.845344315031007154e-01,9.763407455016617220e-01,8.661248586271177441e-01,8.048854449086711993e-01,8.876337655427617435e-01,9.292956966787613293e-01,7.904217624897573735e-01,1.322945207763020825e+00,1.211620769539563769e+00,9.823592446588389482e-01,9.074011369917766023e-01,9.753571327061401064e-01,9.801658758930217319e-01,1.023868037630260908e+00
1.118978922671879150e+00,9.427831226890142080e-01,9.740898947130287588e-01,1.083863374444627325e+00,1.206353867280903103e+00,3.897120659862937653e-01,1.064824549938387932e+00,1.070625693354137820e+00,9.484854848800214899e-01,9.189847783704099271e-01,1.091279442108537445e+00,1.117106690938222346e+00,1.141346048454203288e+00,1.138588487617375744e+00,1.141818297768689483e+00,8.519118036999476784e-01,7.741163963103157020e-01,1.087829117297658188e+00,1.030836673803882331e+00,1.143287913533567179e+00
1.000000000000000000e+00,9.986320854228567523e-01,1.082483887228699038e+00,9.781354702037492466e-01,9.845344315031007154e-01,1.064824549938387932e+00,0.000000000000000000e+00,9.846839938141831450e-01,9.295808281214437141e-01,9.269230062627498157e-01,9.643823491285881122e-01,7.870465151266070603e-01,9.518374532486423290e-01,1.177862616596132117e+00,1.195401596636876729e+00,8.501971224563651397e-01,1.000000000000000000e+00,9.828082524313146440e-01,9.192090233025046464e-01,1.035839856576490581e+00
7.534913152161639704e-01,9.065802176512637311e-01,1.138526004380227441e+00,9.847015532969687346e-01,9.763407455016617220e-01,1.070625693354137820e+00,9.846839938141831450e-01,1.110223024625156540e-16,9.793337544847383613e-01,9.506489710195703546e-01,9.682367529227318137e-01,9.889001677623613373e-01,9.819239864753349645e-01,1.132650915333620389e+00,7.219075923890154733e-01,1.000000000000000000e+00,8.156312910189251753e-01,7.602355055954586049e-01,9.238740568764822747e-01,1.093594782812529420e+00
9.762825837039774690e-01,9.044766680158344840e-01,8.458548705886617114e-01,9.918733897592861837e-01,8.661248586271177441e-01,9.484854848800214899e-01,9.295808281214437141e-01,9.793337544847383613e-01,1.110223024625156540e-16,7.914583587328122283e-01,7.904943086457202339e-01,7.912675419633912188e-01,8.639792298160207107e-01,1.230577732453340012e+00,1.178614165306425043e+00,9.647890250452290095e-01,7.804054334652303915e-01,9.477360368734758511e-01,9.708799743556861817e-01,1.026683051231598309e+00
9.730132961453429319e-01,8.721318096344943260e-01,9.789314623267088011e-01,9.813021036219879978e-01,8.048854449086711993e-01,9.189847783704099271e-01,9.269230062627498157e-01,9.506489710195703546e-01,7.914583587328122283e-01,-2.220446049250313081e-16,7.885815066450370114e-01,9.482329622356487908e-01,8.005386952010682400e-01,1.288575714158232355e+00,1.125224369905519772e+00,9.696898738713030097e-01,8.959902011446501113e-01,9.683533944721850473e-01,9.151008358264945963e-01,1.017961343059059498e+00
9.826729685862077845e-01,9.545994305403258107e-01,1.117534607340512354e+00,9.910570277841089792e-01,8.876337655427617435e-01,1.091279442108537445e+00,9.643823491285881122e-01,9.682367529227318137e-01,7.904943086457202339e-01,7.885815066450370114e-01,0.000000000000000000e+00,9.050589079461496267e-01,9.112092266012676856e-01,1.289759777538503460e+00,1.188718745841845559e+00,9.350358006881014372e-01,1.000000000000000000e+00,9.962242875047120361e-01,8.726903869165623107e-01,1.040034418788489567e+00
9.791117054859893587e-01,9.711051325709226800e-01,1.076677158309802262e+00,9.952732341786927339e-01,9.292956966787613293e-01,1.117106690938222346e+00,7.870465151266070603e-01,9.889001677623613373e-01,7.912675419633912188e-01,9.482329622356487908e-01,9.050589079461496267e-01,-2.220446049250313081e-16,9.837324917793929258e-01,1.174434937153641778e+00,1.157598760065046362e+00,9.726477579995435052e-01,8.906268753574014818e-01,9.844574224364303072e-01,8.713956434848914023e-01,1.036833426598089858e+00
9.735352473118308314e-01,8.907227335463931972e-01,1.114904779919324129e+00,9.857677406216680538e-01,7.904217624897573735e-01,1.141346048454203288e+00,9.518374532486423290e-01,9.819239864753349645e-01,8.639792298160207107e-01,8.005386952010682400e-01,9.112092266012676856e-01,9.837324917793929258e-01,2.220446049250313081e-16,1.366389956109416826e+00,1.297878582817730386e+00,9.326254731293761591e-01,9.371105164822204348e-01,9.031371292457135436e-01,9.616995491520364814e-01,1.054439255599696201e+00
