# Bashkir,Buryat,Chuvash,Evenki,Japanese,Kalmyk,Kannada,Kazakh,Khalkha Mongolian,Korean,Malayalam,Manchu,Nanai,North Azerbaijani,Northern Uzbek,Sakha,Tamil,Tatar,Telugu,Turkish
0.000000000000000000e+00,8.514683445281046037e-01,7.185473116468741317e-01,9.068908142173471854e-01,9.334456747793326015e-01,9.594115946240658888e-01,1.000000000000000000e+00,7.460032351494059188e-01,9.252508778938475231e-01,9.446067016813397554e-01,9.650670253197234372e-01,1.067638688766834765e+00,8.934929652927472432e-01,9.880451779423750081e-01,9.515840734402623013e-01,5.352276481707818334e-01,8.777528121642438341e-01,1.926505471353878729e-01,9.749594926005201723e-01,9.641249077133748902e-01
8.514683445281046037e-01,2.220446049250313081e-16,8.983468873239319752e-01,9.505432127808911558e-01,8.586779655618035356e-01,6.923987734126286764e-01,9.558894145436787060e-01,8.977090914850383019e-01,5.962109488690288117e-01,9.665458210497943625e-01,9.048319541442544356e-01,1.025828736959782050e+00,9.205334232377435644e-01,8.640245241668083054e-01,8.394092024178957390e-01,9.609609111335110088e-01,8.708440370181212975e-01,8.052564903457729573e-01,8.900018719578777215e-01,8.562080716787081602e-01
7.185473116468741317e-01,8.983468873239319752e-01,0.000000000000000000e+00,9.701773248331805322e-01,9.507449566673146224e-01,8.617578003624071226e-01,9.203264065253308202e-01,7.660680830736358304e-01,9.107337399994336335e-01,1.000000000000000000e+00,9.932073265593797107e-01,9.476743691742370856e-01,8.719511125031886856e-01,8.969980332033855586e-01,8.637263238654003805e-01,8.639069743783234223e-01,9.742119975567249401e-01,7.041330634824308765e-01,9.520986542244630479e-01,8.951126081807034840e-01
9.068908142173471854e-01,9.505432127808911558e-01,9.701773248331805322e-01,0.000000000000000000e+00,7.679097720157834761e-01,9.436677117183187580e-01,1.000000000000000000e+00,9.321789881020350332e-01,7.368392738053519686e-01,9.316842051139729852e-01,9.406968617730955273e-01,1.030956959278551466e+00,9.323467995181216050e-01,9.345501965764498875e-01,8.867664308587489552e-01,9.677882049149514332e-01,9.658367646976011578e-01,9.448188328019581084e-01,9.268811735136298635e-01,9.841161379541160104e-01
9.334456747793326015e-01,8.586779655618035356e-01,9.507449566673146224e-01,7.679097720157834761e-01,0.000000000000000000e+00,9.739015293808542806e-01,9.500825961510341866e-01,9.780868133068864045e-01,8.672570715460725665e-01,8.727823141510933080e-01,8.843997896573886353e-01,1.027141133771366510e+00,8.505239336223134883e-01,9.641672635408556902e-01,9.756319920876208585e-01,9.792250396052833983e-01,9.133096153234973036e-01,9.005485044799211858e-01,8.923336983275726997e-01,9.485483019314467912e-01
9.594115946240658888e-01,6.923987734126286764e-01,8.617578003624071226e-01,9.436677117183187580e-01,9.739015293808542806e-01,-2.220446049250313081e-16,9.752099980078231534e-01,8.966267689243967443e-01,6.873916868262610613e-01,9.994943274126272259e-01,8.933918340056382634e-01,9.932032769579680620e-01,9.241066566314075637e-01,1.000000000000000000e+00,9.439507460266304273e-01,9.571934990814163768e-01,9.867628136480186551e-01,9.429179339297518725e-01,9.952327709412014389e-01,1.000000000000000000e+00
1.000000000000000000e+00,9.558894145436787060e-01,9.203264065253308202e-01,1.000000000000000000e+00,9.500825961510341866e-01,9.752099980078231534e-01,0.000000000000000000e+00,9.393812808508634760e-01,9.299865983360360300e-01,8.515170391181954290e-01,1.000000000000000000e+00,1.062564076707078087e+00,9.897050578768036289e-01,1.000000000000000000e+00,9.654179176301518339e-01,9.811583221016230150e-01,8.973849108015883314e-01,9.921312594295482734e-01,6.156147712820150275e-01,1.000000000000000000e+00
7.460032351494059188e-01,8.977090914850383019e-01,7.660680830736358304e-01,9.321789881020350332e-01,9.780868133068864045e-01,8.966267689243967443e-01,9.393812808508634760e-01,5.000000000000000000e-01,9.455323430655373507e-01,7.958516247392978249e-01,9.941536400322452671e-01,1.079962804303078228e+00,9.032550604311714304e-01,8.803025741861343345e-01,8.705478652121085847e-01,8.884014109512319290e-01,9.316201076000332204e-01,7.643113362946385436e-01,8.763991501866471578e-01,9.000328823170968828e-01
9.252508778938475231e-01,5.962109488690288117e-01,9.107337399994336335e-01,7.368392738053519686e-01,8.672570715460725665e-01,6.873916868262610613e-01,9.299865983360360300e-01,9.455323430655373507e-01,0.000000000000000000e+00,9.711907735135240083e-01,9.166996189356317881e-01,9.369804813560007606e-01,8.936887140662663764e-01,7.481267724441906797e-01,6.330067508032866108e-01,9.825091744599886434e-01,8.855439698027981477e-01,8.649934024243761677e-01,8.775712397938884024e-01,7.576539763268858030e-01
9.446067016813397554e-01,9.665458210497943625e-01,1.000000000000000000e+00,9.316842051139729852e-01,8.727823141510933080e-01,9.994943274126272259e-01,8.515170391181954290e-01,7.958516247392978249e-01,9.711907735135240083e-01,0.000000000000000000e+00,9.527476092897624316e-01,9.675491479944047235e-01,9.451253279545350772e-01,7.653886321402626480e-01,7.324652976896337542e-01,9.448420343273293831e-01,9.093943258085093184e-01,9.514652324670356265e-01,8.305752077874648531e-01,7.887678076653622528e-01
