# Bashkir,Buryat,Chuvash,Evenki,Japanese,Kalmyk,Kannada,Kazakh,Khalkha Mongolian,Korean,Malayalam,Manchu,Nanai,North Azerbaijani,Northern Uzbek,Sakha,Tamil,Tatar,Telugu,Turkish
5.000000000000000000e-01,9.327030246542623582e-01,9.798127679768231513e-01,9.287995816407010885e-01,9.174276405991931282e-01,9.197951809954081348e-01,9.572923719977909363e-01,8.003885822637601954e-01,1.000000000000000000e+00,9.851486733280222508e-01,9.864175898639405693e-01,9.423855404153536064e-01,1.033189860281162442e+00,9.302608237141716252e-01,8.570770579270887701e-01,9.816656218109839349e-01,9.787486680049075627e-01,7.096497183279610876e-01,9.791162825768296996e-01,8.577916292391315478e-01
9.327030246542623582e-01,2.220446049250313081e-16,7.666394548971239287e-01,9.936465287415988668e-01,9.464657345716620540e-01,6.184738043271529317e-01,9.849147585136425187e-01,9.638013707005629316e-01,6.308031283928193789e-01,8.319007893000952558e-01,1.000000000000000000e+00,8.615498581960738811e-01,1.030425813368772925e+00,7.928111530718719990e-01,9.486390450669209828e-01,9.521957446335106434e-01,1.000000000000000000e+00,9.318110083051671655e-01,1.000000000000000000e+00,9.130196856271582950e-01
9.798127679768231513e-01,7.666394548971239287e-01,0.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,9.823270622822173337e-01,9.800196594790047122e-01,1.000000000000000000e+00,9.959132077897321356e-01,9.872414854124241801e-01,9.932895932698315722e-01,1.014151058078960776e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,9.833964978981162286e-01,9.434258668960407990e-01,1.000000000000000000e+00,8.975685460469192689e-01
9.287995816407010885e-01,9.936465287415988668e-01,1.000000000000000000e+00,0.000000000000000000e+00,6.627703742126980213e-01,7.197669836166836754e-01,9.384866723680231893e-01,9.173765795483401764e-01,8.306435003791118321e-01,9.502826311335345055e-01,9.791847579160044557e-01,9.332923445389329498e-01,9.720917965700661689e-01,1.000000000000000000e+00,9.737865999611061696e-01,7.552515363180308805e-01,9.788670311824276826e-01,1.000000000000000000e+00,9.554742229900408113e-01,9.971784726036301283e-01
9.174276405991931282e-01,9.464657345716620540e-01,1.000000000000000000e+00,6.627703742126980213e-01,0.000000000000000000e+00,9.762108164484479822e-01,9.058594748608427283e-01,7.659741171225613598e-01,9.620417180664545542e-01,9.417442938332849511e-01,9.778660910453472743e-01,9.552811356493982053e-01,1.053119643353818580e+00,1.000000000000000000e+00,9.772115238462636411e-01,9.431773502891727112e-01,9.800725744330640588e-01,9.232815220744422513e-01,9.662350944024911126e-01,9.355289460756821551e-01
9.197951809954081348e-01,6.184738043271529317e-01,1.000000000000000000e+00,7.197669836166836754e-01,9.762108164484479822e-01,2.220446049250313081e-16,9.612097702990234360e-01,9.488292947848844250e-01,5.943815416664468554e-01,9.234742215132969445e-01,9.642495245289030015e-01,9.367934726485707131e-01,9.828576483465787383e-01,9.841494994278067177e-01,1.000000000000000000e+00,7.223958615110237513e-01,9.859723169165216516e-01,9.752732782847829407e-01,9.612813890043389042e-01,8.145214936169977715e-01
9.572923719977909363e-01,9.849147585136425187e-01,9.823270622822173337e-01,9.384866723680231893e-01,9.058594748608427283e-01,9.612097702990234360e-01,0.000000000000000000e+00,9.651529442494852784e-01,6.986327818090832809e-01,9.701570335879685647e-01,9.421697566425691894e-01,9.540733619904387952e-01,1.099095883758089753e+00,1.000000000000000000e+00,9.483878971173650418e-01,1.000000000000000000e+00,9.805279716965965564e-01,9.133171896149567814e-01,9.457410385138024234e-01,8.431000103848707017e-01
8.003885822637601954e-01,9.638013707005629316e-01,9.800196594790047122e-01,9.173765795483401764e-01,7.659741171225613598e-01,9.488292947848844250e-01,9.651529442494852784e-01,3.517382158090048838e-01,9.010978086380569962e-01,9.336132302092057245e-01,9.813288295845000730e-01,9.242337205493550423e-01,1.012961852201470503e+00,5.952506623002735697e-01,8.012788198333778977e-01,9.899749652583242909e-01,9.445641827139393820e-01,1.000000000000000000e+00,8.951077527458239924e-01,9.061411007721800193e-01
1.000000000000000000e+00,6.308031283928193789e-01,1.000000000000000000e+00,8.306435003791118321e-01,9.620417180664545542e-01,5.943815416664468554e-01,6.986327818090832809e-01,9.010978086380569962e-01,2.220446049250313081e-16,9.455357011672601564e-01,1.000000000000000000e+00,9.642217560848788116e-01,1.003752415547737087e+00,1.000000000000000000e+00,8.473561012182069252e-01,5.559612014483350517e-01,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,9.500401484770667482e-01
9.851486733280222508e-01,8.319007893000952558e-01,9.959132077897321356e-01,9.502826311335345055e-01,9.417442938332849511e-01,9.234742215132969445e-01,9.701570335879685647e-01,9.336132302092057245e-01,9.455357011672601564e-01,2.220446049250313081e-16,9.430427735609867579e-01,6.686272292979705822e-01,9.896144860084188366e-01,9.444632167805494527e-01,9.598404037330526828e-01,1.000000000000000000e+00,9.995174263709417639e-01,9.486423437599262876e-01,9.917438658768097381e-01,9.482512067270099099e-01
