# Bashkir,Buryat,Chuvash,Evenki,Japanese,Kalmyk,Kannada,Kazakh,Khalkha Mongolian,Korean,Malayalam,Manchu,Nanai,North Azerbaijani,Northern Uzbek,Sakha,Tamil,Tatar,Telugu,Turkish
2.220446049250313081e-16,9.644019876885342457e-01,7.494074714398182291e-01,8.712485681069268573e-01,1.000000000000000000e+00,9.810978804419194788e-01,1.000000000000000000e+00,8.094018743841604469e-01,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,8.965701008893567359e-01,9.248756989508503112e-01,7.703379825975209538e-01,7.718965569833562412e-01,9.335839532953505993e-01,9.273471216375633874e-01,4.131296368338420733e-01,9.151752985464415291e-01,7.373202380225132302e-01
9.644019876885342457e-01,4.955232243177357665e-01,8.369484338294834735e-01,9.168094225208045511e-01,8.862137313477460587e-01,8.763479784532548500e-01,9.627573176812531663e-01,7.227093572485557837e-01,1.000000000000000000e+00,9.417342957773723322e-01,9.900122382945091282e-01,9.624042854262312430e-01,9.658254357601933071e-01,9.307666298943642058e-01,8.874340916503070664e-01,9.684972033190186735e-01,9.500609162152703346e-01,8.791736992556331565e-01,8.677105845927781669e-01,9.086358209223315274e-01
7.494074714398182291e-01,8.369484338294834735e-01,0.000000000000000000e+00,1.000000000000000000e+00,9.896531951908787983e-01,8.514575163780324640e-01,9.317164439449547864e-01,6.709033606829475360e-01,9.915251664672982690e-01,9.610447830776601696e-01,1.000000000000000000e+00,9.678047355953034447e-01,9.278770518105187159e-01,9.029205782136526803e-01,7.913143517216486567e-01,9.637892754194947731e-01,9.240966446166881676e-01,7.657788765534284670e-01,8.480885474967193582e-01,8.456219305594161462e-01
8.712485681069268573e-01,9.168094225208045511e-01,1.000000000000000000e+00,0.000000000000000000e+00,8.741355502102630126e-01,8.226371260130613816e-01,8.944048798744377304e-01,9.408866800250993423e-01,8.845199210303312798e-01,8.707303182910424155e-01,9.715026681547345166e-01,7.724778452158520547e-01,7.969553849714268168e-01,7.276297356469771938e-01,8.484175604912401747e-01,1.000000000000000000e+00,9.782899864968996884e-01,7.560905682728238375e-01,8.797534798402214529e-01,8.456679686384405148e-01
1.000000000000000000e+00,8.862137313477460587e-01,9.896531951908787983e-01,8.741355502102630126e-01,0.000000000000000000e+00,8.985344225458886669e-01,9.813107536416327825e-01,9.739960135529240892e-01,9.993746267207175293e-01,8.465549268381538095e-01,9.859115041267663138e-01,9.335702425291156903e-01,9.840125269101265282e-01,8.342678381185432146e-01,8.715289883781071056e-01,1.000000000000000000e+00,9.801411883673051273e-01,9.263165333413743152e-01,9.939720209673306162e-01,8.344399281618647413e-01
9.810978804419194788e-01,8.763479784532548500e-01,8.514575163780324640e-01,8.226371260130613816e-01,8.985344225458886669e-01,3.439652302692840502e-01,9.423235322082218479e-01,9.822196521006842929e-01,9.690286833086900753e-01,8.346600690113394894e-01,9.914014278607574671e-01,8.544727774333084058e-01,9.128846653456140769e-01,8.314171501758156335e-01,8.643600250464159584e-01,7.728216056294141545e-01,9.715003084017720392e-01,9.132714244265680570e-01,9.523920219488741790e-01,8.611133736563845176e-01
1.000000000000000000e+00,9.627573176812531663e-01,9.317164439449547864e-01,8.944048798744377304e-01,9.813107536416327825e-01,9.423235322082218479e-01,0.000000000000000000e+00,8.873404693347011207e-01,1.000000000000000000e+00,1.000000000000000000e+00,9.751873997800919458e-01,7.959749261354336358e-01,7.288238431985951671e-01,9.046925508021335105e-01,9.715154811927818601e-01,9.515331197726238921e-01,8.911301088337145737e-01,9.379484013185090951e-01,8.287262315115043743e-01,9.015141673964508495e-01
8.094018743841604469e-01,7.227093572485557837e-01,6.709033606829475360e-01,9.408866800250993423e-01,9.739960135529240892e-01,9.822196521006842929e-01,8.873404693347011207e-01,0.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,9.702384460956826606e-01,7.645939364876055411e-01,9.181944985361017997e-01,9.725194456603472037e-01,9.294420264886470440e-01,9.710363604537950444e-01,8.432304536965857800e-01,8.162968421023730770e-01,9.358910735814730542e-01,9.697300457440843902e-01
1.000000000000000000e+00,1.000000000000000000e+00,9.915251664672982690e-01,8.845199210303312798e-01,9.993746267207175293e-01,9.690286833086900753e-01,1.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,9.985342560574878013e-01,9.892487414366490928e-01,9.725026670830161368e-01,9.801927626587763065e-01,9.621301060981994890e-01,1.000000000000000000e+00,9.595358596178850119e-01,9.949700241060135397e-01,1.000000000000000000e+00,9.968815984619771031e-01
1.000000000000000000e+00,9.417342957773723322e-01,9.610447830776601696e-01,8.707303182910424155e-01,8.465549268381538095e-01,8.346600690113394894e-01,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,2.220446049250313081e-16,9.679277858989508987e-01,9.509792496499547276e-01,1.000000000000000000e+00,8.206724784745198509e-01,8.562549996018804510e-01,9.908013028795975563e-01,1.000000000000000000e+00,9.290216466280012408e-01,9.644943827793184266e-01,8.386209965753954609e-01
1.000000000000000000e+00,9.900122382945091282e-01,1.000000000000000000e+00,9.715026681547345166e-01,9.859115041267663138e-01,9.914014278607574671e-01,9.751873997800919458e-01,9.702384460956826606e-01,9.985342560574878013e-01,9.679277858989508987e-01,2.220446049250313081e-16,9.804664747652920287e-01,9.925567915893027671e-01,8.911138670487027680e-01,9.623819425152869700e-01,1.000000000000000000e+00,9.633382412127015071e-01,9.673655075858742514e-01,9.815150288618511576e-01,9.527552132640247917e-01
8.965701008893567359e-01,9.624042854262312430e-01,9.678047355953034447e-01,7.724778452158520547e-01,9.335702425291156903e-01,8.544727774333085168e-01,7.959749261354336358e-01,7.645939364876055411e-01,9.892487414366490928e-01,9.509792496499547276e-01,9.804664747652920287e-01,3.091020854913653082e-01,6.861468982054967913e-01,9.069111351716201419e-01,9.653103546628515330e-01,9.459488245694096520e-01,9.646720196065589059e-01,8.427857005458653239e-01,8.985320942072592132e-01,8.992034990372328451e-01
