# Bashkir,Buryat,Chuvash,Evenki,Japanese,Kalmyk,Kannada,Kazakh,Khalkha Mongolian,Korean,Malayalam,Manchu,Nanai,North Azerbaijani,Northern Uzbek,Sakha,Tamil,Tatar,Telugu,Turkish
4.069094899620264716e-01,9.841104745173516744e-01,6.092181411489395737e-01,9.380556058360399740e-01,9.344685870976454645e-01,9.975995546513461987e-01,9.296078784026076125e-01,1.000000000000000000e+00,8.901354742496336847e-01,9.612024094681428377e-01,9.495795708927016188e-01,8.635100872662706539e-01,1.045458526469716931e+00,-5.685278617810402002e-02,3.989494147369157528e-01,7.463075467827864351e-01,1.082024356841364110e+00,5.044054122128349693e-01,9.853276765354654909e-01,8.682908904956856411e-01
9.841104745173516744e-01,0.000000000000000000e+00,9.598969060283121246e-01,1.000000000000000000e+00,8.932591431447409747e-01,9.821163409571539438e-01,9.368693379058559145e-01,9.932212590915663331e-01,7.849134518074786238e-01,9.057562761452557787e-01,9.734569029340297552e-01,8.328693543548525424e-01,1.040222520239349580e+00,1.000000000000000000e+00,1.000000000000000000e+00,9.771950310663897188e-01,1.260529695710624454e+00,9.545369268965820941e-01,9.040767286267569203e-01,9.943857672456913877e-01
6.092181411489395737e-01,9.598969060283121246e-01,0.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,8.722517571961392324e-01,8.716280856577556246e-01,9.354525546081067233e-01,8.709881906720511324e-01,9.284850632390050373e-01,9.648703043848442240e-01,1.068497430121237990e+00,4.322329336234581598e-01,3.459335515059137611e-01,8.051417352498709823e-01,1.121502694707446457e+00,3.776642335463591404e-01,9.803036090491972221e-01,1.000000000000000000e+00
9.380556058360399740e-01,1.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,9.618537358595231623e-01,9.666230277257549242e-01,1.000000000000000000e+00,9.016357432483224077e-01,9.470699800847651728e-01,8.693014541028366571e-01,9.014354866060986238e-01,7.544583535148771114e-01,1.110403879212708000e+00,9.803442419084102966e-01,9.428350847903861354e-01,8.153294918516723611e-01,1.217109509721376881e+00,1.000000000000000000e+00,9.798127069028995662e-01,8.468846904039968315e-01
9.344685870976454645e-01,8.932591431447409747e-01,1.000000000000000000e+00,9.618537358595231623e-01,0.000000000000000000e+00,9.308573260302824837e-01,8.885702443001546325e-01,9.396434564855933314e-01,9.088385720292613268e-01,1.000000000000000000e+00,9.560578527107428393e-01,9.785861960612960431e-01,1.124877575763494786e+00,9.902321754830227807e-01,9.634762602034677714e-01,9.198938308064534830e-01,1.224398089252793920e+00,1.000000000000000000e+00,9.855054513856134069e-01,9.571193534119506463e-01
9.975995546513461987e-01,9.821163409571539438e-01,1.000000000000000000e+00,9.666230277257549242e-01,9.308573260302824837e-01,3.330669073875469621e-16,9.115302556504958353e-01,9.992717330374396578e-01,9.998460506076233267e-01,8.739969916031186115e-01,9.833195935254096520e-01,8.778010491415377814e-01,1.005604937358434592e+00,1.000000000000000000e+00,9.015332784902913010e-01,9.634367134269492539e-01,9.965771648044285946e-01,9.568818683522898327e-01,8.182387563009704268e-01,9.075834473599297958e-01
9.296078784026076125e-01,9.368693379058559145e-01,8.722517571961392324e-01,1.000000000000000000e+00,8.885702443001546325e-01,9.115302556504958353e-01,2.220446049250313081e-16,8.719518772672937290e-01,9.497935684539534629e-01,8.889169957240541375e-01,9.716347862798671020e-01,9.715297258708079919e-01,1.133469799022263524e+00,8.977379639029267056e-01,8.765440650471976181e-01,9.586615622555375582e-01,1.204122095713646035e+00,8.511725062756868576e-01,9.756572931234595014e-01,9.009423143174261073e-01
1.000000000000000000e+00,9.932212590915663331e-01,8.716280856577556246e-01,9.016357432483224077e-01,9.396434564855933314e-01,9.992717330374396578e-01,8.719518772672937290e-01,0.000000000000000000e+00,9.397683294744925142e-01,7.848978934135245611e-01,1.000000000000000000e+00,7.982286547635790708e-01,7.867061804248038914e-01,9.848832128918069140e-01,6.309573717806478133e-01,5.404665787355810158e-01,1.003054351190084015e+00,1.000000000000000000e+00,8.813816659703564982e-01,9.733415321033435097e-01
8.901354742496336847e-01,7.849134518074786238e-01,9.354525546081067233e-01,9.470699800847651728e-01,9.088385720292613268e-01,9.998460506076233267e-01,9.497935684539534629e-01,9.397683294744925142e-01,5.000000000000000000e-01,8.673700748181262243e-01,9.716519902636926442e-01,9.548345501050261586e-01,9.283571876537017875e-01,8.665034275256346952e-01,8.897880919012426393e-01,8.423481672897231709e-01,1.097831455789570532e+00,6.911415519658314910e-01,1.000000000000000000e+00,9.395772863467680702e-01
9.612024094681428377e-01,9.057562761452557787e-01,8.709881906720511324e-01,8.693014541028366571e-01,1.000000000000000000e+00,8.739969916031186115e-01,8.889169957240541375e-01,7.848978934135245611e-01,8.673700748181262243e-01,-2.220446049250313081e-16,9.227193213190415522e-01,9.008059443259774923e-01,1.127086269636846438e+00,9.292215925640081586e-01,9.703471857653804822e-01,9.386524351286722467e-01,1.245661670817964417e+00,9.998744550367814066e-01,8.805689554737723412e-01,9.593547118251224415e-01
