# Bashkir,Buryat,Chuvash,Evenki,Japanese,Kalmyk,Kannada,Kazakh,Khalkha Mongolian,Korean,Malayalam,Manchu,Nanai,North Azerbaijani,Northern Uzbek,Sakha,Tamil,Tatar,Telugu,Turkish
0.000000000000000000e+00,9.372994081182648429e-01,9.042737573081035540e-01,9.310396020099329650e-01,1.143539663764508330e+00,7.634740800835146946e-01,9.397543526615348419e-01,2.476166008972811028e-01,9.052865680885805455e-01,9.663294922116831831e-01,9.220900242434548755e-01,9.979269932399197351e-01,1.000000000000000000e+00,7.864327516223121872e-01,7.231600114846138405e-01,9.379245947313266107e-01,9.400722828993807179e-01,6.321291204169491307e-01,9.149715172647359118e-01,7.409936233660011640e-01
9.372994081182648429e-01,4.899453151921632776e-01,9.334589390692612509e-01,9.757455045993058684e-01,1.194562598105384899e+00,9.383304956926107332e-01,8.858255615843795283e-01,9.246622003114604027e-01,9.374520476765365595e-01,8.654913092050334766e-01,9.920127322239524759e-01,9.818672333030867838e-01,1.000000000000000000e+00,9.562882844775199009e-01,9.919361513361674154e-01,9.359993894486658972e-01,9.774940663330125012e-01,8.480636456303765058e-01,9.263244851304121008e-01,9.745820602000551114e-01
9.042737573081035540e-01,9.334589390692612509e-01,2.220446049250313081e-16,9.348474717971798631e-01,1.158157282448427416e+00,8.246206595011112972e-01,9.101796194923048589e-01,7.379796089530281655e-01,9.367578397244827881e-01,9.105672066025572997e-01,9.322887635627979952e-01,1.000000000000000000e+00,8.232012324633071199e-01,7.140016637954962331e-01,8.836370107633458870e-01,9.135553464789141209e-01,1.000000000000000000e+00,8.942805986299212639e-01,8.875284833141530161e-01,6.796165127194988553e-01
9.310396020099329650e-01,9.757455045993058684e-01,9.348474717971798631e-01,0.000000000000000000e+00,1.279083967392867560e+00,9.520483978771023814e-01,1.000000000000000000e+00,9.243590870584635910e-01,9.301841646678468134e-01,9.449199678702899785e-01,9.340075510548891957e-01,9.121987271884508530e-01,1.000000000000000000e+00,9.919430160960739373e-01,1.000000000000000000e+00,1.000000000000000000e+00,9.265140250107319897e-01,9.535471408466340559e-01,1.000000000000000000e+00,9.301622919133201162e-01
1.143539663764508330e+00,1.194562598105384899e+00,1.158157282448427416e+00,1.279083967392867560e+00,0.000000000000000000e+00,1.086082578451525782e+00,1.278352147031037500e+00,1.136350121242182265e+00,1.147561667795490514e+00,1.236351641874700480e+00,1.208750560354209469e+00,1.209638357292122546e+00,1.072578440082680107e+00,1.007342255853594493e+00,1.172174836282461774e+00,1.086180811621396902e+00,1.368050998169635601e+00,1.380691462955372817e+00,1.109999589827697974e+00,1.201037260490912306e+00
7.634740800835146946e-01,9.383304956926107332e-01,8.246206595011112972e-01,9.520483978771023814e-01,1.086082578451525782e+00,1.110223024625156540e-16,8.697360703911354296e-01,7.535829100307898099e-01,7.327139377149045618e-01,9.907447179106413371e-01,9.717110075035041428e-01,9.899400395382098594e-01,1.000000000000000000e+00,7.845137750097528340e-01,8.929315185187396420e-01,8.884948892405631904e-01,9.522715269846743213e-01,8.676128945907508605e-01,8.779550154087162328e-01,8.370167650620667921e-01
9.397543526615348419e-01,8.858255615843795283e-01,9.101796194923048589e-01,1.000000000000000000e+00,1.278352147031037500e+00,8.697360703911354296e-01,-2.220446049250313081e-16,9.439825436350506305e-01,1.000000000000000000e+00,1.000000000000000000e+00,9.870014121653103434e-01,9.415608558276543638e-01,1.000000000000000000e+00,9.192921992388862762e-01,1.000000000000000000e+00,9.414184150040223464e-01,1.000000000000000000e+00,9.422478886203931037e-01,7.461646373993222614e-01,8.281067560628443402e-01
2.476166008972811028e-01,9.246622003114604027e-01,7.379796089530281655e-01,9.243590870584635910e-01,1.136350121242182265e+00,7.535829100307898099e-01,9.439825436350506305e-01,1.110223024625156540e-16,9.145610156470843632e-01,8.814865194335950171e-01,9.597439965593916877e-01,9.833478786363518687e-01,1.000000000000000000e+00,7.370800130381203186e-01,8.732305827096662476e-01,9.519196541991998828e-01,9.624535831659558616e-01,6.526661423682115215e-01,8.852841574819056980e-01,8.235358473074452235e-01
9.052865680885805455e-01,9.374520476765365595e-01,9.367578397244827881e-01,9.301841646678468134e-01,1.147561667795490514e+00,7.327139377149045618e-01,1.000000000000000000e+00,9.145610156470843632e-01,1.110223024625156540e-16,9.506244817052453833e-01,9.401160697742627637e-01,9.090147494448386212e-01,1.000000000000000000e+00,8.731797221823610622e-01,9.697161048396403249e-01,9.405125829956244576e-01,9.726651515801266745e-01,8.786775634466014173e-01,1.000000000000000000e+00,1.000000000000000000e+00
9.663294922116831831e-01,8.654913092050334766e-01,9.105672066025572997e-01,9.449199678702899785e-01,1.236351641874700480e+00,9.907447179106413371e-01,1.000000000000000000e+00,8.814865194335950171e-01,9.506244817052453833e-01,-2.220446049250313081e-16,9.811172056032404498e-01,9.564182507097671593e-01,1.000000000000000000e+00,9.162502382483563856e-01,9.856120540209670766e-01,9.372511017987680271e-01,8.963990761963464005e-01,8.905069164225649647e-01,1.000000000000000000e+00,8.866767949666209958e-01
9.220900242434548755e-01,9.920127322239524759e-01,9.322887635627979952e-01,9.340075510548891957e-01,1.208750560354209469e+00,9.717110075035041428e-01,9.870014121653103434e-01,9.597439965593916877e-01,9.401160697742627637e-01,9.811172056032404498e-01,4.948504727121174618e-01,9.167890773811683269e-01,9.946397584334565334e-01,9.429212189218902918e-01,9.594317097653997095e-01,1.000000000000000000e+00,8.575437594386379203e-01,9.744481042433296158e-01,9.547498168619146242e-01,9.650488378657444688e-01
9.979269932399197351e-01,9.818672333030867838e-01,1.000000000000000000e+00,9.121987271884508530e-01,1.209638357292122546e+00,9.899400395382098594e-01,9.415608558276543638e-01,9.833478786363518687e-01,9.090147494448386212e-01,9.564182507097671593e-01,9.167890773811683269e-01,-2.220446049250313081e-16,9.277013154057657252e-01,1.000000000000000000e+00,1.000000000000000000e+00,8.900546530760430342e-01,9.946089897634277088e-01,9.535036265427976332e-01,1.000000000000000000e+00,1.000000000000000000e+00
1.000000000000000000e+00,1.000000000000000000e+00,8.232012324633071199e-01,1.000000000000000000e+00,1.072578440082680107e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,9.946397584334565334e-01,9.277013154057657252e-01,0.000000000000000000e+00,2.689300525244548989e-01,1.000000000000000000e+00,5.530567077896465511e-01,1.000000000000000000e+00,9.782672483458700885e-01,1.000000000000000000e+00,1.000000000000000000e+00
7.864327516223121872e-01,9.562882844775199009e-01,7.140016637954962331e-01,9.919430160960739373e-01,1.007342255853594493e+00,7.845137750097528340e-01,9.192921992388862762e-01,7.370800130381203186e-01,8.731797221823610622e-01,9.162502382483563856e-01,9.429212189218902918e-01,1.000000000000000000e+00,2.689300525244548989e-01,0.000000000000000000e+00,6.859475920886022315e-01,9.857004230449497584e-01,9.678608497327517712e-01,8.876002887575408229e-01,8.369921395473132186e-01,9.001150769368717608e-01
7.231600114846138405e-01,9.919361513361674154e-01,8.836370107633458870e-01,1.000000000000000000e+00,1.172174836282461774e+00,8.929315185187396420e-01,1.000000000000000000e+00,8.732305827096662476e-01,9.697161048396403249e-01,9.856120540209670766e-01,9.594317097653997095e-01,1.000000000000000000e+00,1.000000000000000000e+00,6.859475920886022315e-01,1.110223024625156540e-16,9.147237991361690801e-01,1.000000000000000000e+00,7.472971854323899876e-01,1.000000000000000000e+00,8.508520550379723435e-01
9.379245947313266107e-01,9.359993894486658972e-01,9.135553464789141209e-01,1.000000000000000000e+00,1.086180811621396902e+00,8.884948892405631904e-01,9.414184150040223464e-01,9.519196541991998828e-01,9.405125829956244576e-01,9.372511017987680271e-01,1.000000000000000000e+00,8.900546530760430342e-01,5.530567077896465511e-01,9.857004230449497584e-01,9.147237991361690801e-01,2.035719297798405658e-01,9.791704558460541108e-01,9.961561320815865983e-01,9.332465138248273728e-01,9.875508987683153661e-01
9.400722828993807179e-01,9.774940663330125012e-01,1.000000000000000000e+00,9.265140250107319897e-01,1.368050998169635601e+00,9.522715269846743213e-01,1.000000000000000000e+00,9.624535831659558616e-01,9.726651515801266745e-01,8.963990761963464005e-01,8.575437594386379203e-01,9.946089897634277088e-01,1.000000000000000000e+00,9.678608497327517712e-01,1.000000000000000000e+00,9.791704558460541108e-01,-2.220446049250313081e-16,1.000000000000000000e+00,1.000000000000000000e+00,9.108230036265526630e-01
6.321291204169491307e-01,8.480636456303765058e-01,8.942805986299212639e-01,9.535471408466340559e-01,1.380691462955372817e+00,8.676128945907508605e-01,9.422478886203931037e-01,6.526661423682115215e-01,8.786775634466014173e-01,8.905069164225649647e-01,9.744481042433296158e-01,9.535036265427976332e-01,9.782672483458700885e-01,8.876002887575408229e-01,7.472971854323899876e-01,9.961561320815865983e-01,1.000000000000000000e+00,3.330669073875469621e-16,1.000000000000000000e+00,7.924885131614120004e-01
9.149715172647359118e-01,9.263244851304121008e-01,8.875284833141530161e-01,1.000000000000000000e+00,1.109999589827697974e+00,8.779550154087162328e-01,7.461646373993222614e-01,8.852841574819056980e-01,1.000000000000000000e+00,1.000000000000000000e+00,9.547498168619146242e-01,1.000000000000000000e+00,1.000000000000000000e+00,8.369921395473132186e-01,1.000000000000000000e+00,9.332465138248273728e-01,1.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,8.829135900042226481e-01
7.409936233660011640e-01,9.745820602000551114e-01,6.796165127194988553e-01,9.301622919133201162e-01,1.201037260490912306e+00,8.370167650620667921e-01,8.281067560628443402e-01,8.235358473074452235e-01,1.000000000000000000e+00,8.866767949666209958e-01,9.650488378657444688e-01,1.000000000000000000e+00,1.000000000000000000e+00,9.001150769368717608e-01,8.508520550379723435e-01,9.875508987683153661e-01,9.108230036265526630e-01,7.924885131614120004e-01,8.829135900042226481e-01,2.220446049250313081e-16
