# Bashkir,Buryat,Chuvash,Evenki,Japanese,Kalmyk,Kannada,Kazakh,Khalkha Mongolian,Korean,Malayalam,Manchu,Nanai,North Azerbaijani,Northern Uzbek,Sakha,Tamil,Tatar,Telugu,Turkish
2.220446049250313081e-16,9.363677208056068180e-01,8.408410701039361612e-01,9.650047941074199054e-01,1.117799619197048733e+00,9.615433205687099472e-01,9.043653305948424759e-01,8.763824858579996047e-01,9.527510161289228785e-01,1.000000000000000000e+00,9.131049151967570721e-01,9.955410793073529163e-01,1.000000000000000000e+00,9.664197634313962393e-01,9.654833816061794138e-01,9.205055719325750951e-01,1.109180992648495012e+00,1.000000000000000000e+00,9.918718508900018493e-01,9.555445412985529297e-01
9.363677208056068180e-01,-2.220446049250313081e-16,9.060905691468945644e-01,9.804365637160854519e-01,1.116301807886447950e+00,7.099360414610802472e-01,9.696397733455501822e-01,9.035358841099041527e-01,8.323434808906199356e-01,5.360881698463069167e-01,9.856411460923547585e-01,9.036491166718298995e-01,9.724063274016616631e-01,8.937015664946909022e-01,9.633466853872985070e-01,9.569172975630354516e-01,1.249190604243970881e+00,8.808852465206620241e-01,9.862606086269607442e-01,9.189271047125545655e-01
8.408410701039361612e-01,9.060905691468945644e-01,0.000000000000000000e+00,9.948000579766771434e-01,1.140554882189269925e+00,9.830816434559986883e-01,9.961875733966368829e-01,8.312608181217924219e-01,6.713974935553310708e-01,9.486071012163452831e-01,1.000000000000000000e+00,9.898947514801562653e-01,9.310337851806047560e-01,8.456160146040891945e-01,1.000000000000000000e+00,8.572317573366377008e-01,1.046286157231086866e+00,6.572100770185018703e-01,9.857435688557789621e-01,9.288313117036188782e-01
9.650047941074199054e-01,9.804365637160854519e-01,9.948000579766771434e-01,3.888193738027918012e-01,1.213805156600963109e+00,9.424747824753793024e-01,9.620127323941964903e-01,9.750296521985147846e-01,9.673508029131123731e-01,9.748740922330034753e-01,9.878420043693826313e-01,9.012904928939805549e-01,9.141374949908849246e-01,8.811894983499657386e-01,9.461015314148011335e-01,9.669064650621366219e-01,1.203651749884047772e+00,9.480403670628838597e-01,9.258333627536072807e-01,8.963409812962084278e-01
1.117799619197048733e+00,1.116301807886447950e+00,1.140554882189269925e+00,1.213805156600963109e+00,2.220446049250313081e-16,1.143748842235236207e+00,1.321633295859887092e+00,1.129793714974177687e+00,1.158257485795976649e+00,1.239712794978614196e+00,1.305228772089759071e+00,1.300505082896269871e+00,1.080731904063677806e+00,1.159450924052131793e+00,1.173884843927319510e+00,1.297428213670483110e+00,1.470244391924264038e+00,1.084245235806394536e+00,1.379503546941878600e+00,1.151146788684274114e+00
9.615433205687099472e-01,7.099360414610802472e-01,9.830816434559986883e-01,9.424747824753793024e-01,1.143748842235236207e+00,0.000000000000000000e+00,9.787590294177701544e-01,9.501522732889658984e-01,6.416009711082220068e-01,9.912845817416892080e-01,9.803530043000011629e-01,9.852690403025199384e-01,9.675202893625282075e-01,7.473018980267381872e-01,9.844293115992195364e-01,8.342224388712353722e-01,1.189259229338936130e+00,9.696272524484004229e-01,9.866436100073737725e-01,9.915866869618275015e-01
9.043653305948424759e-01,9.696397733455501822e-01,9.961875733966368829e-01,9.620127323941964903e-01,1.321633295859887092e+00,9.787590294177701544e-01,-2.220446049250313081e-16,8.403705060786901271e-01,9.629885575922687568e-01,9.934466612480437053e-01,1.000000000000000000e+00,9.429141346644749344e-01,8.491193967283084953e-01,9.758673456291995230e-01,8.969090561923999116e-01,8.168338723885837371e-01,1.106739660965737171e+00,9.443786370316296086e-01,9.851972901775747360e-01,9.667269045577064901e-01
8.763824858579996047e-01,9.035358841099041527e-01,8.312608181217924219e-01,9.750296521985147846e-01,1.129793714974177687e+00,9.501522732889658984e-01,8.403705060786901271e-01,0.000000000000000000e+00,7.496641512761321735e-01,9.495205844644645232e-01,9.939825643913235975e-01,9.396453764423935429e-01,6.012613516579212725e-01,9.222647269071869713e-01,9.118005914357438790e-01,8.273505444762345729e-01,1.072409260453652147e+00,5.589538588308529121e-01,9.989659072670353801e-01,8.925026547831353962e-01
9.527510161289228785e-01,8.323434808906199356e-01,6.713974935553310708e-01,9.673508029131123731e-01,1.158257485795976649e+00,6.416009711082220068e-01,9.629885575922687568e-01,7.496641512761321735e-01,0.000000000000000000e+00,9.896913365299356835e-01,9.867399260789296855e-01,9.749488582220726673e-01,9.807961838619707606e-01,9.340142383756343536e-01,6.232262678495525954e-01,1.000000000000000000e+00,1.226559857546219767e+00,8.950992552656782397e-01,9.911625495371702010e-01,9.464601053089907179e-01
1.000000000000000000e+00,5.360881698463069167e-01,9.486071012163452831e-01,9.748740922330034753e-01,1.239712794978614196e+00,9.912845817416892080e-01,9.934466612480437053e-01,9.495205844644645232e-01,9.896913365299356835e-01,4.440892098500626162e-16,1.000000000000000000e+00,9.899035132458561259e-01,9.821240980562725431e-01,9.021729966562760383e-01,9.645841958880631006e-01,9.895790235619525976e-01,1.292429763489328920e+00,9.431202232917401673e-01,9.248321804274488578e-01,9.849763382082638019e-01
9.131049151967570721e-01,9.856411460923547585e-01,1.000000000000000000e+00,9.878420043693826313e-01,1.305228772089759071e+00,9.803530043000011629e-01,1.000000000000000000e+00,9.939825643913235975e-01,9.867399260789296855e-01,1.000000000000000000e+00,2.220446049250313081e-16,9.790660157568844557e-01,9.825306545300455108e-01,1.000000000000000000e+00,8.724315762470977731e-01,1.000000000000000000e+00,1.135355426793853262e+00,8.343465466352083526e-01,9.883541672487528018e-01,1.000000000000000000e+00
9.955410793073529163e-01,9.036491166718298995e-01,9.898947514801562653e-01,9.012904928939805549e-01,1.300505082896269871e+00,9.852690403025199384e-01,9.429141346644749344e-01,9.396453764423935429e-01,9.749488582220726673e-01,9.899035132458561259e-01,9.790660157568844557e-01,4.774048783117466610e-01,8.706301151618598411e-01,9.561920854366594558e-01,9.524630450040102447e-01,9.303097962057700343e-01,1.269542463123637610e+00,9.313208071273488819e-01,9.798449695336276521e-01,9.809960005931541716e-01
1.000000000000000000e+00,9.724063274016616631e-01,9.310337851806047560e-01,9.141374949908849246e-01,1.080731904063677806e+00,9.675202893625282075e-01,8.491193967283084953e-01,6.012613516579212725e-01,9.807961838619707606e-01,9.821240980562725431e-01,9.825306545300455108e-01,8.706301151618598411e-01,0.000000000000000000e+00,1.000000000000000000e+00,9.752716521711741748e-01,8.920001203211486152e-01,1.138994130508677260e+00,7.644588350518705111e-01,9.866892497425243658e-01,9.822243937087106191e-01
9.664197634313962393e-01,8.937015664946909022e-01,8.456160146040891945e-01,8.811894983499657386e-01,1.159450924052131793e+00,7.473018980267381872e-01,9.758673456291995230e-01,9.222647269071869713e-01,9.340142383756343536e-01,9.021729966562760383e-01,1.000000000000000000e+00,9.561920854366594558e-01,1.000000000000000000e+00,2.220446049250313081e-16,8.704397795149704242e-01,1.000000000000000000e+00,1.232414691788230154e+00,7.071068912683855512e-01,9.942452384706642610e-01,9.521565363443384999e-02
