# Bashkir,Buryat,Chuvash,Evenki,Japanese,Kalmyk,Kannada,Kazakh,Khalkha Mongolian,Korean,Malayalam,Manchu,Nanai,North Azerbaijani,Northern Uzbek,Sakha,Tamil,Tatar,Telugu,Turkish
2.220446049250313081e-16,8.839680719682627696e-01,9.433342515278480001e-01,8.778484520659537438e-01,1.000000000000000000e+00,8.783979577416385354e-01,8.073834640932369133e-01,8.695650526771722122e-01,9.882749218148891845e-01,8.457003986200043455e-01,8.831167568084763442e-01,1.000000000000000000e+00,8.372183408637448032e-01,7.108851765739147011e-01,6.676303266938541370e-01,6.405689678631675266e-01,1.035225874929357692e+00,5.208289163509611797e-01,9.966581453321772255e-01,8.997623684760938101e-01
8.839680719682627696e-01,-2.220446049250313081e-16,8.601235226261636502e-01,7.957341201789485119e-01,9.068959343990088406e-01,2.763833031493559966e-01,8.663262427395885812e-01,9.367195105855274928e-01,2.252263371541722847e-01,8.960657353323926433e-01,9.065881590689101044e-01,9.832128196883618276e-01,8.878910572928190303e-01,9.057308434993359691e-01,9.060784668132213504e-01,8.202919703176911881e-01,1.195738531060628329e+00,8.079289999896712704e-01,1.000000000000000000e+00,8.881921113329932504e-01
9.433342515278480001e-01,8.601235226261636502e-01,3.369792867017458171e-01,8.833987757462835599e-01,9.274842429414856815e-01,9.152414980947458645e-01,8.382063046114265337e-01,9.270795433544039010e-01,9.185041987118920392e-01,8.815500093117047964e-01,8.964155945574521223e-01,9.992436216969106111e-01,8.980995467936493393e-01,8.564834018723979092e-01,8.671046619636593178e-01,9.769805999183138745e-01,1.036979765585915647e+00,7.151161989620513637e-01,9.912054713619979918e-01,9.800591353328131916e-01
8.778484520659537438e-01,7.957341201789485119e-01,8.833987757462835599e-01,1.110223024625156540e-16,8.765138653388944157e-01,8.997671858439292292e-01,9.245896566285808360e-01,9.149731797006248613e-01,9.110308588199751423e-01,9.053168827775017746e-01,9.446030221718932918e-01,1.000000000000000000e+00,1.000000000000000000e+00,8.180989413097319307e-01,7.973904536962080902e-01,9.175436801809244702e-01,1.146593324696387528e+00,9.046154980089893272e-01,9.878469379908455528e-01,9.554945151977307649e-01
1.000000000000000000e+00,9.068959343990088406e-01,9.274842429414856815e-01,8.765138653388944157e-01,1.110223024625156540e-16,9.937798854413423255e-01,9.468864674937131909e-01,9.394326921648060713e-01,1.000000000000000000e+00,1.000000000000000000e+00,8.767117099585366446e-01,9.370465657675435267e-01,9.408031491328584517e-01,9.259792390190918487e-01,8.437448148818860183e-01,1.000000000000000000e+00,9.382309872043357313e-01,8.401766815968150226e-01,1.000000000000000000e+00,1.000000000000000000e+00
8.783979577416385354e-01,2.763833031493559966e-01,9.152414980947458645e-01,8.997671858439292292e-01,9.937798854413423255e-01,0.000000000000000000e+00,8.149643799150853019e-01,9.582899819063674940e-01,2.669779688838813669e-01,9.071658261464639050e-01,9.152300010040901324e-01,9.308190972343124425e-01,9.055169258344161198e-01,9.186410699149561987e-01,9.166178660558444991e-01,8.340056983982868655e-01,1.212952928671076958e+00,8.693344993293850020e-01,1.000000000000000000e+00,7.385397921916300179e-01
8.073834640932369133e-01,8.663262427395885812e-01,8.382063046114265337e-01,9.245896566285808360e-01,9.468864674937131909e-01,8.149643799150853019e-01,0.000000000000000000e+00,9.912765873645752457e-01,9.420332327800878813e-01,9.272112808538974793e-01,8.232951380204225345e-01,9.590851836004272712e-01,9.304408433956949942e-01,8.205734564341071735e-01,8.141278473086022149e-01,8.116472804756534876e-01,9.708925030127713018e-01,7.444312695163513016e-01,9.928810729278877423e-01,7.862079043136731560e-01
8.695650526771722122e-01,9.367195105855274928e-01,9.270795433544039010e-01,9.149731797006248613e-01,9.394326921648060713e-01,9.582899819063674940e-01,9.912765873645752457e-01,1.110223024625156540e-16,9.788957296147461351e-01,9.144470510399881347e-01,8.800706459286542493e-01,9.606654845771318563e-01,8.920733098209339129e-01,8.140064071768281506e-01,8.831682696117889586e-01,8.275479903347252586e-01,1.028148769909309257e+00,8.584241271785183480e-01,9.557639852923368595e-01,8.150377977429577037e-01
9.882749218148891845e-01,2.252263371541722847e-01,9.185041987118920392e-01,9.110308588199751423e-01,1.000000000000000000e+00,2.669779688838813669e-01,9.420332327800878813e-01,9.788957296147461351e-01,-2.220446049250313081e-16,9.441834493033673947e-01,9.386468242008406682e-01,9.710398962265975875e-01,9.750290228553134542e-01,8.791002077422147565e-01,9.314691687304292866e-01,9.419494467542370852e-01,1.196677480987013764e+00,9.208399979173048644e-01,1.000000000000000000e+00,6.932320323702374498e-01
8.457003986200043455e-01,8.960657353323926433e-01,8.815500093117047964e-01,9.053168827775017746e-01,1.000000000000000000e+00,9.071658261464639050e-01,9.272112808538974793e-01,9.144470510399881347e-01,9.441834493033673947e-01,1.110223024625156540e-16,9.420035483492399386e-01,7.637473294567711513e-01,1.000000000000000000e+00,9.273786450866160491e-01,9.279484441030025899e-01,9.602799111265014620e-01,9.435244319887697850e-01,8.117229750446212089e-01,9.789338699650513842e-01,9.957751856533437751e-01
8.831167568084763442e-01,9.065881590689101044e-01,8.964155945574521223e-01,9.446030221718932918e-01,8.767117099585366446e-01,9.152300010040901324e-01,8.232951380204225345e-01,8.800706459286542493e-01,9.386468242008406682e-01,9.420035483492399386e-01,2.220446049250313081e-16,9.762893644341276156e-01,9.566332032088024073e-01,8.538903909608506204e-01,9.019525145770159735e-01,9.149633853447484144e-01,1.113185271287280731e+00,8.613026938025015733e-01,9.983650813230106058e-01,8.491949405652019500e-01
1.000000000000000000e+00,9.832128196883618276e-01,9.992436216969106111e-01,1.000000000000000000e+00,9.370465657675435267e-01,9.308190972343124425e-01,9.590851836004272712e-01,9.606654845771318563e-01,9.710398962265975875e-01,7.637473294567711513e-01,9.762893644341276156e-01,1.650853745020274266e-01,1.000000000000000000e+00,9.866168598034377180e-01,9.927951312046092713e-01,1.000000000000000000e+00,1.244668796451348092e+00,9.899609265918303258e-01,9.404946743349815730e-01,9.938303981668616949e-01
8.372183408637448032e-01,8.878910572928190303e-01,8.980995467936493393e-01,1.000000000000000000e+00,9.408031491328584517e-01,9.055169258344161198e-01,9.304408433956949942e-01,8.920733098209339129e-01,9.750290228553134542e-01,1.000000000000000000e+00,9.566332032088024073e-01,1.000000000000000000e+00,1.110223024625156540e-16,9.552764383710840024e-01,9.823297047195281850e-01,1.000000000000000000e+00,1.071466337451842055e+00,8.005572871648352073e-01,1.000000000000000000e+00,1.000000000000000000e+00
