# Bashkir,Buryat,Chuvash,Evenki,Japanese,Kalmyk,Kannada,Kazakh,Khalkha Mongolian,Korean,Malayalam,Manchu,Nanai,North Azerbaijani,Northern Uzbek,Sakha,Tamil,Tatar,Telugu,Turkish
0.000000000000000000e+00,1.000000000000000000e+00,1.018620137990214891e+00,7.925295186777489009e-01,9.922928677377292894e-01,9.589963447368801130e-01,9.960216082592232567e-01,4.633337593602049331e-01,1.000000000000000000e+00,9.024390272241615829e-01,9.242309327572294508e-01,9.664984838235960440e-01,1.028893884266805614e+00,4.136157681534303743e-01,3.423653168805319558e-01,1.126799232834916786e+00,1.173856709572905777e+00,2.868192707804575470e-01,1.000000000000000000e+00,3.683730710365172856e-01
1.000000000000000000e+00,0.000000000000000000e+00,1.076906531995504013e+00,9.359981085375553844e-01,1.266382751864754352e+00,7.187222486481422701e-01,9.019554258387761925e-01,1.000000000000000000e+00,4.700828454013530333e-01,9.390374377092488567e-01,1.000000000000000000e+00,9.505438414798610403e-01,8.956746417529789506e-01,9.557697632151045397e-01,9.831267399388274875e-01,9.981507816707249070e-01,1.289674071233427810e+00,1.000000000000000000e+00,9.371548364797933628e-01,7.447422780373105233e-01
1.018620137990214891e+00,1.076906531995504013e+00,5.709472599608714782e-01,1.008253011561092150e+00,1.117340365381184197e+00,1.062264035334405943e+00,1.118718407315085761e+00,1.013127033406160393e+00,1.031199137163764545e+00,1.059218849948549090e+00,9.886140608010980380e-01,1.070045107220458869e+00,1.124045897325301802e+00,1.031536955361148644e+00,1.015074481708772902e+00,1.086490855876742989e+00,1.177383500823375506e+00,1.024708353308429132e+00,9.903030631565625796e-01,1.022031728543516316e+00
7.925295186777489009e-01,9.359981085375553844e-01,1.008253011561092150e+00,1.110223024625156540e-16,9.831331546744258576e-01,9.316014133751991944e-01,9.340749732034268060e-01,8.075667261242430728e-01,8.116862922113531331e-01,9.527127402025881153e-01,8.644107578868263086e-01,9.582423045770436243e-01,1.011860957697202856e+00,8.163736319629536498e-01,8.136441669416062394e-01,1.124985449880593791e+00,1.249141504705962857e+00,8.012439993509903324e-01,9.589578440838341100e-01,8.064430207144704932e-01
9.922928677377292894e-01,1.266382751864754352e+00,1.117340365381184197e+00,9.831331546744258576e-01,0.000000000000000000e+00,1.095590003596444095e+00,1.227533445915572674e+00,1.008049821413866232e+00,1.079564364199170123e+00,1.187028438033776112e+00,1.358845284714305546e+00,1.307465949450128395e+00,1.250757431042706980e+00,9.789667279090236152e-01,1.075753707947083804e+00,1.224745376622811133e+00,1.114238748271397572e+00,1.010642295025885540e+00,1.252134768782649843e+00,1.079332895088272126e+00
9.589963447368801130e-01,7.187222486481422701e-01,1.062264035334405943e+00,9.316014133751991944e-01,1.095590003596444095e+00,1.110223024625156540e-16,8.805064708053373934e-01,9.234305029491208794e-01,7.743227937647781944e-01,1.000000000000000000e+00,9.723347071715716661e-01,9.498016548340880716e-01,1.063384451641191220e+00,1.000000000000000000e+00,1.000000000000000000e+00,9.698290229555528441e-01,1.060137509233162190e+00,9.622417286619656673e-01,8.473525293582302442e-01,9.591965085904696764e-01
9.960216082592232567e-01,9.019554258387761925e-01,1.118718407315085761e+00,9.340749732034268060e-01,1.227533445915572674e+00,8.805064708053373934e-01,-2.220446049250313081e-16,9.820251117765489424e-01,9.974488229854374666e-01,1.000000000000000000e+00,9.959549142923510567e-01,9.641411051926863651e-01,1.101050147998966722e+00,1.000000000000000000e+00,9.939420306876173283e-01,1.006389114662471052e+00,1.280701360782486198e+00,9.837721726476281736e-01,8.620842498094954953e-01,1.000000000000000000e+00
4.633337593602049331e-01,1.000000000000000000e+00,1.013127033406160393e+00,8.075667261242430728e-01,1.008049821413866232e+00,9.234305029491208794e-01,9.820251117765489424e-01,0.000000000000000000e+00,1.000000000000000000e+00,9.964693972520676235e-01,9.464564409425593183e-01,9.907353402710761259e-01,1.060787188147698457e+00,4.117483918258211251e-01,4.123883680464779378e-01,1.115129330676797537e+00,1.218569606847449416e+00,3.175787983452418306e-01,9.635207294398971944e-01,4.853963958396192435e-01
1.000000000000000000e+00,4.700828454013530333e-01,1.031199137163764545e+00,8.116862922113531331e-01,1.079564364199170123e+00,7.743227937647781944e-01,9.974488229854374666e-01,1.000000000000000000e+00,0.000000000000000000e+00,9.390138879614676748e-01,9.988063358560593796e-01,8.033005398512115258e-01,9.551132301348579379e-01,9.624733583626332578e-01,1.000000000000000000e+00,1.097914782456945071e+00,1.183614550073135430e+00,1.000000000000000000e+00,9.420599284182085142e-01,9.428298818078235666e-01
9.024390272241615829e-01,9.390374377092488567e-01,1.059218849948549090e+00,9.527127402025881153e-01,1.187028438033776112e+00,1.000000000000000000e+00,1.000000000000000000e+00,9.964693972520676235e-01,9.390138879614676748e-01,-2.220446049250313081e-16,1.000000000000000000e+00,9.364476250053146433e-01,1.029287691061709920e+00,9.030331675876378528e-01,8.952561561329105411e-01,1.161610713062581013e+00,1.125681781440771134e+00,8.918830582504516657e-01,9.369809477688751942e-01,8.982696813973072292e-01
9.242309327572294508e-01,1.000000000000000000e+00,9.886140608010980380e-01,8.644107578868263086e-01,1.358845284714305546e+00,9.723347071715716661e-01,9.959549142923510567e-01,9.464564409425593183e-01,9.988063358560593796e-01,1.000000000000000000e+00,2.220446049250313081e-16,9.668663392122022193e-01,1.142039871484774372e+00,9.850779310939574707e-01,9.528006577368532959e-01,1.137293574213570357e+00,1.146666756712792612e+00,9.793423913783473322e-01,6.562817481654092955e-01,9.764669373655584517e-01
9.664984838235960440e-01,9.505438414798610403e-01,1.070045107220458869e+00,9.582423045770436243e-01,1.307465949450128395e+00,9.498016548340880716e-01,9.641411051926863651e-01,9.907353402710761259e-01,8.033005398512115258e-01,9.364476250053146433e-01,9.668663392122022193e-01,-2.220446049250313081e-16,9.568448618940760264e-01,9.218260313458811472e-01,8.763373425054422627e-01,1.138448945946015645e+00,1.283027162418994616e+00,9.166827794030145693e-01,9.084376566064559233e-01,9.828843705228079708e-01
1.028893884266805614e+00,8.956746417529789506e-01,1.124045897325301802e+00,1.011860957697202856e+00,1.250757431042706980e+00,1.063384451641191220e+00,1.101050147998966722e+00,1.060787188147698457e+00,9.551132301348579379e-01,1.029287691061709920e+00,1.142039871484774372e+00,9.568448618940760264e-01,5.550437886231875950e-01,1.084935301324025048e+00,1.080078534031013060e+00,1.160014037935823694e+00,1.238105802668518329e+00,1.013869321249941891e+00,1.171763493149124535e+00,1.044922427980005564e+00
4.136157681534303743e-01,9.557697632151045397e-01,1.031536955361148644e+00,8.163736319629536498e-01,9.789667279090236152e-01,1.000000000000000000e+00,1.000000000000000000e+00,4.117483918258211251e-01,9.624733583626332578e-01,9.030331675876378528e-01,9.850779310939574707e-01,9.218260313458811472e-01,1.084935301324025048e+00,-2.220446049250313081e-16,2.765562721790273404e-01,1.132611240348039061e+00,1.180187803665126323e+00,1.802766479447045489e-01,1.000000000000000000e+00,2.031798202101962048e-01
3.423653168805319558e-01,9.831267399388274875e-01,1.015074481708772902e+00,8.136441669416062394e-01,1.075753707947083804e+00,1.000000000000000000e+00,9.939420306876173283e-01,4.123883680464779378e-01,1.000000000000000000e+00,8.952561561329105411e-01,9.528006577368532959e-01,8.763373425054422627e-01,1.080078534031013060e+00,2.765562721790273404e-01,3.330669073875469621e-16,1.137638442703239328e+00,1.127919975772892602e+00,2.438493536066067557e-01,9.453313504587472771e-01,3.080575931687773439e-01
1.126799232834916786e+00,9.981507816707249070e-01,1.086490855876742989e+00,1.124985449880593791e+00,1.224745376622811133e+00,9.698290229555528441e-01,1.006389114662471052e+00,1.115129330676797537e+00,1.097914782456945071e+00,1.161610713062581013e+00,1.137293574213570357e+00,1.138448945946015645e+00,1.160014037935823694e+00,1.132611240348039061e+00,1.137638442703239328e+00,3.959638298656298905e-01,1.260717024570239042e+00,1.075092943450646654e+00,1.017481969726560465e+00,1.143095272892582281e+00
1.173856709572905777e+00,1.289674071233427810e+00,1.177383500823375506e+00,1.249141504705962857e+00,1.114238748271397572e+00,1.060137509233162190e+00,1.280701360782486198e+00,1.218569606847449416e+00,1.183614550073135430e+00,1.125681781440771134e+00,1.146666756712792612e+00,1.283027162418994616e+00,1.238105802668518329e+00,1.180187803665126323e+00,1.127919975772892602e+00,1.260717024570239042e+00,-2.220446049250313081e-16,1.174870246346145342e+00,9.474433962945932874e-01,1.169943553265099911e+00
2.868192707804575470e-01,1.000000000000000000e+00,1.024708353308429132e+00,8.012439993509903324e-01,1.010642295025885540e+00,9.622417286619656673e-01,9.837721726476281736e-01,3.175787983452418306e-01,1.000000000000000000e+00,8.918830582504516657e-01,9.793423913783473322e-01,9.166827794030145693e-01,1.013869321249941891e+00,1.802766479447045489e-01,2.438493536066067557e-01,1.075092943450646654e+00,1.174870246346145342e+00,2.220446049250313081e-16,1.000000000000000000e+00,3.552667548513951390e-01
1.000000000000000000e+00,9.371548364797933628e-01,9.903030631565625796e-01,9.589578440838341100e-01,1.252134768782649843e+00,8.473525293582302442e-01,8.620842498094954953e-01,9.635207294398971944e-01,9.420599284182085142e-01,9.369809477688751942e-01,6.562817481654092955e-01,9.084376566064559233e-01,1.171763493149124535e+00,1.000000000000000000e+00,9.453313504587472771e-01,1.017481969726560465e+00,9.474433962945932874e-01,1.000000000000000000e+00,3.330669073875469621e-16,9.931741998523035964e-01
3.683730710365172856e-01,7.447422780373105233e-01,1.022031728543516316e+00,8.064430207144704932e-01,1.079332895088272126e+00,9.591965085904696764e-01,1.000000000000000000e+00,4.853963958396192435e-01,9.428298818078235666e-01,8.982696813973072292e-01,9.764669373655584517e-01,9.828843705228079708e-01,1.044922427980005564e+00,2.031798202101962048e-01,3.080575931687773439e-01,1.143095272892582281e+00,1.169943553265099911e+00,3.552667548513951390e-01,9.931741998523035964e-01,0.000000000000000000e+00
