# Bashkir,Buryat,Chuvash,Evenki,Japanese,Kalmyk,Kannada,Kazakh,Khalkha Mongolian,Korean,Malayalam,Manchu,Nanai,North Azerbaijani,Northern Uzbek,Sakha,Tamil,Tatar,Telugu,Turkish
0.000000000000000000e+00,9.684315083728993745e-01,9.427288661339932041e-01,7.753043071859587743e-01,1.000000000000000000e+00,7.849171880473500007e-01,8.655229844132195094e-01,3.929888989133976107e-01,8.550289613797734667e-01,9.393760051335569017e-01,9.839947327162648083e-01,8.168726008187093823e-01,9.762433053889151280e-01,4.627135018013864842e-01,8.249204766643959408e-01,9.588444407791567592e-01,9.744928156135196362e-01,4.239860142491103101e-01,1.000000000000000000e+00,7.612352353979375819e-01
9.684315083728993745e-01,0.000000000000000000e+00,9.796027673291312077e-01,1.000000000000000000e+00,1.000000000000000000e+00,7.287709404057893803e-01,9.773773921439142809e-01,8.895571251864250462e-01,9.979011071791598075e-01,9.578457382962886069e-01,9.007347887196184288e-01,1.000000000000000000e+00,1.000000000000000000e+00,8.869968451375831453e-01,8.142463795401112536e-01,9.349286491801998000e-01,9.120911491253209658e-01,9.107410881927830992e-01,9.984046866891482797e-01,1.000000000000000000e+00
9.427288661339932041e-01,9.796027673291312077e-01,5.000000000000000000e-01,7.522925808467004760e-01,9.788597865336832182e-01,8.325756805598000243e-01,8.743190032128892453e-01,9.605480455430432940e-01,9.877928760643368555e-01,9.308072963753359907e-01,8.893045589046232324e-01,8.034571045028688907e-01,9.899675343860607768e-01,8.461808633687496473e-01,8.993491945406180132e-01,9.603069364792894413e-01,8.823413156078219188e-01,9.812777417573460559e-01,8.072428376991136467e-01,8.662747039398266402e-01
7.753043071859587743e-01,1.000000000000000000e+00,7.522925808467004760e-01,0.000000000000000000e+00,7.145978029707846790e-01,1.000000000000000000e+00,8.011326727690575300e-01,9.693744555998650148e-01,9.129824590721001831e-01,9.396147672075860768e-01,9.612530955707722091e-01,9.035868980825838559e-01,1.000000000000000000e+00,8.503584743391294776e-01,9.239178174078951367e-01,8.943647174722895166e-01,9.747778950793657415e-01,8.227198832614084356e-01,9.066767034169528339e-01,6.843494237375105094e-01
1.000000000000000000e+00,1.000000000000000000e+00,9.788597865336832182e-01,7.145978029707846790e-01,1.110223024625156540e-16,1.000000000000000000e+00,8.588272645296476382e-01,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,8.682486072711279590e-01,9.564037747704314807e-01,9.930300377374778886e-01,1.000000000000000000e+00,9.686066320161659249e-01,1.000000000000000000e+00,9.930510455779917312e-01,1.000000000000000000e+00,8.188106236164405249e-01
7.849171880473500007e-01,7.287709404057893803e-01,8.325756805598000243e-01,1.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,9.849973801474509738e-01,7.563451620447952939e-01,8.446706229609259875e-01,9.846231896408090822e-01,8.919681183701508864e-01,8.148123178711343950e-01,9.293406797287364629e-01,6.308696949908633167e-01,6.804769100184138164e-01,1.000000000000000000e+00,8.572798768673046688e-01,8.147427543705266784e-01,8.086033120767890381e-01,9.493335600643698635e-01
8.655229844132195094e-01,9.773773921439142809e-01,8.743190032128892453e-01,8.011326727690575300e-01,8.588272645296476382e-01,9.849973801474509738e-01,1.110223024625156540e-16,9.832131288724971219e-01,1.000000000000000000e+00,9.631088368316276238e-01,6.316991792461357225e-01,9.945550275724466260e-01,9.836701771603713063e-01,9.066014507181292537e-01,1.000000000000000000e+00,9.722295403857813545e-01,6.850294733234445488e-01,8.702227882191440056e-01,1.000000000000000000e+00,7.991761657616763825e-01
3.929888989133976107e-01,8.895571251864250462e-01,9.605480455430432940e-01,9.693744555998650148e-01,1.000000000000000000e+00,7.563451620447952939e-01,9.832131288724971219e-01,0.000000000000000000e+00,8.307401923628454643e-01,8.788373613857257682e-01,9.764621650263359820e-01,8.140686493251630962e-01,9.565556191004044306e-01,5.425345350172330328e-01,8.042799069378210319e-01,9.312553137558285954e-01,9.627744868755624408e-01,8.532860436622807798e-01,8.861859003391117096e-01,9.036462228835431265e-01
8.550289613797734667e-01,9.979011071791598075e-01,9.877928760643368555e-01,9.129824590721001831e-01,1.000000000000000000e+00,8.446706229609259875e-01,1.000000000000000000e+00,8.307401923628454643e-01,3.330669073875469621e-16,1.000000000000000000e+00,9.137442811167354462e-01,7.525196880805913313e-01,9.575062090704856699e-01,8.387476301492888808e-01,9.976273332659258974e-01,9.724756606835116557e-01,8.909592826555416956e-01,8.540295763530271200e-01,9.162266888606326320e-01,9.470403946530889794e-01
9.393760051335569017e-01,9.578457382962886069e-01,9.308072963753359907e-01,9.396147672075860768e-01,1.000000000000000000e+00,9.846231896408090822e-01,9.631088368316276238e-01,8.788373613857257682e-01,1.000000000000000000e+00,0.000000000000000000e+00,8.972728674989163267e-01,9.729765238619559886e-01,1.000000000000000000e+00,6.909338937030444772e-01,9.557047525510311559e-01,6.885828110572473904e-01,8.830495765920555185e-01,9.143944774739776182e-01,8.790968817741601216e-01,1.000000000000000000e+00
9.839947327162648083e-01,9.007347887196184288e-01,8.893045589046232324e-01,9.612530955707722091e-01,1.000000000000000000e+00,8.919681183701508864e-01,6.316991792461357225e-01,9.764621650263359820e-01,9.137442811167354462e-01,8.972728674989163267e-01,0.000000000000000000e+00,9.399104450523092513e-01,9.229690828429097937e-01,9.745589248496879797e-01,1.000000000000000000e+00,9.774552101749449662e-01,2.254159289760173657e-01,9.671047553391400875e-01,1.000000000000000000e+00,9.614102024287853876e-01
8.168726008187093823e-01,1.000000000000000000e+00,8.034571045028688907e-01,9.035868980825838559e-01,8.682486072711279590e-01,8.148123178711343950e-01,9.945550275724466260e-01,8.140686493251630962e-01,7.525196880805913313e-01,9.729765238619559886e-01,9.399104450523092513e-01,1.183354158351833108e-01,7.882172509970455376e-01,8.457776117924372672e-01,9.277357445370969513e-01,9.693566542063269953e-01,9.276078622855701283e-01,8.625226526821594408e-01,8.912277801000061395e-01,9.582403593235546690e-01
9.762433053889151280e-01,1.000000000000000000e+00,9.899675343860607768e-01,1.000000000000000000e+00,9.564037747704314807e-01,9.293406797287364629e-01,9.836701771603713063e-01,9.565556191004044306e-01,9.575062090704856699e-01,1.000000000000000000e+00,9.229690828429097937e-01,7.882172509970455376e-01,0.000000000000000000e+00,9.753283198026337919e-01,1.000000000000000000e+00,9.396971536266867098e-01,9.108500876464831197e-01,9.569125627578627391e-01,9.714674357485313383e-01,8.482082647766987504e-01
4.627135018013864842e-01,8.869968451375831453e-01,8.461808633687496473e-01,8.503584743391294776e-01,9.930300377374778886e-01,6.308696949908633167e-01,9.066014507181292537e-01,5.425345350172330328e-01,8.387476301492888808e-01,6.909338937030444772e-01,9.745589248496879797e-01,8.457776117924372672e-01,9.753283198026337919e-01,0.000000000000000000e+00,8.501030430746303601e-01,9.582532641367484949e-01,9.801889898554415614e-01,8.284714767601922825e-01,1.000000000000000000e+00,7.952169484736231198e-01
8.249204766643959408e-01,8.142463795401112536e-01,8.993491945406180132e-01,9.239178174078951367e-01,1.000000000000000000e+00,6.804769100184138164e-01,1.000000000000000000e+00,8.042799069378210319e-01,9.976273332659258974e-01,9.557047525510311559e-01,1.000000000000000000e+00,9.277357445370969513e-01,1.000000000000000000e+00,8.501030430746303601e-01,0.000000000000000000e+00,9.706524333713408836e-01,9.650490429692706318e-01,8.586044302058962741e-01,9.173293275402901736e-01,1.000000000000000000e+00
9.588444407791567592e-01,9.349286491801998000e-01,9.603069364792894413e-01,8.943647174722895166e-01,9.686066320161659249e-01,1.000000000000000000e+00,9.722295403857813545e-01,9.312553137558285954e-01,9.724756606835116557e-01,6.885828110572473904e-01,9.774552101749449662e-01,9.693566542063269953e-01,9.396971536266867098e-01,9.582532641367484949e-01,9.706524333713408836e-01,4.690365589970619253e-01,9.915202078162589361e-01,9.662956854126522055e-01,8.259378527712017970e-01,9.262490218914078977e-01
9.744928156135196362e-01,9.120911491253209658e-01,8.823413156078219188e-01,9.747778950793657415e-01,1.000000000000000000e+00,8.572798768673046688e-01,6.850294733234445488e-01,9.627744868755624408e-01,8.909592826555416956e-01,8.830495765920555185e-01,2.254159289760173657e-01,9.276078622855701283e-01,9.108500876464831197e-01,9.801889898554415614e-01,9.650490429692706318e-01,9.915202078162589361e-01,2.220446049250313081e-16,9.792359196974521618e-01,9.500168638661002918e-01,9.747891739243182974e-01
4.239860142491103101e-01,9.107410881927830992e-01,9.812777417573460559e-01,8.227198832614084356e-01,9.930510455779917312e-01,8.147427543705266784e-01,8.702227882191440056e-01,8.532860436622807798e-01,8.540295763530271200e-01,9.143944774739776182e-01,9.671047553391400875e-01,8.625226526821594408e-01,9.569125627578627391e-01,8.284714767601922825e-01,8.586044302058962741e-01,9.662956854126522055e-01,9.792359196974521618e-01,-2.220446049250313081e-16,1.000000000000000000e+00,8.453282685234505545e-01
1.000000000000000000e+00,9.984046866891482797e-01,8.072428376991136467e-01,9.066767034169528339e-01,1.000000000000000000e+00,8.086033120767890381e-01,1.000000000000000000e+00,8.861859003391117096e-01,9.162266888606326320e-01,8.790968817741601216e-01,1.000000000000000000e+00,8.912277801000061395e-01,9.714674357485313383e-01,1.000000000000000000e+00,9.173293275402901736e-01,8.259378527712017970e-01,9.500168638661002918e-01,1.000000000000000000e+00,0.000000000000000000e+00,9.157494761332775068e-01
7.612352353979375819e-01,1.000000000000000000e+00,8.662747039398266402e-01,6.843494237375105094e-01,8.188106236164405249e-01,9.493335600643698635e-01,7.991761657616763825e-01,9.036462228835431265e-01,9.470403946530889794e-01,1.000000000000000000e+00,9.614102024287853876e-01,9.582403593235546690e-01,8.482082647766987504e-01,7.952169484736231198e-01,1.000000000000000000e+00,9.262490218914078977e-01,9.747891739243182974e-01,8.453282685234505545e-01,9.157494761332775068e-01,1.110223024625156540e-16
