# Bashkir,Buryat,Chuvash,Evenki,Japanese,Kalmyk,Kannada,Kazakh,Khalkha Mongolian,Korean,Malayalam,Manchu,Nanai,North Azerbaijani,Northern Uzbek,Sakha,Tamil,Tatar,Telugu,Turkish
0.000000000000000000e+00,9.890451335748907669e-01,6.569548055231841932e-01,8.862054447017312375e-01,9.175256772097112323e-01,9.953127251885884874e-01,8.095944689875885780e-01,5.833809706744385037e-01,9.867173906137197692e-01,8.417050538227068834e-01,9.969893849101973959e-01,8.494015094543159172e-01,8.760684508807656812e-01,1.000000000000000000e+00,7.874009852952574828e-01,5.392949497333495712e-01,1.025645384988409292e+00,4.212825100989089355e-01,8.373876916524132241e-01,8.151716066338999811e-01
9.890451335748907669e-01,0.000000000000000000e+00,9.659748398595470187e-01,9.028410824922030731e-01,9.638005940671919847e-01,6.444822927281337321e-01,9.930787824650744167e-01,9.710725577028582745e-01,3.442042749058785711e-01,9.672941894614701663e-01,9.394511001847993814e-01,8.886547683345402682e-01,9.825772924759895721e-01,8.747168110270471253e-01,8.726322068545517840e-01,1.000000000000000000e+00,1.027406772633784549e+00,9.517178141244498901e-01,8.576203310891000742e-01,9.142281258056981219e-01
6.569548055231841932e-01,9.659748398595470187e-01,0.000000000000000000e+00,9.537535264002484636e-01,8.849268166966639537e-01,1.000000000000000000e+00,7.887904801712686265e-01,7.718081032952928133e-01,1.000000000000000000e+00,8.396495690239512699e-01,8.364229553729033428e-01,7.585167703342471368e-01,9.891799258538253037e-01,8.955645142182234730e-01,6.627996066700613254e-01,4.429359722408922062e-01,9.397173725510588049e-01,5.639521261838223998e-01,8.224073813863463922e-01,6.721216110870751326e-01
8.862054447017312375e-01,9.028410824922030731e-01,9.537535264002484636e-01,3.412510706379740522e-01,8.900038753381629419e-01,9.241505709956812087e-01,9.148854453970179934e-01,9.557684799265079301e-01,9.669113449522855896e-01,9.532166746929857659e-01,9.427824434127025643e-01,8.933234844346620296e-01,8.426543560772723485e-01,9.619118436061190325e-01,9.962736111100254366e-01,9.513786408051444488e-01,1.269056841707153716e+00,8.927363048435668080e-01,8.247256116682259997e-01,9.972891620927346601e-01
9.175256772097112323e-01,9.638005940671919847e-01,8.849268166966639537e-01,8.900038753381629419e-01,2.220446049250313081e-16,1.000000000000000000e+00,7.456508707625533194e-01,8.949359352819865610e-01,9.547926386798195608e-01,8.371811056681699448e-01,9.187311694222832781e-01,9.140678463354048322e-01,8.614026060355828296e-01,8.908549542848878122e-01,8.645732094636614518e-01,8.569198829201662981e-01,9.627849139493280806e-01,9.203126969777295496e-01,7.666100436772759208e-01,8.780606635836947227e-01
9.953127251885884874e-01,6.444822927281337321e-01,1.000000000000000000e+00,9.241505709956812087e-01,1.000000000000000000e+00,2.220446049250313081e-16,1.000000000000000000e+00,9.361364439580384111e-01,7.014138240493008603e-01,9.228774703911780675e-01,1.000000000000000000e+00,8.695878537365351324e-01,9.814531095229469537e-01,9.274804762859877316e-01,1.000000000000000000e+00,1.000000000000000000e+00,1.010069591988723259e+00,1.000000000000000000e+00,9.468830936476788640e-01,1.000000000000000000e+00
8.095944689875885780e-01,9.930787824650744167e-01,7.887904801712686265e-01,9.148854453970179934e-01,7.456508707625533194e-01,1.000000000000000000e+00,0.000000000000000000e+00,8.490510502261522374e-01,1.000000000000000000e+00,8.902110595154004713e-01,6.702652886313216207e-01,8.439474836811641234e-01,9.025288085947485994e-01,9.726302654249318058e-01,8.132708187808110889e-01,7.631004124327999127e-01,7.239824599358430923e-01,7.510414529955781182e-01,9.144852953643731741e-01,8.428520305820486058e-01
5.833809706744385037e-01,9.710725577028582745e-01,7.718081032952928133e-01,9.557684799265078190e-01,8.949359352819865610e-01,9.361364439580384111e-01,8.490510502261522374e-01,4.132978420329812552e-01,9.940681988446280481e-01,8.183102229766625602e-01,9.661967375681180803e-01,8.251578633463352297e-01,9.266398737203622726e-01,9.654387731543626616e-01,7.859013047645455607e-01,6.479570772765084197e-01,1.037518151416098489e+00,5.467521623211327730e-01,8.027399051561543430e-01,8.653408001898501567e-01
9.867173906137197692e-01,3.442042749058785711e-01,1.000000000000000000e+00,9.669113449522855896e-01,9.547926386798195608e-01,7.014138240493008603e-01,1.000000000000000000e+00,9.940681988446280481e-01,0.000000000000000000e+00,9.916767468073580671e-01,7.551218423930210477e-01,8.478326583073640954e-01,9.879135462422279357e-01,8.788291271915934511e-01,1.000000000000000000e+00,1.000000000000000000e+00,9.816835709679756494e-01,9.786146937141221303e-01,9.553179780818072953e-01,1.000000000000000000e+00
8.417050538227068834e-01,9.672941894614701663e-01,8.396495690239512699e-01,9.532166746929857659e-01,8.371811056681699448e-01,9.228774703911780675e-01,8.902110595154004713e-01,8.183102229766625602e-01,9.916767468073580671e-01,0.000000000000000000e+00,9.318792017350862045e-01,8.586861998790560335e-01,8.849529335870066626e-01,9.678652325106967824e-01,8.642510922053970868e-01,8.329519043162773029e-01,9.209182091207426257e-01,8.049139759799662786e-01,7.944513343946535411e-01,8.814313206406254597e-01
