# Bashkir,Buryat,Chuvash,Evenki,Japanese,Kalmyk,Kannada,Kazakh,Khalkha Mongolian,Korean,Malayalam,Manchu,Nanai,North Azerbaijani,Northern Uzbek,Sakha,Tamil,Tatar,Telugu,Turkish
0.000000000000000000e+00,9.809419666402078297e-01,9.600276871524838773e-01,8.588701916002838832e-01,9.234935582158070311e-01,1.000000000000000000e+00,8.761413288561816781e-01,9.291329901923364165e-01,8.572813506147961560e-01,8.505812666644985143e-01,9.701318624027815973e-01,9.373763394390668413e-01,9.419408023169086874e-01,1.000000000000000000e+00,9.445099521795002895e-01,9.430398201937488789e-01,8.322092026796397146e-01,9.710852641108278505e-01,8.471708044617033417e-01,9.572804120169429165e-01
9.809419666402078297e-01,-2.220446049250313081e-16,6.827733068988421916e-01,9.617112857801597414e-01,1.000000000000000000e+00,1.000000000000000000e+00,9.595190633398398283e-01,7.946282273738686230e-01,9.747504223949331470e-01,1.000000000000000000e+00,9.653051558162083490e-01,9.590720458902144419e-01,9.934350070544379907e-01,1.000000000000000000e+00,9.000423584260140997e-01,8.290518710340119002e-01,9.678773342722749584e-01,9.305119059577363627e-01,9.332785825378542288e-01,1.000000000000000000e+00
9.600276871524838773e-01,6.827733068988421916e-01,0.000000000000000000e+00,9.001061619892356536e-01,7.312455760826310769e-01,9.201015887743090316e-01,8.590588272116478352e-01,6.734017426144700558e-01,8.767453999484227101e-01,9.424706663218505032e-01,9.012330995245492193e-01,8.825691244744061636e-01,8.308142107890481576e-01,9.641235610233919173e-01,1.000000000000000000e+00,8.616658730844122260e-01,9.619298490637245846e-01,8.442428909233357093e-01,8.542759174305923908e-01,1.000000000000000000e+00
8.588701916002838832e-01,9.617112857801597414e-01,9.001061619892356536e-01,0.000000000000000000e+00,8.477476381415522955e-01,9.939107970649936341e-01,9.620996776944095163e-01,9.306678400249347449e-01,7.442663876190266370e-01,9.870710406632637879e-01,9.798437731763902647e-01,9.534123522138502338e-01,1.000000000000000000e+00,1.000000000000000000e+00,9.880706587443881528e-01,9.196090176087077239e-01,9.138782049975739952e-01,1.000000000000000000e+00,8.023134317459189591e-01,1.000000000000000000e+00
9.234935582158070311e-01,1.000000000000000000e+00,7.312455760826310769e-01,8.477476381415522955e-01,2.220446049250313081e-16,9.685953287417852220e-01,8.186108824800789607e-01,9.369138499817606380e-01,8.106995018709315381e-01,8.682196932426071712e-01,9.166395088733738650e-01,9.024786031167126854e-01,9.528131119056476583e-01,1.000000000000000000e+00,9.760192816298810525e-01,9.218205001780906960e-01,7.352753860766538807e-01,8.733893868082719392e-01,8.541816225107630167e-01,9.778806556017940466e-01
1.000000000000000000e+00,1.000000000000000000e+00,9.201015887743090316e-01,9.939107970649936341e-01,9.685953287417852220e-01,0.000000000000000000e+00,8.961891494457731033e-01,7.460388696250385143e-01,1.000000000000000000e+00,8.919978372314800730e-01,9.957688653371242760e-01,9.578996280726076451e-01,9.609315289787935255e-01,9.888620635901466116e-01,1.000000000000000000e+00,6.215515173301007223e-01,1.000000000000000000e+00,9.454826769164426103e-01,9.387610018357354091e-01,9.290089858883356921e-01
8.761413288561816781e-01,9.595190633398398283e-01,8.590588272116478352e-01,9.620996776944095163e-01,8.186108824800789607e-01,8.961891494457731033e-01,0.000000000000000000e+00,8.415200058111221848e-01,8.366408574440764578e-01,8.348086877710245712e-01,8.512121782124384417e-01,1.000000000000000000e+00,9.756482317710655217e-01,1.000000000000000000e+00,9.846225357952126389e-01,9.657842754129961627e-01,7.154082252624383020e-01,9.953324064560608031e-01,9.359922241329091674e-01,1.000000000000000000e+00
9.291329901923364165e-01,7.946282273738686230e-01,6.734017426144700558e-01,9.306678400249347449e-01,9.369138499817606380e-01,7.460388696250385143e-01,8.415200058111221848e-01,0.000000000000000000e+00,9.514392271637696075e-01,8.216375037517607005e-01,9.803551554340111940e-01,9.163993817180775547e-01,9.070080768029714635e-01,9.529481799203688430e-01,8.729691586951219273e-01,8.293427689985309881e-01,1.000000000000000000e+00,1.000000000000000000e+00,9.739860308931745925e-01,9.545223388436465672e-01
8.572813506147961560e-01,9.747504223949331470e-01,8.767453999484227101e-01,7.442663876190266370e-01,8.106995018709315381e-01,1.000000000000000000e+00,8.366408574440764578e-01,9.514392271637696075e-01,1.110223024625156540e-16,8.687468466773087261e-01,9.024225292841202561e-01,1.000000000000000000e+00,9.637306563032866924e-01,8.406247717514148121e-01,7.196574192902691625e-01,9.005604815093348758e-01,8.546917404957027342e-01,1.000000000000000000e+00,8.040236377861296191e-01,7.920777354494527023e-01
8.505812666644985143e-01,1.000000000000000000e+00,9.424706663218505032e-01,9.870710406632637879e-01,8.682196932426071712e-01,8.919978372314800730e-01,8.348086877710245712e-01,8.216375037517607005e-01,8.687468466773087261e-01,0.000000000000000000e+00,8.971003614736637877e-01,1.000000000000000000e+00,9.747953383682103068e-01,9.769346523702148177e-01,9.622842234474742185e-01,9.828580727576077258e-01,7.861521640482009854e-01,1.000000000000000000e+00,8.349334073787294530e-01,9.960638680719320348e-01
9.701318624027815973e-01,9.653051558162083490e-01,9.012330995245492193e-01,9.798437731763902647e-01,9.166395088733738650e-01,9.957688653371242760e-01,8.512121782124384417e-01,9.803551554340111940e-01,9.024225292841202561e-01,8.971003614736637877e-01,1.110223024625156540e-16,9.212447745476167738e-01,8.898829722889910476e-01,8.845307120390443201e-01,8.578644748139723220e-01,9.295005008846741745e-01,7.117019438961396105e-01,8.971148561474082683e-01,8.998863133543569814e-01,9.063257953944542367e-01
9.373763394390668413e-01,9.590720458902144419e-01,8.825691244744061636e-01,9.534123522138502338e-01,9.024786031167126854e-01,9.578996280726076451e-01,1.000000000000000000e+00,9.163993817180775547e-01,1.000000000000000000e+00,1.000000000000000000e+00,9.212447745476167738e-01,0.000000000000000000e+00,9.248515271750543665e-01,9.382712934955000916e-01,9.563710472903851345e-01,9.744018617895423562e-01,9.765658468177973450e-01,1.000000000000000000e+00,1.000000000000000000e+00,9.542258674665496931e-01
9.419408023169086874e-01,9.934350070544379907e-01,8.308142107890481576e-01,1.000000000000000000e+00,9.528131119056476583e-01,9.609315289787935255e-01,9.756482317710655217e-01,9.070080768029714635e-01,9.637306563032866924e-01,9.747953383682103068e-01,8.898829722889910476e-01,9.248515271750543665e-01,4.440892098500626162e-16,1.000000000000000000e+00,9.838096653706353001e-01,1.000000000000000000e+00,8.801181876735976184e-01,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00
1.000000000000000000e+00,1.000000000000000000e+00,9.641235610233919173e-01,1.000000000000000000e+00,1.000000000000000000e+00,9.888620635901466116e-01,1.000000000000000000e+00,9.529481799203688430e-01,8.406247717514148121e-01,9.769346523702148177e-01,8.845307120390443201e-01,9.382712934955000916e-01,1.000000000000000000e+00,3.330669073875469621e-16,2.365974536020214458e-01,9.727944079827022250e-01,1.000000000000000000e+00,9.661719847979555187e-01,9.124044531989956575e-01,9.546909845404116801e-02
9.445099521795002895e-01,9.000423584260140997e-01,1.000000000000000000e+00,9.880706587443881528e-01,9.760192816298810525e-01,1.000000000000000000e+00,9.846225357952126389e-01,8.729691586951219273e-01,7.196574192902691625e-01,9.622842234474742185e-01,8.578644748139723220e-01,9.563710472903851345e-01,9.838096653706353001e-01,2.365974536020214458e-01,2.220446049250313081e-16,9.788169314072902027e-01,9.544480949327729391e-01,9.668617424964982554e-01,8.963429768544526333e-01,2.458208761454334645e-01
9.430398201937488789e-01,8.290518710340119002e-01,8.616658730844122260e-01,9.196090176087077239e-01,9.218205001780906960e-01,6.215515173301007223e-01,9.657842754129961627e-01,8.293427689985309881e-01,9.005604815093348758e-01,9.828580727576077258e-01,9.295005008846741745e-01,9.744018617895423562e-01,1.000000000000000000e+00,9.727944079827022250e-01,9.788169314072902027e-01,0.000000000000000000e+00,9.992903085720177270e-01,9.649484989294067061e-01,7.768319265515551963e-01,9.369523273766890981e-01
8.322092026796397146e-01,9.678773342722749584e-01,9.619298490637245846e-01,9.138782049975739952e-01,7.352753860766538807e-01,1.000000000000000000e+00,7.154082252624383020e-01,1.000000000000000000e+00,8.546917404957027342e-01,7.861521640482009854e-01,7.117019438961396105e-01,9.765658468177973450e-01,8.801181876735976184e-01,1.000000000000000000e+00,9.544480949327729391e-01,9.992903085720177270e-01,2.220446049250313081e-16,9.949847094345277698e-01,1.000000000000000000e+00,9.930697295269208524e-01
9.710852641108278505e-01,9.305119059577363627e-01,8.442428909233357093e-01,1.000000000000000000e+00,8.733893868082719392e-01,9.454826769164426103e-01,9.953324064560608031e-01,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,8.971148561474082683e-01,1.000000000000000000e+00,1.000000000000000000e+00,9.661719847979555187e-01,9.668617424964982554e-01,9.649484989294067061e-01,9.949847094345277698e-01,2.220446049250313081e-16,9.663128074150264535e-01,9.655853209182669872e-01
8.471708044617033417e-01,9.332785825378542288e-01,8.542759174305923908e-01,8.023134317459189591e-01,8.541816225107630167e-01,9.387610018357354091e-01,9.359922241329091674e-01,9.739860308931745925e-01,8.040236377861296191e-01,8.349334073787294530e-01,8.998863133543569814e-01,1.000000000000000000e+00,1.000000000000000000e+00,9.124044531989956575e-01,8.963429768544526333e-01,7.768319265515551963e-01,1.000000000000000000e+00,9.663128074150264535e-01,0.000000000000000000e+00,9.045693213867568305e-01
9.572804120169429165e-01,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,9.778806556017940466e-01,9.290089858883356921e-01,1.000000000000000000e+00,9.545223388436465672e-01,7.920777354494527023e-01,9.960638680719320348e-01,9.063257953944542367e-01,9.542258674665496931e-01,1.000000000000000000e+00,9.546909845404116801e-02,2.458208761454334645e-01,9.369523273766890981e-01,9.930697295269208524e-01,9.655853209182669872e-01,9.045693213867568305e-01,0.000000000000000000e+00
