# Bashkir,Buryat,Chuvash,Evenki,Japanese,Kalmyk,Kannada,Kazakh,Khalkha Mongolian,Korean,Malayalam,Manchu,Nanai,North Azerbaijani,Northern Uzbek,Sakha,Tamil,Tatar,Telugu,Turkish
2.803376617498953838e-01,8.881658080165105718e-01,9.396678966199873972e-01,9.702064558577719877e-01,8.966710088996954209e-01,1.055684868606304505e+00,8.943048227199871247e-01,6.474795415249272601e-01,9.200434556939651731e-01,9.228028034534887514e-01,9.411997833464336161e-01,9.821040636480991015e-01,9.052501319142836067e-01,9.529390350232769258e-01,9.795158596004575058e-01,6.037813749803140340e-01,9.099728002140179406e-01,6.283433090031620427e-01,9.364468168660944336e-01,9.521199486927471867e-01
8.881658080165105718e-01,5.172931440117696233e-01,8.983218689769146836e-01,9.872499228261260029e-01,9.091822728692466882e-01,1.059711711506713394e+00,9.375832563482876525e-01,9.334121042049895456e-01,9.012160985084829434e-01,8.792115058531072558e-01,9.756744528931727833e-01,9.675247823473857034e-01,9.602740587206325396e-01,8.744442676862164143e-01,9.437675657258459694e-01,9.311615281584847414e-01,8.352190764363367492e-01,9.013252922923445931e-01,9.112394890742123721e-01,8.889596824543882780e-01
9.396678966199873972e-01,8.983218689769146836e-01,0.000000000000000000e+00,1.000000000000000000e+00,8.971826002226459540e-01,9.944578340119584192e-01,8.989046961185425122e-01,9.122605924340461137e-01,9.407241863546307314e-01,9.404196521181302781e-01,8.638699050788716249e-01,9.699171923033327314e-01,1.000000000000000000e+00,8.581992138145581039e-01,9.360844841038062913e-01,9.386108641021906340e-01,9.250138570463164456e-01,9.455965123096256031e-01,8.886366347005358879e-01,9.540494417802071192e-01
9.702064558577719877e-01,9.872499228261260029e-01,1.000000000000000000e+00,0.000000000000000000e+00,8.955710638834434301e-01,1.212134782558198065e+00,1.000000000000000000e+00,1.000000000000000000e+00,9.921437604378333663e-01,8.177841908555432138e-01,9.842427639404515149e-01,9.828612953066162561e-01,9.757939172521120641e-01,9.105741856405947798e-01,9.649119042551744796e-01,1.000000000000000000e+00,9.673536032820713171e-01,9.950304338924780279e-01,8.320880842884110784e-01,1.000000000000000000e+00
8.966710088996954209e-01,9.091822728692466882e-01,8.971826002226459540e-01,8.955710638834434301e-01,2.220446049250313081e-16,1.097680757717175215e+00,9.870461475241012472e-01,7.651892458328684032e-01,9.138180807791548288e-01,9.379325854699029907e-01,8.811083935701173875e-01,9.254735546231123156e-01,8.950197621990647612e-01,8.956138443836202390e-01,9.185229384127503449e-01,9.119343829253127032e-01,9.824366046638132177e-01,7.727431908433369800e-01,9.718267050110196426e-01,9.005984870081449323e-01
1.055684868606304505e+00,1.059711711506713394e+00,9.944578340119584192e-01,1.212134782558198065e+00,1.097680757717175215e+00,3.645190542455024607e-01,1.031740771014094227e+00,1.018635153908435953e+00,8.284256052511385082e-01,1.137724374505419078e+00,1.128124611851795134e+00,1.161261576676677176e+00,1.091194767730382820e+00,1.092941079194503784e+00,1.117508326327637080e+00,1.027867494243546842e+00,9.848809473805469894e-01,1.004341170303590491e+00,9.857347304675933009e-01,1.105382768168624574e+00
8.943048227199871247e-01,9.375832563482876525e-01,8.989046961185425122e-01,1.000000000000000000e+00,9.870461475241012472e-01,1.031740771014094227e+00,0.000000000000000000e+00,1.000000000000000000e+00,9.883402733989663513e-01,9.765891485713423803e-01,7.658937141614230448e-01,9.501858938362028884e-01,9.854081173484317002e-01,9.993920460659246885e-01,9.189494081672843206e-01,9.988492660167895831e-01,8.128431875799910777e-01,9.622407408674102935e-01,4.154267671333280454e-01,8.888778296111944366e-01
6.474795415249272601e-01,9.334121042049895456e-01,9.122605924340461137e-01,1.000000000000000000e+00,7.651892458328684032e-01,1.018635153908435953e+00,1.000000000000000000e+00,3.330669073875469621e-16,8.532743262047064459e-01,9.095493960530656175e-01,9.191116735024930096e-01,8.866852949742822787e-01,9.266444875601697051e-01,8.894828245591186455e-01,9.718776508660457170e-01,6.615565112774244305e-01,9.234188361664370515e-01,2.351958032004024535e-01,9.862582354601718837e-01,9.309786909868614790e-01
9.200434556939651731e-01,9.012160985084829434e-01,9.407241863546307314e-01,9.921437604378333663e-01,9.138180807791548288e-01,8.284256052511385082e-01,9.883402733989663513e-01,8.532743262047064459e-01,0.000000000000000000e+00,9.739473984292958963e-01,9.223356925795171968e-01,1.000000000000000000e+00,9.916013548108739695e-01,7.276772093920311768e-01,7.631219882721049785e-01,9.017800027956567321e-01,7.729671813431259197e-01,8.277077393827245722e-01,9.653753723119785635e-01,7.523642510221331126e-01
9.228028034534887514e-01,8.792115058531072558e-01,9.404196521181302781e-01,8.177841908555432138e-01,9.379325854699029907e-01,1.137724374505419078e+00,9.765891485713423803e-01,9.095493960530656175e-01,9.739473984292958963e-01,2.220446049250313081e-16,9.352451137870019249e-01,9.478307087886391757e-01,9.336052211918927091e-01,9.950449673771484260e-01,7.516037725005595416e-01,9.285994476000011266e-01,8.687970715946998768e-01,8.670912878260308432e-01,9.782207894394042702e-01,9.978116137321646484e-01
