# Bashkir,Buryat,Chuvash,Evenki,Japanese,Kalmyk,Kannada,Kazakh,Khalkha Mongolian,Korean,Malayalam,Manchu,Nanai,North Azerbaijani,Northern Uzbek,Sakha,Tamil,Tatar,Telugu,Turkish
0.000000000000000000e+00,9.396178570352898829e-01,6.471884875635116607e-01,1.000000000000000000e+00,7.744593160503014939e-01,8.071089746583288704e-01,8.660518285420504281e-01,2.783178828767209900e-01,8.664158334370790637e-01,8.977482978102883093e-01,8.433128810061948366e-01,9.793969444977279615e-01,9.548056947727407984e-01,2.814735393557264986e-01,1.637875641915568226e-01,3.756400417486984722e-01,8.831816401917266246e-01,3.819270717300676798e-01,9.276629654056680607e-01,2.395082630358429387e-01
9.396178570352898829e-01,4.440892098500626162e-16,9.846611416034158903e-01,8.099291922223136320e-01,9.302244668526328253e-01,8.136520961421280784e-01,9.904033880969391745e-01,8.954225081431778088e-01,6.334258115949293888e-01,9.168605654233442648e-01,1.000000000000000000e+00,1.041448424489850755e+00,9.464729173358608083e-01,9.615252110000308550e-01,9.232080522484253926e-01,8.995387099487449634e-01,9.799243626106591831e-01,9.757536565028507303e-01,7.308849734175957291e-01,8.922204798738014864e-01
6.471884875635116607e-01,9.846611416034158903e-01,0.000000000000000000e+00,9.779448359135445301e-01,8.883533582221465608e-01,8.405072331865544033e-01,7.934829014427647875e-01,5.696683132680493422e-01,8.729654649108269382e-01,9.418474353886364669e-01,8.349880640219751182e-01,1.020037662507614629e+00,9.328375163864293107e-01,6.412734954506611462e-01,6.992045341948651682e-01,6.762582002305093098e-01,8.798327564450194593e-01,6.272692246562252549e-01,9.065131171918039410e-01,6.259191056175585910e-01
1.000000000000000000e+00,8.099291922223136320e-01,9.779448359135445301e-01,2.220446049250313081e-16,9.256185042738263036e-01,9.072118259246676475e-01,9.841754648433127528e-01,1.000000000000000000e+00,9.520401394439508280e-01,9.216243499247976922e-01,9.694526518656018110e-01,1.095625118406795329e+00,9.355735726673825026e-01,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,9.668763775940419913e-01,1.000000000000000000e+00,8.501027018746216690e-01,9.944335544762330503e-01
7.744593160503014939e-01,9.302244668526328253e-01,8.883533582221465608e-01,9.256185042738263036e-01,-2.220446049250313081e-16,9.691236035749196676e-01,9.154709057758921853e-01,7.688874240621881295e-01,9.734002926525764376e-01,8.495514565787617434e-01,6.153547340577509850e-01,9.625683751772852181e-01,9.902571116827753039e-01,7.591803917933888091e-01,7.745896485401873033e-01,7.940625506353365948e-01,9.320511622001987906e-01,7.543804158348605959e-01,9.506140996424966572e-01,7.619724726738326126e-01
8.071089746583288704e-01,8.136520961421280784e-01,8.405072331865544033e-01,9.072118259246676475e-01,9.691236035749196676e-01,-2.220446049250313081e-16,6.376129157241245959e-01,7.876686436355661014e-01,8.471684397325329741e-01,9.628403128421521018e-01,8.487335952300025799e-01,9.137083757070673107e-01,9.148900566423783243e-01,8.423990354187058660e-01,8.296585750252460922e-01,8.570630971884434235e-01,8.852895388665520393e-01,7.809534592315041657e-01,9.547206043231284411e-01,8.299744341662993463e-01
8.660518285420504281e-01,9.904033880969391745e-01,7.934829014427647875e-01,9.841754648433127528e-01,9.154709057758921853e-01,6.376129157241245959e-01,0.000000000000000000e+00,8.526009452634173424e-01,9.747114040892270737e-01,9.855839803237321783e-01,6.577337531902711643e-01,1.004049284077127790e+00,9.848160656194687723e-01,9.080461242987614146e-01,8.638437900616855458e-01,9.054535760334967431e-01,7.409287661308946449e-01,9.035835377551546532e-01,9.652742222121390991e-01,8.462629799986346457e-01
2.783178828767209900e-01,8.954225081431778088e-01,5.696683132680493422e-01,1.000000000000000000e+00,7.688874240621881295e-01,7.876686436355661014e-01,8.526009452634173424e-01,0.000000000000000000e+00,8.720668320061404355e-01,8.208484792639579863e-01,8.580364508131707035e-01,9.870965356749135111e-01,5.785264064203619050e-01,4.090205567931677333e-01,2.933476177701914711e-01,3.542395563910879508e-01,8.740363798158717890e-01,1.990024724846392035e-01,8.715709911843558810e-01,3.405638585668491203e-01
8.664158334370790637e-01,6.334258115949293888e-01,8.729654649108269382e-01,9.520401394439508280e-01,9.734002926525764376e-01,8.471684397325329741e-01,9.747114040892270737e-01,8.720668320061404355e-01,1.801746532212052665e-01,8.147948024309366044e-01,9.876828064752862790e-01,8.966381340416941237e-01,9.522926456942881757e-01,8.897578713069173029e-01,8.792985929786756305e-01,8.727298448365825578e-01,9.734360169631175452e-01,8.081955124420421299e-01,8.732201820440887996e-01,8.886096873913751359e-01
8.977482978102883093e-01,9.168605654233442648e-01,9.418474353886364669e-01,9.216243499247976922e-01,8.495514565787617434e-01,9.628403128421521018e-01,9.855839803237321783e-01,8.208484792639579863e-01,8.147948024309366044e-01,0.000000000000000000e+00,9.210726615494994052e-01,8.648268956507516592e-01,9.751547015998880408e-01,9.022234806129602047e-01,8.712653193411363794e-01,8.405576691778702259e-01,9.523076754415289447e-01,8.211642739988685991e-01,9.847209018638694022e-01,8.985872535834077413e-01
