# Bashkir,Buryat,Chuvash,Evenki,Japanese,Kalmyk,Kannada,Kazakh,Khalkha Mongolian,Korean,Malayalam,Manchu,Nanai,North Azerbaijani,Northern Uzbek,Sakha,Tamil,Tatar,Telugu,Turkish
2.220446049250313081e-16,9.252889409983600100e-01,8.882810846927207127e-01,9.564062461379931879e-01,8.814497983240903167e-01,8.793256786768670619e-01,9.251844835487481600e-01,8.212311520773535323e-01,9.639647048105492999e-01,9.261223827922135943e-01,8.831357118427197728e-01,1.000000000000000000e+00,9.586924203288789137e-01,9.704375618433107586e-01,9.695443742714935365e-01,9.001849282722250711e-01,9.859622925671676086e-01,6.260771538674601011e-01,9.735472442170040042e-01,1.130095803092221463e+00
9.252889409983600100e-01,3.785633005368719273e-01,9.038053161000616509e-01,9.841897716182486100e-01,8.982883152216153411e-01,8.233553626907524903e-01,8.951104555545178476e-01,8.963986369608651916e-01,1.000000000000000000e+00,9.404760386473987044e-01,8.780783971526502363e-01,8.284672391653332690e-01,9.771882497210317986e-01,9.306302937693666788e-01,9.442387525153124184e-01,7.777577631473020503e-01,9.607360552119337260e-01,8.526381148300180568e-01,9.906562570830377279e-01,1.135252730320868819e+00
8.882810846927207127e-01,9.038053161000616509e-01,2.220446049250313081e-16,9.838558829422257013e-01,8.872457153350308268e-01,9.089797436333366676e-01,9.495904225413450694e-01,9.106916036697696448e-01,8.991400630079849909e-01,9.530448738722450130e-01,8.935291449009250542e-01,8.748839895997863048e-01,9.515217909555867548e-01,8.382024363996056771e-01,8.343217537493816671e-01,9.123648908733583696e-01,9.793183588983639387e-01,8.073572741271636266e-01,9.945344019109796374e-01,1.130765049595546579e+00
9.564062461379931879e-01,9.841897716182486100e-01,9.838558829422257013e-01,4.182882612783800913e-01,9.906980906561994038e-01,8.502235911185184181e-01,9.764481944175761319e-01,9.867820007009222572e-01,8.747046693958951957e-01,9.929724965712257712e-01,9.859576103450903295e-01,1.000000000000000000e+00,9.949055588526782845e-01,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,9.975464902709225701e-01,9.859719174055442403e-01,9.587256210264942791e-01,1.314597568213581535e+00
8.814497983240903167e-01,8.982883152216153411e-01,8.872457153350308268e-01,9.906980906561994038e-01,0.000000000000000000e+00,9.134633460843570862e-01,8.546330761711955493e-01,8.256870895880306094e-01,9.572529332556881654e-01,8.976813745253156007e-01,9.001655678545825712e-01,9.230915084553019678e-01,8.627125739995995524e-01,9.387653208649228143e-01,9.085818946992811895e-01,9.442929760544790385e-01,8.852416606131745525e-01,8.001497407822673047e-01,9.654078172389480850e-01,1.083981178516852495e+00
8.793256786768670619e-01,8.233553626907524903e-01,9.089797436333366676e-01,8.502235911185184181e-01,9.134633460843570862e-01,4.274583377569086129e-01,9.667160487830304127e-01,8.925018577432364264e-01,9.573548445647532823e-01,9.935552167506562782e-01,9.472026168676993541e-01,9.799302240537142161e-01,9.686720144060614324e-01,8.524455866389747394e-01,9.420155757333388280e-01,9.397695095781544161e-01,9.586524542081242828e-01,9.431021587985652932e-01,9.764747115110644637e-01,1.124772593879406868e+00
9.251844835487481600e-01,8.951104555545178476e-01,9.495904225413450694e-01,9.764481944175761319e-01,8.546330761711955493e-01,9.667160487830304127e-01,0.000000000000000000e+00,9.573355125057614323e-01,9.897442939005461904e-01,1.000000000000000000e+00,6.557611110497312268e-01,8.813186702571860209e-01,9.967019904122097484e-01,1.000000000000000000e+00,1.000000000000000000e+00,9.651695336797201374e-01,8.448295613774987611e-01,8.929403824332617923e-01,1.000000000000000000e+00,1.071809117188544214e+00
8.212311520773535323e-01,8.963986369608651916e-01,9.106916036697696448e-01,9.867820007009222572e-01,8.256870895880306094e-01,8.925018577432364264e-01,9.573355125057614323e-01,3.330669073875469621e-16,9.605797035408928375e-01,9.231683654834694774e-01,9.925071651823139662e-01,9.906587448364316817e-01,9.054422411121954006e-01,8.531306617864229391e-01,7.716510412618972081e-01,9.505187465118700718e-01,8.030475968642085682e-01,4.698494985426598936e-01,8.666454076069298740e-01,9.917560139849918022e-01
9.639647048105492999e-01,1.000000000000000000e+00,8.991400630079849909e-01,8.747046693958951957e-01,9.572529332556881654e-01,9.573548445647532823e-01,9.897442939005461904e-01,9.605797035408928375e-01,0.000000000000000000e+00,9.756037622113539198e-01,9.902489456042671279e-01,9.660972375607410623e-01,9.933150698054515892e-01,9.273822061110784665e-01,9.202855558300081507e-01,9.222490119863298030e-01,9.801596084464058167e-01,9.649268886664170708e-01,9.763374512565459185e-01,1.276629047541553819e+00
9.261223827922135943e-01,9.404760386473987044e-01,9.530448738722450130e-01,9.929724965712257712e-01,8.976813745253156007e-01,9.935552167506562782e-01,1.000000000000000000e+00,9.231683654834694774e-01,9.756037622113539198e-01,-2.220446049250313081e-16,1.000000000000000000e+00,9.694211665850274162e-01,9.191105201638104516e-01,9.615302822139240035e-01,9.720675777223902747e-01,8.149289218990616313e-01,9.936477614862272434e-01,8.301924075266829961e-01,8.900109797566341241e-01,1.188623635093367659e+00
8.831357118427197728e-01,8.780783971526502363e-01,8.935291449009250542e-01,9.859576103450903295e-01,9.001655678545825712e-01,9.472026168676993541e-01,6.557611110497312268e-01,9.925071651823139662e-01,9.902489456042671279e-01,1.000000000000000000e+00,0.000000000000000000e+00,9.701729945397498112e-01,8.883215266461695903e-01,9.472310130688385010e-01,9.375393722495337645e-01,9.197321523028265666e-01,6.516692577311984369e-01,8.125648649761088027e-01,1.000000000000000000e+00,1.216782897291574628e+00
1.000000000000000000e+00,8.284672391653332690e-01,8.748839895997863048e-01,1.000000000000000000e+00,9.230915084553019678e-01,9.799302240537142161e-01,8.813186702571860209e-01,9.906587448364316817e-01,9.660972375607410623e-01,9.694211665850274162e-01,9.701729945397498112e-01,0.000000000000000000e+00,9.335401452218747842e-01,9.282698591907879715e-01,1.000000000000000000e+00,9.048690409987004690e-01,9.382344391515879956e-01,8.865526554638716306e-01,9.979711622194188392e-01,1.279383147998533143e+00
9.586924203288789137e-01,9.771882497210317986e-01,9.515217909555867548e-01,9.949055588526782845e-01,8.627125739995995524e-01,9.686720144060614324e-01,9.967019904122097484e-01,9.054422411121954006e-01,9.933150698054515892e-01,9.191105201638104516e-01,8.883215266461695903e-01,9.335401452218747842e-01,1.110223024625156540e-16,1.000000000000000000e+00,1.000000000000000000e+00,9.056807870268445138e-01,6.244941266964818549e-01,8.869883337065842532e-01,9.790174563005339392e-01,1.138044719314384556e+00
9.704375618433107586e-01,9.306302937693666788e-01,8.382024363996056771e-01,1.000000000000000000e+00,9.387653208649228143e-01,8.524455866389747394e-01,1.000000000000000000e+00,8.531306617864229391e-01,9.273822061110784665e-01,9.615302822139240035e-01,9.472310130688385010e-01,9.282698591907879715e-01,1.000000000000000000e+00,2.220446049250313081e-16,2.662260522244973560e-01,9.343538603637353557e-01,1.000000000000000000e+00,8.477935480994227557e-01,1.000000000000000000e+00,9.879252414089025880e-01
9.695443742714935365e-01,9.442387525153124184e-01,8.343217537493816671e-01,1.000000000000000000e+00,9.085818946992811895e-01,9.420155757333388280e-01,1.000000000000000000e+00,7.716510412618972081e-01,9.202855558300081507e-01,9.720675777223902747e-01,9.375393722495337645e-01,1.000000000000000000e+00,1.000000000000000000e+00,2.662260522244973560e-01,3.330669073875469621e-16,9.314519299955686948e-01,9.789578452062832614e-01,6.865922669985289328e-01,1.000000000000000000e+00,1.210142400194432977e+00
9.001849282722250711e-01,7.777577631473020503e-01,9.123648908733583696e-01,1.000000000000000000e+00,9.442929760544790385e-01,9.397695095781544161e-01,9.651695336797201374e-01,9.505187465118700718e-01,9.222490119863298030e-01,8.149289218990616313e-01,9.197321523028265666e-01,9.048690409987004690e-01,9.056807870268445138e-01,9.343538603637353557e-01,9.314519299955686948e-01,0.000000000000000000e+00,9.723137525340715959e-01,9.039572372689711477e-01,9.292051688734010995e-01,1.177898695011754260e+00
9.859622925671676086e-01,9.607360552119337260e-01,9.793183588983639387e-01,9.975464902709225701e-01,8.852416606131745525e-01,9.586524542081242828e-01,8.448295613774987611e-01,8.030475968642085682e-01,9.801596084464058167e-01,9.936477614862272434e-01,6.516692577311984369e-01,9.382344391515879956e-01,6.244941266964818549e-01,1.000000000000000000e+00,9.789578452062832614e-01,9.723137525340715959e-01,0.000000000000000000e+00,8.731498753562296766e-01,1.000000000000000000e+00,9.584355058023118490e-01
6.260771538674601011e-01,8.526381148300180568e-01,8.073572741271636266e-01,9.859719174055442403e-01,8.001497407822673047e-01,9.431021587985652932e-01,8.929403824332617923e-01,4.698494985426598936e-01,9.649268886664170708e-01,8.301924075266829961e-01,8.125648649761088027e-01,8.865526554638716306e-01,8.869883337065842532e-01,8.477935480994227557e-01,6.865922669985289328e-01,9.039572372689711477e-01,8.731498753562296766e-01,0.000000000000000000e+00,9.720516296883030538e-01,1.033806666447064426e+00
9.735472442170040042e-01,9.906562570830377279e-01,9.945344019109796374e-01,9.587256210264942791e-01,9.654078172389480850e-01,9.764747115110644637e-01,1.000000000000000000e+00,8.666454076069298740e-01,9.763374512565459185e-01,8.900109797566341241e-01,1.000000000000000000e+00,9.979711622194188392e-01,9.790174563005339392e-01,1.000000000000000000e+00,1.000000000000000000e+00,9.292051688734010995e-01,1.000000000000000000e+00,9.720516296883030538e-01,0.000000000000000000e+00,1.096461944148639622e+00
1.130095803092221463e+00,1.135252730320868819e+00,1.130765049595546579e+00,1.314597568213581535e+00,1.083981178516852495e+00,1.124772593879406868e+00,1.071809117188544214e+00,9.917560139849918022e-01,1.276629047541553819e+00,1.188623635093367659e+00,1.216782897291574628e+00,1.279383147998533143e+00,1.138044719314384556e+00,9.879252414089025880e-01,1.210142400194432977e+00,1.177898695011754260e+00,9.584355058023118490e-01,1.033806666447064426e+00,1.096461944148639622e+00,2.220446049250313081e-16
