# Bashkir,Buryat,Chuvash,Evenki,Japanese,Kalmyk,Kannada,Kazakh,Khalkha Mongolian,Korean,Malayalam,Manchu,Nanai,North Azerbaijani,Northern Uzbek,Sakha,Tamil,Tatar,Telugu,Turkish
1.110223024625156540e-16,9.608877822694424919e-01,1.217544519659254032e+00,9.256652554011484124e-01,1.264040105807503256e+00,9.678575894053944584e-01,9.458742328794804699e-01,2.853142560951769102e-01,9.978898225050523152e-01,9.652204456362110108e-01,9.746273241512382057e-01,9.763615516779962089e-01,1.091444987158055380e+00,8.981019131738275929e-01,1.250075048097948560e+00,8.915938477577628474e-01,9.972862310081307413e-01,1.080234013647569657e-01,9.834299616006523248e-01,9.824494316945846517e-01
9.608877822694424919e-01,6.014291498919218659e-01,1.168134528383462767e+00,9.873832662586300435e-01,1.158850952311947458e+00,7.934085061427414987e-01,9.784127151319141902e-01,9.683711856382956062e-01,7.988246715520603836e-01,9.445499324834417676e-01,9.619520079334598073e-01,9.689431507811255839e-01,1.088728880561543155e+00,9.232278533659279418e-01,1.285030003355962736e+00,9.702669111667262536e-01,9.298791221808548890e-01,9.621292811726537275e-01,9.761034837602301506e-01,9.294765115808281131e-01
1.217544519659254032e+00,1.168134528383462767e+00,2.220446049250313081e-16,1.384430165704343629e+00,1.098927751600542901e+00,1.112594804155256467e+00,1.265079817913936644e+00,1.224083133961693992e+00,1.089762251834047513e+00,1.020506354793273784e+00,1.385159355311130103e+00,1.145513795051001704e+00,1.166041371138243576e+00,1.163843632603042355e+00,1.404583403043613732e+00,1.201161409019135595e+00,1.407770734429750759e+00,1.224690102829605332e+00,1.248130863788022404e+00,1.193883505900273700e+00
9.256652554011484124e-01,9.873832662586300435e-01,1.384430165704343629e+00,-4.440892098500626162e-16,1.394979268251584914e+00,8.749365522762579950e-01,9.355957433437023241e-01,9.586352348349187480e-01,9.941227408147024214e-01,1.000000000000000000e+00,9.586870233206568059e-01,9.094823521779371589e-01,1.000950766735237751e+00,9.954084079872519419e-01,1.327304413502993663e+00,1.000000000000000000e+00,9.814851607809095269e-01,9.423903818027875579e-01,9.804398465007881924e-01,9.724004169268832820e-01
1.264040105807503256e+00,1.158850952311947458e+00,1.098927751600542901e+00,1.394979268251584914e+00,2.220446049250313081e-16,1.233027656062091637e+00,1.432162307331911411e+00,1.258145623280867431e+00,1.061601506907684733e+00,1.255310878929253970e+00,1.436783049916392940e+00,1.163812449496466339e+00,1.354333964021456893e+00,1.238428362176009934e+00,1.323845347437028197e+00,1.228754337557654619e+00,1.466630437984479229e+00,1.276106323442264712e+00,1.318818526877667097e+00,1.285925091700493406e+00
9.678575894053944584e-01,7.934085061427414987e-01,1.112594804155256467e+00,8.749365522762579950e-01,1.233027656062091637e+00,4.627243652247175487e-01,9.948210864769944095e-01,9.762721453030402952e-01,8.620293429924446027e-01,8.297925282321012563e-01,9.760830931773198937e-01,9.614931508295171403e-01,1.174341883808319054e+00,1.000000000000000000e+00,1.270789136797715768e+00,9.086162776030289878e-01,9.801860988142683251e-01,9.624657238402214432e-01,9.776829776886297729e-01,8.169997464271656629e-01
9.458742328794804699e-01,9.784127151319141902e-01,1.265079817913936644e+00,9.355957433437023241e-01,1.432162307331911411e+00,9.948210864769944095e-01,-2.220446049250313081e-16,9.905868890942176597e-01,9.900483514227969017e-01,9.853456096495930572e-01,6.316933190214388816e-01,9.050901262156793026e-01,1.141771874244526863e+00,9.852609285343217893e-01,1.399519022501708676e+00,9.724180610031889493e-01,6.637597914713897485e-01,9.801077702982516904e-01,6.466280250544641506e-01,9.935283551702305260e-01
2.853142560951769102e-01,9.683711856382956062e-01,1.224083133961693992e+00,9.586352348349187480e-01,1.258145623280867431e+00,9.762721453030402952e-01,9.905868890942176597e-01,2.220446049250313081e-16,9.763416321929395680e-01,9.715228575404490918e-01,9.743546034293154579e-01,9.924682808832669956e-01,1.158158223561233768e+00,8.408000532475216060e-01,1.217494627542098362e+00,9.171408825143210208e-01,9.484740130279639692e-01,2.660415752442372161e-01,9.445934674471708759e-01,9.808949390460228734e-01
9.978898225050523152e-01,7.988246715520603836e-01,1.089762251834047513e+00,9.941227408147024214e-01,1.061601506907684733e+00,8.620293429924446027e-01,9.900483514227969017e-01,9.763416321929395680e-01,5.000000000000000000e-01,9.712830674091018635e-01,9.639343362507788449e-01,9.592487692578863800e-01,1.145152560987809931e+00,9.191496902281217629e-01,1.179544747782694358e+00,9.566606135334181360e-01,9.920588679146364885e-01,9.861960886145082483e-01,9.838937094031756647e-01,9.022878380198637860e-01
9.652204456362110108e-01,9.445499324834417676e-01,1.020506354793273784e+00,1.000000000000000000e+00,1.255310878929253970e+00,8.297925282321012563e-01,9.853456096495930572e-01,9.715228575404490918e-01,9.712830674091018635e-01,2.220446049250313081e-16,1.000000000000000000e+00,9.315690700156812332e-01,1.157972304745113812e+00,7.729465327486658710e-01,1.288900137649559019e+00,1.000000000000000000e+00,9.667859288670802576e-01,9.702324941615790843e-01,9.806341591570942873e-01,7.238226548877557676e-01
