# Bashkir,Buryat,Chuvash,Evenki,Japanese,Kalmyk,Kannada,Kazakh,Khalkha Mongolian,Korean,Malayalam,Manchu,Nanai,North Azerbaijani,Northern Uzbek,Sakha,Tamil,Tatar,Telugu,Turkish
2.220446049250313081e-16,1.000000000000000000e+00,6.435265808446424263e-01,9.950741024896697651e-01,9.883370632749144402e-01,9.123429314833710890e-01,1.000000000000000000e+00,9.733023956904690577e-01,9.244782881149786746e-01,1.000000000000000000e+00,1.000000000000000000e+00,9.387572050397253731e-01,8.781156869375967844e-01,9.325511051889312508e-01,4.397390457231701300e-01,8.684274172471666553e-01,9.517941417437753016e-01,7.937779572441046039e-01,1.000000000000000000e+00,5.703842591149665964e-01
1.000000000000000000e+00,2.220446049250313081e-16,9.474492272078355315e-01,9.777183401100210114e-01,9.020784248489595036e-01,1.000000000000000000e+00,9.971941825953427596e-01,9.321128799165333545e-01,1.000000000000000000e+00,8.982071962633028095e-01,9.882041567235513302e-01,9.698251005533550240e-01,9.366609721723192505e-01,9.022463433801179988e-01,8.060485927883204171e-01,1.000000000000000000e+00,9.499524802276997359e-01,9.574921921764053545e-01,8.936146924460088847e-01,9.344895479310156849e-01
6.435265808446424263e-01,9.474492272078355315e-01,0.000000000000000000e+00,9.422049908057869017e-01,8.056637556796906185e-01,1.000000000000000000e+00,1.000000000000000000e+00,9.439362598417437855e-01,9.940412394411969332e-01,8.005560931823592075e-01,9.769600432197385054e-01,9.209281310681453059e-01,8.299389933046800172e-01,7.200317735923040807e-01,5.595787577232144150e-01,9.952568498836144029e-01,9.964538826872365584e-01,9.684480351087207950e-01,9.771389203550766567e-01,1.000000000000000000e+00
9.950741024896697651e-01,9.777183401100210114e-01,9.422049908057869017e-01,2.220446049250313081e-16,9.329174451969187709e-01,8.656463226833832625e-01,8.964489551858924044e-01,9.784933085514023743e-01,9.062996298820086283e-01,8.821691501089844456e-01,8.805638028943645335e-01,8.936016702933080591e-01,9.352836680772049771e-01,9.225720881219964253e-01,9.394024735636011814e-01,9.490284449151595858e-01,9.224384473500315540e-01,9.228740513763127318e-01,8.849003219148007249e-01,9.149640449601432746e-01
9.883370632749144402e-01,9.020784248489595036e-01,8.056637556796906185e-01,9.329174451969187709e-01,5.000000000000000000e-01,9.587943799469359485e-01,9.956617265635283598e-01,9.504471780215197896e-01,9.143366439966946757e-01,7.765445131043342553e-01,9.114735775040136989e-01,9.565075475085931256e-01,8.282897383433416305e-01,9.863669258843646981e-01,8.421134681265380895e-01,9.197992862391255464e-01,9.562906825538506350e-01,9.709119002250066188e-01,9.905715384990018135e-01,9.940623956483745083e-01
9.123429314833710890e-01,1.000000000000000000e+00,1.000000000000000000e+00,8.656463226833832625e-01,9.587943799469359485e-01,1.110223024625156540e-16,8.277061743267752902e-01,9.720998926880836111e-01,6.260155507179435697e-01,7.323705077308149125e-01,8.283812523694072949e-01,9.311830309379295345e-01,9.157842309966773842e-01,7.283091777885369877e-01,9.368137934649310994e-01,8.314039306618294933e-01,1.000000000000000000e+00,9.401215604604014064e-01,9.855430183128059962e-01,9.398372676174582274e-01
1.000000000000000000e+00,9.971941825953427596e-01,1.000000000000000000e+00,8.964489551858924044e-01,9.956617265635283598e-01,8.277061743267752902e-01,0.000000000000000000e+00,8.892897411258717799e-01,8.337440505533713075e-01,8.285460107250569584e-01,8.864867229851816077e-01,8.702188594587423331e-01,9.835122049376296971e-01,8.815510457754188733e-01,1.000000000000000000e+00,9.551891376494167085e-01,9.820165632701910452e-01,9.238361579702899506e-01,7.647016702667126520e-01,1.000000000000000000e+00
9.733023956904690577e-01,9.321128799165333545e-01,9.439362598417437855e-01,9.784933085514023743e-01,9.504471780215197896e-01,9.720998926880836111e-01,8.892897411258717799e-01,0.000000000000000000e+00,9.903541980861803040e-01,9.046725211828305913e-01,6.818440218181892609e-01,8.246587389506854215e-01,9.812490786127637810e-01,9.229759225156213276e-01,1.000000000000000000e+00,8.733493952730068122e-01,9.868866672601288581e-01,1.000000000000000000e+00,9.232196648018002882e-01,1.000000000000000000e+00
9.244782881149786746e-01,1.000000000000000000e+00,9.940412394411969332e-01,9.062996298820086283e-01,9.143366439966946757e-01,6.260155507179435697e-01,8.337440505533713075e-01,9.903541980861803040e-01,1.110223024625156540e-16,7.155080107095326269e-01,8.363423600948889369e-01,9.388600249797897090e-01,9.418283416244006556e-01,9.600194082806595697e-01,9.672506971078221882e-01,7.961833099835315952e-01,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,9.453098042835869075e-01
1.000000000000000000e+00,8.982071962633028095e-01,8.005560931823592075e-01,8.821691501089844456e-01,7.765445131043342553e-01,7.323705077308149125e-01,8.285460107250569584e-01,9.046725211828305913e-01,7.155080107095326269e-01,0.000000000000000000e+00,7.451866142051807307e-01,8.006709180546427440e-01,7.326124421463560132e-01,9.269478058571687384e-01,7.808865271000969832e-01,9.801628659255386955e-01,9.590246718865087505e-01,8.418908512198813865e-01,8.951326541772729461e-01,9.782532508609784738e-01
1.000000000000000000e+00,9.882041567235513302e-01,9.769600432197385054e-01,8.805638028943645335e-01,9.114735775040136989e-01,8.283812523694072949e-01,8.864867229851816077e-01,6.818440218181892609e-01,8.363423600948889369e-01,7.451866142051807307e-01,0.000000000000000000e+00,9.292730688562373942e-01,9.762745984759272355e-01,9.214150218225528599e-01,1.000000000000000000e+00,8.986011830196571903e-01,9.803417108072731700e-01,9.769458571994962259e-01,8.782870031805996014e-01,9.937187728810434884e-01
9.387572050397253731e-01,9.698251005533550240e-01,9.209281310681453059e-01,8.936016702933080591e-01,9.565075475085931256e-01,9.311830309379295345e-01,8.702188594587423331e-01,8.246587389506854215e-01,9.388600249797897090e-01,8.006709180546427440e-01,9.292730688562373942e-01,4.525446427515444903e-01,9.085037185536468662e-01,9.895415882041376232e-01,9.807752455456597573e-01,9.937114538437794575e-01,9.378949861584120473e-01,9.561557756112969431e-01,9.913148456939419040e-01,1.000000000000000000e+00
8.781156869375967844e-01,9.366609721723192505e-01,8.299389933046800172e-01,9.352836680772049771e-01,8.282897383433416305e-01,9.157842309966773842e-01,9.835122049376296971e-01,9.812490786127637810e-01,9.418283416244006556e-01,7.326124421463560132e-01,9.762745984759272355e-01,9.085037185536468662e-01,0.000000000000000000e+00,8.971455745324199427e-01,8.577356079533569044e-01,9.591832686960908294e-01,9.641102675382862142e-01,8.244639320673512461e-01,9.487386587668309446e-01,8.965738954589780318e-01
9.325511051889312508e-01,9.022463433801179988e-01,7.200317735923040807e-01,9.225720881219964253e-01,9.863669258843646981e-01,7.283091777885369877e-01,8.815510457754188733e-01,9.229759225156213276e-01,9.600194082806595697e-01,9.269478058571687384e-01,9.214150218225528599e-01,9.895415882041376232e-01,8.971455745324199427e-01,0.000000000000000000e+00,4.187420191707640349e-01,1.000000000000000000e+00,9.537808460381999032e-01,8.268526844416802524e-01,9.620652190787611913e-01,6.944697732702251880e-01
4.397390457231701300e-01,8.060485927883204171e-01,5.595787577232144150e-01,9.394024735636011814e-01,8.421134681265380895e-01,9.368137934649310994e-01,1.000000000000000000e+00,1.000000000000000000e+00,9.672506971078221882e-01,7.808865271000969832e-01,1.000000000000000000e+00,9.807752455456597573e-01,8.577356079533569044e-01,4.187420191707640349e-01,2.220446049250313081e-16,1.000000000000000000e+00,9.532730261031890917e-01,8.537471302465977629e-01,9.604074944080721599e-01,8.789742199621195518e-01
8.684274172471666553e-01,1.000000000000000000e+00,9.952568498836144029e-01,9.490284449151595858e-01,9.197992862391255464e-01,8.314039306618294933e-01,9.551891376494167085e-01,8.733493952730068122e-01,7.961833099835315952e-01,9.801628659255386955e-01,8.986011830196571903e-01,9.937114538437794575e-01,9.591832686960908294e-01,1.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,9.836569631874845232e-01,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00
9.517941417437753016e-01,9.499524802276997359e-01,9.964538826872365584e-01,9.224384473500315540e-01,9.562906825538506350e-01,1.000000000000000000e+00,9.820165632701910452e-01,9.868866672601288581e-01,1.000000000000000000e+00,9.590246718865087505e-01,9.803417108072731700e-01,9.378949861584120473e-01,9.641102675382862142e-01,9.537808460381999032e-01,9.532730261031890917e-01,9.836569631874845232e-01,-4.440892098500626162e-16,9.534649088463278410e-01,9.827464056731451958e-01,9.466710131995859090e-01
7.937779572441046039e-01,9.574921921764053545e-01,9.684480351087207950e-01,9.228740513763127318e-01,9.709119002250066188e-01,9.401215604604014064e-01,9.238361579702899506e-01,1.000000000000000000e+00,1.000000000000000000e+00,8.418908512198813865e-01,9.769458571994962259e-01,9.561557756112969431e-01,8.244639320673512461e-01,8.268526844416802524e-01,8.537471302465977629e-01,1.000000000000000000e+00,9.534649088463278410e-01,4.999999999999999445e-01,8.311672085110484165e-01,8.336568234634449404e-01
1.000000000000000000e+00,8.936146924460088847e-01,9.771389203550766567e-01,8.849003219148007249e-01,9.905715384990018135e-01,9.855430183128059962e-01,7.647016702667126520e-01,9.232196648018002882e-01,1.000000000000000000e+00,8.951326541772729461e-01,8.782870031805996014e-01,9.913148456939419040e-01,9.487386587668309446e-01,9.620652190787611913e-01,9.604074944080721599e-01,1.000000000000000000e+00,9.827464056731451958e-01,8.311672085110484165e-01,2.220446049250313081e-16,9.460236992447592641e-01
5.703842591149665964e-01,9.344895479310156849e-01,1.000000000000000000e+00,9.149640449601432746e-01,9.940623956483745083e-01,9.398372676174582274e-01,1.000000000000000000e+00,1.000000000000000000e+00,9.453098042835869075e-01,9.782532508609784738e-01,9.937187728810434884e-01,1.000000000000000000e+00,8.965738954589780318e-01,6.944697732702251880e-01,8.789742199621195518e-01,1.000000000000000000e+00,9.466710131995859090e-01,8.336568234634449404e-01,9.460236992447592641e-01,2.220446049250313081e-16
