# Bashkir,Buryat,Chuvash,Evenki,Japanese,Kalmyk,Kannada,Kazakh,Khalkha Mongolian,Korean,Malayalam,Manchu,Nanai,North Azerbaijani,Northern Uzbek,Sakha,Tamil,Tatar,Telugu,Turkish
2.220446049250313081e-16,9.062180249328997128e-01,5.327475247147709370e-01,8.296681817474320653e-01,6.256424972630958425e-01,8.537166070381272398e-01,8.933124996595559475e-01,9.120468941474585423e-01,9.856343225502610661e-01,9.778313042069105565e-01,8.568854939871050069e-01,1.000000000000000000e+00,9.227669033403571586e-01,9.626025813202617742e-01,8.943785015661642745e-01,6.413626433333572407e-01,1.000000000000000000e+00,4.768893998122439859e-01,9.076695817989766102e-01,9.523758798684401894e-01
9.062180249328997128e-01,3.330669073875469621e-16,8.818756764668133075e-01,8.820773629821738737e-01,7.767640826597717041e-01,7.501779694432018086e-01,8.524940829723945956e-01,8.943926812831335393e-01,5.605345285037324210e-01,8.817303704250212260e-01,6.672693294515756879e-01,9.554423331785665274e-01,1.000000000000000000e+00,9.484550506588831364e-01,8.876700624995270683e-01,8.432649412102917186e-01,1.000000000000000000e+00,8.537131511270951156e-01,9.674255730382508300e-01,8.930419302683141325e-01
5.327475247147709370e-01,8.818756764668133075e-01,1.110223024625156540e-16,1.000000000000000000e+00,7.141127760083656462e-01,8.996279780504694568e-01,1.000000000000000000e+00,1.000000000000000000e+00,8.782027229488360565e-01,1.000000000000000000e+00,8.194096175925288383e-01,8.794133377131229112e-01,1.000000000000000000e+00,6.348904967717623471e-01,5.239324514339238625e-01,3.690324263678881334e-01,1.000000000000000000e+00,5.087754089386041789e-01,9.155653017426164109e-01,6.156066634994032949e-01
8.296681817474320653e-01,8.820773629821738737e-01,1.000000000000000000e+00,0.000000000000000000e+00,9.705698797000212874e-01,9.219223597394299308e-01,8.936264271084973787e-01,9.478764474353883474e-01,8.994835875577839035e-01,9.081974786273189215e-01,9.161260533729276290e-01,9.646877823298273258e-01,8.575850677156294788e-01,9.907506595846549136e-01,1.000000000000000000e+00,1.000000000000000000e+00,9.501933932601848154e-01,9.218181722666098921e-01,9.610446050438937737e-01,9.786798078923117927e-01
6.256424972630958425e-01,7.767640826597717041e-01,7.141127760083656462e-01,9.705698797000212874e-01,1.110223024625156540e-16,8.582799915076553265e-01,6.813875325530625027e-01,8.494751261533357578e-01,7.122694816421490938e-01,9.027074387638969188e-01,8.127309662369395227e-01,9.611100598723507638e-01,8.578597594159184103e-01,8.982757852314438018e-01,8.904741984959528844e-01,7.868823570841129156e-01,9.603443133296303280e-01,5.622546953707703299e-01,8.916035945827720521e-01,9.189444595721714126e-01
8.537166070381272398e-01,7.501779694432018086e-01,8.996279780504694568e-01,9.219223597394299308e-01,8.582799915076553265e-01,-2.220446049250313081e-16,9.707757275484111270e-01,8.527111659887973705e-01,7.875846701131969940e-01,9.717133456877680153e-01,9.570383944974734103e-01,9.575511013400715976e-01,9.418001435524683274e-01,8.504557728341443079e-01,8.592231230350506621e-01,8.553079779252324988e-01,1.000000000000000000e+00,8.777166169278487473e-01,8.999642978065458543e-01,8.712219167467594172e-01
8.933124996595559475e-01,8.524940829723945956e-01,1.000000000000000000e+00,8.936264271084973787e-01,6.813875325530625027e-01,9.707757275484111270e-01,1.110223024625156540e-16,8.819807495734712788e-01,7.403412849244689342e-01,9.270858219828940205e-01,5.991865730855499006e-01,8.393480923134457594e-01,9.952110905582597367e-01,1.000000000000000000e+00,9.743843447540523339e-01,9.486270263592724294e-01,1.000000000000000000e+00,8.656089770966883812e-01,9.874530590253040030e-01,9.899081334305335211e-01
9.120468941474585423e-01,8.943926812831335393e-01,1.000000000000000000e+00,9.478764474353883474e-01,8.494751261533357578e-01,8.527111659887973705e-01,8.819807495734712788e-01,1.110223024625156540e-16,9.418906631411229080e-01,5.714537080387196433e-01,9.208336085092984069e-01,9.350506343505095019e-01,7.618480926937704067e-01,9.243994122237769728e-01,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,7.040479204969225524e-01,8.812916690660543839e-01,9.780801617415169069e-01
9.856343225502610661e-01,5.605345285037324210e-01,8.782027229488360565e-01,8.994835875577839035e-01,7.122694816421490938e-01,7.875846701131969940e-01,7.403412849244689342e-01,9.418906631411229080e-01,0.000000000000000000e+00,9.595342113508824600e-01,6.545735742666761725e-01,9.505266688012253828e-01,7.565182901697968809e-01,8.542576737729583591e-01,9.156012924027524535e-01,9.519835381210398628e-01,9.749416329844327045e-01,8.573511899593367902e-01,1.000000000000000000e+00,9.452974290584557071e-01
9.778313042069105565e-01,8.817303704250212260e-01,1.000000000000000000e+00,9.081974786273189215e-01,9.027074387638969188e-01,9.717133456877680153e-01,9.270858219828940205e-01,5.714537080387196433e-01,9.595342113508824600e-01,0.000000000000000000e+00,9.030644097571641771e-01,9.023712086598857374e-01,7.682331031217450867e-01,8.920618727290606786e-01,9.763196308781249000e-01,1.000000000000000000e+00,9.403744889205974955e-01,9.606582406295726129e-01,9.644764982511572216e-01,9.520265888479213512e-01
