# Bashkir,Buryat,Chuvash,Evenki,Japanese,Kalmyk,Kannada,Kazakh,Khalkha Mongolian,Korean,Malayalam,Manchu,Nanai,North Azerbaijani,Northern Uzbek,Sakha,Tamil,Tatar,Telugu,Turkish
5.000000000000000000e-01,1.010926943301043268e+00,6.684322473049290059e-01,9.870366742546443639e-01,1.000000000000000000e+00,9.570876134333570207e-01,9.514855806799209503e-01,8.885236384026901080e-01,9.340966545944615618e-01,9.079422021766319073e-01,9.786392505478307413e-01,8.789993094626080694e-01,9.677487966203199843e-01,6.315887188125730578e-01,5.853655952198069112e-01,9.950154839446447852e-01,9.844411677253908088e-01,8.135206386275719570e-01,1.215097126537463268e+00,9.325660215715658730e-01
1.010926943301043268e+00,5.491271669021582369e-01,1.023494170681286564e+00,1.122248617103384083e+00,1.174536116935395391e+00,7.878598060425766603e-01,1.125015202166666617e+00,1.043729693797676328e+00,1.090434381838659927e+00,1.125527205393616947e+00,1.137200411936713174e+00,9.187764289923036065e-01,8.945665775038115219e-01,1.012161659818215043e+00,9.346827190007737096e-01,9.924813076521080690e-01,1.250622929323385701e+00,1.086216697756940963e+00,1.087230976646151648e+00,1.057676087799545916e+00
6.684322473049290059e-01,1.023494170681286564e+00,1.110223024625156540e-16,9.779769830150719656e-01,9.466252354830122506e-01,9.730249452397760068e-01,8.908484223359468546e-01,9.417964068974429281e-01,9.416269305166031778e-01,9.330070998952152417e-01,8.905941135642432283e-01,8.152195749588693197e-01,8.924387114215870387e-01,8.099723457042782293e-01,8.041510581316050343e-01,9.990164037075814907e-01,9.535444980862447517e-01,8.162606664173852611e-01,1.202905833355775611e+00,8.300935353534208971e-01
9.870366742546443639e-01,1.122248617103384083e+00,9.779769830150719656e-01,-2.220446049250313081e-16,9.093368991606364249e-01,9.625606421032567583e-01,9.609178772930666579e-01,9.690249076584220855e-01,1.000000000000000000e+00,9.377582570122030559e-01,9.863571194183630153e-01,9.583738198267264252e-01,7.430515084383151336e-01,9.836740240782807509e-01,9.791571041861141245e-01,9.027045423261663704e-01,8.908018481512541831e-01,9.621184549738979186e-01,1.317690477472266419e+00,9.910082004600497818e-01
1.000000000000000000e+00,1.174536116935395391e+00,9.466252354830122506e-01,9.093368991606364249e-01,0.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,9.612041773258943600e-01,9.577235335052829424e-01,9.401496504670227017e-01,1.000000000000000000e+00,9.994496090986353387e-01,9.757099809964383530e-01,9.977162748409279525e-01,1.000000000000000000e+00,1.000000000000000000e+00,9.848001035624952548e-01,9.570169285009868521e-01,1.293737503312700321e+00,1.000000000000000000e+00
9.570876134333570207e-01,7.878598060425766603e-01,9.730249452397760068e-01,9.625606421032567583e-01,1.000000000000000000e+00,1.110223024625156540e-16,9.502572993572118154e-01,7.894649490393383928e-01,8.976426242512932641e-01,9.631180310891225282e-01,9.769752018172308539e-01,9.001108273299129880e-01,8.107557566876020250e-01,9.323998245788919226e-01,7.686855290952263609e-01,9.379859756450460440e-01,1.000000000000000000e+00,5.956921228528075929e-01,1.038554982313483865e+00,9.119468679148672319e-01
9.514855806799209503e-01,1.125015202166666617e+00,8.908484223359468546e-01,9.609178772930666579e-01,1.000000000000000000e+00,9.502572993572118154e-01,0.000000000000000000e+00,9.836807798630345934e-01,1.000000000000000000e+00,9.811950094195001082e-01,9.566608728571307507e-01,1.000000000000000000e+00,9.969430899103498556e-01,9.700732302835587406e-01,1.000000000000000000e+00,1.000000000000000000e+00,8.264673955068426725e-01,9.634956120285772529e-01,1.270086911708473210e+00,1.000000000000000000e+00
8.885236384026901080e-01,1.043729693797676328e+00,9.417964068974429281e-01,9.690249076584220855e-01,9.612041773258943600e-01,7.894649490393383928e-01,9.836807798630345934e-01,4.709872178244366436e-01,6.322832567403057213e-01,9.216009392437675141e-01,9.874366949804728177e-01,8.926808728305407614e-01,9.425427470011138453e-01,9.479404459894931190e-01,9.084437368691836712e-01,9.610636247840037560e-01,9.558487869577063645e-01,8.974046224311779119e-01,1.160007131083065079e+00,8.160036200756031199e-01
9.340966545944615618e-01,1.090434381838659927e+00,9.416269305166031778e-01,1.000000000000000000e+00,9.577235335052829424e-01,8.976426242512932641e-01,1.000000000000000000e+00,6.322832567403057213e-01,0.000000000000000000e+00,9.612895855097947084e-01,9.657625130939124780e-01,9.677618853788202413e-01,9.055464448329233473e-01,9.349296138233865738e-01,7.716840977780291544e-01,1.000000000000000000e+00,1.000000000000000000e+00,9.126509080560237797e-01,1.152524546799976068e+00,8.130751446958570661e-01
9.079422021766319073e-01,1.125527205393616947e+00,9.330070998952152417e-01,9.377582570122030559e-01,9.401496504670227017e-01,9.631180310891225282e-01,9.811950094195001082e-01,9.216009392437675141e-01,9.612895855097947084e-01,2.220446049250313081e-16,1.000000000000000000e+00,8.176201000980464206e-01,9.455832872671956491e-01,9.177147138933952064e-01,1.000000000000000000e+00,9.319627509412461430e-01,1.000000000000000000e+00,9.610536117051525773e-01,1.256571870209215680e+00,9.082301432585140333e-01
9.786392505478307413e-01,1.137200411936713174e+00,8.905941135642432283e-01,9.863571194183630153e-01,1.000000000000000000e+00,9.769752018172308539e-01,9.566608728571307507e-01,9.874366949804728177e-01,9.657625130939124780e-01,1.000000000000000000e+00,0.000000000000000000e+00,9.223545327501575519e-01,8.801390739642401817e-01,8.235759664245413392e-01,9.485933432362341211e-01,1.000000000000000000e+00,1.000000000000000000e+00,8.450607954264780508e-01,9.110992914866824499e-01,9.872258409511962540e-01
8.789993094626080694e-01,9.187764289923036065e-01,8.152195749588693197e-01,9.583738198267264252e-01,9.994496090986353387e-01,9.001108273299129880e-01,1.000000000000000000e+00,8.926808728305407614e-01,9.677618853788202413e-01,8.176201000980464206e-01,9.223545327501575519e-01,-2.220446049250313081e-16,8.619310458082899418e-01,9.305575861794586068e-01,8.323753643921918410e-01,8.547270283400318913e-01,1.000000000000000000e+00,9.564525217601794749e-01,1.090405801892932569e+00,8.689371739227038649e-01
9.677487966203199843e-01,8.945665775038115219e-01,8.924387114215870387e-01,7.430515084383151336e-01,9.757099809964383530e-01,8.107557566876020250e-01,9.969430899103498556e-01,9.425427470011138453e-01,9.055464448329233473e-01,9.455832872671956491e-01,8.801390739642401817e-01,8.619310458082899418e-01,1.110223024625156540e-16,8.900556123811018683e-01,9.823532919255161255e-01,7.664389755653773229e-01,9.939202703108789283e-01,9.098009104020841065e-01,1.039753926514357607e+00,9.672070625504437524e-01
6.315887188125730578e-01,1.012161659818215043e+00,8.099723457042782293e-01,9.836740240782807509e-01,9.977162748409279525e-01,9.323998245788919226e-01,9.700732302835587406e-01,9.479404459894931190e-01,9.349296138233865738e-01,9.177147138933952064e-01,8.235759664245413392e-01,9.305575861794586068e-01,8.900556123811018683e-01,0.000000000000000000e+00,3.479706865453597864e-01,9.548565102860729903e-01,1.000000000000000000e+00,7.389420782240390118e-01,1.104239163607392715e+00,8.723640394621022809e-01
5.853655952198069112e-01,9.346827190007737096e-01,8.041510581316050343e-01,9.791571041861141245e-01,1.000000000000000000e+00,7.686855290952263609e-01,1.000000000000000000e+00,9.084437368691836712e-01,7.716840977780291544e-01,1.000000000000000000e+00,9.485933432362341211e-01,8.323753643921918410e-01,9.823532919255161255e-01,3.479706865453597864e-01,0.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,9.174494365031186094e-01,1.115688201792806034e+00,7.675770281298448516e-01
9.950154839446447852e-01,9.924813076521080690e-01,9.990164037075814907e-01,9.027045423261663704e-01,1.000000000000000000e+00,9.379859756450460440e-01,1.000000000000000000e+00,9.610636247840037560e-01,1.000000000000000000e+00,9.319627509412461430e-01,1.000000000000000000e+00,8.547270283400318913e-01,7.664389755653773229e-01,9.548565102860729903e-01,1.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,9.536036357807602393e-01,1.188801249185039932e+00,8.468714184003345302e-01
9.844411677253908088e-01,1.250622929323385701e+00,9.535444980862447517e-01,8.908018481512541831e-01,9.848001035624952548e-01,1.000000000000000000e+00,8.264673955068426725e-01,9.558487869577063645e-01,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,9.939202703108789283e-01,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,-2.220446049250313081e-16,9.668229757649777767e-01,1.161084946879323399e+00,9.847479003942289921e-01
8.135206386275719570e-01,1.086216697756940963e+00,8.162606664173852611e-01,9.621184549738979186e-01,9.570169285009868521e-01,5.956921228528075929e-01,9.634956120285772529e-01,8.974046224311779119e-01,9.126509080560237797e-01,9.610536117051525773e-01,8.450607954264780508e-01,9.564525217601794749e-01,9.098009104020841065e-01,7.389420782240390118e-01,9.174494365031186094e-01,9.536036357807602393e-01,9.668229757649777767e-01,-4.440892098500626162e-16,1.141685799673298307e+00,9.475125252676308563e-01
1.215097126537463268e+00,1.087230976646151648e+00,1.202905833355775611e+00,1.317690477472266419e+00,1.293737503312700321e+00,1.038554982313483865e+00,1.270086911708473210e+00,1.160007131083065079e+00,1.152524546799976068e+00,1.256571870209215680e+00,9.110992914866824499e-01,1.090405801892932569e+00,1.039753926514357607e+00,1.104239163607392715e+00,1.115688201792806034e+00,1.188801249185039932e+00,1.161084946879323399e+00,1.141685799673298307e+00,-2.220446049250313081e-16,1.170305698328786281e+00
9.325660215715657619e-01,1.057676087799545916e+00,8.300935353534208971e-01,9.910082004600497818e-01,1.000000000000000000e+00,9.119468679148672319e-01,1.000000000000000000e+00,8.160036200756031199e-01,8.130751446958570661e-01,9.082301432585140333e-01,9.872258409511962540e-01,8.689371739227038649e-01,9.672070625504437524e-01,8.723640394621022809e-01,7.675770281298448516e-01,8.468714184003345302e-01,9.847479003942289921e-01,9.475125252676308563e-01,1.170305698328786281e+00,4.561688077776865913e-01
