# Bashkir,Buryat,Chuvash,Evenki,Japanese,Kalmyk,Kannada,Kazakh,Khalkha Mongolian,Korean,Malayalam,Manchu,Nanai,North Azerbaijani,Northern Uzbek,Sakha,Tamil,Tatar,Telugu,Turkish
5.873201223950680339e-01,1.042357132435392186e+00,1.094684184907686264e+00,1.007063864733781955e+00,1.008367816118154403e+00,1.082217937255598894e+00,1.098649364878085954e+00,9.206094060794892675e-01,1.066054123058616687e+00,1.093746467378869713e+00,1.073050614091571209e+00,1.019913491968521546e+00,1.006964439677747514e+00,1.084438977750638911e+00,1.290582100136874910e+00,1.050376736840974434e+00,1.139078830129633735e+00,8.089681712841854111e-01,9.060871327918458285e-01,1.056898471539247542e+00
1.042357132435392186e+00,-2.220446049250313081e-16,9.734469900186739633e-01,8.876454495190700955e-01,7.691385187128838563e-01,8.328437474873263691e-01,1.000000000000000000e+00,9.438606661569283185e-01,9.925597888124737533e-01,9.442931223679491559e-01,7.882611957889305021e-01,9.693404563999616919e-01,8.282297938106137902e-01,9.787805922878061171e-01,1.444545356759015409e+00,9.057441958408204430e-01,9.323953860385445491e-01,8.345239863055171625e-01,8.923458967690935939e-01,1.000000000000000000e+00
1.094684184907686264e+00,9.734469900186739633e-01,1.110223024625156540e-16,9.951292301468228629e-01,8.979799424563721377e-01,1.000000000000000000e+00,7.636536964709627062e-01,8.897272107705357369e-01,8.658169211529772591e-01,7.270901122423745200e-01,9.518963951043509786e-01,9.137764113926173382e-01,1.000000000000000000e+00,7.380906622325364985e-01,1.248747087684839663e+00,1.000000000000000000e+00,1.000000000000000000e+00,9.515198130398859755e-01,1.000000000000000000e+00,6.751975766852527094e-01
1.007063864733781955e+00,8.876454495190700955e-01,9.951292301468228629e-01,0.000000000000000000e+00,8.995910454027176151e-01,9.371461681029080726e-01,9.682456617589703107e-01,9.962617146894372500e-01,9.590073660021652957e-01,9.190079423258031843e-01,8.957679731534767820e-01,6.307526609612956747e-01,9.689019153374711646e-01,9.959754226438632951e-01,1.316260926151025856e+00,9.545737981404678330e-01,9.531456365263842878e-01,9.149698990552077582e-01,8.145739021838658278e-01,1.000000000000000000e+00
1.008367816118154403e+00,7.691385187128838563e-01,8.979799424563721377e-01,8.995910454027176151e-01,2.220446049250313081e-16,9.769617012980863491e-01,9.457569228241384796e-01,9.304982217827306723e-01,9.821346448342288538e-01,9.094992806117593309e-01,7.416521486985399036e-01,9.261226522396091010e-01,7.463144139413790956e-01,9.565212186710039255e-01,1.407598963812724424e+00,1.000000000000000000e+00,9.259064864418491414e-01,8.411952829057062209e-01,7.905317677727847769e-01,9.704597511716490654e-01
1.082217937255598894e+00,8.328437474873263691e-01,1.000000000000000000e+00,9.371461681029080726e-01,9.769617012980863491e-01,0.000000000000000000e+00,9.944244630286170894e-01,7.524545717039957671e-01,9.091990768676794232e-01,9.208520006659878243e-01,8.927333548474493119e-01,9.604075628210493321e-01,9.906640813976140825e-01,9.878281918043898546e-01,1.408876422665801043e+00,9.186563035494861307e-01,9.835997330555618090e-01,9.489386628464732132e-01,8.747842443790524447e-01,1.000000000000000000e+00
1.098649364878085954e+00,1.000000000000000000e+00,7.636536964709627062e-01,9.682456617589703107e-01,9.457569228241384796e-01,9.944244630286170894e-01,-2.220446049250313081e-16,9.317830889956505436e-01,9.263345012115176136e-01,9.558419829284388047e-01,1.000000000000000000e+00,9.187302279333506849e-01,9.746649162672157418e-01,9.100698386212069391e-01,1.392243968443619195e+00,1.000000000000000000e+00,9.788738948192848843e-01,9.614401920748333330e-01,9.398192577147975735e-01,8.357609044211988802e-01
9.206094060794892675e-01,9.438606661569283185e-01,8.897272107705357369e-01,9.962617146894372500e-01,9.304982217827306723e-01,7.524545717039957671e-01,9.317830889956505436e-01,0.000000000000000000e+00,5.939180867570982292e-01,9.460777801516186969e-01,1.000000000000000000e+00,9.010667751182107610e-01,8.197130718907796876e-01,7.767601822066430017e-01,1.365339215575112730e+00,1.000000000000000000e+00,9.650653860558866537e-01,5.181081203362086773e-01,6.937901618893562716e-01,7.894752442240473567e-01
1.066054123058616687e+00,9.925597888124737533e-01,8.658169211529772591e-01,9.590073660021652957e-01,9.821346448342288538e-01,9.091990768676794232e-01,9.263345012115176136e-01,5.939180867570982292e-01,1.110223024625156540e-16,9.825184334113211682e-01,8.967220502894462930e-01,8.956771023939310572e-01,9.646035686750855653e-01,8.944511519004156863e-01,1.315531457913209135e+00,9.581275899562107234e-01,1.000000000000000000e+00,6.502596022933512243e-01,8.617473737204162099e-01,7.869095936050704010e-01
1.093746467378869713e+00,9.442931223679491559e-01,7.270901122423745200e-01,9.190079423258031843e-01,9.094992806117593309e-01,9.208520006659878243e-01,9.558419829284388047e-01,9.460777801516186969e-01,9.825184334113211682e-01,3.330669073875469621e-16,9.617603299425775409e-01,9.947984197744788037e-01,9.735628531052816781e-01,9.352304595988412128e-01,1.244953792894165634e+00,1.000000000000000000e+00,9.434316252906189693e-01,9.369510065176850366e-01,8.785438836098331539e-01,9.111408430587424334e-01
1.073050614091571209e+00,7.882611957889305021e-01,9.518963951043509786e-01,8.957679731534767820e-01,7.416521486985399036e-01,8.927333548474493119e-01,1.000000000000000000e+00,1.000000000000000000e+00,8.967220502894462930e-01,9.617603299425775409e-01,0.000000000000000000e+00,9.818026675128390668e-01,9.517085736086172698e-01,8.780763770847550553e-01,1.324685614686823776e+00,8.665058680918420464e-01,9.655240971670928651e-01,9.603818181066263726e-01,7.351224114374075302e-01,8.824390694653656553e-01
1.019913491968521546e+00,9.693404563999616919e-01,9.137764113926173382e-01,6.307526609612956747e-01,9.261226522396091010e-01,9.604075628210493321e-01,9.187302279333506849e-01,9.010667751182107610e-01,8.956771023939310572e-01,9.947984197744788037e-01,9.818026675128390668e-01,1.110223024625156540e-16,9.468746860548917788e-01,9.185297790779008986e-01,1.365392678007680827e+00,1.000000000000000000e+00,9.818003877787665479e-01,9.860041211225791802e-01,1.000000000000000000e+00,9.214804216142579163e-01
1.006964439677747514e+00,8.282297938106137902e-01,1.000000000000000000e+00,9.689019153374711646e-01,7.463144139413790956e-01,9.906640813976140825e-01,9.746649162672157418e-01,8.197130718907796876e-01,9.646035686750855653e-01,9.735628531052816781e-01,9.517085736086172698e-01,9.468746860548917788e-01,1.110223024625156540e-16,1.000000000000000000e+00,1.475606676979937193e+00,1.000000000000000000e+00,9.637784552643935410e-01,7.106944994993602549e-01,8.414961471195145926e-01,1.000000000000000000e+00
