# Bashkir,Buryat,Chuvash,Evenki,Japanese,Kalmyk,Kannada,Kazakh,Khalkha Mongolian,Korean,Malayalam,Manchu,Nanai,North Azerbaijani,Northern Uzbek,Sakha,Tamil,Tatar,Telugu,Turkish
0.000000000000000000e+00,9.271950210305432982e-01,1.000000000000000000e+00,9.348045536129920841e-01,9.683290779803913617e-01,1.000000000000000000e+00,7.542106607685405972e-01,9.810124384772205275e-01,9.966913329898066110e-01,1.000000000000000000e+00,9.707310240654779543e-01,1.000000000000000000e+00,9.552918428533289097e-01,8.122487416791903669e-01,6.993409990373539165e-01,9.395089695073991498e-01,9.610843323088211765e-01,8.064828904671303977e-01,9.357573870397973836e-01,9.733306483536283693e-01
9.271950210305432982e-01,1.110223024625156540e-16,1.000000000000000000e+00,9.750176627864085566e-01,9.081631710026168980e-01,9.571074282946272493e-01,9.625210597093180054e-01,1.018807255252345723e+00,9.276176048177158240e-01,9.096016622101884552e-01,9.461282244159031629e-01,9.550108306758564591e-01,8.721965843738854751e-01,8.782244253447226701e-01,9.337773456421701868e-01,9.428262275566919870e-01,9.787090001953610008e-01,1.042896584828887807e+00,9.555184388754912606e-01,1.021576033877007017e+00
1.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,8.580057148633717379e-01,9.444921912263590791e-01,1.000000000000000000e+00,7.808268582555291104e-01,9.991361360941939385e-01,1.000000000000000000e+00,1.000000000000000000e+00,9.926271459623040583e-01,8.952682500086717177e-01,8.221620560808924338e-01,9.799461781306821884e-01,1.000000000000000000e+00,4.601784106709266853e-01,9.291401824940014320e-01,1.067229094231034292e+00,1.000000000000000000e+00,9.960833102492924196e-01
9.348045536129920841e-01,9.750176627864085566e-01,8.580057148633717379e-01,3.330669073875469621e-16,9.653160109354921303e-01,1.000000000000000000e+00,9.650747760933264807e-01,1.090481559252640453e+00,7.454604408715581609e-01,9.567256152326233387e-01,9.789912793213989550e-01,8.085517150390295615e-01,9.270600986392504295e-01,9.855338596318800048e-01,9.912528743712175627e-01,1.000000000000000000e+00,9.850209595746117763e-01,1.045090702861550369e+00,9.474243971861077140e-01,1.123869499598826760e+00
9.683290779803913617e-01,9.081631710026168980e-01,9.444921912263590791e-01,9.653160109354921303e-01,0.000000000000000000e+00,9.997429040630204655e-01,9.679470551331580408e-01,1.095648378233108566e+00,9.373970358906656974e-01,9.703124055560681249e-01,8.754744888060393970e-01,9.626270496340265659e-01,7.509578746969831631e-01,9.104212828025953774e-01,9.027225030217076451e-01,9.492268152032351525e-01,8.817576949787094831e-01,1.066757625064288284e+00,7.946122472066147191e-01,1.021675061738473111e+00
1.000000000000000000e+00,9.571074282946272493e-01,1.000000000000000000e+00,1.000000000000000000e+00,9.997429040630204655e-01,0.000000000000000000e+00,1.000000000000000000e+00,1.112375864066193598e+00,1.000000000000000000e+00,9.890375417897924182e-01,1.000000000000000000e+00,8.566358440046175637e-01,6.778828565851745536e-01,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.092174867566100271e+00,1.000000000000000000e+00,1.094005285743168354e+00
7.542106607685405972e-01,9.625210597093180054e-01,7.808268582555291104e-01,9.650747760933264807e-01,9.679470551331580408e-01,1.000000000000000000e+00,1.110223024625156540e-16,1.040280720296293371e+00,9.739569231212876765e-01,9.177362561455797429e-01,1.000000000000000000e+00,9.871750548933275748e-01,9.678388009758646104e-01,8.944712485102508381e-01,7.908110635947671607e-01,9.222553132429632816e-01,6.547137924548436239e-01,9.158979966497622360e-01,9.734355782634946941e-01,9.778387275231953391e-01
9.810124384772205275e-01,1.018807255252345723e+00,9.991361360941939385e-01,1.090481559252640453e+00,1.095648378233108566e+00,1.112375864066193598e+00,1.040280720296293371e+00,9.068225105405607334e-01,1.090999141980018017e+00,9.735387636553719526e-01,1.128089291248491444e+00,1.071255093168264505e+00,1.072524461408809193e+00,1.020358977137423739e+00,1.024779391696047925e+00,1.018734954167418216e+00,1.074064647720543331e+00,9.863303768951550143e-01,1.065758327593085752e+00,1.096958869909112400e+00
9.966913329898066110e-01,9.276176048177158240e-01,1.000000000000000000e+00,7.454604408715581609e-01,9.373970358906656974e-01,1.000000000000000000e+00,9.739569231212876765e-01,1.090999141980018017e+00,-2.220446049250313081e-16,9.398109042344882091e-01,9.009856770270499027e-01,9.522555756253094916e-01,9.634629121389225448e-01,1.000000000000000000e+00,9.760818918334391858e-01,1.000000000000000000e+00,9.884384023954979615e-01,1.101863101833250091e+00,9.749011059053291905e-01,1.095558512513576055e+00
1.000000000000000000e+00,9.096016622101884552e-01,1.000000000000000000e+00,9.567256152326233387e-01,9.703124055560681249e-01,9.890375417897924182e-01,9.177362561455797429e-01,9.735387636553719526e-01,9.398109042344882091e-01,0.000000000000000000e+00,9.129316843514075908e-01,8.929203090443218471e-01,9.692540502841121564e-01,9.392772234395483366e-01,9.387930483252819869e-01,9.799622392643243529e-01,9.525340223185019273e-01,1.077971028500359640e+00,8.987308210709413769e-01,8.744232843490886697e-01
9.707310240654779543e-01,9.461282244159031629e-01,9.926271459623040583e-01,9.789912793213989550e-01,8.754744888060393970e-01,1.000000000000000000e+00,1.000000000000000000e+00,1.128089291248491444e+00,9.009856770270499027e-01,9.129316843514075908e-01,4.440892098500626162e-16,9.890445846818675113e-01,8.799021620411753286e-01,9.037058228008411076e-01,9.145385099095976189e-01,9.579056501626082021e-01,1.000000000000000000e+00,1.129371888200245477e+00,9.128050645852476830e-01,1.109283397180285569e+00
1.000000000000000000e+00,9.550108306758564591e-01,8.952682500086717177e-01,8.085517150390295615e-01,9.626270496340265659e-01,8.566358440046175637e-01,9.871750548933275748e-01,1.071255093168264505e+00,9.522555756253094916e-01,8.929203090443218471e-01,9.890445846818675113e-01,3.234813717255843324e-01,8.142485270305899192e-01,9.803808019942543694e-01,9.806968366423648442e-01,9.721137706333968787e-01,9.714938715380733170e-01,1.095036119896420912e+00,9.345344123843971618e-01,1.071162940016000764e+00
9.552918428533289097e-01,8.721965843738854751e-01,8.221620560808924338e-01,9.270600986392504295e-01,7.509578746969831631e-01,6.778828565851745536e-01,9.678388009758646104e-01,1.072524461408809193e+00,9.634629121389225448e-01,9.692540502841121564e-01,8.799021620411753286e-01,8.142485270305899192e-01,2.220446049250313081e-16,1.000000000000000000e+00,1.000000000000000000e+00,9.200709789634291536e-01,9.488029312119585779e-01,1.102396246706801586e+00,9.441016791077737613e-01,1.052248947625457731e+00
8.122487416791903669e-01,8.782244253447226701e-01,9.799461781306821884e-01,9.855338596318800048e-01,9.104212828025953774e-01,1.000000000000000000e+00,8.944712485102508381e-01,1.020358977137423739e+00,1.000000000000000000e+00,9.392772234395483366e-01,9.037058228008411076e-01,9.803808019942543694e-01,1.000000000000000000e+00,2.220446049250313081e-16,2.663576551691662075e-01,1.000000000000000000e+00,1.000000000000000000e+00,8.988366293681387953e-01,9.252239654656226886e-01,6.142101182938470849e-01
6.993409990373539165e-01,9.337773456421701868e-01,1.000000000000000000e+00,9.912528743712175627e-01,9.027225030217076451e-01,1.000000000000000000e+00,7.908110635947671607e-01,1.024779391696047925e+00,9.760818918334391858e-01,9.387930483252819869e-01,9.145385099095976189e-01,9.806968366423648442e-01,1.000000000000000000e+00,2.663576551691662075e-01,4.440892098500626162e-16,1.000000000000000000e+00,9.990077735009594839e-01,8.997813730801323961e-01,9.461347940396314105e-01,6.536753562968156128e-01
9.395089695073991498e-01,9.428262275566919870e-01,4.601784106709266853e-01,1.000000000000000000e+00,9.492268152032351525e-01,1.000000000000000000e+00,9.222553132429632816e-01,1.018734954167418216e+00,1.000000000000000000e+00,9.799622392643243529e-01,9.579056501626082021e-01,9.721137706333968787e-01,9.200709789634291536e-01,1.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,9.233471918643822995e-01,9.223690667727298953e-01,9.758976906295665499e-01,1.035925688379201404e+00
9.610843323088211765e-01,9.787090001953610008e-01,9.291401824940014320e-01,9.850209595746117763e-01,8.817576949787094831e-01,1.000000000000000000e+00,6.547137924548436239e-01,1.074064647720543331e+00,9.884384023954979615e-01,9.525340223185019273e-01,1.000000000000000000e+00,9.714938715380733170e-01,9.488029312119585779e-01,1.000000000000000000e+00,9.990077735009594839e-01,9.233471918643822995e-01,2.220446049250313081e-16,1.135080053990103366e+00,7.936380047892276357e-01,1.103538587247538949e+00
8.064828904671303977e-01,1.042896584828887807e+00,1.067229094231034292e+00,1.045090702861550369e+00,1.066757625064288284e+00,1.092174867566100271e+00,9.158979966497622360e-01,9.863303768951550143e-01,1.101863101833250091e+00,1.077971028500359640e+00,1.129371888200245477e+00,1.095036119896420912e+00,1.102396246706801586e+00,8.988366293681387953e-01,8.997813730801323961e-01,9.223690667727298953e-01,1.135080053990103366e+00,6.353419106954955042e-01,1.087580669509828901e+00,1.053109896390699074e+00
9.357573870397973836e-01,9.555184388754912606e-01,1.000000000000000000e+00,9.474243971861077140e-01,7.946122472066147191e-01,1.000000000000000000e+00,9.734355782634946941e-01,1.065758327593085752e+00,9.749011059053291905e-01,8.987308210709413769e-01,9.128050645852476830e-01,9.345344123843971618e-01,9.441016791077737613e-01,9.252239654656226886e-01,9.461347940396314105e-01,9.758976906295665499e-01,7.936380047892276357e-01,1.087580669509828901e+00,0.000000000000000000e+00,1.000723203071523626e+00
9.733306483536283693e-01,1.021576033877007017e+00,9.960833102492924196e-01,1.123869499598826760e+00,1.021675061738473111e+00,1.094005285743168354e+00,9.778387275231953391e-01,1.096958869909112178e+00,1.095558512513576055e+00,8.744232843490886697e-01,1.109283397180285569e+00,1.071162940016000764e+00,1.052248947625457731e+00,6.142101182938470849e-01,6.536753562968156128e-01,1.035925688379201404e+00,1.103538587247538949e+00,1.053109896390699074e+00,1.000723203071523626e+00,5.475303263351967153e-01
