# Bashkir,Buryat,Chuvash,Evenki,Japanese,Kalmyk,Kannada,Kazakh,Khalkha Mongolian,Korean,Malayalam,Manchu,Nanai,North Azerbaijani,Northern Uzbek,Sakha,Tamil,Tatar,Telugu,Turkish
1.110223024625156540e-16,8.202149029373891898e-01,8.721562524956647522e-01,8.506258592769097016e-01,8.682241980060771969e-01,7.981727418691293430e-01,9.157859213025529854e-01,4.936681731998271427e-01,9.446950523034616243e-01,9.404921158865976460e-01,8.485494360240676270e-01,9.508778518463116836e-01,9.004529340951583638e-01,8.762905771644147190e-01,7.144342744419077684e-01,8.686479217031922717e-01,9.740361839751610074e-01,4.921006500839378850e-01,9.248146499210118110e-01,8.432538277775193380e-01
8.202149029373891898e-01,-2.220446049250313081e-16,9.671267838777299897e-01,7.253792920448618453e-01,9.365215761379536152e-01,5.805765146728500969e-01,9.560074784425868222e-01,8.255802260174842644e-01,4.258414915628369046e-01,9.661995370107246961e-01,9.630339866207269228e-01,9.056629654010679431e-01,8.602481743494996280e-01,8.816702850033455441e-01,8.797072006692406854e-01,9.268194135455152249e-01,9.786823081247071343e-01,7.581100411409372741e-01,9.141198652403991209e-01,8.948587278819021273e-01
8.721562524956647522e-01,9.671267838777299897e-01,0.000000000000000000e+00,1.000000000000000000e+00,9.441958471321409974e-01,8.890061171617280600e-01,1.000000000000000000e+00,7.996453916637505932e-01,9.848672929982631441e-01,9.551242623573477086e-01,8.872319886960712276e-01,7.792074210933302991e-01,8.912585936171746326e-01,8.562620533019715818e-01,9.603070866500293956e-01,9.467541754987646163e-01,9.970809900758004218e-01,8.978318249378943738e-01,8.899864688941945268e-01,9.431775229462608934e-01
8.506258592769097016e-01,7.253792920448618453e-01,1.000000000000000000e+00,0.000000000000000000e+00,8.466586768359019022e-01,9.826134883769225281e-01,8.921479656133161074e-01,9.888968696594089280e-01,7.624114076793124806e-01,8.762136843831928035e-01,9.754532912155878810e-01,1.000000000000000000e+00,1.000000000000000000e+00,9.937280397184399261e-01,9.871614975756433097e-01,9.145508332294731701e-01,8.583529303019654666e-01,9.477354643017330549e-01,9.869225696468005848e-01,9.825214600534618592e-01
8.682241980060771969e-01,9.365215761379536152e-01,9.441958471321409974e-01,8.466586768359019022e-01,1.110223024625156540e-16,9.409365267214453432e-01,1.000000000000000000e+00,8.511221637819715857e-01,9.819445980540212338e-01,9.555630714404406145e-01,9.707557270298111662e-01,9.964105474323351475e-01,1.000000000000000000e+00,8.894467015063233228e-01,9.102187833877463108e-01,9.690166672929957370e-01,9.328027126746297748e-01,8.827399086578622267e-01,1.000000000000000000e+00,8.779878047826502607e-01
7.981727418691293430e-01,5.805765146728500969e-01,8.890061171617280600e-01,9.826134883769225281e-01,9.409365267214453432e-01,0.000000000000000000e+00,9.675655514993515283e-01,8.331598042501174861e-01,1.156121726795987792e-01,9.664172767002296993e-01,9.789854632490629927e-01,8.838260252010607942e-01,9.080531123422229678e-01,7.528608257435112083e-01,9.141786574568014911e-01,9.639616613583732452e-01,9.903205855236690835e-01,7.858748390849084053e-01,8.843458904408848520e-01,9.056130220032824196e-01
9.157859213025529854e-01,9.560074784425868222e-01,1.000000000000000000e+00,8.921479656133161074e-01,1.000000000000000000e+00,9.675655514993515283e-01,0.000000000000000000e+00,8.601179064292635568e-01,9.483788236768727620e-01,9.682311263385463551e-01,8.282353635493852062e-01,1.000000000000000000e+00,9.426315363794869340e-01,9.786026760886870068e-01,9.642980579283297882e-01,9.452243968209642633e-01,1.000000000000000000e+00,8.553755466573917943e-01,7.673560707291646743e-01,9.161722136571955888e-01
4.936681731998271427e-01,8.255802260174842644e-01,7.996453916637505932e-01,9.888968696594089280e-01,8.511221637819715857e-01,8.331598042501174861e-01,8.601179064292635568e-01,1.110223024625156540e-16,9.432192667899972349e-01,9.742600150062504794e-01,8.738322432046639054e-01,9.014240687035375288e-01,8.698242854449880213e-01,6.481255539430159640e-01,5.888576260212078362e-01,9.245379541604998863e-01,9.688383559402928835e-01,2.511467166846577115e-01,9.231910743735498581e-01,5.022093090795901604e-01
9.446950523034616243e-01,4.258414915628369046e-01,9.848672929982631441e-01,7.624114076793124806e-01,9.819445980540212338e-01,1.156121726795987792e-01,9.483788236768727620e-01,9.432192667899972349e-01,2.220446049250313081e-16,9.856242376367932989e-01,9.871624732891274290e-01,9.195974282106007536e-01,8.819741686688392646e-01,8.597834279280192060e-01,9.340897504600180756e-01,9.997510588081197636e-01,9.576271254819817003e-01,9.508009876391581017e-01,9.498417133468700646e-01,9.154371359998779711e-01
9.404921158865976460e-01,9.661995370107246961e-01,9.551242623573477086e-01,8.762136843831928035e-01,9.555630714404406145e-01,9.664172767002296993e-01,9.682311263385463551e-01,9.742600150062504794e-01,9.856242376367932989e-01,-2.220446049250313081e-16,9.762961761019438578e-01,9.686031170478491825e-01,9.603075559220778379e-01,9.517943965097038772e-01,9.551170774626931426e-01,9.384389432470299219e-01,9.497917623413407728e-01,9.034686822680189078e-01,8.745934225102505177e-01,9.793796715224823979e-01
8.485494360240676270e-01,9.630339866207269228e-01,8.872319886960712276e-01,9.754532912155878810e-01,9.707557270298111662e-01,9.789854632490629927e-01,8.282353635493852062e-01,8.738322432046639054e-01,9.871624732891274290e-01,9.762961761019438578e-01,0.000000000000000000e+00,9.511157626534806342e-01,9.658888351335993550e-01,9.279593340023083448e-01,9.199339882619227415e-01,8.874070722416838031e-01,9.908878903113677028e-01,8.065237450502080740e-01,8.985468204945448178e-01,8.975098288259016899e-01
