# Bashkir,Buryat,Chuvash,Evenki,Japanese,Kalmyk,Kannada,Kazakh,Khalkha Mongolian,Korean,Malayalam,Manchu,Nanai,North Azerbaijani,Northern Uzbek,Sakha,Tamil,Tatar,Telugu,Turkish
0.000000000000000000e+00,5.552396302698048292e-01,9.236630729979862231e-01,8.736877261747876267e-01,1.044616944194366015e+00,7.017140514658883887e-01,9.943107491741316473e-01,2.878498905513351414e-01,6.923533999988078502e-01,9.658770374960898852e-01,9.670879076087309789e-01,9.639999614982674991e-01,9.572072507533463392e-01,8.477848562564662682e-01,6.324399511072540392e-01,9.417292052987797923e-01,9.501174853979461599e-01,1.826177142102005657e-01,9.881156834027111646e-01,8.487612827621355827e-01
5.552396302698048292e-01,2.220446049250313081e-16,9.477561464787451762e-01,9.460067760204757814e-01,9.408570636960522648e-01,2.540773709301774597e-01,9.536462648673257325e-01,9.464224496010855692e-01,5.764721011074789292e-01,8.406687894010032025e-01,8.526393490237607065e-01,9.157741221050320624e-01,9.490682682827452643e-01,6.537428207057269791e-01,9.514014528991888708e-01,7.324147632790302120e-01,9.567454833784693191e-01,9.698613618537332837e-01,7.107259277462769642e-01,8.688398966750862096e-01
9.236630729979862231e-01,9.477561464787451762e-01,0.000000000000000000e+00,1.000000000000000000e+00,9.982472549399580286e-01,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,9.457119057679854723e-01,9.449624574397578192e-01,9.023212360793488873e-01,9.990035969146622286e-01,9.477094281353398708e-01,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,8.684485798916059540e-01,9.920164130043026551e-01,9.318638230485145613e-01,1.000000000000000000e+00
8.736877261747876267e-01,9.460067760204757814e-01,1.000000000000000000e+00,1.110223024625156540e-16,9.824382925188415161e-01,8.766696228121528822e-01,9.622396660381998812e-01,9.903673869268783125e-01,8.625943354294444143e-01,9.057132249770470933e-01,9.735560514486266692e-01,8.961825677745400842e-01,9.986142895529288577e-01,8.668838648661720825e-01,6.299512808399341246e-01,9.999317173483823762e-01,8.954756910975983919e-01,8.888156109220722856e-01,9.057846055432701160e-01,8.677406486798935337e-01
1.044616944194366015e+00,9.408570636960522648e-01,9.982472549399580286e-01,9.824382925188415161e-01,5.425215793185886870e-01,1.082080427270872169e+00,9.890309541449270325e-01,1.073224587153892573e+00,1.066914028267833769e+00,9.485625128266254036e-01,9.965188342237272234e-01,1.095031622224011070e+00,1.099551720110598207e+00,1.069516573160803619e+00,1.013987624577583624e+00,1.062573768774614846e+00,9.378651714881119927e-01,1.050833663475203128e+00,9.109303579527483485e-01,1.045156516036181538e+00
7.017140514658883887e-01,2.540773709301774597e-01,1.000000000000000000e+00,8.766696228121528822e-01,1.082080427270872169e+00,2.220446049250313081e-16,9.518163197615444604e-01,7.659871397966691031e-01,8.181086790313505386e-01,8.808112415139147666e-01,9.062239043124173943e-01,8.317956958912245957e-01,9.870972300326653626e-01,9.478517558077039773e-01,9.496522047089358542e-01,7.454036312751334270e-01,9.685473596261374718e-01,7.951769942386832657e-01,7.723586044732054789e-01,9.515434873489133638e-01
9.943107491741316473e-01,9.536462648673257325e-01,1.000000000000000000e+00,9.622396660381998812e-01,9.890309541449270325e-01,9.518163197615444604e-01,0.000000000000000000e+00,9.566096232622335327e-01,8.661997737507718398e-01,9.768972925409775687e-01,7.106024699578149528e-01,8.964134350366801396e-01,8.138240163029873964e-01,9.793972609450146694e-01,9.750803108097524374e-01,9.691677472578663632e-01,6.539140233660616364e-01,9.862043151973564070e-01,8.205038251654075410e-01,9.935604902146569772e-01
2.878498905513351414e-01,9.464224496010855692e-01,1.000000000000000000e+00,9.903673869268783125e-01,1.073224587153892573e+00,7.659871397966691031e-01,9.566096232622335327e-01,2.220446049250313081e-16,1.000000000000000000e+00,9.858144728233878551e-01,9.746660633996909739e-01,9.787355407912015082e-01,9.590567047675346846e-01,8.523817316461507199e-01,6.575823127349139652e-01,8.452837898163660935e-01,1.000000000000000000e+00,2.400658293768800355e-01,9.891740540911699853e-01,8.454882087237481914e-01
6.923533999988078502e-01,5.764721011074789292e-01,9.457119057679854723e-01,8.625943354294444143e-01,1.066914028267833769e+00,8.181086790313505386e-01,8.661997737507718398e-01,1.000000000000000000e+00,0.000000000000000000e+00,9.915990483819684398e-01,8.759208694981528431e-01,8.623511700607795483e-01,9.549685515401151736e-01,8.827859862680192959e-01,9.730778127991054349e-01,9.673264581096694403e-01,1.000000000000000000e+00,9.501414132058241258e-01,9.624289343115753903e-01,8.931579696449615247e-01
9.658770374960898852e-01,8.406687894010032025e-01,9.449624574397578192e-01,9.057132249770470933e-01,9.485625128266254036e-01,8.808112415139147666e-01,9.768972925409775687e-01,9.858144728233878551e-01,9.915990483819684398e-01,3.330669073875469621e-16,9.485465031109608924e-01,9.990170040031314258e-01,9.220313896048867308e-01,9.501889225436845887e-01,9.725022866630125273e-01,1.000000000000000000e+00,9.449287780029967942e-01,9.505304150869245960e-01,9.391722384108137645e-01,8.890215415949975775e-01
9.670879076087309789e-01,8.526393490237607065e-01,9.023212360793488873e-01,9.735560514486266692e-01,9.965188342237272234e-01,9.062239043124173943e-01,7.106024699578149528e-01,9.746660633996909739e-01,8.759208694981528431e-01,9.485465031109608924e-01,1.110223024625156540e-16,9.043638856895868106e-01,9.778680119880714949e-01,8.042683858885899539e-01,8.954667643125147070e-01,9.086304009240366852e-01,9.090934999699791241e-01,9.816183676242316025e-01,8.712238956250076827e-01,8.233894780967492277e-01
9.639999614982674991e-01,9.157741221050320624e-01,9.990035969146622286e-01,8.961825677745400842e-01,1.095031622224011070e+00,8.317956958912245957e-01,8.964134350366801396e-01,9.787355407912015082e-01,8.623511700607795483e-01,9.990170040031314258e-01,9.043638856895868106e-01,4.951634993156628917e-01,1.000000000000000000e+00,9.304848368448703777e-01,9.384860716740942577e-01,9.345002217798861199e-01,9.808863740194293523e-01,9.718921464260267262e-01,9.941879869483727372e-01,9.540379014601672036e-01
9.572072507533463392e-01,9.490682682827452643e-01,9.477094281353398708e-01,9.986142895529288577e-01,1.099551720110598207e+00,9.870972300326653626e-01,8.138240163029873964e-01,9.590567047675346846e-01,9.549685515401151736e-01,9.220313896048867308e-01,9.778680119880714949e-01,1.000000000000000000e+00,1.110223024625156540e-16,1.000000000000000000e+00,9.775721057740750508e-01,9.122723183471342923e-01,9.182551290454483706e-01,9.066599135975712542e-01,9.063942498623533961e-01,1.000000000000000000e+00
8.477848562564662682e-01,6.537428207057269791e-01,1.000000000000000000e+00,8.668838648661720825e-01,1.069516573160803619e+00,9.478517558077039773e-01,9.793972609450146694e-01,8.523817316461507199e-01,8.827859862680192959e-01,9.501889225436845887e-01,8.042683858885899539e-01,9.304848368448703777e-01,1.000000000000000000e+00,1.110223024625156540e-16,3.577106831129229780e-01,9.709024912422472564e-01,9.978165532169342988e-01,7.079398715899593020e-01,9.255645045713701835e-01,1.302735534993028077e-01
6.324399511072540392e-01,9.514014528991888708e-01,1.000000000000000000e+00,6.299512808399341246e-01,1.013987624577583624e+00,9.496522047089358542e-01,9.750803108097524374e-01,6.575823127349139652e-01,9.730778127991054349e-01,9.725022866630125273e-01,8.954667643125147070e-01,9.384860716740942577e-01,9.775721057740750508e-01,3.577106831129229780e-01,2.220446049250313081e-16,9.655321592185136526e-01,9.988827774761979139e-01,4.895367411098422439e-01,8.782690121309923992e-01,3.990687255315125137e-01
9.417292052987797923e-01,7.324147632790302120e-01,1.000000000000000000e+00,9.999317173483823762e-01,1.062573768774614846e+00,7.454036312751334270e-01,9.691677472578663632e-01,8.452837898163660935e-01,9.673264581096694403e-01,1.000000000000000000e+00,9.086304009240366852e-01,9.345002217798861199e-01,9.122723183471342923e-01,9.709024912422472564e-01,9.655321592185136526e-01,4.289847407244893884e-01,9.829295588994806376e-01,9.566108211106194581e-01,9.971086770008747990e-01,9.677157508927467511e-01
9.501174853979461599e-01,9.567454833784693191e-01,8.684485798916059540e-01,8.954756910975983919e-01,9.378651714881119927e-01,9.685473596261374718e-01,6.539140233660616364e-01,1.000000000000000000e+00,1.000000000000000000e+00,9.449287780029967942e-01,9.090934999699791241e-01,9.808863740194293523e-01,9.182551290454483706e-01,9.978165532169342988e-01,9.988827774761979139e-01,9.829295588994806376e-01,1.110223024625156540e-16,9.493612739890741059e-01,7.844336686880074572e-01,9.806818720359564701e-01
1.826177142102005657e-01,9.698613618537332837e-01,9.920164130043026551e-01,8.888156109220722856e-01,1.050833663475203128e+00,7.951769942386832657e-01,9.862043151973564070e-01,2.400658293768800355e-01,9.501414132058241258e-01,9.505304150869245960e-01,9.816183676242316025e-01,9.718921464260267262e-01,9.066599135975712542e-01,7.079398715899593020e-01,4.895367411098422439e-01,9.566108211106194581e-01,9.493612739890741059e-01,2.220446049250313081e-16,9.846585759108654745e-01,7.617011182540898151e-01
9.881156834027111646e-01,7.107259277462769642e-01,9.318638230485145613e-01,9.057846055432701160e-01,9.109303579527483485e-01,7.723586044732054789e-01,8.205038251654075410e-01,9.891740540911699853e-01,9.624289343115753903e-01,9.391722384108137645e-01,8.712238956250076827e-01,9.941879869483727372e-01,9.063942498623533961e-01,9.255645045713701835e-01,8.782690121309923992e-01,9.971086770008747990e-01,7.844336686880074572e-01,9.846585759108654745e-01,2.220446049250313081e-16,9.227295463968139266e-01
8.487612827621355827e-01,8.688398966750862096e-01,1.000000000000000000e+00,8.677406486798935337e-01,1.045156516036181538e+00,9.515434873489133638e-01,9.935604902146569772e-01,8.454882087237481914e-01,8.931579696449615247e-01,8.890215415949975775e-01,8.233894780967492277e-01,9.540379014601672036e-01,1.000000000000000000e+00,1.302735534993028077e-01,3.990687255315125137e-01,9.677157508927467511e-01,9.806818720359564701e-01,7.617011182540898151e-01,9.227295463968139266e-01,0.000000000000000000e+00
