# Bashkir,Buryat,Chuvash,Evenki,Japanese,Kalmyk,Kannada,Kazakh,Khalkha Mongolian,Korean,Malayalam,Manchu,Nanai,North Azerbaijani,Northern Uzbek,Sakha,Tamil,Tatar,Telugu,Turkish
0.000000000000000000e+00,9.321232770669007905e-01,9.050659098450319906e-01,8.948081507296120618e-01,1.404126679638306952e+00,9.017702132939870996e-01,1.122468448473263436e+00,6.516177801040989870e-01,8.938104660741150731e-01,9.761712742282034894e-01,8.422753431387854928e-01,7.307476586966326071e-01,9.197792249596559166e-01,7.322792533155086936e-01,8.959392167725530598e-01,8.420716725845651673e-01,8.242644002474905918e-01,5.368325840892202994e-01,9.045797836101305833e-01,6.699204710257599116e-01
9.321232770669007905e-01,3.846902717144312644e-01,9.169399391701835711e-01,8.527941430053608274e-01,1.237180561872275986e+00,6.229453082048387325e-01,1.107180463517878799e+00,8.534714641852654271e-01,7.095494009347607101e-01,9.280814539543327246e-01,7.898639737283061901e-01,8.553521401746242425e-01,8.600018433644147642e-01,9.619884896467091329e-01,8.962114157030602879e-01,8.989920844619562201e-01,8.244448433959488121e-01,8.877335884662813648e-01,8.474127307781536000e-01,9.506386246692870579e-01
9.050659098450319906e-01,9.169399391701835711e-01,1.110223024625156540e-16,9.743163500170280988e-01,1.360828876181404912e+00,8.692520800753812393e-01,1.086086350999687866e+00,8.722025140656373132e-01,9.444250132501644801e-01,9.611273165070532976e-01,8.977695847165381160e-01,8.055647219159162153e-01,9.604195823250010200e-01,8.646199860361625245e-01,9.126036866511507695e-01,9.761782786065072992e-01,8.530482143577060583e-01,8.417325678876703687e-01,9.810942368979305162e-01,8.385287519060857786e-01
8.948081507296120618e-01,8.527941430053608274e-01,9.743163500170280988e-01,0.000000000000000000e+00,9.096728522765352709e-01,8.167806083906696824e-01,1.102370155274070340e+00,8.637663374933002292e-01,8.274985125625121674e-01,9.937176124859400383e-01,8.451005931399235838e-01,9.808433012817122654e-01,8.338027222185628862e-01,8.686139134489896385e-01,8.409106553603835632e-01,7.335560403138196017e-01,8.555350206656999745e-01,8.824866611515544967e-01,6.790525260874276103e-01,8.585283690631492215e-01
1.404126679638306952e+00,1.237180561872275986e+00,1.360828876181404912e+00,9.096728522765352709e-01,0.000000000000000000e+00,1.222521073466776409e+00,1.122712293381007642e+00,1.293005366335321593e+00,1.152963097605778309e+00,1.378638104372686524e+00,1.268609059084942592e+00,1.253630961695312740e+00,1.369344172987358554e+00,1.220552020969536633e+00,1.149822471555000947e+00,1.181529451617548521e+00,1.348777871068874257e+00,1.415678184112921123e+00,1.141939621170651176e+00,1.216718962488632982e+00
9.017702132939870996e-01,6.229453082048387325e-01,8.692520800753812393e-01,8.167806083906696824e-01,1.222521073466776409e+00,0.000000000000000000e+00,1.111177067549238950e+00,8.951042305516534459e-01,3.590958026360855371e-01,9.655576507351428805e-01,8.395211425034859731e-01,8.856286570644877898e-01,8.967415042524399249e-01,9.547939260483534474e-01,9.733156534583614627e-01,9.751926847663671127e-01,8.276585903470801142e-01,8.815813004246306761e-01,8.587061228808142710e-01,9.745879372981354205e-01
1.122468448473263436e+00,1.107180463517878799e+00,1.086086350999687866e+00,1.102370155274070340e+00,1.122712293381007642e+00,1.111177067549238950e+00,1.110223024625156540e-16,1.059341935268742318e+00,1.072004153642430513e+00,1.147023914864051530e+00,1.050406929450142357e+00,1.173256480185821626e+00,1.277717748203448078e+00,1.159138213031703613e+00,1.150769651588912312e+00,9.960986640184668062e-01,1.101525125251999970e+00,1.174841562314527188e+00,9.963598427763487031e-01,1.177094747451544299e+00
6.516177801040989870e-01,8.534714641852655381e-01,8.722025140656373132e-01,8.637663374933002292e-01,1.293005366335321593e+00,8.951042305516534459e-01,1.059341935268742318e+00,5.000000000000000000e-01,9.053510501475472427e-01,9.427565845990815152e-01,8.640411889308742266e-01,8.165794293157100370e-01,8.996855748095410332e-01,6.930562777492668136e-01,7.697707570263840893e-01,8.562527076256867264e-01,8.053202727087727109e-01,7.458434300192828825e-01,8.792319042641307814e-01,6.936521420575029184e-01
8.938104660741150731e-01,7.095494009347607101e-01,9.444250132501644801e-01,8.274985125625121674e-01,1.152963097605778309e+00,3.590958026360855371e-01,1.072004153642430513e+00,9.053510501475472427e-01,0.000000000000000000e+00,9.639692256517100599e-01,6.992280851910470663e-01,9.332108413033498584e-01,9.327573810133727994e-01,9.815562168051326086e-01,9.426959308423956685e-01,8.816087381869636141e-01,7.142394354593426531e-01,9.251550331351062750e-01,9.595579000003279235e-01,9.780952534929033826e-01
9.761712742282034894e-01,9.280814539543327246e-01,9.611273165070532976e-01,9.937176124859400383e-01,1.378638104372686524e+00,9.655576507351428805e-01,1.147023914864051530e+00,9.427565845990815152e-01,9.639692256517100599e-01,0.000000000000000000e+00,9.151878880799240168e-01,9.741024798693043163e-01,9.754725044859442473e-01,8.778073260477455841e-01,8.536861508306468060e-01,9.396904701855378628e-01,9.421749979170344069e-01,8.831497974423687669e-01,9.900134128023789781e-01,9.141305222896460858e-01
