# Bashkir,Buryat,Chuvash,Evenki,Japanese,Kalmyk,Kannada,Kazakh,Khalkha Mongolian,Korean,Malayalam,Manchu,Nanai,North Azerbaijani,Northern Uzbek,Sakha,Tamil,Tatar,Telugu,Turkish
-2.220446049250313081e-16,8.922397925985963152e-01,8.767794138206265186e-01,1.133722817249193326e+00,1.290511849733504413e+00,9.329345939851890757e-01,1.178855137096236128e+00,7.841067228453597604e-01,8.228220194976804125e-01,1.207209103828025709e+00,1.239373228781043945e+00,9.079573472704267623e-01,1.113278479636068630e+00,1.268898137345925381e+00,1.219806700584035397e+00,9.814521686349898522e-01,1.218119177083895277e+00,7.829238021735275277e-01,1.255634693585470973e+00,1.199206383274330490e+00
8.922397925985963152e-01,5.000000000000000000e-01,8.108824906072664707e-01,9.672886474176931593e-01,1.043981531268620477e+00,6.502393400220227715e-01,9.279420065745260793e-01,8.551177827331930548e-01,8.510843563080938701e-01,9.367298375907688879e-01,9.715158669015262483e-01,8.657095278895208246e-01,1.000000000000000000e+00,1.247517387763515728e+00,1.068752469171902586e+00,9.604295884035509712e-01,1.090906283566827728e+00,7.935596832810286605e-01,9.987994560822534007e-01,1.261408228711883073e+00
8.767794138206265186e-01,8.108824906072664707e-01,0.000000000000000000e+00,9.512039045149018879e-01,9.966716634393312235e-01,8.907082253123109750e-01,9.675186538022886307e-01,8.001064705891031137e-01,9.056237346631150764e-01,9.527437572284862544e-01,9.738890166284746019e-01,9.181401821147220366e-01,1.000000000000000000e+00,1.275067347884877300e+00,9.878016659093603602e-01,8.749642063870580744e-01,9.998617766600510492e-01,7.010280092509697525e-01,1.000000000000000000e+00,9.675660272872756984e-01
1.133722817249193326e+00,9.672886474176931593e-01,9.512039045149018879e-01,2.220446049250313081e-16,1.015707726293733737e+00,9.525062241287636233e-01,9.778221187346600729e-01,9.104149203160093462e-01,7.511733897655188397e-01,1.000000000000000000e+00,9.296477355177202861e-01,8.967149280550507084e-01,8.858770919943477207e-01,1.323583381737114539e+00,1.236386384400068428e+00,9.670387487727419851e-01,1.222195320931777296e+00,1.000000000000000000e+00,9.560863108168264901e-01,1.296277386865197112e+00
1.290511849733504413e+00,1.043981531268620477e+00,9.966716634393312235e-01,1.015707726293733737e+00,1.110223024625156540e-16,1.126563463594996817e+00,9.959741161565417444e-01,1.027177822005925334e+00,1.091298030316322221e+00,1.165145678734805124e+00,1.269158471169374414e+00,1.066483148883965670e+00,1.111641710979060171e+00,1.265199809435742395e+00,1.364976446142855293e+00,1.131043219205576600e+00,1.324897074710291722e+00,1.095004382097072959e+00,1.188765730807300525e+00,1.292965745036094960e+00
9.329345939851890757e-01,6.502393400220227715e-01,8.907082253123109750e-01,9.525062241287636233e-01,1.126563463594996817e+00,2.220446049250313081e-16,9.085693560875465202e-01,7.078088070560359935e-01,6.268854714879901202e-01,9.412950063514802235e-01,9.921182913899336819e-01,9.310621464414893245e-01,9.709624884139944623e-01,1.158864189850203230e+00,1.097133516675552922e+00,9.768747800637805900e-01,1.114431724080162889e+00,6.192734975277988108e-01,9.716102502842131061e-01,1.235059252446376599e+00
1.178855137096236128e+00,9.279420065745260793e-01,9.675186538022886307e-01,9.778221187346600729e-01,9.959741161565417444e-01,9.085693560875465202e-01,0.000000000000000000e+00,9.661643533645916104e-01,9.507739441618094922e-01,9.278480573018925703e-01,9.782921020314409022e-01,9.225812788788745333e-01,9.655405070750356922e-01,1.311955926091245006e+00,1.199524331145186418e+00,9.677994375491069112e-01,1.250306091062386216e+00,9.751008854272251725e-01,9.732344657409978117e-01,1.199955307364178658e+00
7.841067228453597604e-01,8.551177827331930548e-01,8.001064705891031137e-01,9.104149203160093462e-01,1.027177822005925334e+00,7.078088070560359935e-01,9.661643533645916104e-01,2.220446049250313081e-16,5.933537108027961970e-01,9.091747901532954979e-01,9.856349513944289153e-01,9.439837686338002909e-01,9.837567614134345995e-01,1.300306549494739672e+00,1.063747711122127848e+00,9.791665360773589288e-01,1.146703941104401325e+00,5.674078754271520975e-01,9.689386085491473732e-01,1.081344152052163610e+00
8.228220194976804125e-01,8.510843563080938701e-01,9.056237346631150764e-01,7.511733897655188397e-01,1.091298030316322221e+00,6.268854714879901202e-01,9.507739441618094922e-01,5.933537108027961970e-01,2.220446049250313081e-16,9.299312808940798369e-01,9.681965116701350960e-01,9.612187742195285045e-01,9.871725807678675135e-01,1.267316309839815691e+00,1.023373672927943456e+00,1.000000000000000000e+00,1.195239712102455387e+00,8.846525945448666661e-01,1.000000000000000000e+00,1.117412490447920570e+00
1.207209103828025709e+00,9.367298375907688879e-01,9.527437572284862544e-01,1.000000000000000000e+00,1.165145678734805124e+00,9.412950063514802235e-01,9.278480573018925703e-01,9.091747901532954979e-01,9.299312808940798369e-01,3.330669073875469621e-16,1.000000000000000000e+00,9.229249356488257172e-01,9.871300132078316691e-01,1.181370011880656268e+00,1.215024009659135595e+00,9.887631158714798030e-01,1.212687772873572545e+00,8.195305600353566255e-01,9.842089356883434448e-01,1.319764710470552993e+00
