# Bashkir,Buryat,Chuvash,Evenki,Japanese,Kalmyk,Kannada,Kazakh,Khalkha Mongolian,Korean,Malayalam,Manchu,Nanai,North Azerbaijani,Northern Uzbek,Sakha,Tamil,Tatar,Telugu,Turkish
0.000000000000000000e+00,8.591964780429605097e-01,9.425781972680719045e-01,1.000000000000000000e+00,1.275730069324816585e+00,9.492765445686279779e-01,1.000000000000000000e+00,9.810206549804867393e-01,9.444729253481913833e-01,9.813294338752429624e-01,9.786724478539525762e-01,1.213677084629748215e+00,8.892017890509854583e-01,6.074725310134414524e-01,1.000000000000000000e+00,8.712012400665537504e-01,1.000000000000000000e+00,9.972388899123374451e-01,9.133968158226548617e-01,9.393122278803475167e-01
8.591964780429605097e-01,0.000000000000000000e+00,8.523525610835636090e-01,9.896013478378028472e-01,1.290254927065826118e+00,8.672856641789101761e-01,9.850827494311773513e-01,8.836922751812100740e-01,9.674342932639444781e-01,9.350127476795100367e-01,1.000000000000000000e+00,1.132487697836466189e+00,9.736325848619008516e-01,9.230172392291042804e-01,9.241304185202980914e-01,9.996510861810080639e-01,1.000000000000000000e+00,1.000000000000000000e+00,8.822468796895075460e-01,9.164154897427725377e-01
9.425781972680719045e-01,8.523525610835636090e-01,0.000000000000000000e+00,1.000000000000000000e+00,1.429089866488364002e+00,8.984323387075582312e-01,9.699421309473041930e-01,9.234398229356222121e-01,9.184604278922881004e-01,9.482431213914465085e-01,1.000000000000000000e+00,1.200443988906040538e+00,1.000000000000000000e+00,7.734400853248303287e-01,9.289972448854698639e-01,9.686902331286930679e-01,9.520207121175549014e-01,8.873051047503814903e-01,8.452455693670508641e-01,8.086697623805431112e-01
1.000000000000000000e+00,9.896013478378028472e-01,1.000000000000000000e+00,0.000000000000000000e+00,1.358145739098965743e+00,9.618957363984553810e-01,9.836012801232528746e-01,1.000000000000000000e+00,9.377681357236195003e-01,9.603095130228200826e-01,9.388443386825542358e-01,1.233580111688072467e+00,9.946025311699659976e-01,1.000000000000000000e+00,1.000000000000000000e+00,9.692649854871299153e-01,9.777078750868912760e-01,9.754012595849456124e-01,9.418077106372152452e-01,9.953660371654577954e-01
1.275730069324816585e+00,1.290254927065826118e+00,1.429089866488364002e+00,1.358145739098965743e+00,0.000000000000000000e+00,1.429314403654783572e+00,1.482800883534579395e+00,1.156829716182568024e+00,1.092369511435284490e+00,1.381833841262593676e+00,1.320673092020517192e+00,1.408525389908318548e+00,1.439322108572680392e+00,1.409851693963401154e+00,1.427708024521068264e+00,1.358379308055618351e+00,1.485636748490464898e+00,1.402432757530313268e+00,1.364295455610082808e+00,1.425042108145347708e+00
9.492765445686279779e-01,8.672856641789101761e-01,8.984323387075582312e-01,9.618957363984553810e-01,1.429314403654783572e+00,1.110223024625156540e-16,9.070707075821790033e-01,7.757133541363976370e-01,7.296877279592416388e-01,8.930854867661235374e-01,9.142526968165570755e-01,1.329208951977953745e+00,9.913039135412767822e-01,9.057020988892018343e-01,8.294893837928198899e-01,8.561132420659099962e-01,9.981165192311429735e-01,9.048825453640848560e-01,9.010020044128590477e-01,9.084708544034837407e-01
1.000000000000000000e+00,9.850827494311773513e-01,9.699421309473041930e-01,9.836012801232528746e-01,1.482800883534579395e+00,9.070707075821790033e-01,-2.220446049250313081e-16,9.783767543206829398e-01,9.886705653632880120e-01,9.204101268692614912e-01,8.504674215341283539e-01,1.269608108023198678e+00,8.753217346106048069e-01,9.305362427368790712e-01,9.282454651066374129e-01,8.058383921921793425e-01,8.522131854213331748e-01,9.304454655828829912e-01,7.525754851183877880e-01,9.058829577537256261e-01
9.810206549804867393e-01,8.836922751812100740e-01,9.234398229356222121e-01,1.000000000000000000e+00,1.156829716182568024e+00,7.757133541363976370e-01,9.783767543206829398e-01,-2.220446049250313081e-16,5.532982788230369486e-01,9.205702955728368719e-01,9.221065221563499170e-01,1.164674221818388311e+00,8.971262929510661621e-01,7.656234045328180748e-01,9.339068575557655238e-01,8.199179722505713919e-01,9.434211973256131367e-01,9.287161408805312268e-01,9.042963554884656530e-01,8.550142882365379116e-01
9.444729253481913833e-01,9.674342932639444781e-01,9.184604278922881004e-01,9.377681357236195003e-01,1.092369511435284490e+00,7.296877279592416388e-01,9.886705653632880120e-01,5.532982788230369486e-01,-2.220446049250313081e-16,9.270352299681616781e-01,8.438865467642250318e-01,1.277503507813381622e+00,9.165508092939792517e-01,9.092225325793616975e-01,9.196851019422674911e-01,8.230022934073020213e-01,9.673367269818223813e-01,8.892479690064527542e-01,9.078691252192480077e-01,9.668342767525412995e-01
9.813294338752429624e-01,9.350127476795100367e-01,9.482431213914465085e-01,9.603095130228200826e-01,1.381833841262593676e+00,8.930854867661235374e-01,9.204101268692614912e-01,9.205702955728368719e-01,9.270352299681616781e-01,0.000000000000000000e+00,9.075258247494226715e-01,1.072552714777750049e+00,1.000000000000000000e+00,9.676276956122715767e-01,1.000000000000000000e+00,1.000000000000000000e+00,9.979751229545867908e-01,9.222034978743947065e-01,9.649676911076567887e-01,9.211009680051526205e-01
9.786724478539525762e-01,1.000000000000000000e+00,1.000000000000000000e+00,9.388443386825542358e-01,1.320673092020517192e+00,9.142526968165570755e-01,8.504674215341283539e-01,9.221065221563499170e-01,8.438865467642250318e-01,9.075258247494226715e-01,0.000000000000000000e+00,1.330595491289053633e+00,9.767550346847693188e-01,7.351702068115868460e-01,7.432857186667043425e-01,9.828329781590268155e-01,9.069636999679991929e-01,8.270895509353366482e-01,1.000000000000000000e+00,7.748761620227625491e-01
1.213677084629748215e+00,1.132487697836466189e+00,1.200443988906040538e+00,1.233580111688072467e+00,1.408525389908318548e+00,1.329208951977953745e+00,1.269608108023198678e+00,1.164674221818388311e+00,1.277503507813381622e+00,1.072552714777750049e+00,1.330595491289053633e+00,2.220446049250313081e-16,1.157033041012700103e+00,1.298169600768786403e+00,1.357321818729211760e+00,1.158483965738686505e+00,1.205563208274997855e+00,1.296840883673374467e+00,1.224058833479575892e+00,1.312531262466642756e+00
8.892017890509854583e-01,9.736325848619008516e-01,1.000000000000000000e+00,9.946025311699659976e-01,1.439322108572680392e+00,9.913039135412767822e-01,8.753217346106048069e-01,8.971262929510661621e-01,9.165508092939792517e-01,1.000000000000000000e+00,9.767550346847693188e-01,1.157033041012700103e+00,1.110223024625156540e-16,1.000000000000000000e+00,1.000000000000000000e+00,9.656866505881963603e-01,9.955431226167673620e-01,9.932529850281853756e-01,9.891826232517324513e-01,9.459554063875854624e-01
