# Bashkir,Buryat,Chuvash,Evenki,Japanese,Kalmyk,Kannada,Kazakh,Khalkha Mongolian,Korean,Malayalam,Manchu,Nanai,North Azerbaijani,Northern Uzbek,Sakha,Tamil,Tatar,Telugu,Turkish
0.000000000000000000e+00,8.079022285948962434e-01,5.181900174896612032e-01,7.953438031950640363e-01,1.184682931133615336e+00,6.965547568146149837e-01,1.000000000000000000e+00,3.614403178382663562e-02,7.065008081229973147e-01,8.444231955131161760e-01,8.970464495253993586e-01,8.933347327487234368e-01,8.127173263174795048e-01,1.000000000000000000e+00,8.965802804643374646e-02,7.186036145973684341e-01,1.000000000000000000e+00,4.070513924970298181e-02,9.565431640795104551e-01,9.546497138219341982e-01
8.079022285948962434e-01,1.642767143476009384e-01,1.000000000000000000e+00,9.013522241310085725e-01,1.385087785426582396e+00,5.245563086114553020e-01,8.025873616853482773e-01,6.640597703209675240e-01,5.346541247208768111e-01,9.488020593319987928e-01,9.843278787602733892e-01,9.551038318802966831e-01,9.200595131014908112e-01,9.777239804225406061e-01,8.068063234997397970e-01,8.239617896589757073e-01,8.378539830172440084e-01,7.829977213610062048e-01,9.794245575689405348e-01,8.945583938631548326e-01
5.181900174896612032e-01,1.000000000000000000e+00,1.110223024625156540e-16,9.948354482793672071e-01,1.238481334921301968e+00,1.000000000000000000e+00,9.950633897000259465e-01,8.647991443017466473e-01,1.000000000000000000e+00,9.811293042993103342e-01,1.000000000000000000e+00,9.434314266411332195e-01,1.000000000000000000e+00,9.426908999409757683e-01,1.000000000000000000e+00,6.332882387580719419e-01,9.619981571122324659e-01,8.496197567654608651e-01,9.699063645591481375e-01,1.000000000000000000e+00
7.953438031950640363e-01,9.013522241310085725e-01,9.948354482793672071e-01,0.000000000000000000e+00,1.375335386835179197e+00,8.528116287745954871e-01,9.450729528582382244e-01,7.568812873822154952e-01,8.619650920750708822e-01,9.614250522472234106e-01,9.809188673408970605e-01,9.900320982172541306e-01,7.629820283580079909e-01,1.000000000000000000e+00,7.820214416289764658e-01,9.126224100149933349e-01,9.959364077476270394e-01,8.265494932674766204e-01,9.595709539461375615e-01,9.454038954661906358e-01
1.184682931133615336e+00,1.385087785426582396e+00,1.238481334921301968e+00,1.375335386835179197e+00,0.000000000000000000e+00,1.278796676947271171e+00,1.022707392370926005e+00,1.215538316910135697e+00,1.222258608113488076e+00,1.311001694236740178e+00,1.354114142848187985e+00,9.296049875585921107e-01,1.415342750943059391e+00,9.484228415360900222e-01,1.210419300199012671e+00,1.178897134346249320e+00,1.367198873035508022e+00,1.178915663567731809e+00,9.678643555533000820e-01,1.192667236590955637e+00
6.965547568146149837e-01,5.245563086114553020e-01,1.000000000000000000e+00,8.528116287745954871e-01,1.278796676947271171e+00,2.220446049250313081e-16,5.999331641463079290e-01,7.526238446901170054e-01,2.286844605537404762e-01,7.622671597910009034e-01,9.670780831165004532e-01,9.584307008820354135e-01,9.534420862236040461e-01,1.000000000000000000e+00,6.992206540454253272e-01,8.099085048147849353e-01,1.000000000000000000e+00,7.163805274329136941e-01,1.000000000000000000e+00,1.000000000000000000e+00
1.000000000000000000e+00,8.025873616853482773e-01,9.950633897000259465e-01,9.450729528582382244e-01,1.022707392370926005e+00,5.999331641463079290e-01,-2.220446049250313081e-16,9.800477222858893223e-01,7.969032959710362629e-01,9.023017127153691863e-01,7.109785012819327399e-01,9.533752112404134671e-01,9.551000213601319455e-01,9.593483377150281433e-01,9.082025754192342148e-01,9.414259678820555699e-01,7.709383924918293829e-01,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00
3.614403178382663562e-02,6.640597703209675240e-01,8.647991443017466473e-01,7.568812873822154952e-01,1.215538316910135697e+00,7.526238446901170054e-01,9.800477222858893223e-01,2.220446049250313081e-16,7.646267525577719049e-01,9.123784008861224315e-01,9.854509777531872405e-01,9.417809101418840312e-01,8.185681379091485077e-01,1.000000000000000000e+00,1.829947582053630395e-01,7.740784995779099731e-01,9.964947773336449988e-01,1.832371807842200218e-01,9.639245965214671141e-01,1.000000000000000000e+00
7.065008081229973147e-01,5.346541247208768111e-01,1.000000000000000000e+00,8.619650920750708822e-01,1.222258608113488076e+00,2.286844605537404762e-01,7.969032959710362629e-01,7.646267525577719049e-01,0.000000000000000000e+00,7.532141441897857170e-01,9.275422196152524057e-01,9.446392475546077083e-01,9.907999516688256181e-01,9.475086469923981181e-01,7.847345493998334476e-01,8.238676919087637440e-01,9.624301196663846980e-01,6.817843039582464071e-01,1.000000000000000000e+00,9.222801035693976024e-01
8.444231955131161760e-01,9.488020593319987928e-01,9.811293042993103342e-01,9.614250522472234106e-01,1.311001694236740178e+00,7.622671597910009034e-01,9.023017127153691863e-01,9.123784008861224315e-01,7.532141441897857170e-01,0.000000000000000000e+00,9.288562527447767891e-01,9.580083809391140015e-01,9.824380810291919452e-01,9.459591685626540514e-01,8.875912848266019894e-01,9.699832249904142278e-01,9.906982404102888662e-01,8.610758864205922958e-01,9.818112716470295265e-01,9.503350985004347384e-01
8.970464495253993586e-01,9.843278787602733892e-01,1.000000000000000000e+00,9.809188673408970605e-01,1.354114142848187985e+00,9.670780831165004532e-01,7.109785012819327399e-01,9.854509777531872405e-01,9.275422196152524057e-01,9.288562527447767891e-01,2.220446049250313081e-16,9.840794718523414586e-01,9.670317922391062915e-01,1.000000000000000000e+00,9.193378482868175272e-01,9.604873332482429804e-01,8.798779847826253553e-01,9.843093101314442928e-01,9.943368483242740474e-01,9.142759204992830790e-01
8.933347327487234368e-01,9.551038318802966831e-01,9.434314266411332195e-01,9.900320982172541306e-01,9.296049875585921107e-01,9.584307008820354135e-01,9.533752112404134671e-01,9.417809101418840312e-01,9.446392475546077083e-01,9.580083809391140015e-01,9.840794718523414586e-01,0.000000000000000000e+00,9.160832094916706581e-01,7.442398613932867946e-01,9.201666770465203316e-01,7.447523203538404246e-01,9.030691492290838784e-01,9.162402349566924897e-01,8.111207116079187651e-01,7.899032947311148689e-01
8.127173263174795048e-01,9.200595131014908112e-01,1.000000000000000000e+00,7.629820283580079909e-01,1.415342750943059391e+00,9.534420862236040461e-01,9.551000213601319455e-01,8.185681379091485077e-01,9.907999516688256181e-01,9.824380810291919452e-01,9.670317922391062915e-01,9.160832094916706581e-01,1.022481790580641314e-01,1.000000000000000000e+00,8.135131074242509808e-01,9.314302818337218959e-01,1.000000000000000000e+00,8.275497971281824405e-01,9.334583153206816863e-01,8.974557127752538221e-01
