# Bashkir,Buryat,Chuvash,Evenki,Japanese,Kalmyk,Kannada,Kazakh,Khalkha Mongolian,Korean,Malayalam,Manchu,Nanai,North Azerbaijani,Northern Uzbek,Sakha,Tamil,Tatar,Telugu,Turkish
0.000000000000000000e+00,9.332331350733150677e-01,9.707258321172544946e-01,1.000000000000000000e+00,8.753876063732995982e-01,1.130253615091686425e+00,9.979753114009483062e-01,8.210519732133646498e-01,9.011147913028609846e-01,9.762928039347255060e-01,9.888706019789961221e-01,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,8.072480076043340169e-01,5.404348414064374939e-01,1.000000000000000000e+00,8.996242561914238323e-01
9.332331350733150677e-01,4.730217719496181972e-01,9.347586546594659485e-01,9.459262987436829473e-01,9.652735463512109870e-01,1.120798707595771715e+00,9.535912438667576430e-01,1.052684900611278396e+00,7.479488622142547172e-01,8.757955620177744205e-01,8.796937519126117877e-01,9.326572195490820949e-01,8.923912112788403572e-01,9.130512867448024039e-01,8.826495111011798400e-01,9.333513059017981561e-01,9.304674721134387205e-01,9.387323855509395187e-01,9.668226871659187927e-01,9.180412784981204499e-01
9.707258321172544946e-01,9.347586546594660595e-01,4.283234589269155901e-01,9.898889893685529628e-01,8.836810580275336058e-01,1.086522988768958253e+00,9.820241525607934507e-01,9.843575688640878729e-01,8.273355973447994449e-01,8.941442053341164264e-01,9.526401133385761222e-01,8.992395763335383485e-01,8.885331006727152925e-01,8.980519091806941079e-01,9.159678392418340032e-01,8.908166010270177626e-01,8.467708748268822916e-01,9.380231913641081665e-01,9.756486296978994499e-01,8.310695101672931351e-01
1.000000000000000000e+00,9.459262987436829473e-01,9.898889893685529628e-01,-2.220446049250313081e-16,9.754814702378789004e-01,1.115062335630189194e+00,9.084930355297122784e-01,1.086954520530925672e+00,9.609292348429244734e-01,9.425910399118551108e-01,1.000000000000000000e+00,1.000000000000000000e+00,9.121862575880363977e-01,1.000000000000000000e+00,1.000000000000000000e+00,9.509308843050492399e-01,1.000000000000000000e+00,1.000000000000000000e+00,8.617133623435124790e-01,1.000000000000000000e+00
8.753876063732995982e-01,9.652735463512109870e-01,8.836810580275336058e-01,9.754814702378789004e-01,0.000000000000000000e+00,1.129505533499895575e+00,8.158404183291649847e-01,9.518487593392075397e-01,9.140867422263747599e-01,9.020017441771470690e-01,9.256476036551415376e-01,8.825039685178354132e-01,9.104382857880588542e-01,8.505686992034748872e-01,9.982981043106389230e-01,9.649986427421736179e-01,7.777272037423036410e-01,8.894054215441357103e-01,1.000000000000000000e+00,9.183224376212253404e-01
1.130253615091686425e+00,1.120798707595771715e+00,1.086522988768958253e+00,1.115062335630189194e+00,1.129505533499895575e+00,5.380871374812288277e-01,1.080923958505668914e+00,1.120020747931603999e+00,1.063858391483016641e+00,1.168057401411510821e+00,1.078607151496342009e+00,1.081117316238416004e+00,1.051128635558467028e+00,1.131242539783511525e+00,1.104552610053336270e+00,1.028854781077592317e+00,9.254117608144121210e-01,1.150241833631016952e+00,1.204305542893616687e+00,1.124722872980105537e+00
9.979753114009483062e-01,9.535912438667576430e-01,9.820241525607934507e-01,9.084930355297122784e-01,8.158404183291649847e-01,1.080923958505668914e+00,-2.220446049250313081e-16,1.017120279722579346e+00,1.000000000000000000e+00,8.416631778209526793e-01,9.968650058969544814e-01,9.452367215143490098e-01,9.528905022290045101e-01,8.788229861823186884e-01,9.858528572081791674e-01,9.516437814752685131e-01,1.000000000000000000e+00,9.574565169429360978e-01,9.674615138577953299e-01,9.920045162113985127e-01
8.210519732133646498e-01,1.052684900611278396e+00,9.843575688640878729e-01,1.086954520530925672e+00,9.518487593392075397e-01,1.120020747931603999e+00,1.017120279722579346e+00,6.189636245391676450e-01,9.284874187662096601e-01,1.071102953643044975e+00,1.052147509938403891e+00,1.002554336918947131e+00,1.006369249487324868e+00,1.051977840544236820e+00,1.069846383601109840e+00,1.036824231513230332e+00,9.141612690888866188e-01,7.036976987684490092e-01,1.087274639690986033e+00,1.043401972136042799e+00
9.011147913028609846e-01,7.479488622142544951e-01,8.273355973447994449e-01,9.609292348429244734e-01,9.140867422263747599e-01,1.063858391483016641e+00,1.000000000000000000e+00,9.284874187662096601e-01,5.000000000000000000e-01,9.387892377037798664e-01,9.360609455896520270e-01,9.146064826379696200e-01,8.755326233314562057e-01,9.542194034878520581e-01,9.529233092749874734e-01,9.063003044802698804e-01,9.852619609029119596e-01,9.517412242719722748e-01,9.830682350019113169e-01,8.962942707704084633e-01
9.762928039347255060e-01,8.757955620177744205e-01,8.941442053341164264e-01,9.425910399118551108e-01,9.020017441771470690e-01,1.168057401411510821e+00,8.416631778209526793e-01,1.071102953643044975e+00,9.387892377037798664e-01,-2.220446049250313081e-16,9.881667624663817984e-01,8.687805341765091338e-01,9.064568856356391979e-01,8.943491876037341637e-01,9.792293702366947628e-01,9.020173214945678142e-01,9.546947739236388841e-01,9.683533944721850473e-01,9.870306925508361973e-01,9.678611125639942081e-01
