# Bashkir,Buryat,Chuvash,Evenki,Japanese,Kalmyk,Kannada,Kazakh,Khalkha Mongolian,Korean,Malayalam,Manchu,Nanai,North Azerbaijani,Northern Uzbek,Sakha,Tamil,Tatar,Telugu,Turkish
5.000000000000000000e-01,1.170827188442805422e+00,9.578744818989838317e-01,9.084221343405027849e-01,9.888246046080308993e-01,1.000000000000000000e+00,9.519192175558903735e-01,6.900569810035798168e-01,9.934266312277744149e-01,9.889639319632070880e-01,1.092798507844380929e+00,9.858088807585618785e-01,9.601006364854263175e-01,8.421159465627606755e-01,1.288683772199930244e+00,9.350373746616255088e-01,1.025158492633743590e+00,8.644828225630859508e-01,9.123707829222903465e-01,7.830419378226987082e-01
1.170827188442805422e+00,2.806560618128022266e-01,1.112520452734001131e+00,1.243270679747320084e+00,1.158906933161257591e+00,1.161479381318219151e+00,1.068147166719142671e+00,1.169299240515535132e+00,1.144352028788207187e+00,1.227445142550597446e+00,1.269505557638290982e+00,1.192151620830889103e+00,1.215720228159644645e+00,1.304208764322196679e+00,1.247799642886082250e+00,1.208390725033796631e+00,1.253738290798976696e+00,1.026737433230329621e+00,9.617940590795477362e-01,1.303494145387397829e+00
9.578744818989838317e-01,1.112520452734001131e+00,0.000000000000000000e+00,9.992652369592881501e-01,8.156826106772919749e-01,9.844480398642397878e-01,9.257625443340212756e-01,8.121100135747866267e-01,9.947942761294308323e-01,9.298496489496268502e-01,1.066007870029381355e+00,1.000000000000000000e+00,9.641825066520078868e-01,8.753993048397505916e-01,1.244196619402208714e+00,7.201915674034812254e-01,1.167678213729963055e+00,7.964817684403895370e-01,8.597108969617779373e-01,8.576196343612223494e-01
9.084221343405027849e-01,1.243270679747320084e+00,9.992652369592881501e-01,1.199877802337246391e-01,9.251870567044848670e-01,8.946298136110892862e-01,8.863460396012464715e-01,8.530626234318996470e-01,9.840071455500309927e-01,8.970700978870149722e-01,1.175016441550680080e+00,9.325445111044862179e-01,8.453067769534354792e-01,9.964917804870487839e-01,1.381410250373496629e+00,9.693961050929820189e-01,1.137063000801870283e+00,9.447078986791139776e-01,8.706328803518987858e-01,1.000000000000000000e+00
9.888246046080308993e-01,1.158906933161257591e+00,8.156826106772919749e-01,9.251870567044848670e-01,0.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,9.253083541966130587e-01,9.431698443616174377e-01,9.943755977113458711e-01,1.172986291134058723e+00,9.840990981830742834e-01,8.362420114849472563e-01,9.367620494270307852e-01,1.215194547169630157e+00,9.697046587725475231e-01,1.049254184128870726e+00,7.731032258829083625e-01,8.278349349993598949e-01,9.477146823874349479e-01
1.000000000000000000e+00,1.161479381318219151e+00,9.844480398642397878e-01,8.946298136110892862e-01,1.000000000000000000e+00,0.000000000000000000e+00,8.770561288447299431e-01,9.793177994245299001e-01,9.721781216785262414e-01,9.195681766742512808e-01,1.120374101464581829e+00,1.000000000000000000e+00,1.000000000000000000e+00,7.936699024574871419e-01,1.210250032205982595e+00,9.555342219919789049e-01,1.113424731301102089e+00,9.811241564749973998e-01,9.547577776778826131e-01,1.000000000000000000e+00
9.519192175558903735e-01,1.068147166719142671e+00,9.257625443340212756e-01,8.863460396012464715e-01,1.000000000000000000e+00,8.770561288447299431e-01,-2.220446049250313081e-16,9.125973224316906718e-01,9.138321300921432577e-01,9.331511954215991889e-01,1.042161296228915957e+00,8.584410464820886322e-01,8.512091333497344703e-01,1.000000000000000000e+00,1.179352625652988262e+00,9.678153359927834654e-01,1.001575687793319069e+00,9.217324082603632895e-01,9.192065892827934181e-01,1.000000000000000000e+00
6.900569810035798168e-01,1.169299240515535132e+00,8.121100135747866267e-01,8.530626234318996470e-01,9.253083541966130587e-01,9.793177994245299001e-01,9.125973224316906718e-01,1.110223024625156540e-16,9.646315946926607987e-01,9.678577228533918886e-01,9.904426125758930555e-01,9.595953114110132853e-01,9.784315113573758271e-01,6.671859488568472329e-01,1.241484666671689219e+00,7.996516613260260531e-01,1.120211325667559654e+00,8.454647613852944721e-01,7.991520580918236583e-01,6.958631545226932058e-01
9.934266312277744149e-01,1.144352028788207187e+00,9.947942761294308323e-01,9.840071455500309927e-01,9.431698443616174377e-01,9.721781216785262414e-01,9.138321300921432577e-01,9.646315946926607987e-01,-2.220446049250313081e-16,9.912385815804876099e-01,1.165160528572438459e+00,1.000000000000000000e+00,8.795063345635943941e-01,1.000000000000000000e+00,1.236219584131415861e+00,9.775882637470780789e-01,9.252560986805742349e-01,9.272965283454113194e-01,9.568715441836519453e-01,1.000000000000000000e+00
9.889639319632070880e-01,1.227445142550597446e+00,9.298496489496268502e-01,8.970700978870149722e-01,9.943755977113458711e-01,9.195681766742512808e-01,9.331511954215991889e-01,9.678577228533918886e-01,9.912385815804876099e-01,2.220446049250313081e-16,9.721610503786195512e-01,8.282527250538722630e-01,9.337899975003947084e-01,9.623837126910810280e-01,1.284878203321746515e+00,9.971604700606504501e-01,1.122143703082049804e+00,8.493227677952738253e-01,8.602945774050285710e-01,9.913235484626081728e-01
