# Bashkir,Buryat,Chuvash,Evenki,Japanese,Kalmyk,Kannada,Kazakh,Khalkha Mongolian,Korean,Malayalam,Manchu,Nanai,North Azerbaijani,Northern Uzbek,Sakha,Tamil,Tatar,Telugu,Turkish
2.220446049250313081e-16,9.634542739101931152e-01,8.571737260694339833e-01,1.000000000000000000e+00,9.816322774502653781e-01,1.000000000000000000e+00,8.493484802937304456e-01,6.992744786285798320e-01,1.000000000000000000e+00,1.000000000000000000e+00,9.262915410768930435e-01,9.835004995436966713e-01,9.847336161323536619e-01,9.472315591225496378e-01,7.217081536379914564e-01,9.673179830619974551e-01,1.000000000000000000e+00,1.000000000000000000e+00,8.990472459710641129e-01,1.000000000000000000e+00
9.634542739101931152e-01,2.220446049250313081e-16,9.833442298828189987e-01,9.222937001688844560e-01,9.007667669285949197e-01,8.989396218722355281e-01,9.838134161010924084e-01,9.695874107437365552e-01,9.589226658326032160e-01,8.219356594858278076e-01,9.871060398123169266e-01,7.595394932232337748e-01,9.755651389801396345e-01,9.609628451432169483e-01,8.914422599610367648e-01,9.648867470994979545e-01,9.836396054532220434e-01,7.899193103339227084e-01,9.617054766297259416e-01,8.886023887129377297e-01
8.571737260694339833e-01,9.833442298828189987e-01,0.000000000000000000e+00,1.000000000000000000e+00,9.681375843159085726e-01,1.000000000000000000e+00,9.065827521426830238e-01,8.720077950287382640e-01,9.762417465462314148e-01,1.000000000000000000e+00,9.515982008822561067e-01,9.324200579545897094e-01,8.112549800576833725e-01,1.000000000000000000e+00,7.690018234872710856e-01,8.764603776769314125e-01,9.836162312231795379e-01,9.181230036574945519e-01,9.110440280514809919e-01,9.051733069315675007e-01
1.000000000000000000e+00,9.222937001688844560e-01,1.000000000000000000e+00,2.220446049250313081e-16,9.502148774784344720e-01,8.075180876076244463e-01,9.339201419306444318e-01,9.911947093234836359e-01,9.493312630866305168e-01,9.386211014120497964e-01,9.622811210788156933e-01,9.197485038871736629e-01,9.720336459752805247e-01,7.705660691021152253e-01,9.171862756841759889e-01,9.388910563549159871e-01,9.743481932604792783e-01,1.000000000000000000e+00,9.743119172806625761e-01,9.590216980622723320e-01
9.816322774502653781e-01,9.007667669285949197e-01,9.681375843159085726e-01,9.502148774784344720e-01,3.330669073875469621e-16,8.536970922862594513e-01,9.764026822498126368e-01,1.000000000000000000e+00,8.679711666142663207e-01,8.979076815257867050e-01,9.972178832461697784e-01,8.717083408145618328e-01,9.166613976750507264e-01,9.650811695032290860e-01,6.848160446277000712e-01,9.351369118084393861e-01,9.920912940158091997e-01,8.784706341072862079e-01,9.879668605839021511e-01,8.193304938877139509e-01
1.000000000000000000e+00,8.989396218722355281e-01,1.000000000000000000e+00,8.075180876076244463e-01,8.536970922862594513e-01,4.440892098500626162e-16,1.000000000000000000e+00,1.000000000000000000e+00,9.435852289992432418e-01,9.048319811031155790e-01,1.000000000000000000e+00,7.525926518507942697e-01,9.481944615819742905e-01,8.223176690407170142e-01,9.629714648222313933e-01,5.685327990990214353e-01,9.185969615008320321e-01,9.171891805415159915e-01,9.169595959351750647e-01,9.093596698755789243e-01
8.493484802937304456e-01,9.838134161010924084e-01,9.065827521426830238e-01,9.339201419306444318e-01,9.764026822498126368e-01,1.000000000000000000e+00,1.110223024625156540e-16,5.295518937876377841e-01,9.359189408907199192e-01,9.859648568766237187e-01,5.458778759218907428e-01,9.944895615451779802e-01,8.999260498456216339e-01,1.000000000000000000e+00,9.791768388566869374e-01,8.457387387991901484e-01,9.946500830823241657e-01,1.000000000000000000e+00,9.499840187291095361e-01,9.577487625045598696e-01
6.992744786285798320e-01,9.695874107437365552e-01,8.720077950287382640e-01,9.911947093234836359e-01,1.000000000000000000e+00,1.000000000000000000e+00,5.295518937876377841e-01,0.000000000000000000e+00,7.140501821674474225e-01,9.673601924682565523e-01,9.339731771165185048e-01,9.555964631596078895e-01,8.796295666853295447e-01,1.000000000000000000e+00,6.495047116448527946e-01,9.315733049443937208e-01,9.927976931727338084e-01,1.000000000000000000e+00,9.265515522398265480e-01,9.756019774992109594e-01
1.000000000000000000e+00,9.589226658326032160e-01,9.762417465462314148e-01,9.493312630866305168e-01,8.679711666142663207e-01,9.435852289992432418e-01,9.359189408907199192e-01,7.140501821674474225e-01,-2.220446049250313081e-16,9.527676366798759622e-01,9.384245089544228646e-01,8.393744808109914191e-01,9.724092645739972340e-01,1.000000000000000000e+00,9.025652459327930810e-01,9.662515467961896309e-01,9.085752980391129663e-01,8.621949080476913885e-01,9.378450706363226086e-01,9.629155824358484050e-01
1.000000000000000000e+00,8.219356594858278076e-01,1.000000000000000000e+00,9.386211014120497964e-01,8.979076815257867050e-01,9.048319811031155790e-01,9.859648568766237187e-01,9.673601924682565523e-01,9.527676366798759622e-01,0.000000000000000000e+00,9.566097798329709079e-01,9.052546368751950290e-01,9.809444651917393898e-01,1.000000000000000000e+00,9.668289606686806259e-01,8.810928786448143368e-01,9.874807694251702683e-01,8.239052347672880527e-01,9.703635907771597235e-01,9.150322911188178976e-01
