# Bashkir,Buryat,Chuvash,Evenki,Japanese,Kalmyk,Kannada,Kazakh,Khalkha Mongolian,Korean,Malayalam,Manchu,Nanai,North Azerbaijani,Northern Uzbek,Sakha,Tamil,Tatar,Telugu,Turkish
3.330669073875469621e-16,7.406915926159001184e-01,7.538994365356431748e-01,9.515239421641740192e-01,8.340429246939673469e-01,9.577075152892047250e-01,9.114947387151935976e-01,9.569390220494331523e-01,9.265446784906525846e-01,8.884856827824096914e-01,9.837068084521976008e-01,7.495809886967541580e-01,9.321971595197732219e-01,1.000000000000000000e+00,8.772073546143880352e-01,7.238939633884564628e-01,9.397100379872584952e-01,3.259587675930009087e-01,9.617320074441528810e-01,8.918627830751660879e-01
7.406915926159001184e-01,5.000000000000000000e-01,8.398540172561816952e-01,9.662901739921248012e-01,9.887591073056899438e-01,7.894670615669272529e-01,9.584672202045850797e-01,9.536664284877540698e-01,8.514701894203431376e-01,8.942811400626058393e-01,9.665680179625842916e-01,7.385813988642795369e-01,9.520802001540640269e-01,1.000000000000000000e+00,9.687018782012184470e-01,8.828847516187765532e-01,9.327829527259601239e-01,8.003211438848960579e-01,9.681889176888436310e-01,9.510074233785944520e-01
7.538994365356431748e-01,8.398540172561816952e-01,4.295410019144909053e-01,9.727700458684777063e-01,9.613824294007017324e-01,9.590964237434698170e-01,9.505703006653057896e-01,9.415838438839344571e-01,9.541127749988072004e-01,8.859066411351138592e-01,9.968880324898948819e-01,7.946416524917413460e-01,9.567953327070832792e-01,9.631520721818930264e-01,9.297421473848993534e-01,9.174851600346922709e-01,9.684666846825686903e-01,7.473683482933534128e-01,9.898162505394383359e-01,8.850560821612126761e-01
9.515239421641740192e-01,9.662901739921248012e-01,9.727700458684777063e-01,1.110223024625156540e-16,9.601048940262195686e-01,9.382889013840985948e-01,8.805714054810095393e-01,9.337793653131416516e-01,9.807141696850837365e-01,9.556724752390365341e-01,9.815197566344642244e-01,8.610409441089551530e-01,6.288799910099590607e-01,9.186705767718021942e-01,9.796913342741070396e-01,9.614284352021572611e-01,9.249992172857988137e-01,8.542445228481381214e-01,9.543616261243598187e-01,8.483006152299783498e-01
8.340429246939673469e-01,9.887591073056899438e-01,9.613824294007017324e-01,9.601048940262195686e-01,0.000000000000000000e+00,9.815120161312532732e-01,8.040897279653863583e-01,1.000000000000000000e+00,9.282809933174926975e-01,1.000000000000000000e+00,8.606998715956429846e-01,1.000000000000000000e+00,1.000000000000000000e+00,9.232856312664893261e-01,9.915097353267383617e-01,9.814075103730043326e-01,5.465543676944095708e-01,8.986413153578102220e-01,1.000000000000000000e+00,8.707716682409342157e-01
9.577075152892047250e-01,7.894670615669272529e-01,9.590964237434698170e-01,9.382889013840985948e-01,9.815120161312532732e-01,1.110223024625156540e-16,9.382535909886340342e-01,5.849187699193303391e-01,4.674736098564541420e-01,8.955743669147550046e-01,9.693958092458979658e-01,8.423496034010322653e-01,9.723717462862820904e-01,9.876135353439395859e-01,1.000000000000000000e+00,9.529633807241422172e-01,9.457258721694521419e-01,9.809515543072681032e-01,9.059588231154294125e-01,9.599520042732166969e-01
9.114947387151935976e-01,9.584672202045850797e-01,9.505703006653057896e-01,8.805714054810095393e-01,8.040897279653863583e-01,9.382535909886340342e-01,-2.220446049250313081e-16,9.990195557122076853e-01,9.176526777347079333e-01,1.000000000000000000e+00,9.412777511405634456e-01,9.489111047171786550e-01,9.175778892291197586e-01,8.989112829749275058e-01,9.867753064731145107e-01,9.594472017908072248e-01,7.796494904768352940e-01,8.947246461307708509e-01,9.419892406481553682e-01,9.533872211723753987e-01
9.569390220494331523e-01,9.536664284877540698e-01,9.415838438839344571e-01,9.337793653131416516e-01,1.000000000000000000e+00,5.849187699193303391e-01,9.990195557122076853e-01,0.000000000000000000e+00,6.485697770460313594e-01,9.943727349717310648e-01,9.505446641269753583e-01,9.074831721326214184e-01,9.781708214738084051e-01,1.000000000000000000e+00,8.024205428972570608e-01,1.000000000000000000e+00,9.074833486109803449e-01,8.790767302224389290e-01,9.603974189309021359e-01,9.663100858136861593e-01
9.265446784906525846e-01,8.514701894203431376e-01,9.541127749988072004e-01,9.807141696850837365e-01,9.282809933174926975e-01,4.674736098564541420e-01,9.176526777347079333e-01,6.485697770460313594e-01,1.110223024625156540e-16,9.384262016201120327e-01,9.386369379598162865e-01,8.895260293024921383e-01,9.761497969091563753e-01,1.000000000000000000e+00,6.291211170770683037e-01,9.700089848736144216e-01,9.829057474625344515e-01,9.561728953521709817e-01,9.334040211260642428e-01,9.925798095695035350e-01
8.884856827824096914e-01,8.942811400626058393e-01,8.859066411351138592e-01,9.556724752390365341e-01,1.000000000000000000e+00,8.955743669147550046e-01,1.000000000000000000e+00,9.943727349717310648e-01,9.384262016201120327e-01,0.000000000000000000e+00,9.912618215812518674e-01,8.245234585378297121e-01,1.000000000000000000e+00,9.652730555241794130e-01,9.442537849701632124e-01,9.758635960923829344e-01,1.000000000000000000e+00,9.001585208714713016e-01,9.773366768225967283e-01,8.070937364754527943e-01
