# Bashkir,Buryat,Chuvash,Evenki,Japanese,Kalmyk,Kannada,Kazakh,Khalkha Mongolian,Korean,Malayalam,Manchu,Nanai,North Azerbaijani,Northern Uzbek,Sakha,Tamil,Tatar,Telugu,Turkish
-4.440892098500626162e-16,1.129774543009313792e+00,9.610744802526052233e-01,1.135693681729471383e+00,1.116053259909516981e+00,1.084530216705474892e+00,1.119262569785975270e+00,1.022109129568920860e+00,9.875733031744428070e-01,1.048309438724209564e+00,1.245129183962034203e+00,1.114708051762566932e+00,1.127496352791861334e+00,1.117395430269817913e+00,1.070870098390566127e+00,9.148164435643997283e-01,1.101282556911073351e+00,5.153558340591727349e-01,1.129197426829627648e+00,1.141547184120204506e+00
1.129774543009313792e+00,0.000000000000000000e+00,9.638110877202569204e-01,9.849699363727868473e-01,9.122740460087237491e-01,7.961041330183544762e-01,1.000000000000000000e+00,9.356888310413570276e-01,6.016108625210506711e-01,9.971439613643807709e-01,9.443810124272490336e-01,1.000000000000000000e+00,9.666763488793920223e-01,9.267606317736923893e-01,9.414598565508167649e-01,9.458335238583478466e-01,9.976077328727875893e-01,8.112004840363143954e-01,9.592540273657186312e-01,9.602695147856837865e-01
9.610744802526052233e-01,9.638110877202569204e-01,0.000000000000000000e+00,9.601200986360896028e-01,9.838635764680427886e-01,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,8.730771652206605893e-01,1.000000000000000000e+00,1.000000000000000000e+00,5.346202152048298295e-01,9.176946697252656993e-01,9.780125152998392357e-01,9.696467498808943875e-01,1.000000000000000000e+00,9.536279149773536634e-01,9.082048453730134918e-01,9.572345661101703262e-01,8.978224044134972548e-01
1.135693681729471383e+00,9.849699363727868473e-01,9.601200986360896028e-01,4.845037959708061170e-01,9.559219542449034490e-01,9.859662754449145528e-01,1.000000000000000000e+00,1.000000000000000000e+00,9.163980444749634247e-01,8.576742294369578135e-01,9.658796277288173027e-01,8.940999431112176543e-01,9.503271723809691984e-01,9.492393323630563540e-01,9.828251307010347215e-01,9.591971043542817377e-01,9.704366567247140196e-01,9.978992216409522387e-01,9.479581297975452348e-01,9.504491156331340562e-01
1.116053259909516981e+00,9.122740460087237491e-01,9.838635764680427886e-01,9.559219542449034490e-01,1.110223024625156540e-16,8.896239753713820475e-01,1.000000000000000000e+00,9.789663844908471635e-01,9.043087392903209620e-01,9.941664011632431741e-01,9.167945405898954014e-01,9.789815429256074619e-01,1.000000000000000000e+00,9.301510735079343561e-01,9.120605682844802331e-01,9.528245930876791947e-01,9.374065817564112280e-01,9.364539611409942177e-01,9.274764368843216866e-01,9.328379082932253263e-01
1.084530216705474892e+00,7.961041330183544762e-01,1.000000000000000000e+00,9.859662754449145528e-01,8.896239753713820475e-01,0.000000000000000000e+00,9.517103752668074623e-01,9.546238953677989025e-01,6.871301375821885493e-01,9.727694534565290985e-01,9.252896306770536095e-01,1.000000000000000000e+00,9.832489400973000171e-01,9.486632458428254644e-01,9.540398539051976323e-01,9.460435187767566312e-01,9.406384150079940554e-01,9.865123833599170888e-01,9.438767470217331867e-01,9.487797243076167009e-01
1.119262569785975270e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,9.517103752668074623e-01,2.220446049250313081e-16,9.388664132949423591e-01,9.872788947293191786e-01,1.000000000000000000e+00,9.448477169382669683e-01,1.000000000000000000e+00,1.000000000000000000e+00,9.872747313392697954e-01,1.000000000000000000e+00,9.262582441777188480e-01,8.484665304521661344e-01,9.477302074984815805e-01,9.738114378354785217e-01,9.869560353107227346e-01
1.022109129568920860e+00,9.356888310413570276e-01,1.000000000000000000e+00,1.000000000000000000e+00,9.789663844908471635e-01,9.546238953677989025e-01,9.388664132949423591e-01,2.220446049250313081e-16,7.470649117655624449e-01,9.866664547786894168e-01,9.884960100941401206e-01,9.436253620340997461e-01,9.851921892431603212e-01,9.683010988908096195e-01,1.000000000000000000e+00,7.954354675913362094e-01,9.561781909924852441e-01,8.860729713817495634e-01,9.436409688983894428e-01,9.856204929712302221e-01
9.875733031744428070e-01,6.016108625210506711e-01,8.730771652206605893e-01,9.163980444749634247e-01,9.043087392903209620e-01,6.871301375821885493e-01,9.872788947293191786e-01,7.470649117655624449e-01,0.000000000000000000e+00,1.000000000000000000e+00,9.424290511653101721e-01,9.895726791788034271e-01,9.216043327875674818e-01,9.784685684482515855e-01,9.040914281061902535e-01,9.205600516502432384e-01,9.449556251876536361e-01,9.366531964057989157e-01,9.561570605472590190e-01,9.714538965460056685e-01
1.048309438724209564e+00,9.971439613643807709e-01,1.000000000000000000e+00,8.576742294369578135e-01,9.941664011632431741e-01,9.727694534565290985e-01,1.000000000000000000e+00,9.866664547786894168e-01,1.000000000000000000e+00,3.330669073875469621e-16,1.000000000000000000e+00,9.297176414069020511e-01,9.729333762875651548e-01,9.681200734439370237e-01,9.566581691248955410e-01,6.743019451845108092e-01,9.997655542123963235e-01,9.919191629036675506e-01,1.000000000000000000e+00,9.776705334577613371e-01
1.245129183962034203e+00,9.443810124272490336e-01,1.000000000000000000e+00,9.658796277288173027e-01,9.167945405898954014e-01,9.252896306770536095e-01,9.448477169382669683e-01,9.884960100941401206e-01,9.424290511653101721e-01,1.000000000000000000e+00,1.110223024625156540e-16,1.000000000000000000e+00,9.904892131525468990e-01,9.494956352573591385e-01,9.602606844364682814e-01,1.000000000000000000e+00,6.791177210864860481e-01,9.802550296930917506e-01,5.460845868950119364e-01,9.759720681815103882e-01
1.114708051762566932e+00,1.000000000000000000e+00,5.346202152048298295e-01,8.940999431112176543e-01,9.789815429256074619e-01,1.000000000000000000e+00,1.000000000000000000e+00,9.436253620340997461e-01,9.895726791788034271e-01,9.297176414069020511e-01,1.000000000000000000e+00,0.000000000000000000e+00,9.299661703213063513e-01,9.129207279295810107e-01,1.000000000000000000e+00,9.343062426286216082e-01,9.148416990717910258e-01,9.987035852420091953e-01,1.000000000000000000e+00,9.165516883027269301e-01
1.127496352791861334e+00,9.666763488793920223e-01,9.176946697252656993e-01,9.503271723809691984e-01,1.000000000000000000e+00,9.832489400973000171e-01,1.000000000000000000e+00,9.851921892431603212e-01,9.216043327875674818e-01,9.729333762875651548e-01,9.904892131525468990e-01,9.299661703213063513e-01,2.220446049250313081e-16,1.000000000000000000e+00,9.907760879222490269e-01,9.315254420356859910e-01,1.000000000000000000e+00,9.794512553092536988e-01,9.702664744367190952e-01,1.000000000000000000e+00
1.117395430269817913e+00,9.267606317736923893e-01,9.780125152998392357e-01,9.492393323630563540e-01,9.301510735079343561e-01,9.486632458428254644e-01,9.872747313392697954e-01,9.683010988908096195e-01,9.784685684482515855e-01,9.681200734439370237e-01,9.494956352573591385e-01,9.129207279295810107e-01,1.000000000000000000e+00,3.330669073875469621e-16,6.785092024706445013e-01,8.282282380733806404e-01,9.966656144003831486e-01,8.958525795413683213e-01,1.000000000000000000e+00,1.056389432527505834e-01
1.070870098390566127e+00,9.414598565508167649e-01,9.696467498808943875e-01,9.828251307010347215e-01,9.120605682844802331e-01,9.540398539051976323e-01,1.000000000000000000e+00,1.000000000000000000e+00,9.040914281061902535e-01,9.566581691248955410e-01,9.602606844364682814e-01,1.000000000000000000e+00,9.907760879222490269e-01,6.785092024706445013e-01,-2.220446049250313081e-16,1.000000000000000000e+00,9.318034060686787301e-01,9.519477295351227442e-01,9.859879980138466227e-01,4.428872306273780035e-01
9.148164435643997283e-01,9.458335238583478466e-01,1.000000000000000000e+00,9.591971043542817377e-01,9.528245930876791947e-01,9.460435187767566312e-01,9.262582441777188480e-01,7.954354675913362094e-01,9.205600516502432384e-01,6.743019451845108092e-01,1.000000000000000000e+00,9.343062426286216082e-01,9.315254420356859910e-01,8.282282380733806404e-01,1.000000000000000000e+00,3.330669073875469621e-16,9.428714598931026147e-01,6.968418061042473965e-01,9.593613378800862623e-01,7.931585398233726991e-01
1.101282556911073351e+00,9.976077328727875893e-01,9.536279149773536634e-01,9.704366567247140196e-01,9.374065817564112280e-01,9.406384150079940554e-01,8.484665304521661344e-01,9.561781909924852441e-01,9.449556251876536361e-01,9.997655542123963235e-01,6.791177210864860481e-01,9.148416990717910258e-01,1.000000000000000000e+00,9.966656144003831486e-01,9.318034060686787301e-01,9.428714598931026147e-01,0.000000000000000000e+00,9.757984516362956384e-01,5.981782045735266617e-01,1.000000000000000000e+00
5.153558340591727349e-01,8.112004840363143954e-01,9.082048453730134918e-01,9.978992216409522387e-01,9.364539611409942177e-01,9.865123833599170888e-01,9.477302074984815805e-01,8.860729713817495634e-01,9.366531964057989157e-01,9.919191629036675506e-01,9.802550296930917506e-01,9.987035852420091953e-01,9.794512553092536988e-01,8.958525795413683213e-01,9.519477295351227442e-01,6.968418061042473965e-01,9.757984516362956384e-01,1.110223024625156540e-16,1.000000000000000000e+00,9.110460221357726818e-01
1.129197426829627648e+00,9.592540273657186312e-01,9.572345661101703262e-01,9.479581297975452348e-01,9.274764368843216866e-01,9.438767470217331867e-01,9.738114378354785217e-01,9.436409688983894428e-01,9.561570605472590190e-01,1.000000000000000000e+00,5.460845868950119364e-01,1.000000000000000000e+00,9.702664744367190952e-01,1.000000000000000000e+00,9.859879980138466227e-01,9.593613378800862623e-01,5.981782045735266617e-01,1.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
1.141547184120204506e+00,9.602695147856837865e-01,8.978224044134972548e-01,9.504491156331340562e-01,9.328379082932253263e-01,9.487797243076167009e-01,9.869560353107227346e-01,9.856204929712302221e-01,9.714538965460056685e-01,9.776705334577613371e-01,9.759720681815103882e-01,9.165516883027269301e-01,1.000000000000000000e+00,1.056389432527505834e-01,4.428872306273780035e-01,7.931585398233726991e-01,1.000000000000000000e+00,9.110460221357726818e-01,1.000000000000000000e+00,1.110223024625156540e-16
