# Bashkir,Buryat,Chuvash,Evenki,Japanese,Kalmyk,Kannada,Kazakh,Khalkha Mongolian,Korean,Malayalam,Manchu,Nanai,North Azerbaijani,Northern Uzbek,Sakha,Tamil,Tatar,Telugu,Turkish
4.607124202328104490e-01,9.317154390829234245e-01,9.705393875165307938e-01,9.120556231812150250e-01,7.995404370438716768e-01,9.944319635390336254e-01,8.606686359896147387e-01,9.866190969707401281e-01,9.382191958600044623e-01,9.474964649340268386e-01,9.347286336365115966e-01,1.134874784890404387e+00,9.033663171147439108e-01,1.241775128765602254e+00,9.315791376891974229e-01,9.365227215065724531e-01,9.452549958702567423e-01,7.105813924246549007e-01,8.441270451933409191e-01,1.000000000000000000e+00
9.317154390829234245e-01,-2.220446049250313081e-16,9.369324748613507836e-01,8.769847615468695512e-01,8.704636093542270636e-01,8.390291507569601626e-01,9.191239221311895413e-01,9.303350165011428086e-01,8.254839987733930684e-01,9.885539395996563172e-01,9.895051416090913099e-01,1.244328539659635302e+00,9.105068065820076662e-01,1.301958029496422142e+00,9.317962375880365355e-01,9.119128863558177978e-01,9.726804945931522006e-01,9.007647572023561588e-01,9.351566498267666061e-01,9.469684133451655716e-01
9.705393875165309048e-01,9.369324748613507836e-01,5.000000000000000000e-01,9.663468224629354619e-01,8.968387721214879926e-01,9.411196575851047408e-01,9.769744395543709103e-01,9.902581769618397090e-01,9.399642017003357886e-01,9.815964721859958830e-01,1.000000000000000000e+00,1.100647803583231443e+00,9.488175838598571499e-01,1.182516386503535522e+00,9.855266660382927535e-01,9.464716447807204336e-01,1.000000000000000000e+00,8.740534856951287512e-01,9.954596505880500823e-01,8.769695761001009560e-01
9.120556231812150250e-01,8.769847615468695512e-01,9.663468224629354619e-01,-6.661338147750939243e-16,9.727798735409385333e-01,9.007093241525040428e-01,9.583844100802406674e-01,9.913844206603160680e-01,9.780432270215679846e-01,8.814834858401175977e-01,9.539993845074498102e-01,1.285089999821827478e+00,8.765824545004358148e-01,1.363797290404570317e+00,1.000000000000000000e+00,9.950622156011655894e-01,9.670164272523292803e-01,9.828833299362218501e-01,9.620482704043471500e-01,1.000000000000000000e+00
7.995404370438716768e-01,8.704636093542270636e-01,8.968387721214879926e-01,9.727798735409385333e-01,2.220446049250313081e-16,7.730607282677764980e-01,8.593174797453966285e-01,7.717595043449509973e-01,7.226899106739572698e-01,9.821561826180674748e-01,8.788744161521674370e-01,1.163690357140668930e+00,7.624329530986472259e-01,1.213294876553836721e+00,9.259859322612060684e-01,9.035394187184522252e-01,9.563132914105988425e-01,5.873640374251805074e-01,8.474378898693230022e-01,9.398108333513115475e-01
9.944319635390336254e-01,8.390291507569601626e-01,9.411196575851047408e-01,9.007093241525040428e-01,7.730607282677764980e-01,1.110223024625156540e-16,7.833595093890640682e-01,8.815165136748581709e-01,3.120099731678265265e-01,9.563813872244830705e-01,8.753710869403661388e-01,1.134785650427572401e+00,9.465752362612424031e-01,1.143453044635609039e+00,9.474715849139047075e-01,9.382576852216909513e-01,1.000000000000000000e+00,9.531160750498516299e-01,9.304868635048043624e-01,9.518735593038349929e-01
8.606686359896147387e-01,9.191239221311895413e-01,9.769744395543709103e-01,9.583844100802406674e-01,8.593174797453966285e-01,7.833595093890640682e-01,0.000000000000000000e+00,9.031497404623365366e-01,8.927665873696470911e-01,8.359689399656263786e-01,9.170903190732595522e-01,1.065751820538863859e+00,9.462634959176512428e-01,1.145065627151159449e+00,8.703095166952683481e-01,9.698236561349683482e-01,9.638558729987871665e-01,7.610082723185216391e-01,3.529803699626170577e-01,8.804075782227623881e-01
9.866190969707401281e-01,9.303350165011428086e-01,9.902581769618397090e-01,9.913844206603160680e-01,7.717595043449509973e-01,8.815165136748581709e-01,9.031497404623365366e-01,1.110223024625156540e-16,8.108153483234672443e-01,9.812340189238935029e-01,9.234023278555641978e-01,1.247439557025765033e+00,8.492038010453377694e-01,1.307962465217813453e+00,9.422195247306019983e-01,9.537779648364281826e-01,9.863678223857806904e-01,9.438904734982260791e-01,9.043532104468439137e-01,7.548365899526219280e-01
9.382191958600044623e-01,8.254839987733930684e-01,9.399642017003357886e-01,9.780432270215679846e-01,7.226899106739572698e-01,3.120099731678265265e-01,8.927665873696470911e-01,8.108153483234672443e-01,0.000000000000000000e+00,9.795127094191199424e-01,8.090709653764173170e-01,1.111816403933277853e+00,9.071321823232882942e-01,1.120327052118197386e+00,9.569732012397549337e-01,9.247419737189440658e-01,1.000000000000000000e+00,8.599426695480487659e-01,8.265966335767270801e-01,9.594426372001076953e-01
9.474964649340268386e-01,9.885539395996563172e-01,9.815964721859958830e-01,8.814834858401175977e-01,9.821561826180674748e-01,9.563813872244830705e-01,8.359689399656263786e-01,9.812340189238935029e-01,9.795127094191199424e-01,3.330669073875469621e-16,8.526257196169153563e-01,1.179440743472908171e+00,1.000000000000000000e+00,1.226614466548355598e+00,9.622261552412951779e-01,9.833517601581780454e-01,9.351109456289746769e-01,9.366183459926130661e-01,9.770875357833072039e-01,9.629161145385176646e-01
