# Bashkir,Buryat,Chuvash,Evenki,Japanese,Kalmyk,Kannada,Kazakh,Khalkha Mongolian,Korean,Malayalam,Manchu,Nanai,North Azerbaijani,Northern Uzbek,Sakha,Tamil,Tatar,Telugu,Turkish
0.000000000000000000e+00,8.655771102236856640e-01,7.870841526759148055e-01,8.572828828540115520e-01,1.000000000000000000e+00,9.827965698398077876e-01,9.059417100154940616e-01,1.000000000000000000e+00,8.438903512655702155e-01,9.737987882562355590e-01,9.654457306349382151e-01,9.910289075974381134e-01,9.061884152736389142e-01,2.361705108204676939e-01,1.000000000000000000e+00,9.964309583073627241e-01,9.377843190010287655e-01,1.000000000000000000e+00,9.027027186137409620e-01,2.543098364691502855e-01
8.655771102236856640e-01,5.666698867902779657e-01,8.840848460832523292e-01,9.803142425755360101e-01,9.870113343556825569e-01,8.150924680721279847e-01,9.957451271315654884e-01,7.533099296461595040e-01,9.354405404750670838e-01,9.521615075812258633e-01,9.460901887217794126e-01,9.398621942330862566e-01,9.372803386284719318e-01,8.357391987363541608e-01,8.562080398391826996e-01,9.407725677229370476e-01,9.026754697972876329e-01,8.805860118444620577e-01,9.595277470409190324e-01,8.248546218685621767e-01
7.870841526759148055e-01,8.840848460832523292e-01,0.000000000000000000e+00,9.842653549575356431e-01,8.629422112343356766e-01,8.471669973378599394e-01,9.847575151325385079e-01,9.352482659322555181e-01,8.441208928467847095e-01,8.245614578639182124e-01,8.661539661447353877e-01,9.106125774457812794e-01,8.669453969344929067e-01,7.821629473585436365e-01,4.451831242615561512e-01,9.873677228371774417e-01,9.326508399346277178e-01,9.953463357793336241e-01,8.908014644811614868e-01,7.924159300401821815e-01
8.572828828540115520e-01,9.803142425755360101e-01,9.842653549575356431e-01,2.220446049250313081e-16,1.000000000000000000e+00,9.767248274229036742e-01,9.116260222444200201e-01,9.219141871689084944e-01,8.724562275632918862e-01,9.497244067830988845e-01,8.539429560168219080e-01,8.006494177488475694e-01,1.000000000000000000e+00,1.000000000000000000e+00,9.419999799551738162e-01,9.928303173768575629e-01,1.000000000000000000e+00,1.000000000000000000e+00,9.632971331167116125e-01,8.463416859918163615e-01
1.000000000000000000e+00,9.870113343556825569e-01,8.629422112343356766e-01,1.000000000000000000e+00,2.220446049250313081e-16,9.242452520674653282e-01,9.981845208641720868e-01,9.002211035551318519e-01,8.909269669429715766e-01,1.000000000000000000e+00,9.307982454044702036e-01,9.726681327102528751e-01,1.000000000000000000e+00,1.000000000000000000e+00,8.759112920200988750e-01,9.249280034572184839e-01,8.334870070221447325e-01,8.864937086981246050e-01,9.453906951009848347e-01,1.000000000000000000e+00
9.827965698398077876e-01,8.150924680721279847e-01,8.471669973378599394e-01,9.767248274229036742e-01,9.242452520674653282e-01,2.220446049250313081e-16,8.233609153407274173e-01,9.727198605417638477e-01,8.188247640434755947e-01,9.861657634366199909e-01,9.116910663980468676e-01,6.666050671326408938e-01,9.063705724323425361e-01,1.000000000000000000e+00,8.329446744991382268e-01,1.000000000000000000e+00,9.380346037949497395e-01,9.700506670913748852e-01,9.571128948144358439e-01,1.000000000000000000e+00
9.059417100154940616e-01,9.957451271315654884e-01,9.847575151325385079e-01,9.116260222444200201e-01,9.981845208641720868e-01,8.233609153407274173e-01,0.000000000000000000e+00,9.086106972254928138e-01,9.937862384069148236e-01,9.482426316801998434e-01,9.133126148992479765e-01,9.911674705513130457e-01,9.271202135856350113e-01,9.093029787872003444e-01,9.531801684713780975e-01,1.000000000000000000e+00,1.000000000000000000e+00,9.522190156392156268e-01,9.965289602813182102e-01,9.013176148414661082e-01
1.000000000000000000e+00,7.533099296461595040e-01,9.352482659322555181e-01,9.219141871689084944e-01,9.002211035551318519e-01,9.727198605417638477e-01,9.086106972254928138e-01,0.000000000000000000e+00,9.494022589660042755e-01,8.562395404409836042e-01,9.662555816960690658e-01,9.386240073878071577e-01,7.399737656507415773e-01,1.000000000000000000e+00,8.649046785859044739e-01,8.214838747955159892e-01,9.399001892288043614e-01,2.284742140234433672e-01,8.994833133575381723e-01,1.000000000000000000e+00
8.438903512655702155e-01,9.354405404750670838e-01,8.441208928467847095e-01,8.724562275632918862e-01,8.909269669429715766e-01,8.188247640434755947e-01,9.937862384069148236e-01,9.494022589660042755e-01,5.000000000000000000e-01,8.443618357844101530e-01,7.851867862623433947e-01,9.711391663449728817e-01,9.933685707293635758e-01,8.061852467296273250e-01,8.548368605164045064e-01,1.000000000000000000e+00,9.375355994947637273e-01,1.000000000000000000e+00,9.437524557104983725e-01,8.036352682412403192e-01
9.737987882562355590e-01,9.521615075812258633e-01,8.245614578639182124e-01,9.497244067830988845e-01,1.000000000000000000e+00,9.861657634366199909e-01,9.482426316801998434e-01,8.562395404409836042e-01,8.443618357844101530e-01,0.000000000000000000e+00,9.086170053655511225e-01,9.275157022745423863e-01,9.414563449259345518e-01,9.779847968475506859e-01,8.540575986835525768e-01,9.614072833657557604e-01,1.000000000000000000e+00,9.308620782203171906e-01,9.592854928807451609e-01,8.418327735061915673e-01
