# Bashkir,Buryat,Chuvash,Evenki,Japanese,Kalmyk,Kannada,Kazakh,Khalkha Mongolian,Korean,Malayalam,Manchu,Nanai,North Azerbaijani,Northern Uzbek,Sakha,Tamil,Tatar,Telugu,Turkish
1.110223024625156540e-16,5.939136211371779384e-01,4.222542222401411971e-01,8.569515319990879121e-01,5.318939492635026411e-01,5.016900808823843150e-01,9.907049444332940435e-01,2.416351514432781844e-01,5.754390471871608792e-01,7.696267685588913388e-01,6.353059021851096277e-01,8.312958988338274846e-01,6.709892440588824947e-01,2.628913782621140616e-01,3.102654758199908658e-01,3.783772273479114601e-01,7.951836167437166258e-01,1.293009369437118083e-01,1.000000000000000000e+00,6.460661284017507056e-01
5.939136211371779384e-01,-2.220446049250313081e-16,6.171470602964993502e-01,7.580341891626498629e-01,9.322796294463138178e-01,4.225589140156398305e-01,9.812028353644105527e-01,6.735061990755872863e-01,4.946692394776517343e-01,6.808287167385594918e-01,6.693623537915585064e-01,8.961367080938933416e-01,5.409201026152172798e-01,5.844042578298636048e-01,6.160692130873441918e-01,5.381682288022109351e-01,8.141127516966619737e-01,6.162735844254113582e-01,9.215235717978645935e-01,7.633447836522180285e-01
4.222542222401411971e-01,6.171470602964993502e-01,0.000000000000000000e+00,8.612087303155603335e-01,5.995216446602322780e-01,4.834002130804578856e-01,1.000000000000000000e+00,5.237612061079099934e-01,5.367518953751138078e-01,8.142066947843805691e-01,7.249134328968482865e-01,8.309809791091041786e-01,7.151322987728658820e-01,4.372020375624969812e-01,4.422141602920027781e-01,3.938211091018476440e-01,8.487118825022829105e-01,4.066393947376026885e-01,1.000000000000000000e+00,6.985395196213404212e-01
8.569515319990879121e-01,7.580341891626498629e-01,8.612087303155603335e-01,0.000000000000000000e+00,1.000000000000000000e+00,9.244907045225043696e-01,1.000000000000000000e+00,9.150765644512062202e-01,9.247353807854528096e-01,9.449254360421075472e-01,9.648227521608051527e-01,9.021330258285229498e-01,9.158203463678368239e-01,8.631807443486487763e-01,9.572455383258213768e-01,8.033683951562539116e-01,1.081895391322768685e+00,8.756573851831843669e-01,9.116296304330182565e-01,9.441237822463572904e-01
5.318939492635026411e-01,9.322796294463138178e-01,5.995216446602322780e-01,1.000000000000000000e+00,1.110223024625156540e-16,6.907315621809666517e-01,9.709528697224025784e-01,5.318132699003079722e-01,7.620499597661800628e-01,1.000000000000000000e+00,8.750131224823516352e-01,1.000000000000000000e+00,9.021111431258080904e-01,6.426932709038799540e-01,6.250866027836252670e-01,6.590586648205309928e-01,9.267611138198481591e-01,5.352455734102560259e-01,9.726392915279754581e-01,8.067673670435636657e-01
5.016900808823843150e-01,4.225589140156398305e-01,4.834002130804578856e-01,9.244907045225043696e-01,6.907315621809666517e-01,1.110223024625156540e-16,9.761107969728463063e-01,5.789389145037574513e-01,4.612910375667836904e-01,8.626323970807558972e-01,6.614623980453335772e-01,7.726069617923437827e-01,6.964474127755571065e-01,5.241229031356804402e-01,5.558076764234651801e-01,3.735271184304792547e-01,7.989023715932771497e-01,4.636237951985424655e-01,1.000000000000000000e+00,7.261291754797425391e-01
9.907049444332940435e-01,9.812028353644105527e-01,1.000000000000000000e+00,1.000000000000000000e+00,9.709528697224025784e-01,9.761107969728463063e-01,0.000000000000000000e+00,9.931656437864992970e-01,9.652969834084486056e-01,9.866006218254038673e-01,8.439644685870155705e-01,1.000000000000000000e+00,1.000000000000000000e+00,9.953917263891035594e-01,9.829092231631280097e-01,9.732094883724411449e-01,7.502510912804387644e-01,9.900932523842350674e-01,1.000000000000000000e+00,9.785227613588811657e-01
2.416351514432781844e-01,6.735061990755872863e-01,5.237612061079099934e-01,9.150765644512062202e-01,5.318132699003079722e-01,5.789389145037574513e-01,9.931656437864992970e-01,1.110223024625156540e-16,6.647998292909697016e-01,7.011290799292793086e-01,6.618940369321202333e-01,8.883643208084484044e-01,4.861884582265932897e-01,3.116100529798178087e-01,3.568186119078421425e-01,4.666926105473913067e-01,8.150491993552414494e-01,2.549793994114378792e-01,9.661161858482231191e-01,6.592203611039563205e-01
5.754390471871608792e-01,4.946692394776517343e-01,5.367518953751138078e-01,9.247353807854528096e-01,7.620499597661800628e-01,4.612910375667836904e-01,9.652969834084486056e-01,6.647998292909697016e-01,0.000000000000000000e+00,9.738981017843265642e-01,7.736772274820087336e-01,8.479588048867309213e-01,7.580931846886610481e-01,6.077730954210601721e-01,6.801609445764273953e-01,5.382130981195318853e-01,8.510223411748487621e-01,6.010314281957864768e-01,1.000000000000000000e+00,7.501623067021409019e-01
7.696267685588913388e-01,6.808287167385594918e-01,8.142066947843805691e-01,9.449254360421075472e-01,1.000000000000000000e+00,8.626323970807558972e-01,9.866006218254038673e-01,7.011290799292793086e-01,9.738981017843265642e-01,0.000000000000000000e+00,8.456093019017517642e-01,7.907454715041317694e-01,7.988779498599709594e-01,6.755019259762964356e-01,6.793729168846414090e-01,8.296629411679010691e-01,9.752578635250350736e-01,8.084015680151347416e-01,9.133004749827957625e-01,8.387820627862203615e-01
6.353059021851096277e-01,6.693623537915585064e-01,7.249134328968482865e-01,9.648227521608051527e-01,8.750131224823516352e-01,6.614623980453335772e-01,8.439644685870155705e-01,6.618940369321202333e-01,7.736772274820087336e-01,8.456093019017517642e-01,0.000000000000000000e+00,9.776476607042507982e-01,8.279968545774084587e-01,6.533024399084204070e-01,6.962004236586969430e-01,7.463698382115541152e-01,7.719605632369661574e-01,6.234757719537593612e-01,9.936527228500681153e-01,8.129934448404276814e-01
8.312958988338274846e-01,8.961367080938933416e-01,8.309809791091041786e-01,9.021330258285229498e-01,1.000000000000000000e+00,7.726069617923437827e-01,1.000000000000000000e+00,8.883643208084484044e-01,8.479588048867309213e-01,7.907454715041317694e-01,9.776476607042507982e-01,0.000000000000000000e+00,6.979708872938801267e-01,8.590084805984326000e-01,9.175408470616874812e-01,8.237253136798248221e-01,1.175193744950129515e+00,8.977171747156373893e-01,9.466806652747200568e-01,9.132255326622660263e-01
6.709892440588824947e-01,5.409201026152172798e-01,7.151322987728658820e-01,9.158203463678368239e-01,9.021111431258080904e-01,6.964474127755571065e-01,1.000000000000000000e+00,4.861884582265932897e-01,7.580931846886610481e-01,7.988779498599709594e-01,8.279968545774084587e-01,6.979708872938801267e-01,3.330669073875469621e-16,7.076195450299055389e-01,7.950568845072774060e-01,6.470158863796673376e-01,9.836482130986192729e-01,6.711700418269292978e-01,9.436078546464604644e-01,8.113593303506823062e-01
2.628913782621140616e-01,5.844042578298636048e-01,4.372020375624969812e-01,8.631807443486487763e-01,6.426932709038799540e-01,5.241229031356804402e-01,9.953917263891035594e-01,3.116100529798178087e-01,6.077730954210601721e-01,6.755019259762964356e-01,6.533024399084204070e-01,8.590084805984326000e-01,7.076195450299055389e-01,1.110223024625156540e-16,3.193911722886692006e-01,3.994745793039873316e-01,7.964817431185540197e-01,2.660234175711850835e-01,9.728293137452086459e-01,5.581319647195230882e-01
3.102654758199908658e-01,6.160692130873441918e-01,4.422141602920027781e-01,9.572455383258213768e-01,6.250866027836252670e-01,5.558076764234651801e-01,9.829092231631280097e-01,3.568186119078421425e-01,6.801609445764273953e-01,6.793729168846414090e-01,6.962004236586969430e-01,9.175408470616874812e-01,7.950568845072774060e-01,3.193911722886692006e-01,0.000000000000000000e+00,5.305995837394044123e-01,7.944099715480075208e-01,3.258889123452557435e-01,1.000000000000000000e+00,6.255378666232687124e-01
3.783772273479114601e-01,5.381682288022109351e-01,3.938211091018476440e-01,8.033683951562539116e-01,6.590586648205309928e-01,3.735271184304792547e-01,9.732094883724411449e-01,4.666926105473913067e-01,5.382130981195318853e-01,8.296629411679010691e-01,7.463698382115541152e-01,8.237253136798248221e-01,6.470158863796673376e-01,3.994745793039873316e-01,5.305995837394044123e-01,1.110223024625156540e-16,8.416535987993123413e-01,4.379604967655230663e-01,9.913613875365541173e-01,6.667041252467669210e-01
7.951836167437166258e-01,8.141127516966619737e-01,8.487118825022829105e-01,1.081895391322768685e+00,9.267611138198481591e-01,7.989023715932771497e-01,7.502510912804387644e-01,8.150491993552414494e-01,8.510223411748487621e-01,9.752578635250350736e-01,7.719605632369661574e-01,1.175193744950129515e+00,9.836482130986192729e-01,7.964817431185540197e-01,7.944099715480075208e-01,8.416535987993123413e-01,-4.440892098500626162e-16,7.863513804495042558e-01,1.150538702982033534e+00,9.599380060574365103e-01
1.293009369437118083e-01,6.162735844254113582e-01,4.066393947376026885e-01,8.756573851831843669e-01,5.352455734102560259e-01,4.636237951985424655e-01,9.900932523842350674e-01,2.549793994114378792e-01,6.010314281957864768e-01,8.084015680151347416e-01,6.234757719537593612e-01,8.977171747156373893e-01,6.711700418269292978e-01,2.660234175711850835e-01,3.258889123452557435e-01,4.379604967655230663e-01,7.863513804495042558e-01,1.110223024625156540e-16,9.614789640183101227e-01,6.338821048900538102e-01
1.000000000000000000e+00,9.215235717978645935e-01,1.000000000000000000e+00,9.116296304330182565e-01,9.726392915279754581e-01,1.000000000000000000e+00,1.000000000000000000e+00,9.661161858482231191e-01,1.000000000000000000e+00,9.133004749827957625e-01,9.936527228500681153e-01,9.466806652747200568e-01,9.436078546464604644e-01,9.728293137452086459e-01,1.000000000000000000e+00,9.913613875365541173e-01,1.150538702982033534e+00,9.614789640183101227e-01,2.220446049250313081e-16,9.832374125030535206e-01
6.460661284017507056e-01,7.633447836522180285e-01,6.985395196213404212e-01,9.441237822463572904e-01,8.067673670435636657e-01,7.261291754797425391e-01,9.785227613588811657e-01,6.592203611039563205e-01,7.501623067021409019e-01,8.387820627862203615e-01,8.129934448404276814e-01,9.132255326622660263e-01,8.113593303506823062e-01,5.581319647195230882e-01,6.255378666232687124e-01,6.667041252467669210e-01,9.599380060574365103e-01,6.338821048900538102e-01,9.832374125030535206e-01,5.000000000000000000e-01
