# Bashkir,Buryat,Chuvash,Evenki,Japanese,Kalmyk,Kannada,Kazakh,Khalkha Mongolian,Korean,Malayalam,Manchu,Nanai,North Azerbaijani,Northern Uzbek,Sakha,Tamil,Tatar,Telugu,Turkish
2.220446049250313081e-16,8.253328071825698498e-01,5.066619130568941198e-01,8.739382531557511324e-01,6.718951928032491638e-01,8.471280216094496662e-01,9.560194736857202669e-01,4.427160600528177170e-01,8.704135779463701983e-01,9.868626520940774194e-01,8.421966313557893713e-01,1.000000000000000000e+00,8.605813006617129002e-01,9.003632942587331822e-01,8.564039700335808192e-01,5.620872946360365718e-01,1.000000000000000000e+00,4.398246206817522097e-01,8.686039129651523805e-01,8.970199615741147880e-01
8.253328071825698498e-01,-4.440892098500626162e-16,7.538022752516005953e-01,9.280756959572173947e-01,7.890499848095229307e-01,7.686719989067887226e-01,8.953894594191226242e-01,7.044101518719477761e-01,8.494132454506866381e-01,8.628047528549231959e-01,8.580353018377708807e-01,8.999361019463831823e-01,9.205063941128401872e-01,8.783499024191275817e-01,8.269401468703492242e-01,7.386712931140080318e-01,9.628701018254387511e-01,6.094247270855167598e-01,8.923178707697025924e-01,8.670024809734782067e-01
5.066619130568941198e-01,7.538022752516005953e-01,1.110223024625156540e-16,9.040014587631022280e-01,7.902479129783410716e-01,9.226666267804356503e-01,1.000000000000000000e+00,5.034451147685514716e-01,9.089952871604775053e-01,8.863424874537393361e-01,8.075801232262381779e-01,1.000000000000000000e+00,9.860176975751060446e-01,5.812040394994083536e-01,5.325402442484246102e-01,4.602157615307671534e-01,1.000000000000000000e+00,4.665235271726158039e-01,9.406045986817153093e-01,5.857443589209178070e-01
8.739382531557511324e-01,9.280756959572173947e-01,9.040014587631022280e-01,1.110223024625156540e-16,8.136047178221414988e-01,9.681108781949430142e-01,9.742112951665481413e-01,9.065045568069458604e-01,7.562816010468143002e-01,8.750866418951463999e-01,8.315654168747468322e-01,8.871543635451250021e-01,7.089912365265116367e-01,8.575104023147834820e-01,8.966045717456098130e-01,1.000000000000000000e+00,1.000000000000000000e+00,8.714642306223763235e-01,7.976094579605504942e-01,9.625133287300356999e-01
6.718951928032491638e-01,7.890499848095229307e-01,7.902479129783410716e-01,8.136047178221414988e-01,1.110223024625156540e-16,9.679503611475116509e-01,9.792229100942467790e-01,7.354471510185527361e-01,9.479811092509646819e-01,9.485936157914116595e-01,8.803748999048586210e-01,9.185071199222072380e-01,8.941764424172760073e-01,8.462760003476844650e-01,8.370544568345269498e-01,8.714409953643502682e-01,1.000000000000000000e+00,5.948068284908532011e-01,9.527423003204050778e-01,8.179742099854570014e-01
8.471280216094496662e-01,7.686719989067887226e-01,9.226666267804356503e-01,9.681108781949430142e-01,9.679503611475116509e-01,0.000000000000000000e+00,8.892213679382281466e-01,8.911520175479840100e-01,6.217295545160022030e-01,9.809534736068648009e-01,8.531119206472724814e-01,9.311541796872228050e-01,9.226281058941280255e-01,9.743104139002037867e-01,9.418391772740952739e-01,8.499519111415566597e-01,1.000000000000000000e+00,8.460499655117800222e-01,8.742639156479452556e-01,9.236748695644646512e-01
9.560194736857202669e-01,8.953894594191226242e-01,1.000000000000000000e+00,9.742112951665481413e-01,9.792229100942467790e-01,8.892213679382281466e-01,0.000000000000000000e+00,9.938027325970312242e-01,9.385609768347495940e-01,9.955637645573092165e-01,4.595491072878328254e-01,9.896375870277879239e-01,8.288888747503875276e-01,9.121404264972431397e-01,8.987387501370893705e-01,1.000000000000000000e+00,9.146879297327780156e-01,9.128083720803678025e-01,8.286030867317675241e-01,9.103824098911408313e-01
4.427160600528177170e-01,7.044101518719477761e-01,5.034451147685514716e-01,9.065045568069458604e-01,7.354471510185527361e-01,8.911520175479840100e-01,9.938027325970312242e-01,2.220446049250313081e-16,8.639770933027339783e-01,8.224918549701442094e-01,8.596134467368988785e-01,9.718681839136258382e-01,8.344210346942032563e-01,7.909071082001661868e-01,6.541494670556637914e-01,4.861383363530279444e-01,1.000000000000000000e+00,2.433950300805980405e-01,8.980987721890671960e-01,7.086380880802543025e-01
8.704135779463701983e-01,8.494132454506866381e-01,9.089952871604775053e-01,7.562816010468143002e-01,9.479811092509646819e-01,6.217295545160022030e-01,9.385609768347495940e-01,8.639770933027339783e-01,0.000000000000000000e+00,7.855651888655333925e-01,8.446490041214864686e-01,8.616473267906252786e-01,8.889552541840760602e-01,8.610896492399298108e-01,8.993817895896704107e-01,7.893010250986343124e-01,1.000000000000000000e+00,8.556886886294652328e-01,7.523178638423467790e-01,9.286307062774250554e-01
9.868626520940774194e-01,8.628047528549231959e-01,8.863424874537393361e-01,8.750866418951463999e-01,9.485936157914116595e-01,9.809534736068648009e-01,9.955637645573092165e-01,8.224918549701442094e-01,7.855651888655333925e-01,1.110223024625156540e-16,9.301030756022691248e-01,9.000879524036530244e-01,8.629735237116096247e-01,9.013551373377511888e-01,9.591151755545744839e-01,1.000000000000000000e+00,9.663706454522729139e-01,8.663896198736458221e-01,8.139763073469833410e-01,1.000000000000000000e+00
