# Bashkir,Buryat,Chuvash,Evenki,Japanese,Kalmyk,Kannada,Kazakh,Khalkha Mongolian,Korean,Malayalam,Manchu,Nanai,North Azerbaijani,Northern Uzbek,Sakha,Tamil,Tatar,Telugu,Turkish
4.408769743746290271e-01,9.275638973067723558e-01,8.147315955408556132e-01,9.265370935928938234e-01,7.935966135400687183e-01,9.100680060334203070e-01,9.296478459702566255e-01,8.780646468354071921e-01,9.515582659864958437e-01,8.975021769089107648e-01,1.066032083219357718e+00,9.419656846518327242e-01,9.054482207893839174e-01,8.927107497847961426e-01,9.573613620041304673e-01,9.575548678491180299e-01,9.972584629842764503e-01,8.148788037724540301e-01,9.912839742984687064e-01,9.971111621955044413e-01
9.275638973067723558e-01,5.000000000000000000e-01,9.195612568858061442e-01,9.293816550574504065e-01,9.279069431210602570e-01,6.660479074172669378e-01,9.407194243736132222e-01,8.418060561307367795e-01,8.075779553713244852e-01,8.089874950039919188e-01,9.553321804505905401e-01,9.078878164820451957e-01,9.990421202702389758e-01,8.387279944545891208e-01,9.113022314320743389e-01,9.699658150213210650e-01,8.999716689373882250e-01,9.013453369424995199e-01,9.567292334323349579e-01,1.086507968146892544e+00
8.147315955408556132e-01,9.195612568858061442e-01,5.000000000000000000e-01,8.902441303522306004e-01,9.513401193241697307e-01,8.179589732409418001e-01,9.405054794030189846e-01,9.286098241106124362e-01,9.395776150765426937e-01,8.912211925246809052e-01,1.021472996753017615e+00,9.892311153535295887e-01,9.740632032281473229e-01,9.050730812786136337e-01,9.557195953058492677e-01,9.930915992406575965e-01,9.635516591452530921e-01,8.645993676047813992e-01,9.287139980810610318e-01,1.046784438659147831e+00
9.265370935928938234e-01,9.293816550574504065e-01,8.902441303522306004e-01,-2.220446049250313081e-16,8.842884432964144281e-01,9.053853675460616923e-01,9.729236547854587247e-01,8.237045342020457017e-01,8.418210693838104053e-01,9.247459599672578356e-01,1.066510596618085227e+00,9.956737057942980362e-01,8.427638642642081290e-01,9.772645705967010210e-01,9.839568799678928279e-01,9.716260161839971321e-01,9.918595227808134629e-01,8.703960838505795383e-01,1.000000000000000000e+00,1.288513430165320939e+00
7.935966135400687183e-01,9.279069431210602570e-01,9.513401193241697307e-01,8.842884432964144281e-01,0.000000000000000000e+00,9.313762700862282529e-01,8.416561105970274959e-01,6.576732583437019386e-01,9.295258690068568530e-01,8.280681305016459604e-01,9.880607791941438123e-01,9.853624425079000604e-01,7.916489357328611032e-01,9.441806756553190461e-01,9.579505161076609099e-01,9.456130929911789051e-01,7.753609442887826608e-01,6.962016706521660936e-01,9.929846195212862492e-01,8.066563514758414710e-01
9.100680060334203070e-01,6.660479074172670488e-01,8.179589732409416891e-01,9.053853675460616923e-01,9.313762700862282529e-01,3.260806441690880519e-01,9.165970172681263684e-01,9.066626523523805270e-01,8.052044705870502472e-01,8.984602618450930889e-01,9.824543719172382783e-01,9.082433285353493924e-01,9.460350912537438539e-01,8.627527284130578344e-01,9.215183758306397799e-01,9.553252020116185239e-01,9.700703713788467741e-01,8.876954913972758821e-01,9.880707479964796480e-01,1.066133427776167153e+00
9.296478459702566255e-01,9.407194243736132222e-01,9.405054794030189846e-01,9.729236547854587247e-01,8.416561105970274959e-01,9.165970172681263684e-01,2.220446049250313081e-16,8.739979106763262617e-01,9.973498088768985026e-01,8.916096938219524315e-01,1.028118757942175110e+00,9.912190123130462105e-01,8.249835260887823374e-01,9.054786117142634705e-01,9.560729359707983432e-01,9.237902183845003723e-01,8.331177827277279624e-01,9.554311175586753802e-01,7.516405696456107677e-01,1.218557253613117064e+00
8.780646468354071921e-01,8.418060561307368905e-01,9.286098241106124362e-01,8.237045342020457017e-01,6.576732583437019386e-01,9.066626523523806380e-01,8.739979106763262617e-01,4.514872056778375109e-01,9.092104158488386600e-01,8.212837707140582255e-01,1.013498328035429941e+00,9.863118071745903270e-01,8.739636492695316283e-01,9.328991687802464794e-01,9.658150479549784118e-01,9.623254303914667851e-01,8.392761842605425127e-01,7.787608439366385804e-01,9.285380340780422515e-01,9.515676026647448271e-01
9.515582659864958437e-01,8.075779553713244852e-01,9.395776150765426937e-01,8.418210693838104053e-01,9.295258690068568530e-01,8.052044705870502472e-01,9.973498088768985026e-01,9.092104158488386600e-01,4.999999999999999445e-01,9.755351248340692338e-01,9.602577490535306737e-01,9.099884155694009102e-01,9.213854900401394765e-01,9.721423885944029397e-01,7.902973524859275845e-01,9.520017159517937255e-01,9.899857188027696431e-01,9.194412674763186022e-01,9.987884875351714653e-01,1.155263676325538835e+00
8.975021769089107648e-01,8.089874950039919188e-01,8.912211925246809052e-01,9.247459599672578356e-01,8.280681305016459604e-01,8.984602618450930889e-01,8.916096938219524315e-01,8.212837707140582255e-01,9.755351248340692338e-01,3.330669073875469621e-16,1.014548507681809930e+00,9.896154704095945220e-01,9.685078333846354193e-01,9.085492745383549895e-01,9.502992285750125889e-01,9.785024934649713124e-01,8.495163981181175217e-01,8.470378676088871073e-01,9.974581881321215038e-01,1.255326265116143869e+00
