# Bashkir,Buryat,Chuvash,Evenki,Japanese,Kalmyk,Kannada,Kazakh,Khalkha Mongolian,Korean,Malayalam,Manchu,Nanai,North Azerbaijani,Northern Uzbek,Sakha,Tamil,Tatar,Telugu,Turkish
0.000000000000000000e+00,9.687310385145727620e-01,8.784223004236367816e-01,9.467828408917323690e-01,9.729990200013072243e-01,9.605198739814256870e-01,9.365776405474846023e-01,6.873675875689260195e-01,1.000000000000000000e+00,9.630992957438546664e-01,9.736199739173717616e-01,9.644694168738057183e-01,9.418658550271373775e-01,9.143865454360045053e-01,9.052671776012399807e-01,9.284085653680470562e-01,9.573505442992054082e-01,6.620858852327643485e-01,9.470519539385944263e-01,9.296993880497514962e-01
9.687310385145727620e-01,0.000000000000000000e+00,9.941722913441193299e-01,9.891099792198634333e-01,9.060834634511629737e-01,2.819787202515618985e-01,8.752588950552986358e-01,9.260583793863087498e-01,3.385000236845803201e-01,9.495939800486051796e-01,9.261143618342138062e-01,1.000000000000000000e+00,1.000000000000000000e+00,9.957061481497220257e-01,9.646521766079170224e-01,9.275039615479638844e-01,9.673103569887360198e-01,9.162610542588570661e-01,9.324730415028749109e-01,9.952119948894502244e-01
8.784223004236367816e-01,9.941722913441193299e-01,0.000000000000000000e+00,9.833913315363904672e-01,9.109698650617173987e-01,9.528256141483089081e-01,8.706285647678881912e-01,7.973404830947551369e-01,5.478092308274199462e-01,9.613842584524022739e-01,9.146413290370762894e-01,9.851663981590957908e-01,9.131860280624616300e-01,8.588875916513656339e-01,9.204425297335696587e-01,5.403242274261061961e-01,9.998291844719930932e-01,8.677922401049246171e-01,9.826797698704311523e-01,9.082207744169124020e-01
9.467828408917323690e-01,9.891099792198634333e-01,9.833913315363904672e-01,1.110223024625156540e-16,9.994531949854629227e-01,9.825884528753857650e-01,9.468660808754493230e-01,8.095520471427398723e-01,1.000000000000000000e+00,8.928336375861803953e-01,9.790988737201741232e-01,7.834248418440269424e-01,9.308248970323602656e-01,9.883888199923882567e-01,9.867119450807841918e-01,1.000000000000000000e+00,9.812120618954572882e-01,8.427449134763869143e-01,9.159190433429471589e-01,7.841205358273526382e-01
9.729990200013072243e-01,9.060834634511629737e-01,9.109698650617173987e-01,9.994531949854629227e-01,2.220446049250313081e-16,9.130494448607122671e-01,9.447791904251425787e-01,7.997600247178466848e-01,9.537568535845127871e-01,9.728436848810548820e-01,8.505846018145869492e-01,9.949578791656527033e-01,9.627665328064110017e-01,9.352106898450044392e-01,6.737530388584138663e-01,7.691278571574255984e-01,9.768341797230228885e-01,7.383519941565421796e-01,9.631154140564995858e-01,9.879161427665198447e-01
9.605198739814256870e-01,2.819787202515618985e-01,9.528256141483089081e-01,9.825884528753857650e-01,9.130494448607122671e-01,-2.220446049250313081e-16,8.635440296427715490e-01,8.911287214887535502e-01,3.024071215088155462e-01,9.586542205037060782e-01,9.443050976598521551e-01,1.000000000000000000e+00,9.549761289687713761e-01,6.936700141940019826e-01,9.597448660081546734e-01,8.902390179456648456e-01,9.671194501367917917e-01,9.024509825060159640e-01,9.323178387456859673e-01,9.847915288729681693e-01
9.365776405474846023e-01,8.752588950552986358e-01,8.706285647678881912e-01,9.468660808754493230e-01,9.447791904251425787e-01,8.635440296427715490e-01,2.220446049250313081e-16,9.428350521501889236e-01,9.241508398294575599e-01,9.545258192852696943e-01,8.102990580006894650e-01,9.798617549126885651e-01,9.472126243185766681e-01,9.130817315880045415e-01,9.042292286008291047e-01,8.683754970230803671e-01,8.160875384384420617e-01,8.531450746433876242e-01,8.092794287154301269e-01,9.135406992979457907e-01
6.873675875689260195e-01,9.260583793863087498e-01,7.973404830947551369e-01,8.095520471427398723e-01,7.997600247178466848e-01,8.911287214887535502e-01,9.428350521501889236e-01,2.220446049250313081e-16,8.910972990520664716e-01,8.632285523699740892e-01,8.632606977534880155e-01,8.863643000215513101e-01,9.088981099405823993e-01,7.202868886529972814e-01,6.237844493542070712e-01,7.709800768866681420e-01,9.408350627130054322e-01,2.430334923717453188e-01,9.768475387020946199e-01,7.283275164502640564e-01
1.000000000000000000e+00,3.385000236845803201e-01,5.478092308274199462e-01,1.000000000000000000e+00,9.537568535845127871e-01,3.024071215088155462e-01,9.241508398294575599e-01,8.910972990520664716e-01,1.110223024625156540e-16,9.905566945840027504e-01,1.000000000000000000e+00,9.973018053348211565e-01,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,9.983053584082660636e-01,1.000000000000000000e+00,9.298581037159706630e-01,9.611545714428867404e-01,1.000000000000000000e+00
9.630992957438546664e-01,9.495939800486051796e-01,9.613842584524022739e-01,8.928336375861803953e-01,9.728436848810548820e-01,9.586542205037060782e-01,9.545258192852696943e-01,8.632285523699740892e-01,9.905566945840027504e-01,-2.220446049250313081e-16,9.186377351639447575e-01,8.949570714803077864e-01,8.936511689185111518e-01,8.704107023853391301e-01,8.667972612602362625e-01,9.523533664659927789e-01,9.476565573482601534e-01,8.281524381831198989e-01,9.176427076209138223e-01,8.847670470607378324e-01
9.736199739173717616e-01,9.261143618342138062e-01,9.146413290370762894e-01,9.790988737201741232e-01,8.505846018145869492e-01,9.443050976598521551e-01,8.102990580006894650e-01,8.632606977534880155e-01,1.000000000000000000e+00,9.186377351639447575e-01,1.110223024625156540e-16,9.781349155363752157e-01,8.552914328234371144e-01,8.883091310126144391e-01,8.651516606191298475e-01,9.384009139796978261e-01,9.184061132539236283e-01,8.463033637515490204e-01,9.221160652832368632e-01,8.948488468052404610e-01
9.644694168738057183e-01,1.000000000000000000e+00,9.851663981590957908e-01,7.834248418440269424e-01,9.949578791656527033e-01,1.000000000000000000e+00,9.798617549126885651e-01,8.863643000215513101e-01,9.973018053348211565e-01,8.949570714803077864e-01,9.781349155363752157e-01,-2.220446049250313081e-16,1.000000000000000000e+00,9.710870285178354600e-01,9.719312347505751903e-01,9.546534664484147559e-01,9.658504222590803545e-01,8.088165921716625739e-01,9.240507418885666180e-01,1.000000000000000000e+00
9.418658550271373775e-01,1.000000000000000000e+00,9.131860280624616300e-01,9.308248970323602656e-01,9.627665328064110017e-01,9.549761289687713761e-01,9.472126243185766681e-01,9.088981099405823993e-01,1.000000000000000000e+00,8.936511689185111518e-01,8.552914328234371144e-01,1.000000000000000000e+00,2.220446049250313081e-16,1.000000000000000000e+00,9.488877088334768395e-01,9.286710159501616602e-01,9.601546853539366655e-01,8.716807440927309969e-01,9.216054417877401761e-01,1.000000000000000000e+00
9.143865454360045053e-01,9.957061481497220257e-01,8.588875916513656339e-01,9.883888199923882567e-01,9.352106898450044392e-01,6.936700141940019826e-01,9.130817315880045415e-01,7.202868886529972814e-01,1.000000000000000000e+00,8.704107023853391301e-01,8.883091310126144391e-01,9.710870285178354600e-01,1.000000000000000000e+00,1.110223024625156540e-16,1.829651986339594361e-01,7.442301530444681568e-01,9.343095077521899050e-01,6.825068677502434955e-01,9.412612024696405122e-01,9.810865220301656642e-02
