# Bashkir,Buryat,Chuvash,Evenki,Japanese,Kalmyk,Kannada,Kazakh,Khalkha Mongolian,Korean,Malayalam,Manchu,Nanai,North Azerbaijani,Northern Uzbek,Sakha,Tamil,Tatar,Telugu,Turkish
0.000000000000000000e+00,1.000000000000000000e+00,2.223399531895764447e-01,9.915983489784508942e-01,1.000000000000000000e+00,1.000000000000000000e+00,9.011546435222079765e-01,5.461597174139825039e-01,9.769563204645520527e-01,9.724160837375332989e-01,1.000000000000000000e+00,9.974626132475731266e-01,9.746534621093704276e-01,3.240773498589925028e-01,4.473483458625845399e-01,9.514154362964599709e-01,1.000000000000000000e+00,3.034431868112340558e-01,9.938220891439463189e-01,3.350442660677858120e-01
1.000000000000000000e+00,2.220446049250313081e-16,9.219302074829317517e-01,8.791569644152008589e-01,8.881139222475435968e-01,2.455554337879757298e-01,8.957574942788506522e-01,1.000000000000000000e+00,5.463813550802620878e-01,8.621083529829146608e-01,9.045438556338517566e-01,8.074596651505072664e-01,9.482683018386878215e-01,9.292111292558938862e-01,9.754053905337156660e-01,1.245625432315922598e+00,8.792836294456783941e-01,9.642142398176470897e-01,9.133155741985454767e-01,1.000000000000000000e+00
2.223399531895764447e-01,9.219302074829317517e-01,0.000000000000000000e+00,9.964771118994086851e-01,9.774662230198303270e-01,9.198148955902821777e-01,9.928440540372450718e-01,6.211231855916499178e-01,8.942795399267324807e-01,8.797288483890093325e-01,9.616455054214460008e-01,9.002656480104018755e-01,1.000000000000000000e+00,6.414190420852764474e-01,5.456382083060472565e-01,9.182908794647864914e-01,9.550559909485680787e-01,4.487558669951289270e-01,9.840781532714858448e-01,6.173064478482491735e-01
9.915983489784508942e-01,8.791569644152008589e-01,9.964771118994086851e-01,0.000000000000000000e+00,8.599793375085773572e-01,8.131261592039545905e-01,1.000000000000000000e+00,8.947553701626317357e-01,8.835905227941915907e-01,9.128755541441181398e-01,8.949849712771591470e-01,5.349931602113662255e-01,7.087101250142622266e-01,1.000000000000000000e+00,7.934987709050503879e-01,1.227682382458714860e+00,9.461803021824752857e-01,1.000000000000000000e+00,9.478436597679713582e-01,1.000000000000000000e+00
1.000000000000000000e+00,8.881139222475435968e-01,9.774662230198303270e-01,8.599793375085773572e-01,1.110223024625156540e-16,9.052125736951794899e-01,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,8.841671676799305324e-01,8.325101631909319622e-01,8.881021463862792675e-01,9.598599579251956282e-01,1.000000000000000000e+00,9.787155352033126698e-01,1.237209941961431747e+00,9.818827044083154876e-01,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00
1.000000000000000000e+00,2.455554337879757298e-01,9.198148955902821777e-01,8.131261592039545905e-01,9.052125736951794899e-01,2.220446049250313081e-16,9.149502290932396420e-01,9.900256148364698916e-01,4.509133012159944887e-01,8.493197793418362229e-01,8.870218576697408430e-01,8.271883481785925474e-01,9.505413502721685726e-01,7.091631231931213586e-01,9.667884792322667398e-01,1.173585002895050966e+00,9.300137249763483771e-01,1.000000000000000000e+00,8.812545776594278291e-01,9.776261984701157814e-01
9.011546435222079765e-01,8.957574942788506522e-01,9.928440540372450718e-01,1.000000000000000000e+00,1.000000000000000000e+00,9.149502290932396420e-01,-2.220446049250313081e-16,8.738547590535263865e-01,8.902927033504717258e-01,9.792293264328808533e-01,9.252181656628650774e-01,9.791554487813854957e-01,1.000000000000000000e+00,1.000000000000000000e+00,9.814111011952063590e-01,9.645957663559162620e-01,8.164523374385271870e-01,9.539341581125257985e-01,6.090515900893808121e-01,9.743045901640278172e-01
5.461597174139825039e-01,1.000000000000000000e+00,6.211231855916499178e-01,8.947553701626317357e-01,1.000000000000000000e+00,9.900256148364698916e-01,8.738547590535263865e-01,0.000000000000000000e+00,1.000000000000000000e+00,9.061903787005209931e-01,1.000000000000000000e+00,9.141601159925503151e-01,9.658813093141715989e-01,6.347756809427637092e-01,5.802829114912588793e-01,8.600881488387515095e-01,9.962155655553914801e-01,4.736725655154334635e-01,9.771522380659223295e-01,7.030468645453827881e-01
9.769563204645520527e-01,5.463813550802620878e-01,8.942795399267324807e-01,8.835905227941915907e-01,1.000000000000000000e+00,4.509133012159944887e-01,8.902927033504717258e-01,1.000000000000000000e+00,0.000000000000000000e+00,8.110894120952516495e-01,8.574148024360814802e-01,8.248432878153268977e-01,8.566792657024753233e-01,8.646199452932813445e-01,9.353694694553732480e-01,1.081147398699721540e+00,8.816926011648941186e-01,9.427978083477257520e-01,8.825302645700441317e-01,9.055756431573001031e-01
9.724160837375332989e-01,8.621083529829146608e-01,8.797288483890093325e-01,9.128755541441181398e-01,8.841671676799305324e-01,8.493197793418362229e-01,9.792293264328808533e-01,9.061903787005209931e-01,8.110894120952516495e-01,2.220446049250313081e-16,9.550049308447958740e-01,9.421089517610546915e-01,9.407215682213890817e-01,9.660126282265226738e-01,9.605268879538038096e-01,1.131096181316151972e+00,9.790555973665667766e-01,9.109660839316024994e-01,9.572208578869418893e-01,8.608913777118621935e-01
