# Bashkir,Buryat,Chuvash,Evenki,Japanese,Kalmyk,Kannada,Kazakh,Khalkha Mongolian,Korean,Malayalam,Manchu,Nanai,North Azerbaijani,Northern Uzbek,Sakha,Tamil,Tatar,Telugu,Turkish
0.000000000000000000e+00,9.984506337368493911e-01,8.488269469319822402e-01,1.000000000000000000e+00,1.000000000000000000e+00,9.529872928332248083e-01,1.000000000000000000e+00,6.494326706406410299e-01,9.424003569978818273e-01,9.724082091578057918e-01,1.000000000000000000e+00,1.000000000000000000e+00,9.314252600727914722e-01,9.003184150109235784e-01,9.969064091440413833e-01,9.619043205997801493e-01,1.327273626964007303e+00,6.785070942544728645e-01,1.000000000000000000e+00,9.266308181827437318e-01
9.984506337368493911e-01,-2.220446049250313081e-16,9.385928492807179557e-01,9.558940047367139314e-01,8.831342011992666663e-01,5.105587824024430121e-01,9.089457955255725308e-01,8.375166749520368548e-01,5.365826588579150069e-01,8.245312493020755529e-01,9.528590866634435441e-01,9.629249884335111531e-01,8.585653275508106086e-01,1.000000000000000000e+00,9.979494389657997955e-01,8.706151491975632206e-01,1.221965984630053681e+00,1.000000000000000000e+00,6.718534463635774667e-01,1.000000000000000000e+00
8.488269469319822402e-01,9.385928492807179557e-01,1.802597083138618161e-01,9.807149164178574630e-01,8.883929520134689062e-01,9.170827956427696215e-01,9.918849911987314139e-01,6.852432154083047955e-01,9.935590585576976608e-01,1.000000000000000000e+00,9.659637294869519719e-01,9.421804386255646646e-01,9.939933004097247782e-01,7.935834651743525203e-01,7.987172948861765986e-01,9.096278513356133022e-01,9.738179017123096415e-01,7.727962300596165068e-01,9.376996918752737997e-01,7.327109425647064800e-01
1.000000000000000000e+00,9.558940047367139314e-01,9.807149164178574630e-01,0.000000000000000000e+00,8.629276669844433423e-01,9.281170830835641095e-01,9.769884153646256619e-01,1.000000000000000000e+00,1.000000000000000000e+00,8.932408521126330436e-01,1.000000000000000000e+00,9.947742980487219722e-01,9.498317451392006561e-01,1.000000000000000000e+00,9.703413223269681254e-01,9.608768368962177231e-01,1.241170844902169002e+00,1.000000000000000000e+00,9.536515426242171412e-01,1.000000000000000000e+00
1.000000000000000000e+00,8.831342011992666663e-01,8.883929520134689062e-01,8.629276669844433423e-01,1.110223024625156540e-16,9.115561583331993623e-01,9.195103800050805631e-01,8.907904065324545595e-01,9.444949338530751470e-01,7.270802650214134299e-01,8.661254527728272645e-01,8.813647064005050158e-01,7.999558774866920574e-01,9.044726730922075797e-01,8.800606252314268074e-01,9.026991017756841318e-01,1.046066364544515626e+00,7.956269261237225443e-01,7.690109813332701716e-01,9.220933706770694238e-01
9.529872928332248083e-01,5.105587824024430121e-01,9.170827956427696215e-01,9.281170830835641095e-01,9.115561583331993623e-01,0.000000000000000000e+00,9.068789183249443830e-01,8.989472482397379283e-01,8.924913519160087017e-01,8.351755175536019760e-01,9.913937894823146024e-01,9.533857024804774927e-01,7.722663457328342584e-01,1.000000000000000000e+00,9.644192544317501392e-01,8.760266658923445693e-01,1.286181118761427378e+00,9.838491146071117743e-01,9.085468845061853704e-01,1.000000000000000000e+00
1.000000000000000000e+00,9.089457955255725308e-01,9.918849911987314139e-01,9.769884153646256619e-01,9.195103800050805631e-01,9.068789183249443830e-01,0.000000000000000000e+00,1.000000000000000000e+00,9.620923617871248723e-01,9.639879777155277996e-01,8.906847026897999342e-01,9.912680708517915829e-01,1.000000000000000000e+00,9.125585453846344341e-01,8.914819654367498458e-01,9.666718794020725536e-01,1.126018243868291746e+00,9.857349989126547030e-01,6.797618028769430998e-01,9.134945381847749957e-01
6.494326706406410299e-01,8.375166749520368548e-01,6.852432154083047955e-01,1.000000000000000000e+00,8.907904065324545595e-01,8.989472482397379283e-01,1.000000000000000000e+00,0.000000000000000000e+00,5.438397013844811223e-01,9.464872478228325559e-01,1.000000000000000000e+00,1.000000000000000000e+00,9.000124203297301673e-01,9.067144649826343050e-01,8.559695618890766911e-01,9.210942339020546932e-01,1.133991018886071567e+00,2.871379817986757788e-01,8.657332519676659288e-01,9.354345393892445903e-01
9.424003569978818273e-01,5.365826588579150069e-01,9.935590585576976608e-01,1.000000000000000000e+00,9.444949338530751470e-01,8.924913519160087017e-01,9.620923617871248723e-01,5.438397013844811223e-01,0.000000000000000000e+00,9.466503978763511906e-01,8.957868572878266988e-01,8.809480024419631405e-01,9.720446352142276814e-01,8.191795424450240004e-01,8.938763565688282453e-01,9.040933481032611407e-01,1.258145980274065989e+00,6.261662808825205762e-01,6.020978317021941084e-01,8.779270245599932743e-01
9.724082091578057918e-01,8.245312493020755529e-01,1.000000000000000000e+00,8.932408521126330436e-01,7.270802650214134299e-01,8.351755175536019760e-01,9.639879777155277996e-01,9.464872478228325559e-01,9.466503978763511906e-01,0.000000000000000000e+00,8.855630405093227742e-01,8.065267651841239172e-01,7.865741000625531276e-01,8.930249265156068317e-01,9.267601327858302485e-01,8.583605766688185978e-01,1.100128066498837098e+00,7.536506917408997142e-01,7.183359912114795076e-01,9.088110339891037892e-01
