# Bashkir,Buryat,Chuvash,Evenki,Japanese,Kalmyk,Kannada,Kazakh,Khalkha Mongolian,Korean,Malayalam,Manchu,Nanai,North Azerbaijani,Northern Uzbek,Sakha,Tamil,Tatar,Telugu,Turkish
5.000000000000000000e-01,9.483406958317059932e-01,8.359780187754246583e-01,1.000000000000000000e+00,1.000000000000000000e+00,9.511312844702181080e-01,9.981031045765877963e-01,9.597273767274646650e-01,9.549857352875572580e-01,8.746049290049300318e-01,9.990301979223070727e-01,8.827190422964235061e-01,9.677487966203199843e-01,8.357445562468994726e-01,7.278383587396396459e-01,9.398539780503769592e-01,9.811485878170478347e-01,9.839077863864537088e-01,1.000000000000000000e+00,7.344011410620078228e-01
9.483406958317059932e-01,1.110223024625156540e-16,1.000000000000000000e+00,1.000000000000000000e+00,8.588717290203894406e-01,1.000000000000000000e+00,9.765355158363577814e-01,9.525300920112904635e-01,7.215835226702724814e-01,9.709758766734621904e-01,1.000000000000000000e+00,9.664004011322263610e-01,8.687593221704750235e-01,9.927553225280444371e-01,9.624745469131579245e-01,9.598065115606895237e-01,1.000000000000000000e+00,9.802493559446919802e-01,1.000000000000000000e+00,9.596953026101189277e-01
8.359780187754246583e-01,1.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,9.901922552970834346e-01,1.000000000000000000e+00,9.085649189990934183e-01,9.805994172466997449e-01,1.000000000000000000e+00,9.283538067730436882e-01,8.131911339210918799e-01,9.688133969794953115e-01,9.190970283318621314e-01,8.091469939082698293e-01,7.907011498646367986e-01,1.000000000000000000e+00,9.858336316980818026e-01,9.620775435737021208e-01,9.524125335697986028e-01,8.568555078887891696e-01
1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,2.220446049250313081e-16,7.940033221560169885e-01,9.868739255749181538e-01,9.572514019443841837e-01,9.585822106125883035e-01,9.740830747749897878e-01,1.000000000000000000e+00,9.616126182737293471e-01,9.339718475606120229e-01,8.151579799488087863e-01,1.000000000000000000e+00,1.000000000000000000e+00,9.485419671673678277e-01,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00
1.000000000000000000e+00,8.588717290203894406e-01,9.901922552970834346e-01,7.940033221560169885e-01,0.000000000000000000e+00,9.637116468867117369e-01,9.212541479134119804e-01,9.208303994835623785e-01,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,9.547596485371280250e-01,8.191723225339730963e-01,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,9.546089030262118191e-01,9.026755007604163605e-01,9.507415127446915415e-01,9.508972968552380500e-01
9.511312844702181080e-01,1.000000000000000000e+00,1.000000000000000000e+00,9.868739255749181538e-01,9.637116468867117369e-01,-2.220446049250313081e-16,9.550887884411022322e-01,9.852380756077360191e-01,9.338180063623180427e-01,6.300215134596913735e-01,1.000000000000000000e+00,7.591506791592883552e-01,9.124502066907043130e-01,9.677332800427778103e-01,9.398583573184694506e-01,9.373625252339897740e-01,9.668564462888493694e-01,8.814931380898014535e-01,9.814638393835379837e-01,7.518364534385626463e-01
9.981031045765877963e-01,9.765355158363577814e-01,9.085649189990934183e-01,9.572514019443841837e-01,9.212541479134119804e-01,9.550887884411022322e-01,0.000000000000000000e+00,8.467374965779345120e-01,9.756640819899575767e-01,9.628935746889494274e-01,9.956107239530637143e-01,9.694955380158080116e-01,9.016743736422432320e-01,9.762836498872584645e-01,1.000000000000000000e+00,9.979763953054415770e-01,9.954944274804047311e-01,8.341758581446301335e-01,1.000000000000000000e+00,1.000000000000000000e+00
9.597273767274646650e-01,9.525300920112904635e-01,9.805994172466997449e-01,9.585822106125883035e-01,9.208303994835623785e-01,9.852380756077360191e-01,8.467374965779345120e-01,0.000000000000000000e+00,9.967744098828198451e-01,9.456269096951166464e-01,8.562923366396555380e-01,9.621007187066554778e-01,1.000000000000000000e+00,8.330580816335659833e-01,9.604469071296429794e-01,1.000000000000000000e+00,8.285011923913842002e-01,6.799463035970210179e-01,9.078169558490507551e-01,9.598267181179005458e-01
9.549857352875572580e-01,7.215835226702724814e-01,1.000000000000000000e+00,9.740830747749897878e-01,1.000000000000000000e+00,9.338180063623180427e-01,9.756640819899575767e-01,9.967744098828198451e-01,4.999999999999999445e-01,1.000000000000000000e+00,9.852727896702548893e-01,9.754832129690540476e-01,9.415181755857795487e-01,9.925323550313267518e-01,9.128542109423191109e-01,8.977219127004287813e-01,9.944466290634303984e-01,9.323831144685487127e-01,1.000000000000000000e+00,8.811891749167259924e-01
8.746049290049300318e-01,9.709758766734621904e-01,9.283538067730436882e-01,1.000000000000000000e+00,1.000000000000000000e+00,6.300215134596913735e-01,9.628935746889494274e-01,9.456269096951166464e-01,1.000000000000000000e+00,0.000000000000000000e+00,9.631907135289500266e-01,7.371727319232429521e-01,9.291705110650172461e-01,8.852282176841832495e-01,9.947325175189710711e-01,9.840812749997023268e-01,1.000000000000000000e+00,9.287592535167794594e-01,9.870504850212866721e-01,7.336692029018860861e-01
9.990301979223070727e-01,1.000000000000000000e+00,8.131911339210918799e-01,9.616126182737293471e-01,1.000000000000000000e+00,1.000000000000000000e+00,9.956107239530637143e-01,8.562923366396555380e-01,9.852727896702548893e-01,9.631907135289500266e-01,2.220446049250313081e-16,9.189129892644731790e-01,9.523980091618938770e-01,9.129173139237132251e-01,1.000000000000000000e+00,1.000000000000000000e+00,7.051072525770607502e-01,9.837558523732456983e-01,7.781077700745845371e-01,1.000000000000000000e+00
8.827190422964235061e-01,9.664004011322263610e-01,9.688133969794953115e-01,9.339718475606120229e-01,9.547596485371280250e-01,7.591506791592883552e-01,9.694955380158080116e-01,9.621007187066554778e-01,9.754832129690540476e-01,7.371727319232429521e-01,9.189129892644731790e-01,-2.220446049250313081e-16,9.693619761323248873e-01,9.358405812001290291e-01,9.307372468505584751e-01,9.134849492984326025e-01,9.787761504564337356e-01,9.783954827706294877e-01,9.691359427555259476e-01,9.097161470064093480e-01
9.677487966203199843e-01,8.687593221704750235e-01,9.190970283318621314e-01,8.151579799488087863e-01,8.191723225339730963e-01,9.124502066907043130e-01,9.016743736422432320e-01,1.000000000000000000e+00,9.415181755857795487e-01,9.291705110650172461e-01,9.523980091618938770e-01,9.693619761323248873e-01,1.110223024625156540e-16,9.727442084793630483e-01,9.883781733924158486e-01,9.498709518510931593e-01,9.957676131406605347e-01,8.908578051606718118e-01,9.557611234225593666e-01,9.912173815354945461e-01
