# Bashkir,Buryat,Chuvash,Evenki,Japanese,Kalmyk,Kannada,Kazakh,Khalkha Mongolian,Korean,Malayalam,Manchu,Nanai,North Azerbaijani,Northern Uzbek,Sakha,Tamil,Tatar,Telugu,Turkish
2.220446049250313081e-16,9.571753101563966748e-01,9.331938722643919881e-01,8.475517626689306194e-01,9.323804794491999948e-01,8.596247365656444206e-01,8.937512028981527967e-01,9.033492188162357550e-01,9.292768425597711657e-01,8.463113800816258747e-01,9.673055579259199899e-01,1.000000000000000000e+00,9.576523843191817598e-01,9.766639487293717892e-01,9.584925215080961625e-01,1.000000000000000000e+00,1.000000000000000000e+00,9.457569626688764330e-01,8.822369163025383099e-01,9.117986399841497835e-01
9.571753101563966748e-01,0.000000000000000000e+00,9.345751285998921132e-01,9.788769056385769884e-01,9.715601661077205575e-01,8.436812103149304853e-01,9.767686687460654937e-01,7.954847466803554035e-01,8.887378205315642488e-01,9.558578222334137564e-01,9.381979321553454154e-01,8.822746540459449616e-01,9.557752244574737599e-01,9.474017287410053667e-01,8.461890210333529172e-01,9.234795087890513843e-01,9.763556573691708484e-01,9.347969563853935071e-01,9.807054070915365296e-01,9.280462963086284489e-01
9.331938722643919881e-01,9.345751285998921132e-01,2.220446049250313081e-16,1.000000000000000000e+00,9.379800433173086649e-01,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,9.821363730829952843e-01,8.872471743480980777e-01,8.790217650831664287e-01,9.149539146869840600e-01,8.880502630504377715e-01,9.840139741862714562e-01,9.926861040205666731e-01,6.594096475379682687e-01,1.000000000000000000e+00,7.478237663174912564e-01,8.476981197624984254e-01,6.661165317538568775e-01
8.475517626689306194e-01,9.788769056385769884e-01,1.000000000000000000e+00,0.000000000000000000e+00,9.972947353624437294e-01,9.656769786504270092e-01,9.795325349867607390e-01,9.953197493130198081e-01,9.786521197295361407e-01,9.833713072936303146e-01,9.832186160136595632e-01,9.821183885620594634e-01,9.849901212327024647e-01,9.583744363352406648e-01,9.466591882091223153e-01,1.000000000000000000e+00,9.766027012338172053e-01,9.697721518093261883e-01,9.483789586201080146e-01,9.617428188054533145e-01
9.323804794491999948e-01,9.715601661077205575e-01,9.379800433173086649e-01,9.972947353624437294e-01,0.000000000000000000e+00,9.266479101685334285e-01,8.219466612566591612e-01,9.288695996499842789e-01,9.931880586134715916e-01,9.840546645121186486e-01,8.104873605273704706e-01,9.919410213595475367e-01,9.452606446661135919e-01,9.198759028816412275e-01,9.135393365008250832e-01,8.548301309091437261e-01,1.000000000000000000e+00,7.966193959366320021e-01,9.851297398233319624e-01,9.229681273592961199e-01
8.596247365656444206e-01,8.436812103149304853e-01,1.000000000000000000e+00,9.656769786504270092e-01,9.266479101685334285e-01,0.000000000000000000e+00,1.000000000000000000e+00,9.417884858327398856e-01,9.992615310984667154e-01,1.000000000000000000e+00,1.000000000000000000e+00,9.749568736431372118e-01,9.691606865729512910e-01,9.647741787562604809e-01,8.207842816288715149e-01,9.529823927335598910e-01,1.000000000000000000e+00,9.511140488080918054e-01,1.000000000000000000e+00,8.562748812364495699e-01
8.937512028981527967e-01,9.767686687460654937e-01,1.000000000000000000e+00,9.795325349867607390e-01,8.219466612566591612e-01,1.000000000000000000e+00,1.110223024625156540e-16,9.083272003222551128e-01,9.615527626162159169e-01,9.683323769279434945e-01,8.110765457253348298e-01,9.752299254114487059e-01,9.722927051265644049e-01,9.686885224669116168e-01,9.827943171642872233e-01,8.917647332057337950e-01,9.817959144303139984e-01,9.509468379392302939e-01,9.117189716529104926e-01,9.731829046797132454e-01
9.033492188162357550e-01,7.954847466803554035e-01,1.000000000000000000e+00,9.953197493130198081e-01,9.288695996499842789e-01,9.417884858327398856e-01,9.083272003222551128e-01,1.110223024625156540e-16,8.751203174172415000e-01,9.823180446325570081e-01,1.000000000000000000e+00,1.000000000000000000e+00,9.237180114198805247e-01,9.628091260540687646e-01,9.311111610151028284e-01,1.000000000000000000e+00,9.223594827061504242e-01,9.281773347299384636e-01,9.982090955889277861e-01,9.811325317959660453e-01
9.292768425597711657e-01,8.887378205315642488e-01,9.821363730829952843e-01,9.786521197295361407e-01,9.931880586134715916e-01,9.992615310984667154e-01,9.615527626162159169e-01,8.751203174172415000e-01,5.000000000000000000e-01,9.937043623970081008e-01,8.841798622542001995e-01,9.280497691644903346e-01,9.897830619018490594e-01,8.617489072549280316e-01,8.906367411705928827e-01,9.659775899948968014e-01,9.982673580163314853e-01,8.516182620926709967e-01,9.921537078573907653e-01,8.853858767033296884e-01
8.463113800816258747e-01,9.558578222334137564e-01,8.872471743480980777e-01,9.833713072936303146e-01,9.840546645121186486e-01,1.000000000000000000e+00,9.683323769279434945e-01,9.823180446325570081e-01,9.937043623970081008e-01,-2.220446049250313081e-16,9.659418687791732072e-01,9.903469389611010421e-01,1.000000000000000000e+00,9.562254985081408698e-01,9.496822588812841026e-01,6.434367896620856175e-01,9.821205067079530338e-01,9.231839232411197527e-01,8.878994810959618400e-01,9.649180381026182252e-01
9.673055579259199899e-01,9.381979321553454154e-01,8.790217650831664287e-01,9.832186160136595632e-01,8.104873605273704706e-01,1.000000000000000000e+00,8.110765457253348298e-01,1.000000000000000000e+00,8.841798622542001995e-01,9.659418687791732072e-01,-2.220446049250313081e-16,9.969677865855217647e-01,9.728326617712419466e-01,9.122994047789794170e-01,8.099376141332793599e-01,8.608881963881251931e-01,9.817522381642819207e-01,7.205373464461874988e-01,8.224013891031471957e-01,8.195063949481635746e-01
1.000000000000000000e+00,8.822746540459449616e-01,9.149539146869840600e-01,9.821183885620594634e-01,9.919410213595475367e-01,9.749568736431372118e-01,9.752299254114487059e-01,1.000000000000000000e+00,9.280497691644903346e-01,9.903469389611010421e-01,9.969677865855217647e-01,4.442644922874315339e-01,9.546389448277616818e-01,9.392521494829120243e-01,9.364015760435225877e-01,1.000000000000000000e+00,9.339584450446127839e-01,9.866035487549300598e-01,8.734762659601862378e-01,9.540796332901788634e-01
9.576523843191817598e-01,9.557752244574737599e-01,8.880502630504377715e-01,9.849901212327024647e-01,9.452606446661135919e-01,9.691606865729512910e-01,9.722927051265644049e-01,9.237180114198805247e-01,9.897830619018490594e-01,1.000000000000000000e+00,9.728326617712419466e-01,9.546389448277616818e-01,3.354972264766746815e-01,9.815470330396562915e-01,9.845409503746826996e-01,9.908058836105311240e-01,1.000000000000000000e+00,9.486358357257571594e-01,1.000000000000000000e+00,9.858421981236084042e-01
9.766639487293717892e-01,9.474017287410053667e-01,9.840139741862714562e-01,9.583744363352406648e-01,9.198759028816412275e-01,9.647741787562604809e-01,9.686885224669116168e-01,9.628091260540687646e-01,8.617489072549280316e-01,9.562254985081408698e-01,9.122994047789794170e-01,9.392521494829120243e-01,9.815470330396562915e-01,2.220446049250313081e-16,2.912218566340318837e-01,9.627225888303587720e-01,1.000000000000000000e+00,8.214406347068845538e-01,9.718108449673800164e-01,2.282897271604821254e-01
9.584925215080961625e-01,8.461890210333529172e-01,9.926861040205666731e-01,9.466591882091223153e-01,9.135393365008250832e-01,8.207842816288715149e-01,9.827943171642872233e-01,9.311111610151028284e-01,8.906367411705928827e-01,9.496822588812841026e-01,8.099376141332793599e-01,9.364015760435225877e-01,9.845409503746826996e-01,2.912218566340318837e-01,1.110223024625156540e-16,9.491033544455883542e-01,1.000000000000000000e+00,8.161236176443215085e-01,9.734148272409390845e-01,1.357715291036405425e-01
1.000000000000000000e+00,9.234795087890513843e-01,6.594096475379682687e-01,1.000000000000000000e+00,8.548301309091437261e-01,9.529823927335598910e-01,8.917647332057337950e-01,1.000000000000000000e+00,9.659775899948968014e-01,6.434367896620856175e-01,8.608881963881251931e-01,1.000000000000000000e+00,9.908058836105311240e-01,9.627225888303587720e-01,9.491033544455883542e-01,-2.220446049250313081e-16,8.607985841465487509e-01,7.678738845260477675e-01,8.821281147451417448e-01,9.546606553689619412e-01
1.000000000000000000e+00,9.763556573691708484e-01,1.000000000000000000e+00,9.766027012338172053e-01,1.000000000000000000e+00,1.000000000000000000e+00,9.817959144303139984e-01,9.223594827061504242e-01,9.982673580163314853e-01,9.821205067079530338e-01,9.817522381642819207e-01,9.339584450446127839e-01,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,8.607985841465487509e-01,-2.220446049250313081e-16,9.977667687963933663e-01,5.859988766127370852e-01,1.000000000000000000e+00
9.457569626688764330e-01,9.347969563853935071e-01,7.478237663174912564e-01,9.697721518093261883e-01,7.966193959366320021e-01,9.511140488080918054e-01,9.509468379392302939e-01,9.281773347299384636e-01,8.516182620926709967e-01,9.231839232411197527e-01,7.205373464461874988e-01,9.866035487549300598e-01,9.486358357257571594e-01,8.214406347068845538e-01,8.161236176443215085e-01,7.678738845260477675e-01,9.977667687963933663e-01,0.000000000000000000e+00,9.716533246962126835e-01,8.166690246608925285e-01
8.822369163025383099e-01,9.807054070915365296e-01,8.476981197624984254e-01,9.483789586201080146e-01,9.851297398233319624e-01,1.000000000000000000e+00,9.117189716529104926e-01,9.982090955889277861e-01,9.921537078573907653e-01,8.878994810959618400e-01,8.224013891031471957e-01,8.734762659601862378e-01,1.000000000000000000e+00,9.718108449673800164e-01,9.734148272409390845e-01,8.821281147451417448e-01,5.859988766127370852e-01,9.716533246962126835e-01,1.110223024625156540e-16,9.707357806805934075e-01
9.117986399841497835e-01,9.280462963086284489e-01,6.661165317538568775e-01,9.617428188054533145e-01,9.229681273592961199e-01,8.562748812364495699e-01,9.731829046797132454e-01,9.811325317959660453e-01,8.853858767033296884e-01,9.649180381026182252e-01,8.195063949481635746e-01,9.540796332901788634e-01,9.858421981236084042e-01,2.282897271604821254e-01,1.357715291036405425e-01,9.546606553689619412e-01,1.000000000000000000e+00,8.166690246608925285e-01,9.707357806805934075e-01,-2.220446049250313081e-16
