# Bashkir,Buryat,Chuvash,Evenki,Japanese,Kalmyk,Kannada,Kazakh,Khalkha Mongolian,Korean,Malayalam,Manchu,Nanai,North Azerbaijani,Northern Uzbek,Sakha,Tamil,Tatar,Telugu,Turkish
2.220446049250313081e-16,9.165106239122089438e-01,9.917001190645506892e-01,9.621984768662416032e-01,8.232190791939438812e-01,1.223159415241893866e+00,9.086188746343855094e-01,9.435555100769061898e-01,1.292270149697617221e+00,9.356656010499242448e-01,9.361764397173306662e-01,1.000000000000000000e+00,8.770548514107797677e-01,9.741817393720263452e-01,9.793499049170182325e-01,9.362415144740205974e-01,1.000000000000000000e+00,2.478119713573569971e-01,9.607616559637622844e-01,9.620657535987851006e-01
9.165106239122089438e-01,1.110223024625156540e-16,9.148544706762803402e-01,8.181766964299144185e-01,9.202283510888017437e-01,1.276441167382429853e+00,9.330036963986290122e-01,9.447176656615317025e-01,1.032735339679890174e+00,9.930253050861208575e-01,9.665395795484050812e-01,1.000000000000000000e+00,9.455892219189907522e-01,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,9.239930222355158262e-01,8.655789965924026719e-01,9.499507064622707553e-01,9.915425403157750450e-01
9.917001190645506892e-01,9.148544706762803402e-01,1.110223024625156540e-16,9.732138305750771545e-01,1.000000000000000000e+00,1.261087656488841802e+00,8.778142539966193869e-01,6.361651115138333701e-01,1.189046448731494898e+00,9.955433458356935938e-01,9.285876483090970135e-01,9.239481872788375405e-01,9.954480025079442962e-01,9.669062397514266438e-01,9.697351297055505359e-01,1.000000000000000000e+00,8.726040163907958780e-01,9.769755739381930093e-01,9.601615266937447712e-01,9.720895098308144355e-01
9.621984768662416032e-01,8.181766964299144185e-01,9.732138305750771545e-01,-2.220446049250313081e-16,9.505411823403775440e-01,1.181783320121632341e+00,9.909745540297720812e-01,1.000000000000000000e+00,1.218256008209575025e+00,9.864692905812295631e-01,9.984719734874553110e-01,1.000000000000000000e+00,9.157932300063157394e-01,1.000000000000000000e+00,1.000000000000000000e+00,9.973540797411375447e-01,9.968782851809599999e-01,9.744683660067108288e-01,9.884244478991947025e-01,9.888402707456677154e-01
8.232190791939438812e-01,9.202283510888017437e-01,1.000000000000000000e+00,9.505411823403775440e-01,2.220446049250313081e-16,1.280943123652111382e+00,8.494728999509122414e-01,1.000000000000000000e+00,1.103044363275643258e+00,8.730644919042154228e-01,9.204034762707747896e-01,1.000000000000000000e+00,8.754704152467267519e-01,9.095850599477524057e-01,9.274783711786559470e-01,9.907187123888033797e-01,1.000000000000000000e+00,8.746406755171270975e-01,9.455793048303795523e-01,9.355981257305283627e-01
1.223159415241893866e+00,1.276441167382429853e+00,1.261087656488841802e+00,1.181783320121632341e+00,1.280943123652111382e+00,1.110223024625156540e-16,1.279189581948731336e+00,1.314919134087687791e+00,8.182895373960398233e-01,1.266879837295826983e+00,1.156894944223863853e+00,1.215455015191583499e+00,1.274761616451581148e+00,1.000090193304324915e+00,1.364899133474484660e+00,1.307882221569439674e+00,1.130874065732720757e+00,1.275931475215848376e+00,1.259904268097494562e+00,1.079892297486556130e+00
9.086188746343855094e-01,9.330036963986290122e-01,8.778142539966193869e-01,9.909745540297720812e-01,8.494728999509122414e-01,1.279189581948731336e+00,0.000000000000000000e+00,9.043581106336877617e-01,1.214541766216832297e+00,7.560958812158855569e-01,9.147558293913654603e-01,9.934253585848054069e-01,8.569673868692125884e-01,9.133072317003181340e-01,9.285112020973206315e-01,1.000000000000000000e+00,8.570628493370768819e-01,8.534840858277914499e-01,8.358495618478603006e-01,8.696340390625840744e-01
9.435555100769061898e-01,9.447176656615317025e-01,6.361651115138333701e-01,1.000000000000000000e+00,1.000000000000000000e+00,1.314919134087687791e+00,9.043581106336877617e-01,1.110223024625156540e-16,1.071718072233990293e+00,8.824778749600705741e-01,9.446911475218174870e-01,9.552181054389963233e-01,9.560700229580145759e-01,7.761629271033795296e-01,9.703340739996642039e-01,9.187592876870486203e-01,9.725200631373774884e-01,9.235048218338680615e-01,9.570776391068611666e-01,9.584197397539309105e-01
1.292270149697617221e+00,1.032735339679890174e+00,1.189046448731494898e+00,1.218256008209575025e+00,1.103044363275643258e+00,8.182895373960398233e-01,1.214541766216832297e+00,1.071718072233990293e+00,1.110223024625156540e-16,1.230338361155634219e+00,1.280938553646346234e+00,1.306993710204763737e+00,1.305721485437955298e+00,1.155818902196583009e+00,1.244425647203959429e+00,1.225631212885782695e+00,1.316463602274914768e+00,1.280399592838936007e+00,1.179481751445381033e+00,1.263272543435410178e+00
9.356656010499242448e-01,9.930253050861208575e-01,9.955433458356935938e-01,9.864692905812295631e-01,8.730644919042154228e-01,1.266879837295826983e+00,7.560958812158855569e-01,8.824778749600705741e-01,1.230338361155634219e+00,-2.220446049250313081e-16,8.835847924099777817e-01,9.447693347607634129e-01,8.602985956999248396e-01,9.265214456289072587e-01,9.059324454339701127e-01,9.743073521124251402e-01,9.032504079488110627e-01,9.196781325451849343e-01,8.261139564229730281e-01,9.119175340964578158e-01
9.361764397173306662e-01,9.665395795484050812e-01,9.285876483090970135e-01,9.984719734874553110e-01,9.204034762707747896e-01,1.156894944223863853e+00,9.147558293913654603e-01,9.446911475218174870e-01,1.280938553646346234e+00,8.835847924099777817e-01,1.110223024625156540e-16,9.978440166131818945e-01,9.544798074573435098e-01,9.381753113845099357e-01,9.453228313586528042e-01,1.000000000000000000e+00,9.856631326953121386e-01,9.441016677656123290e-01,9.299432572022621191e-01,9.769207196438909335e-01
1.000000000000000000e+00,1.000000000000000000e+00,9.239481872788375405e-01,1.000000000000000000e+00,1.000000000000000000e+00,1.215455015191583499e+00,9.934253585848054069e-01,9.552181054389963233e-01,1.306993710204763737e+00,9.447693347607634129e-01,9.978440166131818945e-01,0.000000000000000000e+00,9.410028996338568597e-01,9.258101941359044851e-01,1.000000000000000000e+00,9.944200849372250017e-01,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,9.650660669008720438e-01
8.770548514107797677e-01,9.455892219189907522e-01,9.954480025079442962e-01,9.157932300063157394e-01,8.754704152467267519e-01,1.274761616451581148e+00,8.569673868692125884e-01,9.560700229580145759e-01,1.305721485437955298e+00,8.602985956999248396e-01,9.544798074573435098e-01,9.410028996338568597e-01,3.164922615977083797e-01,9.539117566704615747e-01,9.530288924281811180e-01,1.000000000000000000e+00,9.909215738544392416e-01,7.487469358374279071e-01,9.368869448516030651e-01,9.567962824416513801e-01
9.741817393720263452e-01,1.000000000000000000e+00,9.669062397514266438e-01,1.000000000000000000e+00,9.095850599477524057e-01,1.000090193304324915e+00,9.133072317003181340e-01,7.761629271033795296e-01,1.155818902196583009e+00,9.265214456289072587e-01,9.381753113845099357e-01,9.258101941359044851e-01,9.539117566704615747e-01,1.110223024625156540e-16,6.797739532087241354e-01,9.768412843422520364e-01,1.000000000000000000e+00,9.721535686379724206e-01,9.374540287328693156e-01,5.210272577390916426e-01
9.793499049170182325e-01,1.000000000000000000e+00,9.697351297055505359e-01,1.000000000000000000e+00,9.274783711786559470e-01,1.364899133474484660e+00,9.285112020973206315e-01,9.703340739996642039e-01,1.244425647203959429e+00,9.059324454339701127e-01,9.453228313586528042e-01,1.000000000000000000e+00,9.530288924281811180e-01,6.797739532087241354e-01,0.000000000000000000e+00,9.680345759085089430e-01,9.134547223605995470e-01,9.883602456156498350e-01,8.943723708022539576e-01,8.452815174482917193e-01
9.362415144740205974e-01,1.000000000000000000e+00,1.000000000000000000e+00,9.973540797411375447e-01,9.907187123888033797e-01,1.307882221569439674e+00,1.000000000000000000e+00,9.187592876870486203e-01,1.225631212885782695e+00,9.743073521124251402e-01,1.000000000000000000e+00,9.944200849372250017e-01,1.000000000000000000e+00,9.768412843422520364e-01,9.680345759085089430e-01,0.000000000000000000e+00,9.149868489786949777e-01,1.000000000000000000e+00,9.853897841480979691e-01,9.763583342261912268e-01
1.000000000000000000e+00,9.239930222355158262e-01,8.726040163907958780e-01,9.968782851809599999e-01,1.000000000000000000e+00,1.130874065732720757e+00,8.570628493370768819e-01,9.725200631373774884e-01,1.316463602274914768e+00,9.032504079488110627e-01,9.856631326953121386e-01,1.000000000000000000e+00,9.909215738544392416e-01,1.000000000000000000e+00,9.134547223605995470e-01,9.149868489786949777e-01,0.000000000000000000e+00,1.000000000000000000e+00,9.825257347157838606e-01,9.934543358813963110e-01
2.478119713573569971e-01,8.655789965924026719e-01,9.769755739381930093e-01,9.744683660067108288e-01,8.746406755171270975e-01,1.275931475215848376e+00,8.534840858277914499e-01,9.235048218338680615e-01,1.280399592838936007e+00,9.196781325451849343e-01,9.441016677656123290e-01,1.000000000000000000e+00,7.487469358374279071e-01,9.721535686379724206e-01,9.883602456156498350e-01,1.000000000000000000e+00,1.000000000000000000e+00,2.220446049250313081e-16,9.520806141505420150e-01,9.682910363550136790e-01
9.607616559637622844e-01,9.499507064622707553e-01,9.601615266937447712e-01,9.884244478991947025e-01,9.455793048303795523e-01,1.259904268097494562e+00,8.358495618478603006e-01,9.570776391068611666e-01,1.179481751445381033e+00,8.261139564229730281e-01,9.299432572022621191e-01,1.000000000000000000e+00,9.368869448516030651e-01,9.374540287328693156e-01,8.943723708022539576e-01,9.853897841480979691e-01,9.825257347157838606e-01,9.520806141505420150e-01,2.220446049250313081e-16,8.869043543642991523e-01
9.620657535987851006e-01,9.915425403157750450e-01,9.720895098308144355e-01,9.888402707456677154e-01,9.355981257305283627e-01,1.079892297486556130e+00,8.696340390625840744e-01,9.584197397539309105e-01,1.263272543435410178e+00,9.119175340964578158e-01,9.769207196438909335e-01,9.650660669008720438e-01,9.567962824416513801e-01,5.210272577390916426e-01,8.452815174482917193e-01,9.763583342261912268e-01,9.934543358813963110e-01,9.682910363550136790e-01,8.869043543642991523e-01,5.000000000000000000e-01
