# Bashkir,Buryat,Chuvash,Evenki,Japanese,Kalmyk,Kannada,Kazakh,Khalkha Mongolian,Korean,Malayalam,Manchu,Nanai,North Azerbaijani,Northern Uzbek,Sakha,Tamil,Tatar,Telugu,Turkish
2.220446049250313081e-16,1.000000000000000000e+00,1.000000000000000000e+00,9.984961020131277731e-01,9.798481024808418649e-01,9.368744097056131981e-01,1.000000000000000000e+00,7.381361947587636863e-01,9.326899479647728919e-01,9.854216448744146373e-01,1.199971171596906583e+00,9.104449428654768361e-01,8.961281595091373786e-01,1.092697253858929685e+00,1.276321021577817127e+00,9.456246725795427466e-01,1.000000000000000000e+00,5.020620511118865092e-01,1.000000000000000000e+00,1.093180917105765371e+00
1.000000000000000000e+00,0.000000000000000000e+00,9.959618721845964195e-01,8.208565609660946061e-01,8.918849526763116264e-01,8.468303849757314872e-01,8.889702476250587182e-01,1.000000000000000000e+00,9.138073749650178490e-01,8.331556666330705019e-01,1.250607565680618372e+00,9.203354267275802858e-01,9.520392853423281787e-01,1.117049638469401529e+00,1.165519939902776692e+00,9.305850539973330449e-01,9.922956104020405066e-01,9.682311306108010163e-01,9.838257972487103320e-01,1.048148564460662513e+00
1.000000000000000000e+00,9.959618721845964195e-01,2.220446049250313081e-16,9.778343641851776624e-01,9.392070912659746806e-01,1.000000000000000000e+00,1.000000000000000000e+00,8.799267290112410267e-01,8.776264341296934335e-01,8.742310443654496277e-01,1.197018191040269519e+00,9.729612185114269174e-01,1.000000000000000000e+00,1.042415838515640569e+00,1.087573051115780398e+00,9.946425434351697792e-01,9.043374649419074762e-01,1.000000000000000000e+00,9.534873677221676891e-01,9.001354320803283127e-01
9.984961020131277731e-01,8.208565609660946061e-01,9.778343641851776624e-01,3.354643674756523919e-01,9.315997811286769181e-01,8.979332521200072970e-01,9.307219176831897922e-01,1.000000000000000000e+00,9.700462502838339551e-01,9.870334938411243764e-01,1.271984083445833802e+00,9.824136005870518495e-01,1.000000000000000000e+00,1.164359550344522098e+00,1.312929948663670743e+00,9.946815913370696816e-01,9.767599644618014665e-01,1.000000000000000000e+00,9.655115196315880999e-01,1.145162957465889031e+00
9.798481024808418649e-01,8.918849526763116264e-01,9.392070912659746806e-01,9.315997811286769181e-01,0.000000000000000000e+00,9.747486272240002414e-01,8.772041639695214998e-01,9.968460560189468245e-01,1.000000000000000000e+00,8.682131813550059141e-01,1.214651446993678885e+00,1.000000000000000000e+00,9.345706769036048467e-01,1.057124768545273819e+00,1.119693616547108972e+00,9.807626452752605806e-01,9.070309591784069259e-01,9.150577253341251049e-01,9.250354038751793517e-01,1.084341447005306547e+00
9.368744097056131981e-01,8.468303849757314872e-01,1.000000000000000000e+00,8.979332521200072970e-01,9.747486272240002414e-01,2.220446049250313081e-16,8.900294479786062807e-01,1.000000000000000000e+00,9.632667860887745848e-01,9.757874114045889113e-01,1.232239551994469995e+00,9.003769736903324272e-01,9.728344497720435857e-01,1.121837781516411781e+00,1.258152073149886307e+00,9.914521661803328278e-01,1.000000000000000000e+00,9.478053109568528312e-01,1.000000000000000000e+00,1.121913257467507918e+00
1.000000000000000000e+00,8.889702476250587182e-01,1.000000000000000000e+00,9.307219176831897922e-01,8.772041639695214998e-01,8.900294479786062807e-01,0.000000000000000000e+00,1.000000000000000000e+00,9.714329988663907844e-01,9.347107272975518910e-01,1.108608043104121865e+00,9.905516373111568074e-01,9.827632233212899582e-01,1.059155929278631669e+00,1.113701884659574537e+00,9.651599609096319643e-01,8.828001340627561477e-01,1.000000000000000000e+00,9.787389400707071641e-01,1.030882707401451714e+00
7.381361947587636863e-01,1.000000000000000000e+00,8.799267290112410267e-01,1.000000000000000000e+00,9.968460560189468245e-01,1.000000000000000000e+00,1.000000000000000000e+00,2.220446049250313081e-16,1.000000000000000000e+00,9.894280745993114801e-01,1.197736224273915351e+00,9.040689344029018137e-01,1.000000000000000000e+00,1.117332969230862227e+00,1.246139407207600636e+00,9.184148674851534411e-01,1.000000000000000000e+00,8.025547204216869623e-01,1.000000000000000000e+00,1.098581795106534198e+00
9.326899479647728919e-01,9.138073749650178490e-01,8.776264341296934335e-01,9.700462502838339551e-01,1.000000000000000000e+00,9.632667860887745848e-01,9.714329988663907844e-01,1.000000000000000000e+00,0.000000000000000000e+00,9.952261317824886433e-01,1.292041286349734364e+00,9.114702623131087922e-01,1.000000000000000000e+00,1.126822399891174609e+00,1.261405702700531206e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.151778642781874140e+00
9.854216448744146373e-01,8.331556666330705019e-01,8.742310443654496277e-01,9.870334938411243764e-01,8.682131813550059141e-01,9.757874114045889113e-01,9.347107272975518910e-01,9.894280745993114801e-01,9.952261317824886433e-01,2.220446049250313081e-16,1.209999266395338502e+00,9.190220549078069734e-01,9.175612628063154474e-01,1.149292030364707839e+00,1.285344121229677450e+00,9.780247202983951560e-01,9.493547448357305685e-01,9.942239548328970500e-01,9.657600025801371668e-01,1.135849951163911964e+00
