# Bashkir,Buryat,Chuvash,Evenki,Japanese,Kalmyk,Kannada,Kazakh,Khalkha Mongolian,Korean,Malayalam,Manchu,Nanai,North Azerbaijani,Northern Uzbek,Sakha,Tamil,Tatar,Telugu,Turkish
2.220446049250313081e-16,9.006406156088515580e-01,1.000000000000000000e+00,1.000000000000000000e+00,9.603668980210338102e-01,9.760750562854711987e-01,1.000000000000000000e+00,9.250905123034991462e-01,1.000000000000000000e+00,1.000000000000000000e+00,9.196110628032527767e-01,9.878114303573823918e-01,8.837834046805490562e-01,9.768669343741349653e-01,1.000000000000000000e+00,1.000000000000000000e+00,9.609420072601356777e-01,2.611344048201909018e-01,9.602981006069555292e-01,9.879059716503943989e-01
9.006406156088515580e-01,3.303437507124721284e-01,9.780055886791244601e-01,9.485800748397661408e-01,9.409439187075797628e-01,8.795299209783946637e-01,9.386930094175962580e-01,8.953712444890763456e-01,9.527836802703189001e-01,9.468427251963555946e-01,9.625663138942499586e-01,9.391043355880531740e-01,8.914575299431168887e-01,8.897117480917158261e-01,9.644280585751930923e-01,9.565459996135555754e-01,9.214752627541765717e-01,8.805484025380803104e-01,9.679424140669986576e-01,8.698074885644015986e-01
1.000000000000000000e+00,9.780055886791244601e-01,1.110223024625156540e-16,9.698199397816001932e-01,9.252437376698744442e-01,7.733662362863329420e-01,9.790409629489608134e-01,9.523943568139624505e-01,9.970120335516730048e-01,8.372444289838157916e-01,9.402548335014933034e-01,8.621742820496068882e-01,7.454262311291355303e-01,9.389885183455627393e-01,1.000000000000000000e+00,9.337507749807304469e-01,1.000000000000000000e+00,8.947118581766286827e-01,9.623553546814673787e-01,8.405540849790675839e-01
1.000000000000000000e+00,9.485800748397661408e-01,9.698199397816001932e-01,2.220446049250313081e-16,9.445566014177534386e-01,9.404240819270542895e-01,7.502169843463567522e-01,9.302932458813584216e-01,9.486345694558564468e-01,9.325896402236020233e-01,9.987188999936844613e-01,9.615756986590470179e-01,9.713260823175615677e-01,9.223407860132155633e-01,9.251420643906690389e-01,9.457697788470971201e-01,9.333981304226315334e-01,9.444810238969716387e-01,9.876556542331541566e-01,9.485408970625677227e-01
9.603668980210338102e-01,9.409439187075797628e-01,9.252437376698744442e-01,9.445566014177534386e-01,1.110223024625156540e-16,1.000000000000000000e+00,8.742183567380542586e-01,7.526831609253216149e-01,8.242503295467717983e-01,9.188543097881459731e-01,9.953909359529083956e-01,9.694320053898408673e-01,8.272731240529725971e-01,9.133911565890104889e-01,9.636791488495072278e-01,9.961171389983541902e-01,9.474885780364792343e-01,9.164656024214223873e-01,9.234496572219856869e-01,9.683761686014552561e-01
9.760750562854711987e-01,8.795299209783946637e-01,7.733662362863329420e-01,9.404240819270542895e-01,1.000000000000000000e+00,2.220446049250313081e-16,9.191072038296693725e-01,1.000000000000000000e+00,8.740454278568218216e-01,8.690216783079012242e-01,9.778347494531820505e-01,9.790774720004461473e-01,9.300399726304112713e-01,9.453917796492750103e-01,1.000000000000000000e+00,9.175310030850579723e-01,9.487082917143296878e-01,7.628474485806014949e-01,1.000000000000000000e+00,8.682794373933293564e-01
1.000000000000000000e+00,9.386930094175962580e-01,9.790409629489608134e-01,7.502169843463567522e-01,8.742183567380542586e-01,9.191072038296693725e-01,-2.220446049250313081e-16,8.395900182261665234e-01,9.295950056197705980e-01,1.000000000000000000e+00,9.932874300894772857e-01,9.784063397907878379e-01,8.736460222757508332e-01,8.651313052841992368e-01,1.000000000000000000e+00,9.925266655214923794e-01,9.823597293859714918e-01,9.479676814867991075e-01,9.047879269460101792e-01,8.013960883965340898e-01
9.250905123034991462e-01,8.953712444890763456e-01,9.523943568139624505e-01,9.302932458813584216e-01,7.526831609253216149e-01,1.000000000000000000e+00,8.395900182261665234e-01,-2.220446049250313081e-16,8.895434384670511951e-01,9.774132459418189978e-01,9.540223952558238851e-01,9.581612561890631152e-01,8.742400403297629907e-01,9.339511640170785611e-01,6.364188998193507363e-01,8.190698361187425114e-01,9.675567639422244515e-01,8.692072897946492294e-01,9.650494808961681548e-01,9.127804433487654023e-01
1.000000000000000000e+00,9.527836802703189001e-01,9.970120335516730048e-01,9.486345694558564468e-01,8.242503295467717983e-01,8.740454278568218216e-01,9.295950056197705980e-01,8.895434384670511951e-01,0.000000000000000000e+00,9.174940945674089354e-01,1.000000000000000000e+00,1.000000000000000000e+00,9.181285949565469728e-01,8.514213405173792770e-01,1.000000000000000000e+00,9.854504187244652602e-01,9.842498825260153072e-01,1.000000000000000000e+00,9.328998455457198080e-01,9.228245854093484191e-01
1.000000000000000000e+00,9.468427251963555946e-01,8.372444289838157916e-01,9.325896402236020233e-01,9.188543097881459731e-01,8.690216783079012242e-01,1.000000000000000000e+00,9.774132459418189978e-01,9.174940945674089354e-01,1.110223024625156540e-16,1.000000000000000000e+00,9.049491136688286863e-01,9.466022645254402734e-01,9.553255932924266114e-01,1.000000000000000000e+00,9.356176878142319353e-01,1.000000000000000000e+00,8.875757101540764360e-01,9.874022690001735825e-01,9.422353620027938970e-01
