# Bashkir,Buryat,Chuvash,Evenki,Japanese,Kalmyk,Kannada,Kazakh,Khalkha Mongolian,Korean,Malayalam,Manchu,Nanai,North Azerbaijani,Northern Uzbek,Sakha,Tamil,Tatar,Telugu,Turkish
0.000000000000000000e+00,9.808017215233839625e-01,9.464957509058993246e-01,8.647092894978568589e-01,9.614415826700632994e-01,9.798651330117336133e-01,9.179062106961828338e-01,9.091190382678911996e-01,8.287892745964158259e-01,8.688865006161081705e-01,9.578977705436911849e-01,1.000000000000000000e+00,1.000000000000000000e+00,7.593281890566201398e-01,9.555934538179428062e-01,9.466546443517824816e-01,1.000000000000000000e+00,9.143184141843594404e-01,1.000000000000000000e+00,8.530944545818046620e-01
9.808017215233839625e-01,4.256109754050853566e-01,7.474449929546608251e-01,8.907766096497267139e-01,9.986568765085225285e-01,9.503138758059823665e-01,8.558708778487196245e-01,9.546014002008003096e-01,8.194537210168751917e-01,9.071197072697982922e-01,9.181392192341368830e-01,9.994437256283021931e-01,9.942179219219606789e-01,9.046794052921822704e-01,9.251669840058232008e-01,9.406989377387744433e-01,9.940940556972290842e-01,9.191564129608990052e-01,9.617605439812042523e-01,8.908629294790504360e-01
9.464957509058993246e-01,7.474449929546608251e-01,1.110223024625156540e-16,9.596286444486729073e-01,8.833128194039521208e-01,9.711839100673289593e-01,1.000000000000000000e+00,1.000000000000000000e+00,9.995528564191762388e-01,1.000000000000000000e+00,8.499860099552142279e-01,8.437334072782392003e-01,1.000000000000000000e+00,9.527544490016786050e-01,1.000000000000000000e+00,9.891711067794589640e-01,8.521943175051874819e-01,9.785884617189316570e-01,7.472305538125416646e-01,9.589770891625358784e-01
8.647092894978568589e-01,8.907766096497267139e-01,9.596286444486729073e-01,1.110223024625156540e-16,9.652839112758653251e-01,9.213650302748458421e-01,9.730998450577025283e-01,8.330472564680497793e-01,9.267842321420212137e-01,8.894993081339759300e-01,9.553089443395776925e-01,5.987229373454825421e-01,8.614778267260682076e-01,8.433897516281101403e-01,9.597551460776824195e-01,9.420048606092304988e-01,9.829053069531019649e-01,9.556712464024020859e-01,8.966525802488534147e-01,9.083478672210640870e-01
9.614415826700632994e-01,9.986568765085225285e-01,8.833128194039521208e-01,9.652839112758653251e-01,1.110223024625156540e-16,9.294596137764542521e-01,8.722388314429379008e-01,9.276041579854277241e-01,1.000000000000000000e+00,9.262015148359068473e-01,9.970425033067622511e-01,9.813637763904486944e-01,9.576610774392684267e-01,6.605511676110109587e-01,8.592955947167867370e-01,4.555941190180697875e-01,9.372170331036380198e-01,8.964172146528311957e-01,8.529650790826417417e-01,6.768077328242216861e-01
9.798651330117336133e-01,9.503138758059823665e-01,9.711839100673289593e-01,9.213650302748458421e-01,9.294596137764542521e-01,2.220446049250313081e-16,8.843454263697423379e-01,8.568906571072349987e-01,6.480115902504091085e-01,1.000000000000000000e+00,1.000000000000000000e+00,7.815383785828220464e-01,7.965824041704081537e-01,9.121493385173855550e-01,9.340070609297731474e-01,9.995449678111061331e-01,9.587170813123498947e-01,9.218959102431737440e-01,9.689986010838744779e-01,9.351266278258806297e-01
9.179062106961828338e-01,8.558708778487196245e-01,1.000000000000000000e+00,9.730998450577025283e-01,8.722388314429379008e-01,8.843454263697423379e-01,0.000000000000000000e+00,9.233898194505458790e-01,9.123992801673090902e-01,1.000000000000000000e+00,1.000000000000000000e+00,9.386088846969352639e-01,9.723818178947543078e-01,8.726984406511957282e-01,8.932540773453296890e-01,8.840389998936246663e-01,1.000000000000000000e+00,8.750439238233944650e-01,9.639454989574557375e-01,8.755280340159474761e-01
9.091190382678911996e-01,9.546014002008003096e-01,1.000000000000000000e+00,8.330472564680497793e-01,9.276041579854277241e-01,8.568906571072349987e-01,9.233898194505458790e-01,1.110223024625156540e-16,8.060241473411232649e-01,9.760287420526537749e-01,9.573246930034675639e-01,9.643268043905051101e-01,7.536080633070669776e-01,7.391868254988172016e-01,6.953972128491131555e-01,9.132516163544655008e-01,1.000000000000000000e+00,6.757702870316331101e-01,1.000000000000000000e+00,7.854424706250755506e-01
8.287892745964158259e-01,8.194537210168751917e-01,9.995528564191762388e-01,9.267842321420212137e-01,1.000000000000000000e+00,6.480115902504091085e-01,9.123992801673090902e-01,8.060241473411232649e-01,0.000000000000000000e+00,9.463659649377060834e-01,1.000000000000000000e+00,9.340646561772710799e-01,9.437423363471728610e-01,9.637466960474434519e-01,9.666753365092993766e-01,9.971923318084302545e-01,1.000000000000000000e+00,1.000000000000000000e+00,9.121931482952478909e-01,1.000000000000000000e+00
8.688865006161081705e-01,9.071197072697982922e-01,1.000000000000000000e+00,8.894993081339759300e-01,9.262015148359068473e-01,1.000000000000000000e+00,1.000000000000000000e+00,9.760287420526537749e-01,9.463659649377060834e-01,0.000000000000000000e+00,7.088593095561845914e-01,9.122383508460640833e-01,8.843688127916922159e-01,7.205697658442378195e-01,8.916160407672547583e-01,9.029848396067154948e-01,9.539756059229180796e-01,8.048269069441360557e-01,8.297552476869299865e-01,8.305854895133961691e-01
9.578977705436911849e-01,9.181392192341368830e-01,8.499860099552142279e-01,9.553089443395776925e-01,9.970425033067622511e-01,1.000000000000000000e+00,1.000000000000000000e+00,9.573246930034675639e-01,1.000000000000000000e+00,7.088593095561845914e-01,0.000000000000000000e+00,9.786793125914060587e-01,9.775295970751101127e-01,8.248190046043671897e-01,8.674877241193110766e-01,9.013568015783981480e-01,7.097199730087673242e-01,8.078582501806909066e-01,9.490253475225673974e-01,8.499106725225571424e-01
1.000000000000000000e+00,9.994437256283021931e-01,8.437334072782392003e-01,5.987229373454825421e-01,9.813637763904486944e-01,7.815383785828220464e-01,9.386088846969352639e-01,9.643268043905051101e-01,9.340646561772710799e-01,9.122383508460640833e-01,9.786793125914060587e-01,0.000000000000000000e+00,9.765706921980926714e-01,9.499677291228513232e-01,9.865659128105971343e-01,9.719423954578788605e-01,9.823742634584350375e-01,9.711548079308596204e-01,9.834945217835274756e-01,9.745282680062583580e-01
1.000000000000000000e+00,9.942179219219606789e-01,1.000000000000000000e+00,8.614778267260682076e-01,9.576610774392684267e-01,7.965824041704081537e-01,9.723818178947543078e-01,7.536080633070669776e-01,9.437423363471728610e-01,8.843688127916922159e-01,9.775295970751101127e-01,9.765706921980926714e-01,1.110223024625156540e-16,8.395292223484699390e-01,1.000000000000000000e+00,7.044789717830548526e-01,9.773152846938334415e-01,8.781349388930649313e-01,9.448669056203686800e-01,8.388885229471140237e-01
7.593281890566201398e-01,9.046794052921822704e-01,9.527544490016786050e-01,8.433897516281101403e-01,6.605511676110109587e-01,9.121493385173855550e-01,8.726984406511957282e-01,7.391868254988172016e-01,9.637466960474434519e-01,7.205697658442378195e-01,8.248190046043671897e-01,9.499677291228513232e-01,8.395292223484699390e-01,0.000000000000000000e+00,2.838583334628620447e-01,5.233494248457017939e-01,9.027499237029054102e-01,3.198359516883714226e-01,8.790933967143341743e-01,1.524496977431255562e-02
9.555934538179428062e-01,9.251669840058232008e-01,1.000000000000000000e+00,9.597551460776824195e-01,8.592955947167867370e-01,9.340070609297731474e-01,8.932540773453296890e-01,6.953972128491131555e-01,9.666753365092993766e-01,8.916160407672547583e-01,8.674877241193110766e-01,9.865659128105971343e-01,1.000000000000000000e+00,2.838583334628620447e-01,1.110223024625156540e-16,8.358974643198084920e-01,9.956059839540561951e-01,4.423514890432660440e-01,9.725313408074470756e-01,2.947701854501200147e-01
9.466546443517824816e-01,9.406989377387744433e-01,9.891711067794589640e-01,9.420048606092304988e-01,4.555941190180697875e-01,9.995449678111061331e-01,8.840389998936246663e-01,9.132516163544655008e-01,9.971923318084302545e-01,9.029848396067154948e-01,9.013568015783981480e-01,9.719423954578788605e-01,7.044789717830548526e-01,5.233494248457017939e-01,8.358974643198084920e-01,0.000000000000000000e+00,1.000000000000000000e+00,5.614294474952445935e-01,1.000000000000000000e+00,4.975753065134548292e-01
