# Bashkir,Buryat,Chuvash,Evenki,Japanese,Kalmyk,Kannada,Kazakh,Khalkha Mongolian,Korean,Malayalam,Manchu,Nanai,North Azerbaijani,Northern Uzbek,Sakha,Tamil,Tatar,Telugu,Turkish
5.000000000000002220e-01,9.467721057339675284e-01,9.479811201295225143e-01,9.875842765932748568e-01,9.745999242804648244e-01,9.525658326995771752e-01,9.435722100973098492e-01,8.871594431043242635e-01,9.338690882315545672e-01,9.313922516366597293e-01,9.226384405507528363e-01,9.752698495099798581e-01,9.356646580861589513e-01,9.433457485039118406e-01,9.968125357320085644e-01,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,8.874128170584196784e-01,9.594462876628425674e-01
9.467721057339675284e-01,0.000000000000000000e+00,1.000000000000000000e+00,8.975158917771351996e-01,7.484799250121692005e-01,3.510968878191830234e-01,9.966337019500288719e-01,9.134988616189116950e-01,6.556877970463819150e-01,8.062431656034361183e-01,8.846194345166538131e-01,9.344354913771764082e-01,9.067305380400936254e-01,7.744138927277592899e-01,8.341918278924603802e-01,8.053897462734797008e-01,9.950517017643373263e-01,8.361699692380867299e-01,8.709886894834621973e-01,8.213329473961386018e-01
9.479811201295225143e-01,1.000000000000000000e+00,0.000000000000000000e+00,9.167955869919777179e-01,9.641901432055461907e-01,1.000000000000000000e+00,7.639676997464879271e-01,7.052246172996013973e-01,9.235552308768915086e-01,7.297355818452803122e-01,8.955069380267990375e-01,9.469110949703778424e-01,6.908438097598361693e-01,9.943275209530240133e-01,9.807551853621726545e-01,1.000000000000000000e+00,7.611103688773545040e-01,5.031088001918002650e-01,8.027165712635632167e-01,5.636919284820918197e-01
9.875842765932748568e-01,8.975158917771351996e-01,9.167955869919777179e-01,0.000000000000000000e+00,8.959990379647271297e-01,8.826610812868229683e-01,9.093725386453237469e-01,9.775511007222842386e-01,9.477732900172073371e-01,8.798279067805943043e-01,9.464745143016247697e-01,9.555082276388831009e-01,9.301470906627632429e-01,9.691713952295807344e-01,9.688782860693576637e-01,9.907804668241730894e-01,9.761939116157247742e-01,9.638648375382838918e-01,9.591737872777498231e-01,9.810359704137641135e-01
9.745999242804648244e-01,7.484799250121692005e-01,9.641901432055461907e-01,8.959990379647271297e-01,1.110223024625156540e-16,8.392769460347770938e-01,9.782149030822850921e-01,9.052728321599835537e-01,8.398767980559130875e-01,7.859924078790215818e-01,9.770846895511443586e-01,7.659008177327376599e-01,9.057395663090727078e-01,9.663982927116744337e-01,9.678863693032344617e-01,1.000000000000000000e+00,6.912074898103064413e-01,8.408115227743244713e-01,9.580073458919599050e-01,9.798554070277397665e-01
9.525658326995771752e-01,3.510968878191830234e-01,1.000000000000000000e+00,8.826610812868229683e-01,8.392769460347770938e-01,-2.220446049250313081e-16,9.801833903803152115e-01,8.522141775373661687e-01,7.013562438448119885e-01,7.924552930724414468e-01,8.738887452789774191e-01,9.149946206704608898e-01,9.744380460600011729e-01,8.724374066595257382e-01,8.914646203671122704e-01,7.707040046496504981e-01,8.230933978482579683e-01,8.572000931177878869e-01,8.548608147463538920e-01,8.846412296331751524e-01
9.435722100973098492e-01,9.966337019500288719e-01,7.639676997464879271e-01,9.093725386453237469e-01,9.782149030822850921e-01,9.801833903803152115e-01,0.000000000000000000e+00,7.431581189501443863e-01,9.766715263335167263e-01,9.524892426321297512e-01,9.984241707845229463e-01,9.726839924220459510e-01,8.673448362137405887e-01,9.542611581205541205e-01,9.323290707384447318e-01,9.775314731976265659e-01,9.569403153842469534e-01,6.770794742067547389e-01,8.359501754678071439e-01,9.772644758991352321e-01
8.871594431043242635e-01,9.134988616189116950e-01,7.052246172996013973e-01,9.775511007222842386e-01,9.052728321599835537e-01,8.522141775373661687e-01,7.431581189501443863e-01,4.324512259097630373e-01,9.292986683275454851e-01,7.946807917216656136e-01,9.707085606733365513e-01,9.819220463850462099e-01,8.047497660265729991e-01,9.349123749901981917e-01,8.865411403477185814e-01,9.798318742177521967e-01,9.322765299422797192e-01,6.076500921574903291e-01,8.654979666440804076e-01,9.722820005573235003e-01
9.338690882315545672e-01,6.556877970463819150e-01,9.235552308768915086e-01,9.477732900172073371e-01,8.398767980559130875e-01,7.013562438448119885e-01,9.766715263335167263e-01,9.292986683275454851e-01,4.888501124746049697e-01,8.849753315420791910e-01,8.883070562049679708e-01,9.013307807367090252e-01,9.937058213215684832e-01,8.210952119468405419e-01,7.831482385285019054e-01,8.693868346666787650e-01,9.952185676178788576e-01,8.934943228386864611e-01,9.585613110697005501e-01,8.630533930098162054e-01
9.313922516366597293e-01,8.062431656034361183e-01,7.297355818452803122e-01,8.798279067805943043e-01,7.859924078790215818e-01,7.924552930724414468e-01,9.524892426321297512e-01,7.946807917216656136e-01,8.849753315420791910e-01,2.220446049250313081e-16,9.124963040129542291e-01,9.447438694009587801e-01,8.337858604655298267e-01,9.174540958701515869e-01,9.555020894761891981e-01,1.000000000000000000e+00,8.821818581919507185e-01,5.819922355746023346e-01,8.420976639081821924e-01,9.502205113442216966e-01
