# Bashkir,Buryat,Chuvash,Evenki,Japanese,Kalmyk,Kannada,Kazakh,Khalkha Mongolian,Korean,Malayalam,Manchu,Nanai,North Azerbaijani,Northern Uzbek,Sakha,Tamil,Tatar,Telugu,Turkish
5.000000000000000000e-01,9.463513041186306651e-01,9.579887046132207207e-01,8.888412706465252944e-01,9.487364500930453026e-01,9.951456343561269069e-01,9.257452293424387468e-01,9.890290494924149911e-01,9.266837826027023439e-01,9.909012996140342810e-01,9.544936873575369241e-01,9.641972377727207055e-01,9.174864854016591131e-01,9.286828704644292110e-01,9.489493038370870881e-01,8.582920841424739322e-01,9.282736442120290699e-01,9.620224452983092700e-01,9.229733896744042321e-01,9.424387712285375862e-01
9.463513041186306651e-01,1.110223024625156540e-16,9.386203804004603635e-01,8.940864330607696253e-01,9.283582013557193369e-01,9.050591228927477028e-01,8.813342195762007281e-01,1.033546566365504349e+00,8.901975730218725236e-01,9.345752199039870645e-01,9.320046164453305026e-01,9.009939312677683887e-01,9.328887188398394814e-01,9.050640965339719068e-01,7.001708540350463084e-01,8.825681737552930617e-01,9.966010703982178809e-01,9.960320731873762989e-01,9.241717309323292939e-01,9.526615593515722624e-01
9.579887046132207207e-01,9.386203804004603635e-01,0.000000000000000000e+00,1.000000000000000000e+00,9.882978971012527092e-01,9.809297307133851840e-01,9.065252311559596210e-01,8.747120384538373816e-01,9.618492087845353922e-01,1.000000000000000000e+00,9.839993286844314069e-01,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,9.705441463718952333e-01,9.387869475365208105e-01
8.888412706465252944e-01,8.940864330607696253e-01,1.000000000000000000e+00,3.330669073875469621e-16,9.794384170127764522e-01,9.306390543073161936e-01,9.601367434217742414e-01,1.168402162060711680e+00,8.129429781005543809e-01,9.052183057963616442e-01,9.586128878221572558e-01,9.576596581727456758e-01,8.926409764906805266e-01,9.860483237621878727e-01,9.864935908598656544e-01,7.626466113469849706e-01,9.694429281734150416e-01,9.654277326823766936e-01,9.547331939324203987e-01,9.642089372894611099e-01
9.487364500930453026e-01,9.283582013557193369e-01,9.882978971012527092e-01,9.794384170127764522e-01,-2.220446049250313081e-16,1.000000000000000000e+00,8.773029483194439981e-01,1.085120477545484352e+00,9.147397056452885034e-01,9.922156914255498839e-01,9.772365970640590760e-01,9.410643322752503259e-01,9.775246032292770337e-01,9.268699575975256622e-01,8.787253474149965271e-01,9.890071053482907271e-01,9.485769798146124199e-01,9.709248179381829713e-01,9.831105164924768269e-01,9.226340072025569494e-01
9.951456343561269069e-01,9.050591228927477028e-01,9.809297307133851840e-01,9.306390543073161936e-01,1.000000000000000000e+00,0.000000000000000000e+00,9.617148543867253263e-01,1.031895356646074013e+00,1.000000000000000000e+00,1.000000000000000000e+00,9.873536615690017282e-01,9.163354584726839391e-01,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,9.891409328172984239e-01,1.000000000000000000e+00,9.633925010703892067e-01
9.257452293424387468e-01,8.813342195762007281e-01,9.065252311559596210e-01,9.601367434217742414e-01,8.773029483194439981e-01,9.617148543867253263e-01,0.000000000000000000e+00,1.124117320397129083e+00,9.589304301228940286e-01,1.000000000000000000e+00,9.262292348949520138e-01,9.403221261229993688e-01,9.609310842075710068e-01,9.358399369865918471e-01,9.150410385367837574e-01,9.844219017095829916e-01,9.256310959073479339e-01,8.331751990089086846e-01,9.172031413109196230e-01,9.400293265008933252e-01
9.890290494924149911e-01,1.033546566365504349e+00,8.747120384538373816e-01,1.168402162060711680e+00,1.085120477545484352e+00,1.031895356646074013e+00,1.124117320397129083e+00,6.327080533432125620e-01,9.879189504729600779e-01,1.070591713734149408e+00,1.169879797298817525e+00,1.134107399076609957e+00,1.120576373069758880e+00,8.884437867209022954e-01,1.077907801840029878e+00,1.062340877544747375e+00,1.081262544853629270e+00,1.092538900045300743e+00,1.152678849210997392e+00,9.526401711395776628e-01
9.266837826027023439e-01,8.901975730218725236e-01,9.618492087845353922e-01,8.129429781005543809e-01,9.147397056452885034e-01,1.000000000000000000e+00,9.589304301228940286e-01,9.879189504729600779e-01,-2.220446049250313081e-16,8.502802913762348425e-01,9.317939004141397863e-01,9.145382378889639341e-01,1.000000000000000000e+00,9.112813076623005326e-01,8.498741107296162722e-01,6.282499905361338399e-01,9.888905437837789414e-01,7.682712044849021593e-01,9.003325719374618563e-01,9.060468883277013052e-01
9.909012996140342810e-01,9.345752199039870645e-01,1.000000000000000000e+00,9.052183057963616442e-01,9.922156914255498839e-01,1.000000000000000000e+00,1.000000000000000000e+00,1.070591713734149408e+00,8.502802913762348425e-01,3.330669073875469621e-16,9.553913924434279670e-01,9.711963613873885182e-01,9.922071247734414179e-01,8.220875634635101958e-01,9.784426289872973914e-01,8.555638687199246251e-01,9.409764449934648889e-01,8.563083868512283425e-01,9.269865244597995657e-01,9.920489604405827722e-01
