# Bashkir,Buryat,Chuvash,Evenki,Japanese,Kalmyk,Kannada,Kazakh,Khalkha Mongolian,Korean,Malayalam,Manchu,Nanai,North Azerbaijani,Northern Uzbek,Sakha,Tamil,Tatar,Telugu,Turkish
0.000000000000000000e+00,9.068693201632970213e-01,8.134708136106763021e-01,9.325916877831351703e-01,1.000000000000000000e+00,1.000000000000000000e+00,9.989997189503304620e-01,6.623052630403608587e-01,1.000000000000000000e+00,1.000000000000000000e+00,9.804831021448685568e-01,6.214262504330744230e-01,8.481305932679157333e-01,4.005360468805814200e-01,2.496491210348105172e-01,1.074665140820189713e+00,1.000000000000000000e+00,6.429427050626931317e-01,9.594550337865526135e-01,2.892027555245979542e-01
9.068693201632970213e-01,1.110223024625156540e-16,8.458339710189417548e-01,7.909783041918351243e-01,1.000000000000000000e+00,8.067050490621554548e-01,9.005047449840904994e-01,9.200985211429819621e-01,7.249513718914699645e-01,9.983731397549938658e-01,9.205911706151909124e-01,7.121765563507849173e-01,6.673371727071752968e-01,9.049333962242013252e-01,8.875364587237631886e-01,1.218320446221895947e+00,9.520965429625847243e-01,9.047606377993940852e-01,8.868986562169458576e-01,8.971887080355935851e-01
8.134708136106763021e-01,8.458339710189417548e-01,0.000000000000000000e+00,9.519858482981224945e-01,1.000000000000000000e+00,1.000000000000000000e+00,9.971982908371801457e-01,5.408063816955596126e-01,1.000000000000000000e+00,9.657960789519065559e-01,1.000000000000000000e+00,8.602938153130090804e-01,8.621596070496841957e-01,7.535081637639740038e-01,8.269768519862341627e-01,1.160941693442831157e+00,1.000000000000000000e+00,3.963068514978735912e-01,1.000000000000000000e+00,8.469599159528731214e-01
9.325916877831351703e-01,7.909783041918351243e-01,9.519858482981224945e-01,0.000000000000000000e+00,8.158160499973543534e-01,8.880263370048246951e-01,9.240454679148729644e-01,9.741483798468870692e-01,9.709141511033632099e-01,1.000000000000000000e+00,9.324081102542516319e-01,7.045145211349681524e-01,7.417552599317152051e-01,9.815944820164126394e-01,9.559336424000667298e-01,1.159999670595647681e+00,8.503131863476691699e-01,9.988718325130691023e-01,9.123284689148407622e-01,9.089977055730336097e-01
1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,8.158160499973543534e-01,-2.220446049250313081e-16,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,8.990468392331805170e-01,1.000000000000000000e+00,9.804377201857235047e-01,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.128382846724268251e+00,9.329903056862839383e-01,1.000000000000000000e+00,9.946397114935306982e-01,1.000000000000000000e+00
1.000000000000000000e+00,8.067050490621554548e-01,1.000000000000000000e+00,8.880263370048246951e-01,1.000000000000000000e+00,1.110223024625156540e-16,9.078228304386556369e-01,8.225131536176456537e-01,5.760058317153324836e-01,1.000000000000000000e+00,9.301576102557903569e-01,6.406290133597329906e-01,4.579534718315854125e-01,8.556840308674220630e-01,9.970495779830785832e-01,1.132339598568812722e+00,9.219714796834399539e-01,9.803076832591991474e-01,8.940413663026247626e-01,1.000000000000000000e+00
9.989997189503304620e-01,9.005047449840904994e-01,9.971982908371801457e-01,9.240454679148729644e-01,1.000000000000000000e+00,9.078228304386556369e-01,-2.220446049250313081e-16,9.542959781038656830e-01,9.084697365328538998e-01,9.174804686851771862e-01,9.959811085352255899e-01,9.077085768720867254e-01,8.967716416720402650e-01,1.000000000000000000e+00,1.000000000000000000e+00,1.293495333883037945e+00,9.986335196016320470e-01,9.856028060743752262e-01,5.830774037317555392e-01,1.000000000000000000e+00
6.623052630403608587e-01,9.200985211429819621e-01,5.408063816955596126e-01,9.741483798468870692e-01,1.000000000000000000e+00,8.225131536176456537e-01,9.542959781038656830e-01,0.000000000000000000e+00,9.505205451863742994e-01,1.000000000000000000e+00,1.000000000000000000e+00,6.161127725560462398e-01,6.091087261783698636e-01,6.604286326877574220e-01,6.273715492603459953e-01,1.168781325665332771e+00,9.366265858837792280e-01,2.141484084691538392e-01,8.520647419018253510e-01,6.550007428512767405e-01
1.000000000000000000e+00,7.249513718914699645e-01,1.000000000000000000e+00,9.709141511033632099e-01,8.990468392331805170e-01,5.760058317153324836e-01,9.084697365328538998e-01,9.505205451863742994e-01,0.000000000000000000e+00,1.000000000000000000e+00,9.281630914663266951e-01,7.512400193371595591e-01,7.115505860788605696e-01,9.943653910434735455e-01,1.000000000000000000e+00,1.052255606927893217e+00,9.379997914005770987e-01,9.025156458615178900e-01,9.215403803901266455e-01,1.000000000000000000e+00
1.000000000000000000e+00,9.983731397549938658e-01,9.657960789519065559e-01,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,9.174804686851771862e-01,1.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,9.241587876002994584e-01,9.822880649193485025e-01,9.987860991199767335e-01,7.109668549915835190e-01,1.000000000000000000e+00,1.187375054066955204e+00,9.064381329054775893e-01,1.000000000000000000e+00,9.258476588650129679e-01,1.000000000000000000e+00
9.804831021448685568e-01,9.205911706151909124e-01,1.000000000000000000e+00,9.324081102542516319e-01,9.804377201857235047e-01,9.301576102557903569e-01,9.959811085352255899e-01,1.000000000000000000e+00,9.281630914663266951e-01,9.241587876002994584e-01,0.000000000000000000e+00,8.812337184583270977e-01,8.813232008180728050e-01,9.778849926878937504e-01,1.000000000000000000e+00,1.299894588192830103e+00,6.724303916953426885e-01,9.473079256278188476e-01,9.652419545683322832e-01,9.910838597574207487e-01
6.214262504330744230e-01,7.121765563507849173e-01,8.602938153130090804e-01,7.045145211349681524e-01,1.000000000000000000e+00,6.406290133597329906e-01,9.077085768720867254e-01,6.161127725560462398e-01,7.512400193371595591e-01,9.822880649193485025e-01,8.812337184583270977e-01,0.000000000000000000e+00,3.827949545110083118e-01,8.973966050304212905e-01,8.607285927905639067e-01,1.043077593723691576e+00,9.732199696822735335e-01,8.887262705351764991e-01,8.838291502475680295e-01,8.557717828847913877e-01
8.481305932679157333e-01,6.673371727071752968e-01,8.621596070496841957e-01,7.417552599317152051e-01,1.000000000000000000e+00,4.579534718315854125e-01,8.967716416720402650e-01,6.091087261783698636e-01,7.115505860788605696e-01,9.987860991199767335e-01,8.813232008180728050e-01,3.827949545110083118e-01,1.110223024625156540e-16,8.217862018524885181e-01,8.293565007248860921e-01,1.027168101855101101e+00,9.566340468972874822e-01,8.721875955690432392e-01,8.713920937971402214e-01,8.352617516457827573e-01
4.005360468805814200e-01,9.049333962242013252e-01,7.535081637639740038e-01,9.815944820164126394e-01,1.000000000000000000e+00,8.556840308674220630e-01,1.000000000000000000e+00,6.604286326877574220e-01,9.943653910434735455e-01,7.109668549915835190e-01,9.778849926878937504e-01,8.973966050304212905e-01,8.217862018524885181e-01,0.000000000000000000e+00,3.624567451413461816e-01,1.129288955100933078e+00,1.000000000000000000e+00,7.050545319571784875e-01,9.390483621221404897e-01,2.893142181071395314e-01
2.496491210348105172e-01,8.875364587237631886e-01,8.269768519862341627e-01,9.559336424000667298e-01,1.000000000000000000e+00,9.970495779830785832e-01,1.000000000000000000e+00,6.273715492603459953e-01,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,8.607285927905639067e-01,8.293565007248860921e-01,3.624567451413461816e-01,1.110223024625156540e-16,1.094757667173902993e+00,1.000000000000000000e+00,6.029904693772552005e-01,1.000000000000000000e+00,1.295015343973299204e-01
1.074665140820189713e+00,1.218320446221895947e+00,1.160941693442831157e+00,1.159999670595647681e+00,1.128382846724268251e+00,1.132339598568812722e+00,1.293495333883037945e+00,1.168781325665332771e+00,1.052255606927893217e+00,1.187375054066955204e+00,1.299894588192830103e+00,1.043077593723691576e+00,1.027168101855101101e+00,1.129288955100933078e+00,1.094757667173902993e+00,0.000000000000000000e+00,1.230955690757498111e+00,1.113063129294988407e+00,1.258033619735904995e+00,1.125375608706078223e+00
1.000000000000000000e+00,9.520965429625847243e-01,1.000000000000000000e+00,8.503131863476691699e-01,9.329903056862839383e-01,9.219714796834399539e-01,9.986335196016320470e-01,9.366265858837792280e-01,9.379997914005770987e-01,9.064381329054775893e-01,6.724303916953426885e-01,9.732199696822735335e-01,9.566340468972874822e-01,1.000000000000000000e+00,1.000000000000000000e+00,1.230955690757498111e+00,-2.220446049250313081e-16,6.386944082174608184e-01,9.540415320049184800e-01,1.000000000000000000e+00
6.429427050626931317e-01,9.047606377993940852e-01,3.963068514978735912e-01,9.988718325130691023e-01,1.000000000000000000e+00,9.803076832591991474e-01,9.856028060743752262e-01,2.141484084691538392e-01,9.025156458615178900e-01,1.000000000000000000e+00,9.473079256278188476e-01,8.887262705351764991e-01,8.721875955690432392e-01,7.050545319571784875e-01,6.029904693772552005e-01,1.113063129294988407e+00,6.386944082174608184e-01,0.000000000000000000e+00,9.438264933753337527e-01,6.419722634449991361e-01
9.594550337865526135e-01,8.868986562169458576e-01,1.000000000000000000e+00,9.123284689148407622e-01,9.946397114935306982e-01,8.940413663026247626e-01,5.830774037317555392e-01,8.520647419018253510e-01,9.215403803901266455e-01,9.258476588650129679e-01,9.652419545683322832e-01,8.838291502475680295e-01,8.713920937971402214e-01,9.390483621221404897e-01,1.000000000000000000e+00,1.258033619735904995e+00,9.540415320049184800e-01,9.438264933753337527e-01,0.000000000000000000e+00,9.808899354187962105e-01
