# Bashkir,Buryat,Chuvash,Evenki,Japanese,Kalmyk,Kannada,Kazakh,Khalkha Mongolian,Korean,Malayalam,Manchu,Nanai,North Azerbaijani,Northern Uzbek,Sakha,Tamil,Tatar,Telugu,Turkish
0.000000000000000000e+00,8.035070845177616494e-01,9.758560031751445374e-01,8.090211789413365162e-01,9.597414662454202272e-01,9.021825977508504124e-01,9.190746945075194407e-01,1.982116118196838306e-01,7.926511722425306772e-01,9.236328964052560320e-01,9.557210773685204108e-01,9.180374635001682382e-01,7.590463908066914511e-01,4.898847163281272454e-01,3.745609946226630127e-01,9.964052788340183042e-01,9.692047446283738044e-01,1.621973726771128721e-01,9.746350296563971449e-01,6.533431277812689064e-01
8.035070845177616494e-01,2.220446049250313081e-16,7.751238416127920194e-01,9.802528398209161553e-01,8.504789311204319358e-01,8.253219968505836057e-01,9.964112668460552991e-01,7.950244796230254707e-01,7.165059446158752454e-01,8.654969609798931485e-01,9.391039173924146111e-01,8.357408916817358202e-01,8.647513329934580772e-01,9.657905451429678045e-01,8.086844677599415165e-01,9.565216223333430356e-01,1.000000000000000000e+00,7.891700048205088081e-01,1.000000000000000000e+00,8.654589811088143625e-01
9.758560031751445374e-01,7.751238416127920194e-01,0.000000000000000000e+00,9.815839661351174472e-01,6.018055276896128181e-01,9.924692522433387065e-01,9.515765983859270083e-01,9.786120991816088521e-01,1.000000000000000000e+00,8.847736925895796078e-01,9.513449136741827239e-01,1.000000000000000000e+00,1.000000000000000000e+00,9.782798329225859124e-01,1.000000000000000000e+00,7.697361455112372575e-01,1.000000000000000000e+00,9.770936600022653851e-01,9.636302003983985287e-01,9.413332704826177233e-01
8.090211789413365162e-01,9.802528398209161553e-01,9.815839661351174472e-01,0.000000000000000000e+00,9.202655539041830757e-01,9.990998689798176180e-01,9.534337433719666244e-01,7.989762048585888898e-01,8.875386237023987768e-01,9.607983641772321892e-01,9.421472713930163501e-01,9.404202192061424936e-01,7.909697571037368480e-01,9.591790614072429610e-01,9.183217413685728081e-01,9.224917825607203969e-01,9.885348181281822244e-01,7.996741258155194432e-01,8.558201261387027303e-01,9.393365349141021836e-01
9.597414662454202272e-01,8.504789311204319358e-01,6.018055276896128181e-01,9.202655539041830757e-01,1.110223024625156540e-16,1.000000000000000000e+00,1.000000000000000000e+00,9.397633072178599445e-01,8.888803906002573640e-01,1.000000000000000000e+00,9.741279263525950416e-01,1.000000000000000000e+00,1.000000000000000000e+00,9.577414336890959223e-01,9.203930915019257197e-01,9.851251283226676314e-01,1.000000000000000000e+00,9.634194693559341438e-01,1.000000000000000000e+00,9.166559951541666251e-01
9.021825977508504124e-01,8.253219968505836057e-01,9.924692522433387065e-01,9.990998689798176180e-01,1.000000000000000000e+00,3.330669073875469621e-16,1.000000000000000000e+00,8.951669106169893864e-01,3.198940623707220432e-01,9.450881356383493692e-01,9.816280307307988506e-01,7.321734354717854831e-01,8.054427148261184000e-01,1.000000000000000000e+00,1.000000000000000000e+00,7.221015512358687216e-01,9.607920969342822470e-01,8.557359302507334675e-01,1.000000000000000000e+00,9.501817751794887634e-01
9.190746945075194407e-01,9.964112668460552991e-01,9.515765983859270083e-01,9.534337433719666244e-01,1.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,9.451240965752565337e-01,9.540321920422480950e-01,8.541100515361684797e-01,8.929980779395584323e-01,9.953524821994109706e-01,9.627179733687382113e-01,9.807544465042422610e-01,9.895877697924075900e-01,9.403383806078460250e-01,9.561876042609707138e-01,9.337464053261537167e-01,8.715563697532799914e-01,9.040078255844216093e-01
1.982116118196838306e-01,7.950244796230254707e-01,9.786120991816088521e-01,7.989762048585888898e-01,9.397633072178599445e-01,8.951669106169893864e-01,9.451240965752565337e-01,1.110223024625156540e-16,8.394925810207334305e-01,9.094368134886023913e-01,9.359479252094289325e-01,9.506020963733616824e-01,8.111263134752015880e-01,4.405668329908244418e-01,4.146478430824679373e-01,8.841431851109746720e-01,9.210097662556697706e-01,1.915369343670133562e-01,9.629363759985788418e-01,5.962143299346737146e-01
7.926511722425306772e-01,7.165059446158752454e-01,1.000000000000000000e+00,8.875386237023987768e-01,8.888803906002573640e-01,3.198940623707220432e-01,9.540321920422480950e-01,8.394925810207334305e-01,0.000000000000000000e+00,8.572621416889677493e-01,9.401946121636245435e-01,8.635737281570108337e-01,8.109700384793521177e-01,8.721831882271305902e-01,8.791319322699566730e-01,8.596432959771904692e-01,9.471735841075175077e-01,8.023845977877295255e-01,1.000000000000000000e+00,9.302249843223697745e-01
9.236328964052560320e-01,8.654969609798931485e-01,8.847736925895796078e-01,9.607983641772321892e-01,1.000000000000000000e+00,9.450881356383493692e-01,8.541100515361684797e-01,9.094368134886023913e-01,8.572621416889677493e-01,2.220446049250313081e-16,9.981606916237348859e-01,6.802837953169653673e-01,1.000000000000000000e+00,1.000000000000000000e+00,9.737548368389434827e-01,8.300418930477799773e-01,9.101633186739733761e-01,1.000000000000000000e+00,9.075735102929268772e-01,8.716780235968961676e-01
